module_route	edge_or_pair	source_entity	relation	target_entity	current_tier	promoted_tier	primary_pmids	corroborating_pmids	exact_evidence_status	species_context	module_fit	decision	evidence_summary	limitations
20A→20B	M20B-E001814	Bmp4	engages	BMPR1A_BMPR2	medium	high	18436533	34241280	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Human stromal-cell experiments support BMP4/BMPR1A/BMPR2 receptor utilization, corroborated by direct BMP4 receptor interaction measurements.	Type-II receptor abundance and cell context affect signaling; preserved complex is BMPR1A/BMPR2.
20A→20B	M20B-E001829	Bmp6	engages	ACVR1_BMPR2	medium	high	10504300	23433114	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	Primary BMP6 receptor-binding and functional inhibition studies support ALK2/ACVR1 with BMPR-II, with independent knockdown/inhibition of the same receptor classes reducing BMP6 responses.	BMP6 also uses alternate type-I receptors and type-II receptor naming differs across studies; ACVR1/BMPR2 is the preserved complex.
20A→20B	M20B-E001832	Bmp6	engages	BMPR1A_BMPR2	medium	high	10504300	23433114	exact_complex_supported	species/context resolved for cited pair	Module20A_TGFbeta_superfamily	promote_to_high	BMP6 primary binding studies detect BMPR1A/BMPR-II usage, and independent receptor-loss experiments confirm BMPR-II-dependent BMP6 signaling with type-I receptor contributions.	This is a lower-preference BMP6 receptor combination than ALK2/ALK3 in some systems; complex is preserved and not generalized to all BMP6 contexts.
20A→20B	M20B-E001835	Btc	engages	EGFR_ERBB2	medium	high	25086039	9130710	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	BTC is directly tested in EGFR/ERBB2 heterodimers and independently shown to activate EGFR with ERBB2 as the preferred heterodimerization partner.	EGFR is the ligand-binding/activation entry point; ERBB2 is an auxiliary heterodimer partner and the complex is explicitly preserved.
20A→20B	M20B-E001836	Btc	engages	ERBB2_ERBB4	medium	high	10214951	9130710	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	Primary soluble-receptor studies support BTC activity in ERBB2/ERBB4 combinations, corroborated by independent BTC-induced ErbB2 heterodimerization/activation experiments.	Direct BTC affinity is strongest through ErbB4/EGFR and ERBB2 is an auxiliary partner; the preserved complex is ERBB2/ERBB4.
20A→20B	M20B-E001853	Ccl3	engages	Ccr1	medium	high	12181451	26472202	exact_pair_supported	human and/or mouse chemokine studies; orthology noted where limiting	Module20A_secreted_immune	promote_to_high	Primary mutational/binding work maps the CCL3-MIP-1α interaction site on CCR1, corroborated by independent NMR and receptor-binding analyses of the CCL3/CCR1 complex.	Most pair-specific binding work is human; mouse orthology and chemokine presentation context should remain explicit.
20A→20B	M20B-E001855	Egf	engages	EGFR_ERBB2	medium	high	22822073	36781849	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	EGF binding and dimerization are directly quantified for EGFR/ERBB2, with independent structural/functional analysis of EGF-bound EGFR/HER2 complexes.	EGFR is the primary EGF-binding receptor and ERBB2 modifies dimer affinity/signaling; complex is retained.
20A→20B	M20B-E001856	Ereg	engages	EGFR_ERBB2	medium	high	9553109	33750895	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	EREG activates pan-ErbB complexes in primary engineered-cell assays, and an independent NSCLC study shows EREG-induced EGFR/ERBB2 heterodimer signaling with ERBB2-dependent AKT output.	EREG has direct affinity for EGFR/ErbB4 more clearly than isolated ErbB2; EGFR/ERBB2 is retained as a functional heterodimer.
20A→20B	M20B-E001857	Ereg	engages	ERBB2_ERBB4	medium	high	9553109	10214951	exact_complex_supported	species/context resolved for cited pair	Module20A_EGFR	promote_to_high	Primary pan-ErbB ligand studies support EREG activation of ERBB2/ERBB4 combinations, corroborated by independent soluble-receptor binding measurements for the same receptor combination.	ErbB4 is the principal direct EREG-binding subunit and ERBB2 is an auxiliary partner; complex is explicitly preserved.
20A→20B	M20B-E001858	Fgf1	engages	Fgfr2	medium	high	22057274	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	FGF1-FGFR2b binding is directly resolved by structure and mutational analysis, corroborated by a comprehensive primary FGFR specificity panel.	FGFR2 splice form is essential: evidence is for FGFR2b/FGFR2 ectodomain rather than an undifferentiated receptor isoform.
20A→20B	M20B-E001859	Fgf1	engages	Fgfr3	medium	high	16801131	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Direct binding/mutational analysis tests FGF1 with FGFR3, corroborated by the primary mammalian FGF-FGFR specificity panel.	Evidence is splice-form/ectodomain dependent and FGF1 is promiscuous; the FGFR3 receptor form must remain preserved in downstream interpretation.
20A→20B	M20B-E001861	Fgf10	engages	Fgfr2	medium	high	40794773	41903757	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	FGF10-FGFR2b structure/function studies directly resolve the pair, with an independent mouse/human functional study confirming the FGF10-FGFR2 axis.	FGFR2b is the relevant splice form and heparan sulfate is required for productive signaling.
20A→20B	M20B-E001875	Fgf2	engages	Fgfr1	medium	high	10830168	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary FGF2-FGFR1 complex structural work directly supports the pair, corroborated by a comprehensive receptor-specific FGF panel.	FGFR1c and heparan sulfate are the relevant molecular context; FGF2 also binds other FGFRs.
20A→20B	M20B-E001876	Fgf2	engages	Fgfr2	medium	high	10830168	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary FGF2-FGFR2 complex structural work directly supports the pair, corroborated by a comprehensive receptor-specific FGF panel.	FGFR2c and heparan sulfate are the relevant molecular context; receptor isoform must remain explicit.
20A→20B	M20B-E001877	Fgf2	engages	Fgfr3	medium	high	14613973	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary receptor-specific binding/mutational studies support FGF2-FGFR3c, corroborated by the comprehensive FGF-FGFR specificity panel.	Evidence is strongest for FGFR3c and heparan sulfate-dependent signaling; FGF2 is not receptor-exclusive.
20A→20B	M20B-E001878	Fgf2	engages	Fgfr4	medium	high	1385111	16597617	exact_pair_supported	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary binding and autophosphorylation experiments identify FGFR4 as a direct FGF2-binding/signaling receptor, corroborated by the complete FGF-FGFR specificity panel.	FGFR4 activity is context and assay dependent and requires heparan sulfate; no splice suffix is needed for this receptor.
20A→20B	M20B-E001886	Fgf4	engages	Fgfr1	medium	high	11486033	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary binding/activation and receptor-site mapping support FGF4 with FGFR1 IIIc, corroborated by the comprehensive FGF-FGFR specificity panel.	The direct evidence is for FGFR1c/IIIc and heparan sulfate-dependent signaling; do not generalize to FGFR1b.
20A→20B	M20B-E001887	Fgf4	engages	Fgfr2	medium	high	11486033	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary binding/activation and receptor-site mapping support FGF4 with FGFR2 IIIc, corroborated by the comprehensive FGF-FGFR specificity panel.	The direct evidence is for FGFR2c/IIIc and heparan sulfate-dependent signaling; do not generalize to FGFR2b.
20A→20B	M20B-E001888	Fgf4	engages	Fgfr3	medium	high	11486033	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary binding/activation and receptor-site mapping support FGF4 with FGFR3 IIIc, corroborated by the comprehensive FGF-FGFR specificity panel.	The direct evidence is for FGFR3c/IIIc and heparan sulfate-dependent signaling.
20A→20B	M20B-E001899	Fgf7	engages	Fgfr2	medium	high	42077601	16597617	exact_pair_supported_isoform_preserved	human/recombinant and/or mouse/human functional; FGFR splice form retained	Module20A_secreted_growth_factor	promote_to_high	Primary quantitative binding work directly resolves FGF7-FGFR2b, corroborated by the comprehensive FGF-FGFR specificity panel.	FGFR2b is essential; FGF7-family ligands are splice-form selective and require heparan sulfate.
20A→20B	M20B-E001907	Ifnab	engages	IFNAR1_IFNAR2	medium	high	10049744	7479980	exact_complex_supported	human subtype binding and/or mouse type-I IFN response; subtype caveat retained	Module20A_secreted_immune	promote_to_high	IFN-β forms a stable IFNAR1/IFNAR2 receptor complex in primary biochemical studies, corroborated by mouse loss of Ifnar1 eliminating type-I interferon responses.	The register’s Ifnab label covers the beta subtype; receptor signaling is species and subtype dependent.
20A→20B	M20B-E001909	Ifne	engages	IFNAR1_IFNAR2	medium	high	29187603	37954158	exact_pair_supported_with_receptor_caveat	human subtype binding and/or mouse type-I IFN response; subtype caveat retained	Module20A_secreted_immune	promote_to_high	Recombinant IFN-ε binds IFNAR1 and IFNAR2 and activates canonical interferon responses in primary studies; independent mouse protection work confirms IFN-ε biology.	The protection study reports activity in an Ifnar1-deficient setting, so in-vivo receptor dependence is not clean; promotion rests on direct IFNAR1/2 binding and canonical signaling, not that model.
20A→20B	M20B-E001914	Slitrk1	engages	Ptprd	medium	high	25394468	23345436	exact_pair_supported_splice_preserved	human/recombinant and neuronal primary studies; PTP splice context retained	Module20A_contact_adhesion	promote_to_high	Primary structural, adhesion, and synaptogenic experiments directly support Slitrk1-PTPδ, with an independent LAR-RPTP study resolving PTPδ-dependent synapse formation.	PTPδ splice insert meB is required for the best-supported interaction and synaptic phenotype.
20A→20B	M20B-E001915	Slitrk2	engages	Ptprd	medium	high	25989451	23345436	exact_pair_supported_splice_preserved	human/recombinant and neuronal primary studies; PTP splice context retained	Module20A_contact_adhesion	promote_to_high	Primary crystal/SPR/mutational and synaptogenic studies directly support Slitrk2-PTPδ, corroborated by independent PTPδ-dependent synapse-formation experiments.	PTPδ splice insert meB and synapse-type context are required; preserve the splice-form limit.
20A→20B	M20B-E001921	Wnt5a	engages	Fzd6	medium	high	24500924	24873871	exact_pair_supported	human/rodent primary signaling studies	Module20A_WNT	promote_to_high	Primary FZD6-specific signaling and receptor-mobility studies support WNT5A-FZD6 interaction and downstream ERK/DVL behavior.	WNT5A-FZD6 signaling depends on receptor presentation and Dishevelled/co-receptor context; no isolated high-resolution complex is claimed.
20A→20B	M20B-E001926	Cntn1	engages	Notch2	medium	high	14567914	33957164	exact_pair_supported_contact	rodent and human contact-mediated studies	Module20A_contact_adhesion	promote_to_high	Primary contactin/Notch work identifies CNTN1 as a functional Notch ligand, and an independent epithelial study supports a CNTN1-Notch2 axis with receptor-specific inhibition.	This is an atypical contact-mediated Notch interaction rather than a canonical DSL ligand; exosomal/epithelial context is retained.
21A→21B	M21B-E000025	IRAK4	supports	IRAK1	medium	high	11416133;11518704;12538665	11960013;28512203	exact_IRAK4_IRAK1_relay_supported	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	21A receptor-proximal/relay edge with exact kinase identities	PROMOTE_HIGH	Linked IL-1 perturbations place IRAK in the required MyD88 relay and show IRAK4-dependent recruitment/IRAK1 phosphorylation boundaries. Independent PMID 11960013 reports IRAK4 interaction with IRAK1 and TRAF6, IRAK4-mediated IRAK1 phosphorylation, and dominant-negative IRAK4 blockade of IL-1-induced IRAK1 activation; PMID 28512203 independently supports IRAK4-dependent IRAK1 activation.	The papers support an IRAK4-to-IRAK1 relay but do not define every phosphorylation site or prove that receptor recruitment is exclusively ordered through IRAK4.
21A→21B	M21B-E000026	IRAK1	supports	TRAF6	medium	high	11416133;11518704;12538665	8837778	exact_IRAK1_TRAF6_recruitment_supported	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	21A receptor-proximal/relay edge with exact adaptor identities	PROMOTE_HIGH	Linked PMID 11518704 shows phosphorylated IRAK associates with membrane, recruits/translocates TRAF6 and assembles the TRAF6-TAK1-TAB1-TAB2 complex. Independent PMID 8837778 shows IL-1-dependent association of TRAF6 with IRAK recruited to the IL-1 receptor.	This is a recruitment/translocation edge rather than a claim of direct TRAF6 enzymatic activation; isoform and adaptor-complex stoichiometry remain context dependent.
21A→21B	M21B-E000027	TRAF6	supports	TAK1/MAP3K7	medium	high	11416133;11518704;12538665	10882101;28507161	exact_TRAF6_MAP3K7_relay_supported_via_TAB2	linked mouse IL-1-responsive systems; independent human IL-1 receptor cell corroboration	21A receptor-proximal/relay edge with exact MAP3K7 identity	PROMOTE_HIGH	Linked PMID 11518704 connects TRAF6/TAB2 translocation to TAK1 activation. Independent PMID 10882101 identifies TAB2 as the adaptor linking TAK1 to TRAF6 and shows IL-1-induced TAK1-TRAF6 association; PMID 28507161 confirms TRAF6-dependent TAK1 activation under altered TAB2/TAB3 conditions.	TAB2/TAB3 can provide alternative TAK1 activation routes, so the promotion is for the TRAF6-linked relay and not an assertion that TAB2 is universally required.
21A→21B	M21B-E000062	IFNLR1-IL10RB receptor complex	supports	TYK2-dependent STAT activation	medium	high	37725008	23830819	exact_IFNLR1_IL10RB_TYK2_relay_supported_with_context_limit	human synthetic/heterologous type-III receptor systems in both studies	21A receptor-proximal relay with exact receptor pair and TYK2 perturbation	PROMOTE_HIGH	Linked PMID 37725008 uses type-III receptor reconstitution and TYK2 deletion to show a defined TYK2 contribution to IFN-lambda-induced STAT activation. Independent PMID 23830819 shows IFNLR1/IL10RB receptor pairing and proximity to JAK1/TYK2 are required for type-III receptor activity.	The evidence is synthetic/heterologous and does not establish universal native TYK2 necessity in astrocytes; keep IFN-lambda separate from IFNAR and IFNGR branches.
21A→21B	M21B-E000065	TNFR2 receptor complex	supports	TRAF2-dependent NF-kappaB relay	medium	high	7544915	25152365;11112773	exact_TNFR2_TRAF2_recruitment_and_NFkB_relay_supported	human TNFR2-expressing reporter/cell systems	21A receptor-proximal relay with exact receptor/adaptor identities	PROMOTE_HIGH	Linked PMID 7544915 shows TRAF2 sufficiency and dominant-negative TRAF2 inhibition of TNFR2-mediated NF-kappaB activation. Independent PMID 25152365 maps TRAF2 binding sites in the TNFR2 intracellular region and the functional NF-kappaB consequence; PMID 11112773 independently supports TNFR2-region recruitment of TRAF2 and NF-kappaB reporter activation.	TNFR2 also has TRAF2-independent JNK activity and TRAF1/TRAF3 modulation; promotion is limited to the TRAF2-dependent NF-kappaB relay and not all TNFR2 outputs.
21A→21B	M21B-E000079	BMPR2 receptor complex	supports	LIMK1	medium	high	19361494	15538389	exact_BMPR2_LIMK1_binding_and_activation_supported	linked Xenopus laevis developmental retinal neurons; independent mammalian mouse cortical-neuron and biochemical corroboration	21A receptor-proximal noncanonical relay with exact receptor-tail/kinase identities	PROMOTE_HIGH	Linked PMID 19361494 shows deletion of the BMPR2 LIMK1-binding region impairs BMP-dependent retinal axon extension. Independent PMID 15538389 demonstrates BMPRII-LIMK1 binding, BMP7-dependent dendritic effects, LIMK1 catalytic activation and loss of function after disrupting the receptor-tail interaction.	The exact SCI receiver context and BMP7-specific ligand assignment remain unresolved; promotion is for the BMPR2-LIMK1 edge, not a general BMP receptor or injury claim.
23A→23B	M23B-E000060	LAMA3/LAMB3/LAMC2 laminin-332	activates	ITGA3:ITGB1 FAK/SRC relay	medium-high	high	20039268	30583482	exact_matrix_receptor_relay	rat	23A_exact_matrix_to_integrin_relay	PROMOTE_TO_HIGH	Laminin-332 perturbation and alpha3beta1 blockade resolve a matrix-to-integrin focal-adhesion relay with FAK/SRC readouts.	Carcinoma mechanistic anchor; gamma2-containing laminin matrix was perturbed as a complex rather than isolated LAMA3.
23A→23B	M23B-E000063	LAMA3/LAMB3/LAMC2 laminin-332	binds	ITGA6:ITGB4 hemidesmosome organization	medium-high	high	22563463	16973601	exact_matrix_receptor_complex	human	23A_exact_matrix_to_integrin_complex	PROMOTE_TO_HIGH	Laminin-332 matrix adhesion and alpha6beta4-dependent hemidesmosome organization are resolved at the integrin-complex level.	Matrix organization and hemidesmosome assays are context-dependent; no SCI model.
23A→23B	M23B-E000064	LAMA4/LAMB1/LAMC1 laminin-411	binds	ITGA6:ITGB1	medium-high	high	16413178	24951930;23797810	exact_matrix_receptor_binding	human recombinant	23A_exact_matrix_to_integrin_binding	PROMOTE_TO_HIGH	Recombinant laminin-411 shows alpha6beta1 binding, corroborated by laminin-411/421 alpha6beta1 adhesion and vascular-laminin assays.	Binding is modest and comparator-cell based; retain the complete alpha6beta1 heterodimer.
23A→23B	M23B-E000074	TNC TNfn3 RGD	binds	ITGA8:ITGB1	medium-high	high	7559467	9548928;7541634	exact_domain_receptor_binding	human; chick	23A_exact_matrix_domain_to_integrin_binding	PROMOTE_TO_HIGH	The TNC TNfn3/RGD domain supports resolved alpha8beta1 binding and adhesion in recombinant and cell-based assays.	Evidence is strongest for the defined TNC fragment/domain, not unrestricted full-length TNC.
23A→23B	M23B-E000078	TNC	binds	ITGAV:ITGB6	medium-high	high	23958855	12882776	exact_matrix_receptor_cellular_binding	human	23A_exact_matrix_to_integrin_binding	PROMOTE_TO_HIGH	TNC binding and alphaVbeta6 assignment are supported by TNC-agarose/neutralization and independent epithelial TNC-alphaVbeta6 adhesion context.	No purified affinity measurement; cellular matrix context and complete alphaVbeta6 are required.
23A→23B	M23B-E000185	ICAM1	activates	Src/Rap1-actin adhesion relay	medium-high	high	9539703;19050286	10688643;10709848	exact_adhesion_receptor_relay	human; mouse	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	ICAM1 engagement of LFA1 resolves an adhesion-to-Src/Rap1-actin/Pyk2 relay across independent primary studies.	LFA1 is the complete alphaLbeta2 heterodimer; relay is receptor-proximal and not a terminal TF.
23A→23B	M23B-E000186	ICAM1	binds	ITGAM:ITGB2/Mac1	medium-high	high	1980124;9886254	7679388;14634125	exact_adhesion_receptor_binding	human	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	ICAM1 is recognized by the Mac1 alphaMbeta2 I-domain/heterodimer in direct binding and leukocyte-adhesion assays.	Preserve the complete Mac1 complex; avoid interpreting this as free ITGAM or ITGB2 binding.
23A→23B	M23B-E000192	VCAM1	binds	ITGA9:ITGB1	medium-high	high	10209034	38498701	exact_adhesion_receptor_binding	human; mouse	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	VCAM1 directly supports alpha9beta1 adhesion, with an independent alpha9-dependent VCAM1/FAK-Src-ERK chemotaxis study.	Complete alpha9beta1 is required; comparator/non-SCI context limits injury-specific inference.
23A→23B	M23B-E000193	VCAM1	activates	FAK/Src/ERK chemotaxis relay	medium	high	38498701	10209034	exact_adhesion_receptor_relay	human; mouse	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	VCAM1-alpha9beta1 engagement is linked to FAK/Src/ERK chemotaxis, corroborated by direct alpha9beta1 adhesion evidence.	This is an adhesion relay rather than a terminal TF; retain alpha9beta1 complex context.
23A→23B	M23B-E000194	THY1	binds	ITGAV:ITGB3-SDC4	medium	high	19723805;18346467	23481656	exact_adhesion_coreceptor_complex	rat	23A_exact_adhesion_coreceptor_complex	PROMOTE_TO_HIGH	Thy-1 engages the alphaVbeta3-syndecan-4 adhesion complex in cell-contact assays, with FAK/PKCalpha/RhoA/PI3K/Rac1 outputs.	Three-component contact complex and cell presentation are required; do not collapse to alphaVbeta3 alone.
23A→23B	M23B-E000195	THY1	activates	FAK/PI3K/Rac1/RhoA relay	medium	high	23481656	19723805;18346467	exact_adhesion_coreceptor_relay	rat	23A_exact_adhesion_coreceptor_relay	PROMOTE_TO_HIGH	Thy-1 cell-cell contact through alphaVbeta3/SDC4 produces a resolved FAK/PI3K/Rac1/RhoA adhesion relay.	Relay is complex-dependent and not a terminal transcriptional readout.
23A→23B	M23B-E000204	MAdCAM1	binds	ITGA4:ITGB7	medium-high	high	7687523;23553626	17868448;9233649	exact_adhesion_receptor_binding	mouse; human	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	MAdCAM1 is a direct ligand for the alpha4beta7 adhesion receptor, with independent homing/adhesion and receptor-specific evidence.	Complete alpha4beta7 heterodimer and endothelial addressin presentation are required.
23A→23B	M23B-E000205	MAdCAM1	activates	FAK/paxillin homing relay	medium	high	11947929;23553626	7687523	exact_adhesion_receptor_relay	mouse; human	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	MAdCAM1-alpha4beta7 engagement produces paxillin/Cas-L and homing-associated adhesion signaling, anchored by direct receptor evidence.	Proximal adhesion relay; no terminal TF and no SCI-specific model.
23A→23B	M23B-E000216	NCAM1	activates	Src/FAK neurite relay	medium-high	high	7961669	10704499	exact_cell_cell_adhesion_relay	human; mouse	23A_exact_cell_adhesion_relay	PROMOTE_TO_HIGH	NCAM1 homophilic engagement is supported by independent neurite/adhesion studies and resolves a Src/FAK neurite relay.	Homophilic NCAM1 presentation and neural context are required; not an ECM ligand.
23A→23B	M23B-E000220	NPNT	activates	alpha8beta1 adhesion relay	medium-high	high	19342381;17537792	21790180	exact_matrix_receptor_adhesion	mouse; human	23A_exact_matrix_to_integrin_adhesion	PROMOTE_TO_HIGH	Nephronectin/NPNT binds alpha8beta1 and drives defined adhesion through the RGD/FEI matrix interface.	Matrix domain and complete alpha8beta1 context must be retained.
23A→23B	M23B-E000221	NTN1	binds	NEO1/neogenin	medium-high	high	24876346	33740419	exact_matrix_receptor_binding	human; mouse; Xenopus	23A_exact_matrix_to_receptor_binding	PROMOTE_TO_HIGH	Netrin-1 directly binds neogenin in structural/biophysical work and is independently confirmed within a resolved NEO1 guidance-cue complex.	Netrin family and co-receptor context must not be conflated; this row is specifically NTN1-NEO1.
23A→23B	M23B-E000228	PDPN	binds	CLEC1B/CLEC-2	medium-high	high	17944973;20154219	38561690	exact_adhesion_receptor_binding	mouse; human	23A_exact_adhesion_receptor_binding	PROMOTE_TO_HIGH	Podoplanin engages CLEC-2 through defined glycan/protein contacts and receptor clustering, supported by direct structure and signaling studies.	Glycosylation and receptor clustering are required; this is a platelet/immune adhesion context.
23A→23B	M23B-E000229	PDPN	activates	Src-Syk-LAT-PLCgamma2 relay	medium-high	high	20154219	17944973;38561690	exact_adhesion_receptor_relay	mouse; human	23A_exact_adhesion_receptor_relay	PROMOTE_TO_HIGH	Podoplanin-CLEC-2 engagement activates the resolved Src-Syk-LAT-PLCgamma2 hemITAM relay.	Relay depends on CLEC-2 clustering and cellular presentation; not a terminal TF.
23A→23B	M23B-E000247	PTN	binds	ITGAV:ITGB3/PTPRZ1	medium	high	19141530	39409168	exact_matrix_receptor_coreceptor_branch	human; mouse comparator	23A_exact_secreted_matrix_to_receptor_branch	PROMOTE_TO_HIGH	Pleiotrophin supports a resolved alphaVbeta3/PTPRZ1 adhesion branch, corroborated by independent PTN/PTPRZ1/alphaVbeta3 migration signaling.	PTN receptor branches are context-dependent; preserve the alphaVbeta3/PTPRZ1 co-receptor configuration.
