extraction_id	module	b_edge_id	b_evidence_id	canonical_paper_key	resolver_approved_pmid	artifact_path	source_locator	observation_value_or_blocker	observation_species	observation_cell_or_model	observation_assay	observation_perturbation	outcome	claim_text_or_blocker	register_edge_source	register_edge_target	register_edge_status	edge_alignment_disposition	evidence_grade	context_level	grading_basis	final_disposition	exclusion_blocker_reason
M20B-P2-R-002077	20B	M20B-E002097	M20B-EVID-002097	unknown	9245797	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B184_PMC2141641_THBS1_CD36_fulltext.html	local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B184_PMC2141641_THBS1_CD36_fulltext.html; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B184_THBS1_CD36_CD47_pubmed.xml	Packet explicitly reports no pair-specific COMP–CD36 primary evidence; nearby THBS1–CD36 evidence is non-transferable.	mouse queue context; exact species/model not established	not applicable; exact primary pair not identified	PubMed/PMC exact-pair and alias search	No qualifying pair-specific perturbation recovered	No qualifying pair-specific COMP–CD36 outcome recovered.	Explicit exclusion: Packet explicitly reports no pair-specific COMP–CD36 primary evidence; nearby THBS1–CD36 evidence is non-transferable.	Comp	Cd36	frozen_lr_supported	unresolved_no_pair_specific_primary_evidence	U	L0	Explicit unresolved/no-evidence result; adjacent ligand–receptor evidence excluded.	excluded_unresolved_no_pair_specific_evidence	Packet explicitly reports no pair-specific COMP–CD36 primary evidence; nearby THBS1–CD36 evidence is non-transferable.
M20B-P2-R-002079	20B	M20B-E002100	M20B-EVID-002100	PMID:20033473; PMCID:PMC3150962; DOI:10.1007/s11010-009-0355-3	20033473	data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B109_PMC3150962_COMP_CD47.html	PMID:20033473; PMCID:PMC3150962; DOI:10.1007/s11010-009-0355-3; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B109_PMC3150962_COMP_CD47.html	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	mouse COMP; human ligament cells and fetal chondrocytes	mouse COMP; human ligament cells and fetal chondrocytes	coated recombinant COMP cell-attachment assay; immunofluorescence	anti-alphaVbeta3 blocking antibody; RGD and COMP-derived peptide inhibition	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Comp	ITGAV_ITGB3	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002081	20B	M20B-E002107	M20B-EVID-002107	PMID:16144902; PMCID:PMC2171428; DOI:10.1083/jcb.200503113	16144902	data/raw/evidence/module20_24_supervised_cli_phase2/gap006/pmc_records_additional.xml	PMID:16144902; PMCID:PMC2171428; DOI:10.1083/jcb.200503113; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap006/pmc_records_additional.xml	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	rat Dll3; mammalian Notch1-4 expression systems; Xenopus laevis and mouse neural progenitor models	rat Dll3; mammalian Notch1-4 expression systems; Xenopus laevis and mouse neural progenitor models	CSL-luciferase reporter; receptor-expressing cell binding; coculture; differentiation assays	Dll3 expression in ligand cells; comparison with activating DSL ligands; lunatic fringe modulation	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Dll3	Notch2	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002087	20B	M20B-E002115	M20B-EVID-002115	PMID:1730778; PMCID:PMC2289325; DOI:10.1083/jcb.116.3.817	1730778	data/raw/evidence/module20_24_supervised_cli_phase2/gap007/primary_records.xml	PMID:1730778; PMCID:PMC2289325; DOI:10.1083/jcb.116.3.817; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap007/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap007/pmc_records.xml	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	human lymphocyte CD44; human fibronectin	human lymphocyte CD44 and human fibronectin	purified CD44/fibronectin binding; fragment binding; competition assays	chondroitinase treatment; soluble chondroitin sulfate; syndecan ectodomain competition; CD44-blocking studies	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Fn1	Cd44	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002089	20B	M20B-E002117	M20B-EVID-002117	PMID:26318455; PMCID:PMC4646199; DOI:10.1074/jbc.M115.651158	26318455	data/raw/evidence/module20_24_supervised_cli_phase2/gap007/primary_records.xml	PMID:26318455; PMCID:PMC4646199; DOI:10.1074/jbc.M115.651158; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap007/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap007/pmc_records.xml	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	human alpha3beta1 and human fibronectin type-III fragments; epithelial cells	human alpha3beta1 and fibronectin fragments; epithelial cells	SPR; recombinant fibronectin-fragment binding; cell attachment	FNIII9/10 synergy-site mutation; interdomain glycine insertions; alpha3beta1-blocking context	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Fn1	ITGA3_ITGB1	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002099	20B	M20B-E002127	M20B-EVID-002127	PMID:25646087; PMCID:PMC4315246; DOI:10.1083/jcb.201403111	25646087	data/raw/evidence/module20_24_supervised_cli_phase2/gap008/primary_records.xml	PMID:25646087; PMCID:PMC4315246; DOI:10.1083/jcb.201403111; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap008/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap008/pmc_records.xml	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	rat	rat sciatic nerve; Schwann-cell nodes of Ranvier and dystroglycan/perlecan complex	immunostaining/localization; genetic or receptor perturbation; matrix recruitment	DAG1 perturbation and node-of-Ranvier analysis	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Hspg2	Dag1	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002101	20B	M20B-E002129	M20B-EVID-002129	PMID:39310027; PMCID:PMC11413474; DOI:10.3892/ol.2024.14675	39310027	data/raw/evidence/module20_24_supervised_cli_phase2/gap008/primary_records.xml	PMID:39310027; PMCID:PMC11413474; DOI:10.3892/ol.2024.14675; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap008/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap008/pmc_records.xml	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	human	Human MDA-MB-231, PC-3, and NCI-H460 cancer cells	BSP-coated plate adhesion; integrin-blocking antibody; RGD competition; cell migration/viability comparisons	anti-alphaVbeta5 and anti-alphaVbeta3 antibodies; GRGDSP peptide	No final disposition beyond exclusion from this lane overlay.	Explicit exclusion: Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.	Ibsp	ITGAV_ITGB5	frozen_lr_supported	not_adjudicated_frozen_screen_not_completed	U	L0	The lane was frozen at the already-screened set; no unsupported grade or claim was assigned.	excluded_review_not_completed_before_freeze	Candidate was in the frozen local screen but exact source-unit Results/Discussion/figure adjudication was not completed before the requested stop.
M20B-P2-R-002665	20B	M20B-E003307	M20B-EVID-003307	PMID:22568954; DOI:10.4161/cam.19620	22568954	data/raw/evidence/module20_24_supervised_cli_phase2/gap050/PMC3499309_fulltext.xml	PMID:22568954; DOI:10.4161/cam.19620; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap050/PMC3499309_fulltext.xml	Ephrin-A4 bound recombinant EphA2 with 2.6 ± 0.28 nM apparent KD in Figure 1 ELISA (mEphrin-A4–hEphA2).	mouse ephrin-A4; human EphA2	Purified EphA2-Fc and ephrin-A4-Fc proteins	ELISA binding panel	Dimeric Fc reagent binding conditions	Direct recombinant-protein binding; Figure 1 apparent KD 2.6 ± 0.28 nM.	The study supports EfnA4–EphA2 as a direct recombinant-protein binding edge; Fc avidity/apparent-KD limits apply and no downstream/SCI claim is assigned.	Efna4	Epha2	frozen_lr_supported	aligned_exact_direct_recombinant_pair_binding	B	L1	Resolver-approved primary full text and Figure 1 support exact registered edge; grade B single-source primary, L1 recombinant/non-CNS context.	included_exact_direct_binding_support	none; no blocker
M20B-P2-R-002883	20B	M20B-E003525	M20B-EVID-003525	PMID:25265470; PMID:9160883; DOI:10.1038/sj.onc.1201039	9160883	data/raw/evidence/module20_24_supervised_cli_phase2/gap059/primary_records.xml	PMID:25265470; PMID:9160883; DOI:10.1038/sj.onc.1201039; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap059/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap059/primary_fulltext.xml	Named full-text file was mixed/identity-mismatched and did not verify resolver-approved Gas6–Mertk paper.	human; mouse	Soluble TAM ectodomains, Mer-expressing cells, and receptor-reconstitution systems	Surface plasmon resonance, receptor phosphorylation, reporter/activation assays, and genetic or phosphatidylserine perturbation	Gas6 stimulation; Gla-domain and phosphatidylserine perturbations	No final promotion; cited Gas6–Mertk source not locally identity-verifiable.	Explicit exclusion: Named full-text file was mixed/identity-mismatched and did not verify resolver-approved Gas6–Mertk paper.	Gas6	Mertk	frozen_lr_supported	not_adjudicated_artifact_identity_mismatch	U	L0	Exact source artifact gate failed.	excluded_artifact_identity_mismatch	Named full-text file was mixed/identity-mismatched and did not verify resolver-approved Gas6–Mertk paper.
M20B-P2-R-002891	20B	M20B-E003533	M20B-EVID-003533	PMID:24798330; PMCID:PMC4067217; DOI:10.1074/jbc.M114.550301	24798330	data/raw/evidence/module20_24_supervised_cli_phase2/gap060/primary_records.xml	PMID:24798330; PMCID:PMC4067217; DOI:10.1074/jbc.M114.550301; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap060/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap060/primary_fulltext.xml	Named full-text file was mixed and did not verify an exact Gdf1–ACVR1B/ACVR2B source.	human; mouse	Cripto-expressing reporter cells and soluble receptor-Fc systems	Receptor-Fc pulldown, ACVR2B siRNA, recombinant ligand stimulation, and luciferase reporter assays	ACVR2B-Fc; ACVR1B-Fc; ACVR2B siRNA; Nodal-Gdf1 stimulation	No final promotion; cited Gdf1 source not locally identity-verifiable.	Explicit exclusion: Named full-text file was mixed and did not verify an exact Gdf1–ACVR1B/ACVR2B source.	Gdf1	Acvr1b_Acvr2b	frozen_lr_supported	not_adjudicated_artifact_identity_mismatch	U	L0	Exact source artifact gate failed.	excluded_artifact_identity_mismatch	Named full-text file was mixed and did not verify an exact Gdf1–ACVR1B/ACVR2B source.
