"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"identity_resolution_status"	"unresolved_reason"	"authoritative_source"
"M20B-P2-R-001938"	"20B"	"M20B-EVID-001938"	"PMID:18231936; PMID:22773837; PMID:35245360"	"PMID:18231936; PMID:22773837; PMID:35245360; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_collagen_receptor_pubmed.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001942"	"20B"	"M20B-EVID-001942"	"PMID:10986291; PMID:15145957"	"PMID:10986291; PMID:15145957; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_collagen_receptor_pubmed.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001945"	"20B"	"M20B-EVID-001945"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+II+COL2A1+ITGAV+ITGB8"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+II+COL2A1+ITGAV+ITGB8"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-001946"	"20B"	"M20B-EVID-001946"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+II+COL2A1+SDC1"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+II+COL2A1+SDC1; PMCID:PMC2834805 as non-transferable comparator"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-001951"	"20B"	"M20B-EVID-001951"	"PMID:7493650; PMID:10772239"	"PMID:7493650; PMID:10772239; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_collagenII_alpha_integrin_pubmed.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001952"	"20B"	"M20B-EVID-001952"	"PMID:7493650; PMID:7688313"	"PMID:7493650; PMID:7688313; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_collagenII_alpha_integrin_pubmed.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-001957"	"20B"	"M20B-EVID-001957"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+IV+COL4A1+CD44"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+IV+COL4A1+CD44"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-001962"	"20B"	"M20B-EVID-001962"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+IV+COL4A1+ITGA2+ITGB1"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=collagen+IV+COL4A1+ITGA2+ITGB1"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-002077"	"20B"	"M20B-EVID-002097"	"unknown"	"local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B184_PMC2141641_THBS1_CD36_fulltext.html; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B184_THBS1_CD36_CD47_pubmed.xml"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002097"	"20B"	"M20B-EVID-002125"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Fn1+ITGAV%3DITGB8+downstream+signaling+transcription+factor"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002102"	"20B"	"M20B-EVID-002131"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama1+Cd44+downstream+signaling+transcription+factor"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002104"	"20B"	"M20B-EVID-002133"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama1+ITGA2%3DITGB1+downstream+signaling+transcription+factor"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002105"	"20B"	"M20B-EVID-002135"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama1+ITGA6%3DITGB1+downstream+signaling+transcription+factor"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002106"	"20B"	"M20B-EVID-002136"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama1+ITGA6%3DITGB4+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002109"	"20B"	"M20B-EVID-002142"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama2+ITGA2%3DITGB1+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002111"	"20B"	"M20B-EVID-002145"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama2+ITGA6%3DITGB4+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002112"	"20B"	"M20B-EVID-002146"	"PMID:17598176; DOI:10.1002/glia.20536; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001"	"PMID:17598176; DOI:10.1002/glia.20536; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap009/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002120"	"20B"	"M20B-EVID-002167"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama5+Cd44+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002122"	"20B"	"M20B-EVID-002169"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama5+ITGA2%3DITGB1+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002128"	"20B"	"M20B-EVID-002178"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lamb1+ITGA2%3DITGB1+laminin+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002129"	"20B"	"M20B-EVID-002179"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002130"	"20B"	"M20B-EVID-002180"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:35726387; DOI:10.1089/scd.2022.0010"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:35726387; DOI:10.1089/scd.2022.0010; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002133"	"20B"	"M20B-EVID-002186"	"unknown"	"PMID:42549987; PMID:10393422; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap011/lamb2_search_records.xml; URL:https://pubmed.ncbi.nlm.nih.gov/?term=LAMB2+DAG1+laminin+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002134"	"20B"	"M20B-EVID-002188"	"PMID:19147489; DOI:10.1074/jbc.M809332200; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001"	"PMID:19147489; DOI:10.1074/jbc.M809332200; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002135"	"20B"	"M20B-EVID-002189"	"PMID:19147489; DOI:10.1074/jbc.M809332200; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001"	"PMID:19147489; DOI:10.1074/jbc.M809332200; PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap011/lamb2_search_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002156"	"20B"	"M20B-EVID-002190"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:19147489; DOI:10.1074/jbc.M809332200"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:19147489; DOI:10.1074/jbc.M809332200; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002161"	"20B"	"M20B-EVID-002199"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:22563463; PMCID:PMC3341393"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:22563463; PMCID:PMC3341393; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002163"	"20B"	"M20B-EVID-002205"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lamc1+ITGA2%3DITGB1+laminin+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002164"	"20B"	"M20B-EVID-002206"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap010/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002166"	"20B"	"M20B-EVID-002208"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:30193894; PMCID:PMC2820731"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:30193894; PMCID:PMC2820731; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap014/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002170"	"20B"	"M20B-EVID-002216"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:14607975; DOI:10.1093/jb/mvg185; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap014/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002171"	"20B"	"M20B-EVID-002217"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:9151677; PMCID:PMC2820731; PMID:22563463"	"PMID:16413178; DOI:10.1016/j.matbio.2005.12.001; PMID:9151677; PMCID:PMC2820731; PMID:22563463; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap014/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002173"	"20B"	"M20B-EVID-002232"	"PMID:12810718; DOI:10.1016/S0022-2836(03)00386-X; PMID:25123307"	"PMID:12810718; DOI:10.1016/S0022-2836(03)00386-X; PMID:25123307; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap015/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002137"	"20B"	"M20B-EVID-002236"	"PMID:15574733; DOI:10.1016/j.neuron.2004.10.019; PMID:21307253"	"PMID:15574733; PMID:21307253; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap012/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002146"	"20B"	"M20B-EVID-002245"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Thbs2+Cd47+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002148"	"20B"	"M20B-EVID-002252"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Thbs4+Cd47+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002150"	"20B"	"M20B-EVID-002257"	"PMID:9548928; DOI:10.1074/jbc.273.11.6796; PMID:7541634"	"PMID:9548928; DOI:10.1074/jbc.273.11.6796; PMID:7541634; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap013/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002152"	"20B"	"M20B-EVID-002259"	"PMID:7693733; PMID:7505785; PMID:23958855"	"PMID:7693733; PMID:7505785; PMID:23958855; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap013/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002155"	"20B"	"M20B-EVID-002264"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Tnn+ITGA8%3DITGB1+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002178"	"20B"	"M20B-EVID-002282"	"PMID:9153222; DOI:10.1016/S0022-2836(02)00960-8; PMID:10192457"	"PMID:9153222; DOI:10.1016/S0022-2836(02)00960-8; PMID:10192457; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap016/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002180"	"20B"	"M20B-EVID-002284"	"PMID:7525179; PMID:14766759; PMID:1690718"	"PMID:7525179; PMID:14766759; PMID:1690718; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap016/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002182"	"20B"	"M20B-EVID-002286"	"PMID:9028792; PMID:1709170"	"PMID:9028792; PMID:1709170; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap016/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002185"	"20B"	"M20B-EVID-002289"	"PMID:8565074; DOI:10.1182/blood.V86.4.1351; PMID:40400463"	"PMID:8565074; DOI:10.1182/blood.V86.4.1351; PMID:40400463; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap016/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002187"	"20B"	"M20B-EVID-002291"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=C1ql1+Adgrb3+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002188"	"20B"	"M20B-EVID-002292"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=C1ql2+Adgrb3+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002189"	"20B"	"M20B-EVID-002293"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=C1ql3+Adgrb3+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002190"	"20B"	"M20B-EVID-002294"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=C1ql4+Adgrb3+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002191"	"20B"	"M20B-EVID-002295"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Cholesterol-DHCR24+Rora+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002192"	"20B"	"M20B-EVID-002297"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Col1a1+Sdc4+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002193"	"20B"	"M20B-EVID-002322"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Col9a1+Sdc4+binding+signaling"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002195"	"20B"	"M20B-EVID-002328"	"PMID:10640397; PMID:17485492"	"PMID:10640397; PMID:17485492; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap017/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002196"	"20B"	"M20B-EVID-002329"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama1+Itga1+Itgb1+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002197"	"20B"	"M20B-EVID-002333"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama2+Itga1+Itgb1+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002198"	"20B"	"M20B-EVID-002345"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama5+Itga1+Itgb1+binding"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002199"	"20B"	"M20B-EVID-002346"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Lama5+Sv2a+interaction"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002200"	"20B"	"M20B-EVID-002373"	"unknown"	"URL:https://pubmed.ncbi.nlm.nih.gov/?term=Mmp2+Mmp14+Itgav+Itgb3"	"unresolved_missing_canonical_identity"	"no explicit canonical PMID, PMCID, DOI, or stable paper URL"	""
"M20B-P2-R-002201"	"20B"	"M20B-EVID-002374"	"PMCID:PMC2115980; DOI:10.1016/S0014-5793(99)01671-3"	"PMCID:PMC2115980; DOI:10.1016/S0014-5793(99)01671-3; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap018/pmc_records.json"	"unresolved_no_authoritative_resolution"	"no exact metadata-ledger, source-locator, or content-level local-artifact resolution"	""
"M20B-P2-R-002202"	"20B"	"M20B-EVID-002375"	"PMID:7961669; PMID:10704499"	"PMID:7961669; PMID:10704499; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap018/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002203"	"20B"	"M20B-EVID-002377"	"PMID:11470831; PMID:19342381; PMID:17537792; PMCID:PMC2682901; PMCID:PMC2757411"	"PMID:11470831; PMID:19342381; PMID:17537792; PMCID:PMC2682901; PMCID:PMC2757411; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap018/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002204"	"20B"	"M20B-EVID-002378"	"PMID:11470831; PMID:19342381; PMID:17537792; PMCID:PMC2682901; PMCID:PMC2757411"	"PMID:11470831; PMID:19342381; PMID:17537792; PMCID:PMC2682901; PMCID:PMC2757411; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap018/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002208"	"20B"	"M20B-EVID-002391"	"PMID:2104618; PMID:2803984"	"PMID:2104618; PMID:2803984; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap019/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002209"	"20B"	"M20B-EVID-002399"	"PMID:2581569; PMID:1702392"	"PMID:2581569; PMID:1702392; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap019/a2m_lrp1_early_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002210"	"20B"	"M20B-EVID-002407"	"PMID:7907293; PMID:11067872"	"PMID:7907293; PMID:11067872; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap019/primary_records.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002226"	"20B"	"M20B-EVID-002483"	"PMID:30139742; PMID:14615490"	"PMID:30139742; PMID:14615490; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap021/adm_receptor_primary.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
"M20B-P2-R-002227"	"20B"	"M20B-EVID-002492"	"PMID:30139742; PMID:14615490"	"PMID:30139742; PMID:14615490; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap021/adm_receptor_primary.xml"	"unresolved_ambiguous_multiple_canonical_pmids"	"canonical_paper_key contains multiple PMIDs and no exact paper-level disambiguator was established"	""
