"extraction_id"	"module"	"b_evidence_id"	"canonical_paper_key"	"source_locator"	"resolved_canonical_paper_key"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"identity_resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"	"unresolved_reason"
"M20B-P2-R-002043"	"20B"	"M20B-EVID-001577"	"PMID:11208866; PMCID:PMC2193345; DOI:10.1084/jem.193.2.255; PMID:12466225"	"PMID:11208866; PMCID:PMC2193345; DOI:10.1084/jem.193.2.255; PMID:12466225; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/remaining_pubmed_records.xml"	"PMID:11208866"	"11208866"	"PMC2193345"	"10.1084/jem.193.2.255"	"resolved_authoritative_local_artifact"	"canonical identifier matched the same identifier in local source artifact"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap001/remaining_pubmed_records.xml"	"Prostaglandin D2 selectively induces chemotaxis in T helper type 2 cells, eosinophils, and basophils via seven-transmembrane receptor CRTH2."	"H Hirai; K Tanaka; O Yoshie; K Ogawa; K Kenmotsu; Y Takamori; M Ichimasa; K Sugamura; M Nakamura; S Takano; K Nagata"	"2001"	"The Journal of experimental medicine"	"Prostaglandin (PG)D2, which has long been implicated in allergic diseases, is currently considered to elicit its biological actions through the DP receptor (DP). Involvement of DP in the formation of allergic asthma was recently demonstrated with DP-deficient mice. However, proinflammatory functions of PGD2 cannot be explained by DP alone. We show here that a seven-transmembrane receptor, CRTH2, which is preferentially expressed in T helper type 2 (Th2) cells, eosinophils, and basophils in humans, serves as the novel receptor for PGD2. In response to PGD2, CRTH2 induces intracellular Ca2+mobilization and chemotaxis in Th2 cells in a Galphai-dependent manner. In addition, CRTH2, but not DP, mediates PGD2-dependent cell migration of blood eosinophils and basophils. Thus, PGD2 is likely involved in multiple aspects of allergic inflammation through its dual receptor systems, DP and CRTH2."	"https://pubmed.ncbi.nlm.nih.gov/11208866/"	""
"M20B-P2-R-002044"	"20B"	"M20B-EVID-001670"	"PMID:26124272; PMCID:not_cached; PMID:11927621; PMCID:PMC150926; DOI:10.1172/JCI14151"	"PMID:26124272; PMID:11927621; PMCID:PMC150926; DOI:10.1172/JCI14151; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_PMID26124272.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_mouse_PMID10601352.xml"	"PMID:26124272"	"26124272"	"PMC4571854"	"10.1074/jbc.m114.629451"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap001/psgl1_e_selectin_PMID26124272.xml"	"Quantitative Characterization of E-selectin Interaction with Native CD44 and P-selectin Glycoprotein Ligand-1 (PSGL-1) Using a Real Time Immunoprecipitation-based Binding Assay."	"Dina B AbuSamra; Alia Al-Kilani; Samir M Hamdan; Kosuke Sakashita; Samah Z Gadhoum; Jasmeen S Merzaban"	"2015"	"The Journal of biological chemistry"	""	"https://pubmed.ncbi.nlm.nih.gov/26124272/"	""
"M20B-P2-R-002045"	"20B"	"M20B-EVID-001677"	"PMID:17377534; DOI:10.1038/nature05652"	"PMID:17377534; DOI:10.1038/nature05652; https://www.nature.com/articles/nature05652; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap001/sema7a_itga1_PMID17377534.xml"	"PMID:17377534"	"17377534"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002046"	"20B"	"M20B-EVID-001724"	"PMID:34083484; PMCID:PMC8830376; DOI:10.1126/science.abg1774"	"PMID:34083484; PMCID:PMC8830376; DOI:10.1126/science.abg1774; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:34083484"	"34083484"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001776"	"20B"	"M20B-EVID-001776"	"PMID:15930396"	"PMID:15930396; PMCID:PMC6792655; DOI:10.1523/JNEUROSCI.5123-04.2005; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:15930396"	"15930396"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001778"	"20B"	"M20B-EVID-001778"	"PMID:26740381"	"PMID:26740381; DOI:10.1189/jlb.2MR1015-477R; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:26740381"	"26740381"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001779"	"20B"	"M20B-EVID-001779"	"PMID:26740381"	"PMID:26740381; DOI:10.1189/jlb.2MR1015-477R; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:26740381"	"26740381"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001780"	"20B"	"M20B-EVID-001780"	"PMID:24890717"	"PMID:24890717; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_exact_search.xml"	"PMID:24890717"	"24890717"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001781"	"20B"	"M20B-EVID-001781"	"PMID:24890717"	"PMID:24890717; PMID:19906300; DOI:10.1186/1476-9255-6-32; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_exact_search.xml; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:24890717"	"24890717"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001782"	"20B"	"M20B-EVID-001782"	"PMID:33875601"	"PMID:33875601; PMCID:PMC8092586; DOI:10.1073/pnas.2025763118; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_exact_search.xml"	"PMID:33875601"	"33875601"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001783"	"20B"	"M20B-EVID-001783"	"PMID:26740381"	"PMID:26740381; DOI:10.1189/jlb.2MR1015-477R; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:26740381"	"26740381"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001785"	"20B"	"M20B-EVID-001785"	"PMID:25521433"	"PMID:25521433; DOI:10.1002/eji.201445015; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_exact_search.xml"	"PMID:25521433"	"25521433"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001786"	"20B"	"M20B-EVID-001786"	"PMID:10725697"	"PMID:10725697; DOI:10.4049/jimmunol.164.7.3465; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_cluster_pubmed.xml"	"PMID:10725697"	"10725697"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001788"	"20B"	"M20B-EVID-001788"	"PMID:32415244"	"PMID:32415244; PMCID:PMC7229167; DOI:10.1038/s41598-020-64755-1; local=data/raw/evidence/module20_24_supervised_cli_phase2/retry_M20B_chemokine_exact_search.xml"	"PMID:32415244"	"32415244"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001789"	"20B"	"M20B-EVID-001789"	"PMID:28846097"	"PMID:28846097; DOI:10.1038/nm.4392; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_secondary_anchor_core.json"	"PMID:28846097"	"28846097"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001790"	"20B"	"M20B-EVID-001790"	"PMID:10433822"	"PMID:10433822; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_pmid10433822.xml"	"PMID:10433822"	"10433822"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002047"	"20B"	"M20B-EVID-001791"	"PMID:17848514; PMCID:PMC1975871; DOI:10.1073/pnas.0705310104"	"PMID:17848514; PMCID:PMC1975871; DOI:10.1073/pnas.0705310104; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:17848514"	"17848514"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002048"	"20B"	"M20B-EVID-001792"	"PMID:11404413; PMCID:PMC6762758; DOI:10.1523/JNEUROSCI.21-12-04281.2001"	"PMID:11404413; PMCID:PMC6762758; DOI:10.1523/JNEUROSCI.21-12-04281.2001; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:11404413"	"11404413"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002049"	"20B"	"M20B-EVID-001793"	"PMID:25394468; DOI:10.1038/ncomms6423"	"PMID:25394468; DOI:10.1038/ncomms6423; https://www.nature.com/articles/ncomms6423; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:25394468"	"25394468"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002050"	"20B"	"M20B-EVID-001794"	"PMID:25394468; DOI:10.1038/ncomms6423"	"PMID:25394468; DOI:10.1038/ncomms6423; https://www.nature.com/articles/ncomms6423; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:25394468"	"25394468"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001795"	"20B"	"M20B-EVID-001795"	"PMCID:PMC11430182"	"PMCID:PMC11430182; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC11430182_full.xml"	"PMID:39334827"	"39334827"	"PMC11430182"	"10.3390/biom14091060"	"resolved_authoritative_local_artifact"	"canonical identifier matched the same identifier in local source artifact"	"data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC11430182_full.xml"	"Insight into the Association between Slitrk Protein and Neurodevelopmental and Neuropsychiatric Conditions"	"Nidhi Puranik; Minseok Song"	"2024"	""	"Slitrk proteins belong the leucine-rich repeat transmembrane family and share structural similarities with the Slits and tropomyosin receptor kinase families, which regulate the development of the nervous system. Slitrks are highly expressed in the developing nervous system of vertebrates, modulating neurite outgrowth and enhancing synaptogenesis; however, the expression and function of Slitrk protein members differ. Slitrk protein variations have been associated with various sensory and neuropsychiatric conditions, including myopia, deafness, obsessive–compulsive disorder, autism spectrum disorders, schizophrenia, attention-deficit/hyperactivity disorder, glioma, and Tourette syndrome; however, the underlying mechanism remains unclear. Therefore, the Slitrk family members’ protein expression, roles in the signaling cascade, functions, and gene mutations need to be comprehensively studied to develop therapeutics against neurodegenerative diseases. This study presents complete and pertinent information demonstrating the relationship between Slitrk family proteins and neuropsychiatric illnesses. This review briefly discusses neurodevelopmental disorders, the leucine-rich repeat family, the Slitrk family, and the association of Slitrk with the neuropathology of representative disorders."	"https://pubmed.ncbi.nlm.nih.gov/39334827/"	""
"M20B-P2-R-001796"	"20B"	"M20B-EVID-001796"	"PMID:24335906"	"PMID:24335906; DOI:10.1038/ncomms3803; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_growth_guidance_epmc_core.json"	"PMID:24335906"	"24335906"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001797"	"20B"	"M20B-EVID-001797"	"PMID:24312319"	"PMID:24312319; PMCID:PMC3842941; DOI:10.1371/journal.pone.0081551; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml"	"PMID:24312319"	"24312319"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001798"	"20B"	"M20B-EVID-001798"	"PMID:24312319"	"PMID:24312319; PMCID:PMC3842941; DOI:10.1371/journal.pone.0081551; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml"	"PMID:24312319"	"24312319"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-RECOVERY-AMH-BMPR1B-MISMATCH-000001"	"20B"	"M20B-EVID-001798"	"PMCID:PMC3842941; PMID:24312319; DOI:10.1371/journal.pone.0081551"	"PMCID:PMC3842941; PMID:24312319; DOI:10.1371/journal.pone.0081551; local full text=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC3842941_full.xml"	"PMID:24312319"	"24312319"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001799"	"20B"	"M20B-EVID-001799"	"PMCID:PMC4176247"	"PMCID:PMC4176247; PMID:25086039; DOI:10.1074/jbc.M114.586826; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml"	"PMID:25086039"	"25086039"	"PMC4176247"	"10.1074/jbc.m114.586826"	"resolved_authoritative_local_artifact"	"canonical identifier matched the same identifier in local source artifact"	"data/raw/evidence/module20_24_supervised_cli_phase2/module20b_PMC4176247_full.xml"	"Different Epidermal Growth Factor (EGF) Receptor Ligands Show Distinct Kinetics and Biased or Partial Agonism for Homodimer and Heterodimer Formation *"	"Jennifer L. Macdonald-Obermann; Linda J. Pike"	"2014"	""	"Background: The EGF receptor has multiple ligands that can induce different biological effects. Results: EGF and TGFα, but not BTC or AREG, bias the EGF receptor toward heterodimer formation with ErbB2. AREG induces dimerization with different kinetics than the other ligands. Conclusion: EGFR ligands differentially induce receptor dimerization. Significance: This contributes to the biological differences elicited by different ligands. The EGF receptor has seven different cognate ligands. Previous work has shown that these different ligands are capable of inducing different biological effects, even in the same cell. To begin to understand the molecular basis for this variation, we used luciferase fragment complementation to measure ligand-induced dimer formation and radioligand binding to study the effect of the ligands on subunit-subunit interactions in EGF receptor (EGFR) homodimers and EGFR/ErbB2 heterodimers. In luciferase fragment complementation imaging studies, amphiregulin (AREG) functioned as a partial agonist, inducing only about half as much total dimerization as the other three ligands. However, unlike the other ligands, AREG showed biphasic kinetics for dimer formation, suggesting that its path for EGF receptor activation involves binding to both monomers and preformed dimers. EGF, TGFα, and betacellulin (BTC) appear to mainly stimulate receptor activation through binding to and dimerization of receptor monomers. In radioligand binding assays, EGF and TGFα exhibited increased affinity for EGFR/ErbB2 heterodimers compared with EGFR homodimers. By contrast, BTC and AREG showed a similar affinity for both dimers. Thus, EGF and TGFα are biased agonists, whereas BTC and AREG are balanced agonists with respect to selectivity of dimer formation. These data suggest that the differences in biological response to different EGF receptor ligands may result from partial agonism for dimer formation, differences in the kinetic pathway utilized to generate activated receptor dimers, and biases in the formation of heterodimers versus homodimers."	"https://pubmed.ncbi.nlm.nih.gov/25086039/"	""
"M20B-P2-R-001800"	"20B"	"M20B-EVID-001800"	"PMID:11422460"	"PMID:11422460; DOI:10.1046/j.0953-816x.2001.01596.x; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_growth_guidance_epmc_core.json"	"PMID:11422460"	"11422460"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001801"	"20B"	"M20B-EVID-001801"	"PMID:11422460"	"PMID:11422460; DOI:10.1046/j.0953-816x.2001.01596.x; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_growth_guidance_epmc_core.json"	"PMID:11422460"	"11422460"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-001802"	"20B"	"M20B-EVID-001802"	"PMID:9312147"	"PMID:9312147; DOI:10.1074/jbc.272.40.25296; local=data/raw/evidence/module20_24_supervised_cli_phase2/module20b_secondary_anchor_core.json"	"PMID:9312147"	"9312147"	""	""	"resolved_canonical_pmid"	"single explicit PMID in canonical_paper_key"	"canonical_paper_key"	""	""	""	""	""	""	""
"M20B-P2-R-002051"	"20B"	"M20B-EVID-001803"	"PMID:32238803; PMID:35643319; DOI:10.1038/s41467-020-15425-3; PMCID:PMC9234707"	"PMID:32238803; PMID:35643319; DOI:10.1038/s41467-020-15425-3; PMCID:PMC9234707; local=data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"PMID:32238803"	"32238803"	"PMC7113306"	"10.1038/s41467-020-15425-3"	"resolved_authoritative_local_artifact"	"canonical identifier matched the same identifier in local source artifact"	"data/raw/evidence/module20_24_supervised_cli_phase2/gap002/primary_records.xml"	"Molecular basis of ALK1-mediated signalling by BMP9/BMP10 and their prodomain-bound forms."	"Richard M Salmon; Jingxu Guo; Jennifer H Wood; Zhen Tong; John S Beech; Aleksandra Lawera; Minmin Yu; David J Grainger; Jill Reckless; Nicholas W Morrell; Wei Li"	"2020"	"Nature communications"	"Activin receptor-like kinase 1 (ALK1)-mediated endothelial cell signalling in response to bone morphogenetic protein 9 (BMP9) and BMP10 is of significant importance in cardiovascular disease and cancer. However, detailed molecular mechanisms of ALK1-mediated signalling remain unclear. Here, we report crystal structures of the BMP10:ALK1 complex at 2.3 Å and the prodomain-bound BMP9:ALK1 complex at 3.3 Å. Structural analyses reveal a tripartite recognition mechanism that defines BMP9 and BMP10 specificity for ALK1, and predict that crossveinless 2 is not an inhibitor of BMP9, which is confirmed by experimental evidence. Introduction of BMP10-specific residues into BMP9 yields BMP10-like ligands with diminished signalling activity in C2C12 cells, validating the tripartite mechanism. The loss of osteogenic signalling in C2C12 does not translate into non-osteogenic activity in vivo and BMP10 also induces bone-formation. Collectively, these data provide insight into ALK1-mediated BMP9 and BMP10 signalling, facilitating therapeutic targeting of this important pathway."	"https://pubmed.ncbi.nlm.nih.gov/32238803/"	""
