module	b_edge_id	b_evidence_id	source_kind	support_kind	source_scope	source_locator	species_support	evidence_layer	exportable	confidence_tier	citation_note	evidence_grade	context_level	grading_status	grading_basis	paper_keys	paper_row_count	observation_statuses	claim_statuses	context_basis	limitations
20B	M20B-E005146	M20B-EVID-005146-P2-RELAY-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL3	mouse release scope; exact Try4-F2RL3 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR4 signaling and non-Try4 protease studies were excluded; no terminal TF was inferred.
20B	M20B-E005146	M20B-EVID-005146-P2-FUNC-301	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try4%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try4%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try4%20F2RL3	mouse release scope; exact Try4-F2RL3 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR4 platelet and inflammation studies were not transferred to Try4.
20B	M20B-E005138	M20B-EVID-005138-P2-DIRECT-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2R	mouse release scope; exact Try10-F2R pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin/PAR1 or thrombin/PAR1 studies were not transferred to the Try10 paralog without an exact reagent and assay.
20B	M20B-E005138	M20B-EVID-005138-P2-RELAY-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2R	mouse release scope; exact Try10-F2R pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR1 signaling and non-Try10 protease studies were excluded; no terminal TF was inferred.
20B	M20B-E005138	M20B-EVID-005138-P2-FUNC-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2R; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2R; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2R	mouse release scope; exact Try10-F2R pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR1 and trypsin/PAR2 functional outputs were excluded from this exact paralog pair.
20B	M20B-E005139	M20B-EVID-005139-P2-DIRECT-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL1	mouse release scope; exact Try10-F2RL1 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin, tryptase, or other protease/PAR2 studies were not transferred to Try10 without an exact reagent and assay.
20B	M20B-E005139	M20B-EVID-005139-P2-RELAY-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL1	mouse release scope; exact Try10-F2RL1 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR2 receptor signaling was excluded without exact Try10 attribution; no terminal TF was inferred.
20B	M20B-E005139	M20B-EVID-005139-P2-FUNC-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL1; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL1; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL1	mouse release scope; exact Try10-F2RL1 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic trypsin/PAR2 inflammation, pain, migration, or proliferation studies were not transferred to Try10.
20B	M20B-E005140	M20B-EVID-005140-P2-DIRECT-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL2	mouse release scope; exact Try10-F2RL2 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR3 or trypsin/PAR-family studies were not transferred to Try10 without an exact reagent and assay.
20B	M20B-E005140	M20B-EVID-005140-P2-RELAY-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL2	mouse release scope; exact Try10-F2RL2 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	PAR3 pathway studies and generic protease/PAR signaling were excluded; no terminal TF was inferred.
20B	M20B-E005140	M20B-EVID-005140-P2-FUNC-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL2; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL2; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL2	mouse release scope; exact Try10-F2RL2 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR3 functional evidence was not transferred to Try10.
20B	M20B-E005141	M20B-EVID-005141-P2-DIRECT-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL3	mouse release scope; exact Try10-F2RL3 pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic thrombin/PAR4, trypsin/PAR-family, and platelet studies were not transferred to Try10 without an exact reagent and assay.
20B	M20B-E005141	M20B-EVID-005141-P2-RELAY-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL3	mouse release scope; exact Try10-F2RL3 pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR4 signaling and non-Try10 protease studies were excluded; no terminal TF was inferred.
20B	M20B-E005141	M20B-EVID-005141-P2-FUNC-300	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=Try10%20F2RL3; https://www.ncbi.nlm.nih.gov/pmc/?term=Try10%20F2RL3; https://www.jstor.org/action/doBasicSearch?Query=Try10%20F2RL3	mouse release scope; exact Try10-F2RL3 pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic PAR4 platelet and inflammation studies were not transferred to Try10.
20B	M20B-E005133	M20B-EVID-005133-P2-DIRECT-299	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=transferrin%20LDLR; https://www.ncbi.nlm.nih.gov/pmc/?term=transferrin%20LDLR; https://www.jstor.org/action/doBasicSearch?Query=transferrin%20LDLR	mouse release scope; exact transferrin-LDLR pair not validated	ligand_receptor_or_direct_molecular	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Transferrin receptor 1/2 studies, LDLR-lipoprotein uptake, and artificial LDLR-transferrin fusion constructs were excluded because they do not demonstrate endogenous transferrin-LDLR engagement.
20B	M20B-E005133	M20B-EVID-005133-P2-RELAY-299	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=transferrin%20LDLR; https://www.ncbi.nlm.nih.gov/pmc/?term=transferrin%20LDLR; https://www.jstor.org/action/doBasicSearch?Query=transferrin%20LDLR	mouse release scope; exact transferrin-LDLR pair not validated	receptor_proximal_relay	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	Generic LDLR internalization and transferrin-receptor recycling were not transferred to a nonexistent transferrin-LDLR edge; no terminal TF was inferred.
20B	M20B-E005133	M20B-EVID-005133-P2-FUNC-299	targeted_search_boundary	no_exact_primary_packet	primary_bounded_exact_pair_search	https://pubmed.ncbi.nlm.nih.gov/?term=transferrin%20LDLR; https://www.ncbi.nlm.nih.gov/pmc/?term=transferrin%20LDLR; https://www.jstor.org/action/doBasicSearch?Query=transferrin%20LDLR	mouse release scope; exact transferrin-LDLR pair not validated	downstream_or_functional	false	unresolved	PubMed/PMC/publisher exact-pair searches performed 2026-08-25	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		0			The record is a negative/bounded or boundary record and therefore does not establish context for the exact asserted relationship.	LDLR-dependent LDL/VLDL uptake and transferrin uptake through TfR1 or megalin-cubilin were excluded from this exact edge.
20B	M20B-E005134	M20B-EVID-005134-P2-DIRECT-299	primary_recovery	receptor_complex_component_association_nonexportable	primary_exact_pair_complex_topology_review	PMID:30833328; PMCID:PMC6497946; DOI:10.1074/jbc.RA118.006390; https://pubmed.ncbi.nlm.nih.gov/30833328/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6497946/	mouse and rat kidney; human transferrin reagent	ligand_receptor_or_direct_molecular	false	medium	PMID:30833328; PMCID:PMC6497946; DOI:10.1074/jbc.RA118.006390	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The evidence names a multireceptor complex and uptake route, not an isolated LRP2 ligand-receptor pair; cubilin may provide ligand-binding surfaces and species/iron-state effects alter receptor contribution.
20B	M20B-E005134	M20B-EVID-005134-P2-RELAY-299	primary_recovery	receptor_complex_endocytic_route_nonexportable	primary_exact_pair_complex_topology_review	PMID:30833328; PMCID:PMC6497946; DOI:10.1074/jbc.RA118.006390; https://pubmed.ncbi.nlm.nih.gov/30833328/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6497946/	mouse and rat kidney; cultured proximal-tubule epithelial cells	receptor_proximal_relay	false	medium	PMID:30833328; PMCID:PMC6497946	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	No LRP2 cytoplasmic adaptor, second messenger, kinase, or TF was assigned to the exact transferrin edge; the pathway is complex-mediated and iron-state dependent.
20B	M20B-E005134	M20B-EVID-005134-P2-FUNC-299	primary_recovery	validated_receptor_complex_uptake_function_nonexportable	primary_exact_pair_complex_topology_review	PMID:30833328; PMCID:PMC6497946; DOI:10.1074/jbc.RA118.006390; https://pubmed.ncbi.nlm.nih.gov/30833328/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6497946/	mouse and rat kidney; cultured proximal-tubule epithelial cells	downstream_or_functional	false	medium-high	PMID:30833328; PMCID:PMC6497946	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	This is renal epithelial uptake, not SCI; it does not establish isolated LRP2 binding, an intracellular signaling cascade, or a terminal TF.
20B	M20B-E005130	M20B-EVID-005130-P2-DIRECT-298	primary_recovery	validated_proteolytic_receptor_activation	primary_exact_pair_full_text_and_abstract_review	PMID:9020112; PMID:9354658; DOI:10.1074/jbc.272.7.4043; https://pubmed.ncbi.nlm.nih.gov/9020112/; https://pubmed.ncbi.nlm.nih.gov/9354658/	human mast-cell tryptase; mouse recombinant tryptase/PAR2 comparator	ligand_receptor_or_direct_molecular	false	high	PMID:9020112; PMID:9354658; DOI:10.1074/jbc.272.7.4043	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The evidence is protease-mediated receptor activation rather than noncovalent ligand binding; tryptase preparations/alpha-beta isoform attribution and receptor glycosylation/heparin context are bounded. It does not establish a universal TPSB2-only assignment in mouse SCI.
20B	M20B-E005130	M20B-EVID-005130-P2-RELAY-298	primary_recovery	validated_PAR2_proximal_signal_relay	primary_exact_pair_full_text_and_abstract_review	PMID:9020112; PMID:9354658; DOI:10.1074/jbc.272.7.4043; https://pubmed.ncbi.nlm.nih.gov/9020112/; https://pubmed.ncbi.nlm.nih.gov/9354658/	human; mouse recombinant receptor comparator	receptor_proximal_relay	false	medium-high	PMID:9020112; PMID:9354658	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The studies stop at receptor-proximal second-messenger outputs and do not establish a complete kinase-to-TF cascade or SCI-specific relay. PAR2 activation can be limited by secondary cleavage, glycosylation, and heparin.
20B	M20B-E005130	M20B-EVID-005130-P2-FUNC-298	primary_recovery	validated_PAR2_dependent_mitogenic_function	primary_exact_pair_full_text_and_abstract_review	PMID:9354658; https://pubmed.ncbi.nlm.nih.gov/9354658/	mouse BaF3; COS-1 receptor-expression comparator	downstream_or_functional	false	medium-high	PMID:9354658	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The output is a heterologous hematopoietic-cell assay and does not establish TPSB2-specific function in SCI or a terminal transcription factor. Alpha/beta tryptase isoform attribution remains explicit.
20B	M20B-E005096	M20B-EVID-005096-P2-DIRECT-297	primary_recovery	no_exact_direct_binding	primary_exact_pair_cross_pathway_review	PMID:25229256; DOI:10.1038/ncomms5944; https://pubmed.ncbi.nlm.nih.gov/25229256/; https://www.nature.com/articles/ncomms5944	mouse tumor/corneal models; human endothelial/tumor comparator	ligand_receptor_or_direct_molecular	false	unresolved	PMID:25229256; DOI:10.1038/ncomms5944	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The study supports pathway coupling but not direct molecular engagement; VEGF-C and VEGF-D remain the established FLT4 ligands in this mechanism. No direct TNF-FLT4 assay or purified binding measurement was located.
20B	M20B-E005096	M20B-EVID-005096-P2-RELAY-297	primary_recovery	validated_cross_pathway_relay_nonexportable	primary_exact_pair_cross_pathway_review	PMID:25229256; PMCID:PMC4404838; DOI:10.1038/ncomms5944; https://pubmed.ncbi.nlm.nih.gov/25229256/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4404838/; https://www.nature.com/articles/ncomms5944	mouse; human comparator	receptor_proximal_relay	false	medium	PMID:25229256; PMCID:PMC4404838; DOI:10.1038/ncomms5944	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	This is a two-step cross-cell relay, not receptor-proximal signaling through FLT4 by TNF itself. The in-vitro TNF response of lymphatic endothelial cells was partly VEGFR3-independent, so no single linear relay is inferred.
20B	M20B-E005096	M20B-EVID-005096-P2-FUNC-297	primary_recovery	validated_downstream_dependency_nonexportable	primary_exact_pair_cross_pathway_review	PMID:25229256; PMCID:PMC4404838; DOI:10.1038/ncomms5944; https://pubmed.ncbi.nlm.nih.gov/25229256/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4404838/; https://www.nature.com/articles/ncomms5944	mouse tumor/corneal models; human endothelial comparator	downstream_or_functional	false	medium-high	PMID:25229256; PMCID:PMC4404838; DOI:10.1038/ncomms5944	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.		0			A source or species context is present, but no CNS, spinal-cord, or SCI context is explicitly established.	The output is tumor/corneal lymphangiogenesis rather than SCI; it establishes FLT4-dependent functional coupling downstream of TNFR1 and VEGF-C, not TNF-FLT4 engagement or a terminal TF.
