"module"	"canonical_paper_key"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_abstract"	"source_metadata_url"	"extraction_row_count"	"extraction_ids"
"21B"	"PMCID:PMC3236226; PMID:22174934; PMCID:PMC3382126; PMID:22745786"	"22174934"	""	"10.1371/journal.pone.0028947"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC3236226_article.html"	"Phosphorylation of Akt and ERK1/2 Is Required for VEGF-A/VEGFR2-Induced Proliferation and Migration of Lymphatic Endothelium"	"Michael T Dellinger; Rolf A Brekken"	"2011"	"PLoS ONE"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC3236226/"	"1"	"M21B-P2-R-000012"
"21B"	"PMCID:PMC359352; PMID:7526154; PMCID:PMC230354; PMID:7532278; PMID:8232552; PMID:9461596"	"7526154"	""	"10.1128/mcb.14.12.8133"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC359352_article.html"	"Direct binding to and tyrosine phosphorylation of the alpha subunit of the type I interferon receptor by p135tyk2 tyrosine kinase"	"O Colamonici; H Yan; P Domanski; R Handa; D Smalley; J Mullersman; M Witte; K Krishnan; J Krolewski"	"1994"	"Molecular and Cellular Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC359352/"	"1"	"M21B-P2-R-000002"
"21B"	"PMCID:PMC37478; PMID:11447289; PMCID:PMC124463; PMID:11997436"	"11447289"	""	"10.1073/pnas.161259898"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC37478_article.html"	"Critical role for the docking-protein FRS2α in FGF receptor-mediated signal transduction pathways"	"Y R Hadari; N Gotoh; H Kouhara; I Lax; J Schlessinger"	"2001"	"Proceedings of the National Academy of Sciences of the United States of America"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC37478/"	"1"	"M21B-P2-R-000010"
"21B"	"PMCID:PMC5518483; PMID:18615534; PMID:11771938; DOI:10.1002/cne.21787"	"18615534"	""	"10.1002/cne.21787"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC5518483_article.html"	"Chronically Increased Ciliary Neurotrophic Factor and Fibroblast Growth Factor-2 Expression After Spinal Contusion in Rats"	"Richa B Tripathi; Dana M McTigue"	"2008"	"The Journal of comparative neurology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC5518483/"	"1"	"M21B-P2-R-000017"
"21B"	"PMCID:PMC87113; PMID:11416133; PMCID:PMC2193806; PMID:12538665; PMID:11518704"	"11416133"	""	"10.1128/mcb.21.14.4544-4552.2001"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_PMC87113_article.html"	"Transactivation by the p65 Subunit of NF-κB in Response to Interleukin-1 (IL-1) Involves MyD88, IL-1 Receptor-Associated Kinase 1, TRAF-6, and Rac1"	"Caroline Jefferies; Andrew Bowie; Gareth Brady; Emma-Louise Cooke; Xiaoxia Li; Luke A J O'Neill"	"2001"	"Molecular and Cellular Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC87113/"	"1"	"M21B-P2-R-000005"
"22B"	"PMCID:PMC2430079; PMID:18314002; PMID:10092624; DOI:10.1016/j.bone.2008.01.006; DOI:10.1074/jbc.274.14.9431"	"18314002"	""	"10.1016/j.bone.2008.01.006"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC2430079_SMAD_CTGF.html"	"Molecular Requirements for Induction of CTGF Expression by TGF-β1 in Primary Osteoblasts"	"J A Arnott; X Zhang; A Sanjay; T A Owen; S L Smock; S Rehman; WG DeLong; FF Safadi; SN Popoff"	"2008"	"Bone"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC2430079/"	"1"	"M22B-P2-R-000026-R098"
"22B"	"PMCID:PMC290274; PMID:14627821; DOI:10.1093/nar/gkg907; PMID:9129017"	"14627821"	""	"10.1093/nar/gkg907"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch076_PMC290274_CIS.html"	"Chromatin acetylation and remodeling at the Cis promoter during STAT5-induced transcription"	"Anne Rascle; Emma Lees"	"2003"	"Nucleic Acids Research"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC290274/"	"1"	"M22B-P2-R-RECOVERY-STAT5-CISH-000001"
"22B"	"PMCID:PMC290274; PMID:14627821; PMID:9129017; DOI:10.1093/nar/gkg907"	"14627821"	""	"10.1093/nar/gkg907"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch076_PMC290274_CIS.html"	"Chromatin acetylation and remodeling at the Cis promoter during STAT5-induced transcription"	"Anne Rascle; Emma Lees"	"2003"	"Nucleic Acids Research"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC290274/"	"1"	"M22B-P2-R-000006-R096"
"22B"	"PMCID:PMC3745357; PMID:17234586; PMCID:PMC2804479; PMID:19812345"	"19812345"	""	"10.1523/jneurosci.1166-09.2009"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_batch045_PMC2804479_aspartate_NMDAR_CREB.html"	"Autocrine Activation of Neuronal NMDA Receptors by Aspartate Mediates Dopamine- and cAMP-Induced CREB-Dependent Gene Transcription"	"Luis E F Almeida; Peter D Murray; H Ronald Zielke; Clinton D Roby; Tami J Kingsbury; Bruce K Krueger"	"2009"	"The Journal of Neuroscience"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC2804479/"	"1"	"M22B-P2-R-000359"
"22B"	"PMCID:PMC7044735; PMID:31915257; DOI:10.1523/JNEUROSCI.0367-19.2019; PMID:9390517; DOI:10.1016/S0896-6273(00)80395-5"	"31915257"	""	"10.1523/jneurosci.0367-19.2019"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_B22B_PMC7044735_BDNF_CREB.html"	"CREB Family Transcription Factors Are Major Mediators of BDNF Transcriptional Autoregulation in Cortical Neurons"	"Eli-Eelika Esvald; Jürgen Tuvikene; Alex Sirp; Sudarshan Patil; Clive R Bramham; Tõnis Timmusk"	"2020"	"The Journal of Neuroscience"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC7044735/"	"1"	"M22B-P2-R-000137-R094"
"23B"	"DOI:10.1083/jcb.200602043; PMCID:PMC2064262; PMID:16908672; PMID:8175719; PMID:9749725"	"16908672"	"PMC2064262"	"10.1083/jcb.200602043"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B055_pmc2064262_ptn_sdc3_full.xml"	"N-syndecan deficiency impairs neural migration in brain"	"Anni Hienola; Sarka Tumova; Evgeny Kulesskiy; Heikki Rauvala"	"2006"	""	"N-syndecan (syndecan-3) is a transmembrane proteoglycan that is abundantly expressed in the major axonal pathways and in the migratory routes of the developing brain. When ligated by heparin-binding (HB) growth-associated molecule (GAM; pleiotrophin), N-syndecan mediates cortactin–Src kinase-dependent neurite outgrowth. However, the functional role of N-syndecan in brain development remains unexplored. In this study, we show that N-syndecan deficiency perturbs the laminar structure of the cerebral cortex as a result of impaired radial migration. In addition, neural migration in the rostral migratory stream is impaired in the N-syndecan–null mice. We suggest that the migration defect depends on impaired HB-GAM–induced Src kinase activation and haptotactic migration. Furthermore, we show that N-syndecan interacts with EGF receptor (EGFR) at the plasma membrane and is required in EGFR-induced neuronal migration."	"https://pubmed.ncbi.nlm.nih.gov/16908672/"	"1"	"M23B-P2-R-000280"
"23B"	"DOI:10.1091/mbc.E11-02-0099; PMCID:PMC3183016; PMID:21813734; PMID:33784491"	"21813734"	"PMC3183016"	"10.1091/mbc.e11-02-0099"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B059_pmc3183016_sdc2_ptprj_full.xml"	"Syndecan-2 is a novel ligand for the protein tyrosine phosphatase receptor CD148"	"James R. Whiteford; Xiaojie Xian; Claire Chaussade; Bart Vanhaesebroeck; Sussan Nourshargh; John R. Couchman"	"2011"	""	"The proteoglycan syndecan-2 is a novel ligand for the tyrosine phosphatase receptor CD148, an interaction that stimulates a signaling pathway leading to integrin-mediated cell adhesion. The pathway involves SRC and PI3 kinases and is an example of cell surface receptor cross-talk influencing integrin-mediated cellular processes. Syndecan-2 is a heparan sulfate proteoglycan that has a cell adhesion regulatory domain contained within its extracellular core protein. Cell adhesion to the syndecan-2 extracellular domain (S2ED) is β1 integrin dependent; however, syndecan-2 is not an integrin ligand. Here the protein tyrosine phosphatase receptor CD148 is shown to be a key intermediary in cell adhesion to S2ED, with downstream β1 integrin–mediated adhesion and cytoskeletal organization. We show that S2ED is a novel ligand for CD148 and identify the region proximal to the transmembrane domain of syndecan-2 as the site of interaction with CD148. A mechanism for the transduction of the signal from CD148 to β1 integrins is elucidated requiring Src kinase and potential implication of the C2β isoform of phosphatidylinositol 3 kinase. Our data uncover a novel pathway for β1 integrin–mediated adhesion of importance in cellular processes such as angiogenesis and inflammation."	"https://pubmed.ncbi.nlm.nih.gov/21813734/"	"1"	"M23B-P2-R-000296"
"23B"	"DOI:10.1152/ajpcell.00240.2001; PMID:11832328; PMID:6313159"	"11832328"	""	"10.1152/ajpcell.00240.2001"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B034_v1a_pmid.xml"	"Vasopressin-mediated mitogenic signaling in intestinal epithelial cells."	"Terence Chiu; Steven S Wu; Chintda Santiskulvong; Pisit Tangkijvanich; Hal F Yee; Enrique Rozengurt"	"2002"	"American journal of physiology. Cell physiology"	"The role of G protein-coupled receptors and their ligands in intestinal epithelial cell signaling and proliferation is poorly understood. Here, we demonstrate that arginine vasopressin (AVP) induces multiple intracellular signal transduction pathways in rat intestinal epithelial IEC-18 cells via a V(1A) receptor. Addition of AVP to these cells induces a rapid and transient increase in cytosolic Ca(2+) concentration and promotes protein kinase D (PKD) activation through a protein kinase C (PKC)-dependent pathway, as revealed by in vitro kinase assays and immunoblotting with an antibody that recognizes autophosphorylated PKD at Ser(916). AVP also stimulates the tyrosine phosphorylation of the nonreceptor tyrosine kinase proline-rich tyrosine kinase 2 (Pyk2) and promotes Src family kinase phosphorylation at Tyr(418), indicative of Src activation. AVP induces extracellular signal-related kinase (ERK)-1 (p44(mapk)) and ERK-2 (p42(mapk)) activation, a response prevented by treatment with mitogen-activated protein kinase kinase (MEK) inhibitors (PD-98059 and U-0126), specific PKC inhibitors (GF-I and Ro-31-8220), depletion of Ca(2+) (EGTA and thapsigargin), selective epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (tyrphostin AG-1478, compound 56), or the selective Src family kinase inhibitor PP-2. Furthermore, AVP acts as a potent growth factor for IEC-18 cells, inducing DNA synthesis and cell proliferation through ERK-, Ca(2+)-, PKC-, EGFR tyrosine kinase-, and Src-dependent pathways."	"https://pubmed.ncbi.nlm.nih.gov/11832328/"	"1"	"M23B-P2-R-000185"
"23B"	"PMCID:PMC1299195; PMID:17030621; PMCID:PMC1800645; PMID:23844194; PMCID:PMC3699556; DOI:10.1128/MCB.00899-06; DOI:10.1371/journal.pone.0068394"	"17030621"	""	"10.1128/mcb.00899-06"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B040_hsp90_src_full.html"	"Loss of Hsp90 Association Up-Regulates Src-Dependent ErbB2 Activity"	"Wanping Xu; Xitong Yuan; Kristin Beebe; Zhexin Xiang; Len Neckers"	"2006"	"Molecular and Cellular Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC1800645/"	"1"	"M23B-P2-R-000210"
"23B"	"PMCID:PMC1885470; PMID:17485492; PMID:10640397; DOI:10.1083/jcb.200610076; DOI:10.1006/abbi.1999.1607"	"17485492"	""	"10.1083/jcb.200610076"	"resolved_authoritative_local_artifact"	"one metadata-bearing local artifact record matched one PMID already explicit in canonical_paper_key"	"data/raw/evidence/module20_24_supervised_cli_phase2/retry_C23B_batch062_PMC1885470_FN1_SDC4.html"	"Syndecan-4–dependent Rac1 regulation determines directional migration in response to the extracellular matrix"	"Mark D Bass; Kirsty A Roach; Mark R Morgan; Zohreh Mostafavi-Pour; Tobias Schoen; Takashi Muramatsu; Ulrike Mayer; Christoph Ballestrem; Joachim P Spatz; Martin J Humphries"	"2007"	"The Journal of Cell Biology"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC1885470/"	"1"	"M23B-P2-R-RECOVERY-FN1-SDC4-RAC1-000001"
