"identifier_type"	"identifier_value"	"canonical_identifier"	"resolved_pmid"	"resolved_pmcid"	"resolved_doi"	"resolution_status"	"resolution_basis"	"authoritative_source"	"source_metadata_title"	"source_metadata_authors"	"source_metadata_year"	"source_metadata_journal"	"source_metadata_url"	"resolution_reason"
"DOI"	"10.1016/j.cell.2021.10.016"	"DOI:10.1016/j.cell.2021.10.016"	"34758294"	"PMC8620742"	"10.1016/j.cell.2021.10.016"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"RTN4/NoGo-receptor binding to BAI adhesion-GPCRs regulates neuronal development."	"Wang J; Miao Y; Wicklein R; Sun Z; Wang J; Jude KM; Fernandes RA; Merrill SA; Wernig M; Garcia KC; Südhof TC"	"2021"	"Cell"	"https://pubmed.ncbi.nlm.nih.gov/34758294/"	""
"DOI"	"10.1016/j.cellsig.2007.07.023"	"DOI:10.1016/j.cellsig.2007.07.023"	"17804197"	""	"10.1016/j.cellsig.2007.07.023"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Wnt5a promotes adhesion of human dermal fibroblasts by triggering a phosphatidylinositol-3 kinase/Akt signal."	"Kawasaki A; Torii K; Yamashita Y; Nishizawa K; Kanekura K; Katada M; Ito M; Nishimoto I; Terashita K; Aiso S; Matsuoka M"	"2007"	"Cellular signalling"	"https://pubmed.ncbi.nlm.nih.gov/17804197/"	""
"DOI"	"10.1016/j.chembiol.2009.08.012"	"DOI:10.1016/j.chembiol.2009.08.012"	"19778727"	"PMC2788794"	"10.1016/j.chembiol.2009.08.012"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The platelet integrin alphaIIbbeta3 binds to the RGD and AGD motifs in fibrinogen."	"Sánchez-Cortés J; Mrksich M"	"2009"	"Chemistry & biology"	"https://pubmed.ncbi.nlm.nih.gov/19778727/"	""
"DOI"	"10.1016/j.cyto.2019.154872"	"DOI:10.1016/j.cyto.2019.154872"	"31627033"	""	"10.1016/j.cyto.2019.154872"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"LGI3 is secreted and binds to ADAM22 via TRIF-dependent NF-κB pathway in response to LPS in human keratinocytes."	"Lee SH; Kwon NS; Baek KJ; Yun HY; Kim DS"	"2020"	"Cytokine"	"https://pubmed.ncbi.nlm.nih.gov/31627033/"	""
"DOI"	"10.1016/j.dnarep.2014.08.006"	"DOI:10.1016/j.dnarep.2014.08.006"	"25263164"	"PMC4252795"	"10.1016/j.dnarep.2014.08.006"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Nicotinamide phosphoribosyltransferase can affect metastatic activity and cell adhesive functions by regulating integrins in breast cancer."	"Santidrian AF; LeBoeuf SE; Wold ED; Ritland M; Forsyth JS; Felding BH"	"2014"	"DNA repair"	"https://pubmed.ncbi.nlm.nih.gov/25263164/"	""
"DOI"	"10.1016/j.expneurol.2022.114264"	"DOI:10.1016/j.expneurol.2022.114264"	"36336030"	""	"10.1016/j.expneurol.2022.114264"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Glial scar survives until the chronic phase by recruiting scar-forming astrocytes after spinal cord injury."	"Tamaru T; Kobayakawa K; Saiwai H; Konno D; Kijima K; Yoshizaki S; Hata K; Iura H; Ono G; Haruta Y; Kitade K; Iida KI; Kawaguchi KI; Matsumoto Y; Kubota K; Maeda T; Okada S; Nakashima Y"	"2023"	"Experimental neurology"	"https://pubmed.ncbi.nlm.nih.gov/36336030/"	""
"DOI"	"10.1016/j.imlet.2009.07.009"	"DOI:10.1016/j.imlet.2009.07.009"	"19643138"	""	"10.1016/j.imlet.2009.07.009"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Over-expression of integrin beta3 can partially overcome the defect of integrin beta3 signaling in transglutaminase 2 null macrophages."	"Tóth B; Sarang Z; Vereb G; Zhang A; Tanaka S; Melino G; Fésüs L; Szondy Z"	"2009"	"Immunology letters"	"https://pubmed.ncbi.nlm.nih.gov/19643138/"	""
"DOI"	"10.1016/j.immuni.2007.03.011"	"DOI:10.1016/j.immuni.2007.03.011"	"17442598"	"PMC4080624"	"10.1016/j.immuni.2007.03.011"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Complete identification of E-selectin ligands on neutrophils reveals distinct functions of PSGL-1, ESL-1, and CD44."	"Hidalgo A; Peired AJ; Wild M; Vestweber D; Frenette PS"	"2007"	"Immunity"	"https://pubmed.ncbi.nlm.nih.gov/17442598/"	""
"DOI"	"10.1016/j.immuni.2008.10.008"	"DOI:10.1016/j.immuni.2008.10.008"	"19027330"	"PMC2615553"	"10.1016/j.immuni.2008.10.008"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"PlexinD1 glycoprotein controls migration of positively selected thymocytes into the medulla."	"Choi YI; Duke-Cohan JS; Ahmed WB; Handley MA; Mann F; Epstein JA; Clayton LK; Reinherz EL"	"2008"	"Immunity"	"https://pubmed.ncbi.nlm.nih.gov/19027330/"	""
"DOI"	"10.1016/j.jacbts.2025.05.003"	"DOI:10.1016/j.jacbts.2025.05.003"	"40772900"	"PMC12665495"	"10.1016/j.jacbts.2025.05.003"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Inhibition of Scarb1 on Endothelial Cells Attenuates Pressure Overload-Induced Heart Failure Progression."	"Katsuki T; Kusumoto D; Akiba Y; Kimura M; Komuro J; Nakamura T; Hashimoto H; Kouka T; Sugai K; Katsumata Y; Miyasaka M; Suzuki Y; Kuramoto J; Kubota Y; Fukuda K; Yuasa S; Ieda M"	"2025"	"JACC. Basic to translational science"	"https://pubmed.ncbi.nlm.nih.gov/40772900/"	""
"DOI"	"10.1016/j.molcel.2017.10.003"	"DOI:10.1016/j.molcel.2017.10.003"	"29100055"	"PMC5690536"	"10.1016/j.molcel.2017.10.003"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Extracellular ISG15 Signals Cytokine Secretion through the LFA-1 Integrin Receptor."	"Swaim CD; Scott AF; Canadeo LA; Huibregtse JM"	"2017"	"Molecular cell"	"https://pubmed.ncbi.nlm.nih.gov/29100055/"	""
"DOI"	"10.1016/j.nbd.2018.04.014"	"DOI:10.1016/j.nbd.2018.04.014"	"29705186"	"PMC5995671"	"10.1016/j.nbd.2018.04.014"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Fibronectin EDA forms the chronic fibrotic scar after contusive spinal cord injury."	"Cooper JG; Jeong SJ; McGuire TL; Sharma S; Wang W; Bhattacharyya S; Varga J; Kessler JA"	"2018"	"Neurobiology of disease"	"https://pubmed.ncbi.nlm.nih.gov/29705186/"	""
"DOI"	"10.1016/j.neuron.2014.12.057"	"DOI:10.1016/j.neuron.2014.12.057"	"25695270"	"PMC4335265"	"10.1016/j.neuron.2014.12.057"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The adhesion GPCR GPR126 has distinct, domain-dependent functions in Schwann cell development mediated by interaction with laminin-211."	"Petersen SC; Luo R; Liebscher I; Giera S; Jeong SJ; Mogha A; Ghidinelli M; Feltri ML; Schöneberg T; Piao X; Monk KR"	"2015"	"Neuron"	"https://pubmed.ncbi.nlm.nih.gov/25695270/"	""
"DOI"	"10.1016/j.str.2009.07.018"	"DOI:10.1016/j.str.2009.07.018"	"19836338"	"PMC2832735"	"10.1016/j.str.2009.07.018"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Structural plasticity of eph receptor A4 facilitates cross-class ephrin signaling."	"Bowden TA; Aricescu AR; Nettleship JE; Siebold C; Rahman-Huq N; Owens RJ; Stuart DI; Jones EY"	"2009"	"Structure (London, England : 1993)"	"https://pubmed.ncbi.nlm.nih.gov/19836338/"	""
"DOI"	"10.1016/j.yexcr.2003.09.011"	"DOI:10.1016/j.yexcr.2003.09.011"	"14697347"	""	"10.1016/j.yexcr.2003.09.011"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The opsonin MFG-E8 is a ligand for the alphavbeta5 integrin and triggers DOCK180-dependent Rac1 activation for the phagocytosis of apoptotic cells."	"Akakura S; Singh S; Spataro M; Akakura R; Kim JI; Albert ML; Birge RB"	"2004"	"Experimental cell research"	"https://pubmed.ncbi.nlm.nih.gov/14697347/"	""
"DOI"	"10.1016/s0092-8674(00)80062-8"	"DOI:10.1016/s0092-8674(00)80062-8"	"10520994"	""	"10.1016/s0092-8674(00)80062-8"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Plexin-neuropilin-1 complexes form functional semaphorin-3A receptors."	"Takahashi T; Fournier A; Nakamura F; Wang LH; Murakami Y; Kalb RG; Fujisawa H; Strittmatter SM"	"1999"	"Cell"	"https://pubmed.ncbi.nlm.nih.gov/10520994/"	""
"DOI"	"10.1016/s0092-8674(00)80438-9"	"DOI:10.1016/s0092-8674(00)80438-9"	"9390561"	""	"10.1016/s0092-8674(00)80438-9"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Identification and molecular characterization of fractalkine receptor CX3CR1, which mediates both leukocyte migration and adhesion."	"Imai T; Hieshima K; Haskell C; Baba M; Nagira M; Nishimura M; Kakizaki M; Takagi S; Nomiyama H; Schall TJ; Yoshie O"	"1997"	"Cell"	"https://pubmed.ncbi.nlm.nih.gov/9390561/"	""
"DOI"	"10.1016/s0092-8674(00)80545-0"	"DOI:10.1016/s0092-8674(00)80545-0"	"10025398"	""	"10.1016/s0092-8674(00)80545-0"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The integrin alpha v beta 6 binds and activates latent TGF beta 1: a mechanism for regulating pulmonary inflammation and fibrosis."	"Munger JS; Huang X; Kawakatsu H; Griffiths MJ; Dalton SL; Wu J; Pittet JF; Kaminski N; Garat C; Matthay MA; Rifkin DB; Sheppard D"	"1999"	"Cell"	"https://pubmed.ncbi.nlm.nih.gov/10025398/"	""
"DOI"	"10.1016/s1074-7613(01)00111-x"	"DOI:10.1016/s1074-7613(01)00111-x"	"11290339"	""	"10.1016/s1074-7613(01)00111-x"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"CD91 is a common receptor for heat shock proteins gp96, hsp90, hsp70, and calreticulin."	"Basu S; Binder RJ; Ramalingam T; Srivastava PK"	"2001"	"Immunity"	"https://pubmed.ncbi.nlm.nih.gov/11290339/"	""
"DOI"	"10.1016/s1097-2765(00)80003-9"	"DOI:10.1016/s1097-2765(00)80003-9"	"9659899"	""	"10.1016/s1097-2765(00)80003-9"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The discoidin domain receptor tyrosine kinases are activated by collagen."	"Vogel W; Gish GD; Alves F; Pawson T"	"1997"	"Molecular cell"	"https://pubmed.ncbi.nlm.nih.gov/9659899/"	""
"DOI"	"10.1016/s1097-2765(00)80004-0"	"DOI:10.1016/s1097-2765(00)80004-0"	"9659900"	""	"10.1016/s1097-2765(00)80004-0"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"An orphan receptor tyrosine kinase family whose members serve as nonintegrin collagen receptors."	"Shrivastava A; Radziejewski C; Campbell E; Kovac L; McGlynn M; Ryan TE; Davis S; Goldfarb MP; Glass DJ; Lemke G; Yancopoulos GD"	"1997"	"Molecular cell"	"https://pubmed.ncbi.nlm.nih.gov/9659900/"	""
"DOI"	"10.1021/bi036208p"	"DOI:10.1021/bi036208p"	"15182176"	""	"10.1021/bi036208p"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Two apolipoprotein E mimetic peptides, ApoE(130-149) and ApoE(141-155)2, bind to LRP1."	"Croy JE; Brandon T; Komives EA"	"2004"	"Biochemistry"	"https://pubmed.ncbi.nlm.nih.gov/15182176/"	""
"DOI"	"10.1038/77835"	"DOI:10.1038/77835"	"11248808"	""	"10.1038/77835"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"CD91: a receptor for heat shock protein gp96."	"Binder RJ; Han DK; Srivastava PK"	"2000"	"Nature immunology"	"https://pubmed.ncbi.nlm.nih.gov/11248808/"	""
"DOI"	"10.1038/nature01037"	"DOI:10.1038/nature01037"	"12374982"	""	"10.1038/nature01037"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Class IV semaphorin Sema4A enhances T-cell activation and interacts with Tim-2."	"Kumanogoh A; Marukawa S; Suzuki K; Takegahara N; Watanabe C; Ch'ng E; Ishida I; Fujimura H; Sakoda S; Yoshida K; Kikutani H"	"2002"	"Nature"	"https://pubmed.ncbi.nlm.nih.gov/12374982/"	""
"DOI"	"10.1038/nature09874"	"DOI:10.1038/nature09874"	"21460838"	""	"10.1038/nature09874"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Ephrin Bs are essential components of the Reelin pathway to regulate neuronal migration."	"Sentürk A; Pfennig S; Weiss A; Burk K; Acker-Palmer A"	"2011"	"Nature"	"https://pubmed.ncbi.nlm.nih.gov/21460838/"	""
"DOI"	"10.1038/ncomms1524"	"DOI:10.1038/ncomms1524"	"22045000"	"PMC3356570"	"10.1038/ncomms1524"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"CD91-dependent programming of T-helper cell responses following heat shock protein immunization."	"Pawaria S; Binder RJ"	"2011"	"Nature communications"	"https://pubmed.ncbi.nlm.nih.gov/22045000/"	""
"DOI"	"10.1038/ncomms5710"	"DOI:10.1038/ncomms5710"	"25134989"	"PMC4143930"	"10.1038/ncomms5710"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Toll-like receptor 4 and MAIR-II/CLM-4/LMIR2 immunoreceptor regulate VLA-4-mediated inflammatory monocyte migration."	"Totsuka N; Kim YG; Kanemaru K; Niizuma K; Umemoto E; Nagai K; Tahara-Hanaoka S; Nakahasi-Oda C; Honda S; Miyasaka M; Shibuya K; Shibuya A"	"2014"	"Nature communications"	"https://pubmed.ncbi.nlm.nih.gov/25134989/"	""
"DOI"	"10.1038/ncomms6335"	"DOI:10.1038/ncomms6335"	"25359101"	""	"10.1038/ncomms6335"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Biologically inspired pteridine redox centres for rechargeable batteries."	"Hong J; Lee M; Lee B; Seo DH; Park CB; Kang K"	"2014"	"Nature communications"	"https://pubmed.ncbi.nlm.nih.gov/25359101/"	""
"DOI"	"10.1038/ncomms6423"	"DOI:10.1038/ncomms6423"	"25394468"	""	"10.1038/ncomms6423"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Structural basis for LAR-RPTP/Slitrk complex-mediated synaptic adhesion."	"Um JW; Kim KH; Park BS; Choi Y; Kim D; Kim CY; Kim SJ; Kim M; Ko JS; Lee SG; Choii G; Nam J; Heo WD; Kim E; Lee JO; Ko J; Kim HM"	"2014"	"Nature communications"	"https://pubmed.ncbi.nlm.nih.gov/25394468/"	""
"DOI"	"10.1038/nn2051"	"DOI:10.1038/nn2051"	"18278043"	""	"10.1038/nn2051"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Robo2-Slit1 dependent cell-cell interactions mediate assembly of the trigeminal ganglion."	"Shiau CE; Lwigale PY; Das RM; Wilson SA; Bronner-Fraser M"	"2008"	"Nature neuroscience"	"https://pubmed.ncbi.nlm.nih.gov/18278043/"	""
"DOI"	"10.1038/s41388-018-0297-x"	"DOI:10.1038/s41388-018-0297-x"	"29769618"	""	"10.1038/s41388-018-0297-x"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Inhibitor of apoptosis proteins (IAPs) mediate collagen type XI alpha 1-driven cisplatin resistance in ovarian cancer."	"Rada M; Nallanthighal S; Cha J; Ryan K; Sage J; Eldred C; Ullo M; Orsulic S; Cheon DJ"	"2018"	"Oncogene"	"https://pubmed.ncbi.nlm.nih.gov/29769618/"	""
"DOI"	"10.1038/s41388-025-03569-9"	"DOI:10.1038/s41388-025-03569-9"	"40973793"	""	"10.1038/s41388-025-03569-9"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Cancer-associated fibroblasts drive lung adenocarcinoma progression via THBS2-mediated epithelial-mesenchymal transition."	"Ren Y; Ming R; Zuo A; Liu S; Ba Y; Zhang Y; Chen Y; Pan T; Luo P; Cheng Q; Deng J; Yue Y; Xu H; Weng S; Han X; Zhou D; Liu Z"	"2025"	"Oncogene"	"https://pubmed.ncbi.nlm.nih.gov/40973793/"	""
"DOI"	"10.1038/s41467-022-29580-2"	"DOI:10.1038/s41467-022-29580-2"	"35413960"	"PMC9005620"	"10.1038/s41467-022-29580-2"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"The crystal structure of iC3b-CR3 αI reveals a modular recognition of the main opsonin iC3b by the CR3 integrin receptor."	"Fernández FJ; Santos-López J; Martínez-Barricarte R; Querol-García J; Martín-Merinero H; Navas-Yuste S; Savko M; Shepard WE; Rodríguez de Córdoba S; Vega MC"	"2022"	"Nature communications"	"https://pubmed.ncbi.nlm.nih.gov/35413960/"	""
"DOI"	"10.1038/sj.jid.5700505"	"DOI:10.1038/sj.jid.5700505"	"16917494"	""	"10.1038/sj.jid.5700505"	"resolved_authoritative_ncbi"	"exact PubMed DOI-field search with matching PubMed article DOI"	"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi"	"Integrin alpha3beta1-dependent activation of FAK/Src regulates Rac1-mediated keratinocyte polarization on laminin-5."	"Choma DP; Milano V; Pumiglia KM; DiPersio CM"	"2007"	"The Journal of investigative dermatology"	"https://pubmed.ncbi.nlm.nih.gov/16917494/"	""
