evidence_item_id	review_id	pair_key	pair_label	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M20A-MEDHIGH001-EVID-0012	M20A-EXT-2605	npy npy1r	Npy Npy1r	primary_literature_recovery	PMID:38882210; DOI:10.1002/mco2.565; PMID:2153577; DOI:10.1016/0014-5793(90)80069-u; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPW_NPY_selected_primary_records.xml	direct_NPY_NPY1R_binding_and_activation	human receptor constructs; human neuroblastoma cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NPY bound and activated Y1R/NPY1R in structural and cellular assays.	Direct NPY-NPY1R binding/activation.	Engineered receptor and SK-N-MC cellular models; no SCI-specific receiver-cell assay. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0013	M20A-EXT-2606	npy npy2r	Npy Npy2r	primary_literature_recovery	PMID:38882210; DOI:10.1002/mco2.565; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPW_NPY_selected_primary_records.xml	direct_NPY_NPY2R_binding_and_activation	human receptor constructs; mammalian cell assays	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Cryo-EM and cell assays resolved NPY binding/activation at Y2R/NPY2R.	Direct NPY-NPY2R binding/activation.	Recombinant receptor systems; native SCI-cell binding not tested. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0014	M20A-EXT-2607	npy npy5r	Npy Npy5r	primary_literature_recovery	PMID:8824284; PMID:18457425; DOI:10.1016/S0014-2999(08)00275-6; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NPW_NPY_selected_primary_records.xml	direct_NPY_NPY5R_binding_and_recognition	rat; human receptor constructs	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Rat and human Y5R/NPY5R bound NPY with high affinity; mutagenesis identified NPY-Y5R contact determinants.	Direct NPY-NPY5R binding/recognition.	Related NPY-family ligands and receptor mutants provide selectivity context; native SCI relevance unresolved. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0015	M20A-EXT-2630	ntf3 ntrk3	Ntf3 Ntrk3	primary_literature_recovery	PMID:8752100; PMID:8621424; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NTF3_NTF5_selected_primary_records.xml	direct_NTF3_NTRK3_activation	rat; human NT-3; engineered systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NT-3 activated TrkC/NTRK3 in rat hippocampal neurons and is the preferred cognate branch.	Direct preferred NT-3/TrkC activation.	Non-preferred TrkB activation kept separate. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0016	M20A-EXT-2632	ntf5 ntrk2	Ntf5 Ntrk2	primary_literature_recovery	PMID:7595513; PMID:9728915; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_NTF3_NTF5_selected_primary_records.xml	direct_NTF5_NTRK2_activation	rat; mouse; human neuroblastoma	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	NT-4/5 bound and activated TrkB/NTRK2 in primary neurons and TrkB-mutant systems.	Direct NT-4/5/TrkB activation.	NT-4/5 nomenclature and TrkB/p75 context retained. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0017	M20A-EXT-2670	oxt oxtr	Oxt Oxtr	primary_literature_recovery	PMID:23723434; PMCID:PMC3716315; DOI:10.1124/jpet.113.202994; PMID:20663860; PMCID:PMC2923666; DOI:10.1158/1541-7786.MCR-09-0329; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_OXT_AVPR_crossreactivity_primary_records.xml	 direct_OXT_OXTR_binding_and_activation	mouse OXTR constructs; human prostate cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Oxytocin bound mouse OXTR with highest affinity among tested mouse OT/AVP receptors and activated OXTR in transfected cells; OXT/OXTR were expressed in human prostate-cell models.	Direct OXT-OXTR binding and activation.	Mouse receptor pharmacology and prostate-cell expression are distinct contexts; no claim that all OXT outputs are OXTR-exclusive. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0018	M20A-EXT-2772	pnoc oprl1	Pnoc Oprl1	primary_literature_recovery	PMID:9261564; DOI:10.1038/cr.1997.8; PMID:9413015; DOI:10.1016/S0143-4179(97)90032-9; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PLG_PLGRKT_PNOC_OPRL1_primary_records.xml	direct_PNOC_OPRL1_binding	human neuroblastoma; hamster CHO-ORL1; guinea-pig brain membranes	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Primary ORL1/OPRL1 receptor pharmacology and ligand-binding records.	Processed PNOC-derived nociceptin/orphanin FQ bound ORL1/OPRL1 in radioligand assays and activated the receptor in human neuroblastoma, CHO-ORL1, and brain-membrane systems.	The direct ligand is processed nociceptin/orphanin FQ rather than unprocessed PNOC precursor; receptor nomenclature ORL1/NOP/OPRL1 is retained. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0019	M20A-EXT-2809	prlh prlhr	Prlh Prlhr	primary_literature_recovery	PMID:11030716; PMCID:PMC1572376; DOI:10.1038/sj.bjp.0703617; PMID:9607765; DOI:10.1038/30515; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PRL_PRLHR_PROC_primary_records.xml	direct_PrRP_PRLHR_binding	human HEK293-GPR10 cells; human and bovine ligand/receptor discovery systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Radiolabeled PrRP bound GPR10/PRLHR with saturable high-affinity binding, and the original discovery identified PrRP as the endogenous ligand for the orphan receptor.	The ligand is mature processed PrRP rather than unprocessed Prlh precursor; GPR10/PRLHR nomenclature and assay-specific affinity states remain explicit.	Full-length precursor binding was not separately tested. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0020	M20A-EXT-2856	pth pth2r	Pth Pth2r	primary_literature_recovery	PMID:8770894; DOI:10.1210/endo.137.7.8770894; PMID:10465299; DOI:10.1210/endo.140.9.6950; PMID:7797535; DOI:10.1074/jbc.270.26.15455; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PTH_PTHLH_PTH2R_primary_records.xml	direct_PTH_PTH2R_binding_activation	human recombinant PTH2R and human hPTH2R-expressing cells	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PTH-(1-34) bound and activated recombinant human PTH2R; photoaffinity studies identified PTH-contact domains on the receptor.	PTH is the mature peptide ligand; recombinant receptor assays do not establish a universal tissue-specific response.	No universal tissue context or terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0021	M20A-EXT-2867	pth2 pth2r	Pth2 Pth2r	primary_literature_recovery	PMID:8770894; DOI:10.1074/jbc.271.31.18839; PMID:10854439; DOI:10.1074/jbc.M001503200; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_PTH2_PTH2R_primary_records.xml	direct_TIP39_PTH2R_binding	human recombinant PTH2R and mammalian peptide systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	TIP39/PTH2 bound recombinant PTH2 receptor with high selectivity and activated the stably expressed receptor; N-terminal truncation altered PTH2R/PTH1R selectivity.	TIP39 is the mature peptide ligand; N-terminal composition controls receptor selectivity and cross-reactivity.	Full-length precursor processing was not separately modeled. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0022	M20A-EXT-2910	qrfp qrfpr	Qrfp Qrfpr	primary_literature_recovery	PMID:16648250; PMCID:PMC1464357; DOI:10.1073/pnas.0602371103; PMID:20308530; DOI:10.1210/en.2009-1478; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_QRFP_QRFPR_primary_records.xml	direct_QRFP_26RFa_GPR103_binding_activation	rat, mouse, and chicken recombinant GPR103 systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Purified QRFP bound and activated human and mouse GPR103 receptors with nanomolar affinity; avian 26RFa activated chicken GPR103 with intracellular Ca2+ signaling.	QRFP/26RFa processing and receptor paralog/species context differ across models.	No universal tissue output or terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0023	M20A-EXT-2931	rln1 rxfp1	Rln1 Rxfp1	primary_literature_recovery	PMID:17425335; DOI:10.1021/bi700238h; PMID:15956680; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_RLN_RXFP_primary_records.xml	direct_mouse_relaxin_RXFP1_engagement	mouse relaxin; mouse, rat, and human RXFP1 orthologs	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Chemically synthesized mouse relaxin bound human, mouse, and rat RXFP1/LGR7 with high affinity; mouse and rat LGR7 were cloned and activated by relaxin ligands.	Mouse-relaxin form and ortholog-specific binding are retained; no SCI-cell model is implied.	No universal relay or terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0024	M20A-EXT-2946	rln3 rxfp1	Rln3 Rxfp1	primary_literature_recovery	PMID:19416155; DOI:10.1111/j.1749-6632.2008.03790.x; PMID:22187146; DOI:10.1007/s00726-011-1164-z; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_RLN_RXFP_primary_records.xml	direct_relaxin3_RXFP1_binding_activation	human recombinant relaxin-3 and RXFP1 systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Human relaxin-3 activated RXFP1 and labeled recombinant relaxin-3 retained high-affinity RXFP1 binding in saturation and competition assays.	Evidence is recombinant and in vitro; physiological dominance of RXFP1 for relaxin-3 is not inferred.	No universal RXFP1 relay or terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0025	M20A-EXT-2948	rln3 rxfp3	Rln3 Rxfp3	primary_literature_recovery	PMID:14522968; DOI:10.1074/jbc.M308995200; PMID:19416155; DOI:10.1111/j.1749-6632.2008.03790.x; PMID:22187146; DOI:10.1007/s00726-011-1164-z; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_RLN_RXFP_primary_records.xml	direct_relaxin3_RXFP3_binding_activation	human, rat, and porcine GPCR135/RXFP3 systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Recombinant human relaxin-3 bound and activated GPCR135/RXFP3, stimulated GTPgammaS binding, and inhibited cAMP; independent binding and receptor-pharmacology studies confirmed the pair.	Original assays use overexpressing receptor systems and multiple species; no universal tissue context is implied.	No terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0026	M20A-EXT-2949	rln3 rxfp4	Rln3 Rxfp4	primary_literature_recovery	PMID:22187146; DOI:10.1007/s00726-011-1164-z; PMID:24802387; DOI:10.1111/febs.12830; PMID:27404393; PMCID:PMC4939597; DOI:10.1038/srep29648; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_RLN_RXFP_primary_records.xml	direct_relaxin3_RXFP4_binding_activation	human recombinant relaxin-3 and RXFP4 mutant systems	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	Labeled recombinant relaxin-3 bound RXFP4 with high affinity; mutagenesis mapped relaxin-3 Arg residues to the RXFP4 EXXXD motif required for activation.	Evidence is recombinant and human-receptor focused; physiological relevance in SCI tissue is unresolved.	No universal relay or terminal TF was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0027	M20A-EXT-3210	sst sstr1	Sst Sstr1	primary_literature_recovery	PMID:8144617; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SST_SSTR1_mechanism_records.xml	validated_primary_direct_SSTR_binding_review	rat comparator; human cell comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8144617	Somatostatin agonist binding and receptor expression were characterized for cloned SSTR1 in Ltk- and HEK293 cells.	The assay is a cloned receptor system and does not establish a cell-specific terminal TF. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0028	M20A-EXT-3211	sst sstr2	Sst Sstr2	primary_literature_recovery	PMID:8144617; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SST_SSTR1_mechanism_records.xml	validated_primary_direct_SSTR_binding_review	rat comparator; human cell comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8144617	Somatostatin agonist binding and cloned-receptor pharmacology were characterized for SSTR2 in Ltk- and HEK293 cells.	The study separates SSTR2 from SSTR1 but does not establish a terminal TF. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0029	M20A-EXT-3213	sst sstr4	Sst Sstr4	primary_literature_recovery	PMID:8102785; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SSTR345_primary_records.xml	validated_primary_direct_SSTR_binding_review	rat comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8102785	SSTR4 was characterized by radioligand competition and agonist regulation in CHO-K1/COS-1 expression systems, with selective somatostatin analogues identified.	Cloned receptor pharmacology does not establish a cell-specific terminal TF. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0030	M20A-EXT-3214	sst sstr5	Sst Sstr5	primary_literature_recovery	PMID:8102785; data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_SSTR345_primary_records.xml	validated_primary_direct_SSTR_binding_review	rat comparator	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8102785	SSTR5 was characterized by radioligand binding and agonist pharmacology in COS-1 expression systems, although it coupled weakly or not detectably to forskolin-stimulated cAMP inhibition in that assay.	SSTR5 coupling varies by assay and cell context; no universal relay is inferred from a negative cAMP result. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0031	M20A-EXT-3402	uts2 uts2r	Uts2 Uts2r	primary_literature_recovery	PMID:10581185; https://pubmed.ncbi.nlm.nih.gov/10581185/	validated_primary_direct_or_activation_assay	rat; fish/frog/human peptide comparators	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:10581185; DOI:10.1006/bbrc.1999.1796	Rat GPR14/UTS2R was shown to be a high-affinity receptor for UII, with dose-dependent calcium mobilization in receptor-transfected HEK293/COS-7 cells and radioligand binding to receptor membranes.	The study establishes binding/activation in recombinant systems but not endogenous SCI-cell signaling or a terminal TF. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
M20A-MEDHIGH001-EVID-0032	M20A-EXT-3460	vip vipr1	Vip Vipr1	primary_literature_recovery	PMID:8390245; https://pubmed.ncbi.nlm.nih.gov/8390245/	validated_primary_direct_or_interaction_assay	human	module20b_exact_primary_packet_reused_for_module20a_adjudication	high	PMID:8390245; DOI:10.1006/bbrc.1993.1658	VIP bound a cloned human VIP receptor/VPAC1 in COS-7 and 293 cells with Kd 0.8 nM and induced intracellular cAMP.	Recombinant receptor expression and cAMP activation were tested; no terminal TF or SCI receiver output was established. High is limited to the exact ligand-receptor claim; no SCI-context or downstream relay inference is made.
