source_row_id	module	regulator	target	curation_status	traversal_eligibility	review_disposition	search_status	search_scope	search_manifest_id	search_layers	search_terms	exact_pair_evidence	binding_evidence	functional_evidence	species	tissue_cell_context	sci_context	effect_direction	confidence	primary_citation	source_record_id	source_provenance	limitations	reviewer_notes	reviewed_at
PTF-SCREEN-PTF-MODULE-20B-000127	20B	BHLHA15	Ada	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""BHLHA15"" ""Ada"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000903:ae4339786317	tflink:mouse:000903:ae4339786317; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000417	20B	DMRTB1	Adgrl1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""DMRTB1"" ""Adgrl1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:001031:3c6aa0672a00	tflink:mouse:001031:3c6aa0672a00; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000418	20B	DMRTB1	Adipor1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""DMRTB1"" ""Adipor1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:001031:3c6aa0672a00	tflink:mouse:001031:3c6aa0672a00; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000463	20B	Ebf2	A2m	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""Ebf2"" ""A2m"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000920:b3f362af9f8d	tflink:mouse:000920:b3f362af9f8d; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000464	20B	Ebf2	Abca1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""Ebf2"" ""Abca1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000920:b3f362af9f8d	tflink:mouse:000920:b3f362af9f8d; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000465	20B	Ebf2	Ackr3	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""Ebf2"" ""Ackr3"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000920:b3f362af9f8d	tflink:mouse:000920:b3f362af9f8d; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000466	20B	Ebf2	Actr2	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""Ebf2"" ""Actr2"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000920:b3f362af9f8d	tflink:mouse:000920:b3f362af9f8d; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000546	20B	FEZF2	A2m	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FEZF2"" ""A2m"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000939:6aee9cd01600	tflink:mouse:000939:6aee9cd01600; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000547	20B	FEZF2	Ackr3	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FEZF2"" ""Ackr3"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000939:6aee9cd01600	tflink:mouse:000939:6aee9cd01600; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000548	20B	FEZF2	Actr2	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FEZF2"" ""Actr2"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000939:6aee9cd01600	tflink:mouse:000939:6aee9cd01600; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000549	20B	FEZF2	Acvr1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FEZF2"" ""Acvr1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:000939:6aee9cd01600	tflink:mouse:000939:6aee9cd01600; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	A mouse corticospinal Fezf2 study reports Acvr1c among target genes, not the queued Acvr1 pair; this near-match is not promotion evidence.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000564	20B	FOXK1;Foxk1	Abca1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FOXK1;Foxk1"" ""Abca1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:001016:114529272cc3	tflink:mouse:001016:114529272cc3; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
PTF-SCREEN-PTF-MODULE-20B-000565	20B	FOXK1;Foxk1	Acvr1	candidate_only	not_traversable	retain_candidate_only_no_exact_pair_promotion	expanded_alias_and_primary_source_search_completed_no_exact_primary_evidence_identified	All 112 mouse canonical-TF/direct-binding queue rows were covered by grouped searches using regulator aliases, target aliases/full names, mouse, ChIP-seq/ChIP-qPCR, promoter, reporter, knockdown, knockout, loss-of-function, and direct-target terms; surfaced primary papers and local source provenance were checked for exact regulator-target support.	public_tf_queue_expanded_search_2026-09-04	local_tflink_gtrd_provenance;gtrd_resource_review;grouped_exact_pair_search;near_match_primary_paper_review;exact_alias_followups	"""FOXK1;Foxk1"" ""Acvr1"" mouse direct binding functional target"	not_identified	TFLink/GTRD source-table association only; underlying primary occupancy record not identified	not_identified	mouse	unknown	unknown	unknown	low_expanded_search_only	unknown	tflink:mouse:001016:114529272cc3	tflink:mouse:001016:114529272cc3; TFLink source PMID 27924024 is source-database metadata, not exact-pair validation	No exact-pair primary citation with direct sequence-specific binding and functional target response was identified in the expanded pass; full-text review, additional databases, and underlying GTRD experiment accession remain possible follow-up work.	No exact-pair promotion basis identified; preserve unknown values.	2026-09-04
