regulator	target	old_edge_ids	new_edge_ids	semantic_mapping_status
angpt1/angiopoietin-1	tek/tie2	M23B-E000920;M23B-E000921;M23B-E000922	M23B-E000920;M23B-E000921;M23B-E000922	exact_label_relation_match
angpt2	itga5_itgb1	M20B-E002552	M20B-E002552	exact_label_relation_match
angpt2	itgav:itgb3/itgb5 and itga5:itgb1	M23B-E000109	M23B-E000109	exact_label_relation_match
angpt2	tek	M20B-E002553	M20B-E002553	exact_label_relation_match
angpt2	tek/tie2-fak/rac1 remodeling	M23B-E000110	M23B-E000110	exact_label_relation_match
angpt2	tie1	M20B-E002554	M20B-E002554	exact_label_relation_match
angpt4	tek	M20B-E002555	M20B-E002555	exact_label_relation_match
angpt4	tie1	M20B-E002556	M20B-E002556	exact_label_relation_match
angptl1	itga1:itgb1-fak/erk/mir630-slug	M23B-E000111	M23B-E000111	exact_label_relation_match
angptl1	itga1_itgb1	M20B-E002557	M20B-E002557	exact_label_relation_match
angptl2	inflammatory/matrix-remodeling output	M23B-E000477	M23B-E000477	exact_label_relation_match
angptl2	itga5_itgb1	M20B-E002560	M20B-E002560	exact_label_relation_match
angptl2	mapk/akt/nfkb relay	M23B-E000476	M23B-E000476	exact_label_relation_match
angptl2	pirb	M20B-E002561	M20B-E002561	exact_label_relation_match
angptl2	tlr4/nfkb/mapk inflammatory pathway	M24B-E000076	M24B-E000076	exact_label_relation_match
angptl3	endothelial junction/leakage	M23B-E000479	M23B-E000479	exact_label_relation_match
angptl3	itga5	M20B-E002563	M20B-E002563	exact_label_relation_match
angptl3	itgav:itgb3	M23B-E000112	M23B-E000112	exact_label_relation_match
angptl3	itgav_itgb3	M20B-E002564	M20B-E002564	exact_label_relation_match
angptl4	cdh11	M20B-E002565	M20B-E002565	exact_label_relation_match
angptl4	cdh5	M20B-E002566	M20B-E002566	exact_label_relation_match
angptl4	itga5_itgb1	M20B-E002567	M20B-E002567	exact_label_relation_match
angptl4	itgav:itgb3	M23B-E000113	M23B-E000113	exact_label_relation_match
angptl4	itgav_itgb3	M20B-E002568	M20B-E002568	exact_label_relation_match
angptl4	sdc4	M20B-E002572	M20B-E002572	exact_label_relation_match
anxa1	fpr1	M20B-E002578	M20B-E002578	exact_label_relation_match
anxa2	endothelial barrier	M23B-E000485	M23B-E000485	exact_label_relation_match
anxa2	robo4	M20B-E002581	M20B-E002581	exact_label_relation_match
anxa2	robo4:paxillin	M23B-E000484	M23B-E000484	exact_label_relation_match
anxa2	tlr2	M24B-E000123	M24B-E000123	exact_label_relation_match
ap-1	2-ag-cb1/cb2-associated erk/ap-1 transcriptional program	M22B-E000001	M22B-E000001	exact_label_relation_match
ap-1	nf-κb/ap-1/irf inflammatory program	M22B-E000002	M22B-E000002	exact_label_relation_match
ap-1	wnt5a-ptk7-associated cell-movement and neural-morphogenesis phenotype	M22B-E000004	M22B-E000004	exact_label_relation_match
ap-1	wnt5a-ptk7-associated jnk/ap-1 planar-cell-polarity program	M22B-E000003	M22B-E000003	exact_label_relation_match
apln	aplnr	M20B-E002583	M20B-E002583	exact_label_relation_match
apoa1	abca1	M20B-E002586	M20B-E002586	exact_label_relation_match
apoa4	lrp1	M20B-E002594	M20B-E002594	exact_label_relation_match
apob	ldlr	M20B-E002602	M20B-E002602	exact_label_relation_match
apob	lrp1	M20B-E002603	M20B-E002603	exact_label_relation_match
apob	lrp6	M20B-E002605	M20B-E002605	exact_label_relation_match
apob	lsr	M20B-E002607	M20B-E002607	exact_label_relation_match
apob	trem2	M20B-E002612	M20B-E002612	exact_label_relation_match
apoc3-rich triglyceride-rich lipoprotein	ldlr-dependent remnant clearance	M24B-E000080	M24B-E000080	exact_label_relation_match
apoc3-rich triglyceride-rich lipoprotein	ldlr/lrp1-mediated hepatic remnant clearance	M23B-E001029	M23B-E001029	exact_label_relation_match
apoe	abca1	M20B-E002619	M20B-E002619	exact_label_relation_match
apoe	ldlr	M20B-E002621	M20B-E002621	exact_label_relation_match
apoe	lrp4	M20B-E002623	M20B-E002623	exact_label_relation_match
apoe	lrp6	M20B-E002625	M20B-E002625	exact_label_relation_match
apoe	lrp8	M20B-E002626	M20B-E002626	exact_label_relation_match
apoe	lsr	M20B-E002627	M20B-E002627	exact_label_relation_match
apoe	sdc2	M20B-E002629	M20B-E002629	exact_label_relation_match
apoe	sorl1	M20B-E002630	M20B-E002630	exact_label_relation_match
apoe	trem2	M20B-E002631	M20B-E002631	exact_label_relation_match
apoe	vldlr	M20B-E002632	M20B-E002632	exact_label_relation_match
apoe receptor-binding domain / apoe-containing lipoprotein	lrp1	M23B-E001023	M23B-E001023	exact_label_relation_match
apoe-containing triglyceride-rich lipoprotein	apoe-enriched hdl re-secretion and hepatic triglyceride-rich-lipoprotein handling	M23B-E001025	M23B-E001025	exact_label_relation_match
apoe-containing triglyceride-rich lipoprotein	lrp1-dependent endosomal trapping and recycling relay	M23B-E001024	M23B-E001024	exact_label_relation_match
app	tnfrsf21	M20B-E001923	M20B-E001923	exact_label_relation_match
ar	testosterone-hsd17b3 androgen-biosynthesis and ar transcriptional-response program	M22B-E000009	M22B-E000009	exact_label_relation_match
areg	egfr_erbb2	M20B-E001799	M20B-E001799	exact_label_relation_match
artn	gfra1_ret	M20B-E001800	M20B-E001800	exact_label_relation_match
artn	gfra3_ret	M20B-E001801	M20B-E001801	exact_label_relation_match
atf2	tsh-tshr-p38-atf2 thyroid signaling program	M22B-E000014	M22B-E000014	exact_label_relation_match
atf4/creb2; atfx	gaba-b1/gaba-b2-atf4/creb2-responsive transcriptional program	M22B-E000017	M22B-E000017	exact_label_relation_match
atf4/creb2; atfx	gabab1/2-atf4/creb2/atfx transcriptional signaling program	M22B-E000018	M22B-E000018	exact_label_relation_match
atf4/creb2;creb	gaba_b-erk/creb and receptor-associated atf4 activity-dependent transcriptional program	M22B-E000019	M22B-E000019	exact_label_relation_match
atp	p2x4r	M24B-E000018	M24B-E000018	exact_label_relation_match
avp	avpr1a	M20B-E002667	M20B-E002667	exact_label_relation_match
avp	avpr1a-gq/plcbeta-ip3/ca2+/pkc-src/ras/erk	M23B-E000114	M23B-E000114	exact_label_relation_match
avp	avpr1b	M20B-E002668	M20B-E002668	exact_label_relation_match
avp	avpr2	M20B-E002669	M20B-E002669	exact_label_relation_match
avp	avpr2-gs/camp-pka-beta-arrestin-src-erk	M23B-E000115	M23B-E000115	exact_label_relation_match
bdkrb1	post-sci overactive bladder	M24B-E000134	M24B-E000134	exact_label_relation_match
bdkrb2	neurologic recovery and neuronal protection after scii	M24B-E000145	M24B-E000145	exact_label_relation_match
bdnf	ntrk2	M20B-E001802	M20B-E001802	exact_label_relation_match
bdnf	sort1	M20B-E001776	M20B-E001776	exact_label_relation_match
beta-catenin	wnt/β-catenin transcriptional program	M22B-E000486	M22B-E000486	exact_label_relation_match
binds/engages	itga5:itgb1	M23B-E000465	M23B-E000465	exact_label_relation_match
bmp type-i/type-ii receptor complex (bmpr paralog unresolved)	smad1/smad5/smad8/9 branch	M21B-E000037	M21B-E000037	exact_label_relation_match
bmp10	acvrl1_acvr2a	M20B-E001803	M20B-E001803	exact_label_relation_match
bmp10	acvrl1_bmpr2	M20B-E001804	M20B-E001804	exact_label_relation_match
bmp10	bmpr1a	M20B-E002702	M20B-E002702	exact_label_relation_match
bmp15	bmpr1b_bmpr2	M20B-E001805	M20B-E001805	exact_label_relation_match
bmp2	actr2	M20B-E002711	M20B-E002711	exact_label_relation_match
bmp2	acvr1	M20B-E002712	M20B-E002712	exact_label_relation_match
bmp2	bmpr1a_acvr2a	M20B-E001806	M20B-E001806	exact_label_relation_match
bmp2	bmpr1a_acvr2b	M20B-E001807	M20B-E001807	exact_label_relation_match
bmp2	bmpr1a_bmpr2	M20B-E001808	M20B-E001808	exact_label_relation_match
bmp2	bmpr1b_acvr2a	M20B-E001809	M20B-E001809	exact_label_relation_match
bmp2	bmpr1b_acvr2b	M20B-E001810	M20B-E001810	exact_label_relation_match
bmp2	bmpr1b_bmpr2	M20B-E001811	M20B-E001811	exact_label_relation_match
bmp2	gpc1	M20B-E002718	M20B-E002718	exact_label_relation_match
bmp2	rgmb	M20B-E002719	M20B-E002719	exact_label_relation_match
bmp4	bmpr1a_acvr2a	M20B-E001812	M20B-E001812	exact_label_relation_match
bmp4	bmpr1a_acvr2b	M20B-E001813	M20B-E001813	exact_label_relation_match
bmp4	bmpr1a_bmpr2	M20B-E001814	M20B-E001814	exact_label_relation_match
bmp4	bmpr1b_acvr2a	M20B-E001815	M20B-E001815	exact_label_relation_match
bmp4	bmpr1b_acvr2b	M20B-E001816	M20B-E001816	exact_label_relation_match
bmp4	bmpr1b_bmpr2	M20B-E001817	M20B-E001817	exact_label_relation_match
bmp4/bmp7-bmpr signaling (paralog unresolved)	smad1/smad5/smad8 in spinal astrocytes	M21B-E000080	M21B-E000080	exact_label_relation_match
bmp4/bmp7-smad1/5/8 signaling	astrocyte cspg expression	M21B-E000081	M21B-E000081	exact_label_relation_match
bmp5	acvr1_acvr2a	M20B-E001818	M20B-E001818	exact_label_relation_match
bmp5	acvr1_acvr2b	M20B-E001819	M20B-E001819	exact_label_relation_match
bmp5	acvr1_bmpr2	M20B-E001820	M20B-E001820	exact_label_relation_match
bmp5	bmpr1a_acvr2a	M20B-E001821	M20B-E001821	exact_label_relation_match
bmp5	bmpr1a_acvr2b	M20B-E001822	M20B-E001822	exact_label_relation_match
bmp5	bmpr1a_bmpr2	M20B-E001823	M20B-E001823	exact_label_relation_match
bmp5	bmpr1b_acvr2a	M20B-E001824	M20B-E001824	exact_label_relation_match
bmp5	bmpr1b_acvr2b	M20B-E001825	M20B-E001825	exact_label_relation_match
bmp5	bmpr1b_bmpr2	M20B-E001826	M20B-E001826	exact_label_relation_match
bmp6	acvr1_acvr2a	M20B-E001827	M20B-E001827	exact_label_relation_match
bmp6	acvr1_acvr2b	M20B-E001828	M20B-E001828	exact_label_relation_match
bmp6	acvr1_bmpr2	M20B-E001829	M20B-E001829	exact_label_relation_match
bmp6	bmpr1a_acvr2a	M20B-E001830	M20B-E001830	exact_label_relation_match
bmp6	bmpr1a_acvr2b	M20B-E001831	M20B-E001831	exact_label_relation_match
bmp6	bmpr1a_bmpr2	M20B-E001832	M20B-E001832	exact_label_relation_match
bmp6	bmpr1b_acvr2a	M20B-E001833	M20B-E001833	exact_label_relation_match
bmp6	bmpr1b_acvr2b	M20B-E001834	M20B-E001834	exact_label_relation_match
bmp7	actr2	M20B-E002742	M20B-E002742	exact_label_relation_match
bmpr2 receptor complex	limk1	M21B-E000079	M21B-E000079	exact_label_relation_match
bradykinin	bdkrb2	M24B-E000038;M24B-E000144	M24B-E000038;M24B-E000144	exact_label_relation_match
bradykinin/kallikrein-kinin system	bdkrb1/b2r expression after scii	M24B-E000143	M24B-E000143	exact_label_relation_match
btc	egfr_erbb2	M20B-E001835	M20B-E001835	exact_label_relation_match
btc	erbb2_erbb4	M20B-E001836	M20B-E001836	exact_label_relation_match
c1q	synaptic engulfment	M24B-E000002	M24B-E000002	exact_label_relation_match
c1ql1	adgrb3	M20B-E002291	M20B-E002291	exact_label_relation_match
c1ql2	adgrb3	M20B-E002292	M20B-E002292	exact_label_relation_match
c1ql2	nrxn3(25b+)	M24B-E000081	M24B-E000081	exact_label_relation_match
c1ql2	synaptic vesicle recruitment and transmission	M24B-E000082	M24B-E000082	exact_label_relation_match
c1ql3	adgrb3	M20B-E002293	M20B-E002293	exact_label_relation_match
c1ql4	adgrb3	M20B-E002294	M20B-E002294	exact_label_relation_match
c1qtnf5	mfrp	M24B-E000083	M24B-E000083	exact_label_relation_match
c3	itgam_itgb2	M20B-E001837	M20B-E001837	exact_label_relation_match
c3	itgax_itgb2	M20B-E001838	M20B-E001838	exact_label_relation_match
c3 breakdown fragments	cr2 domain of engineered cr2-crry	M24B-E000014	M24B-E000014	exact_label_relation_match
c3/cr3 pathway	sci-evoked neuropathic pain	M24B-E000148	M24B-E000148	exact_label_relation_match
c3a	c3ar1	M24B-E000039	M24B-E000039	exact_label_relation_match
c3a/c3ar1 signaling	spinal cord nsc activation	M24B-E000132	M24B-E000132	exact_label_relation_match
c3ar1	nf-kb p65/nrf2/uchl1-proteasome axis	M24B-E000131	M24B-E000131	exact_label_relation_match
c3d	cr2/cd21	M24B-E000139	M24B-E000139	exact_label_relation_match
c5a	c5ar1	M24B-E000040	M24B-E000040	exact_label_relation_match
c5a	c5l2/c5ar2	M24B-E000137	M24B-E000137	exact_label_relation_match
c5l2/c5ar2	c5a/c5a-desarg internalization and degradation	M24B-E000138	M24B-E000138	exact_label_relation_match
cadm1	crtam	M23B-E000486	M23B-E000486	exact_label_relation_match
cadm1	cytotoxicity/ifngamma	M23B-E000487	M23B-E000487	exact_label_relation_match
cadm1	nectin3	M23B-E000488	M23B-E000488	exact_label_relation_match
cadm1	neurite-evoked ca2+/mast-cell attachment	M23B-E000489	M23B-E000489	exact_label_relation_match
cadm3	axon-glia myelination	M23B-E000493	M23B-E000493	exact_label_relation_match
cadm3	cadm4	M23B-E000492	M23B-E000492	exact_label_relation_match
cadm3	retinal epithelial proliferation	M23B-E000491	M23B-E000491	exact_label_relation_match
calca	calcr	M20B-E002796	M20B-E002796	exact_label_relation_match
calca	calcrl	M20B-E002797	M20B-E002797	exact_label_relation_match
calr	adhesion/prommp2 output	M23B-E000495	M23B-E000495	exact_label_relation_match
calr	itga3	M23B-E000494	M23B-E000494	exact_label_relation_match
cangptl4	cdh11:ctnnd1:ctnnb1	M23B-E000480	M23B-E000480	exact_label_relation_match
cangptl4	endothelial permeability	M23B-E000483	M23B-E000483	exact_label_relation_match
cangptl4	id3/collagen output	M23B-E000481	M23B-E000481	exact_label_relation_match
cangptl4	rac1/pak junction relay	M23B-E000482	M23B-E000482	exact_label_relation_match
canstatin/col4a2-nc1	itgav:itgb3	M23B-E000125	M23B-E000125	exact_label_relation_match
canstatin/col4a2-nc1	itgav:itgb5	M23B-E000126	M23B-E000126	exact_label_relation_match
cck	cckar	M20B-E002818	M20B-E002818	exact_label_relation_match
cck	cckbr	M20B-E002819	M20B-E002819	exact_label_relation_match
ccl11	ackr1	M20B-E001840	M20B-E001840	exact_label_relation_match
ccl11	ackr2	M20B-E001778	M20B-E001778	exact_label_relation_match
ccl11	ccr2	M20B-E002821	M20B-E002821	exact_label_relation_match
ccl11	ccr2b	M24B-E000107	M24B-E000107	exact_label_relation_match
ccl11	ccr3	M24B-E000108	M24B-E000108	exact_label_relation_match
ccl11	cxcr3	M20B-E002822	M20B-E002822	exact_label_relation_match
ccl12	ackr2	M20B-E002824	M20B-E002824	exact_label_relation_match
ccl17	ackr1	M20B-E001841	M20B-E001841	exact_label_relation_match
ccl17	ackr2	M20B-E001779	M20B-E001779	exact_label_relation_match
ccl17	ccr8	M20B-E002831	M20B-E002831	exact_label_relation_match
ccl19	ackr4	M20B-E001842	M20B-E001842	exact_label_relation_match
ccl2	ackr1	M20B-E001843	M20B-E001843	exact_label_relation_match
ccl2	ackr2	M20B-E001780	M20B-E001780	exact_label_relation_match
ccl2	ccr1	M20B-E002833	M20B-E002833	exact_label_relation_match
ccl2	ccr2	M20B-E001781	M20B-E001781	exact_label_relation_match
ccl2/ccr2 axis	monocyte recruitment and myelin clearance	M24B-E000019	M24B-E000019	exact_label_relation_match
ccl20	ackr4	M20B-E002837	M20B-E002837	exact_label_relation_match
ccl21	ackr4	M20B-E001844	M20B-E001844	exact_label_relation_match
ccl21a	ackr4	M20B-E001845	M20B-E001845	exact_label_relation_match
ccl21b	ackr4	M20B-E001782	M20B-E001782	exact_label_relation_match
ccl21d	ackr4	M20B-E001846	M20B-E001846	exact_label_relation_match
ccl21e	ackr4	M20B-E001847	M20B-E001847	exact_label_relation_match
ccl21f	ackr4	M20B-E001848	M20B-E001848	exact_label_relation_match
ccl22	ackr2	M20B-E001783	M20B-E001783	exact_label_relation_match
ccl24	ccr3	M24B-E000109	M24B-E000109	exact_label_relation_match
ccl25	ackr4	M20B-E001785	M20B-E001785	exact_label_relation_match
ccl26	ackr2	M20B-E001849	M20B-E001849	exact_label_relation_match
ccl27	ccr10	M24B-E000110	M24B-E000110	exact_label_relation_match
ccl27a	ccr10	M20B-E001850	M20B-E001850	exact_label_relation_match
ccl27b	ccr10	M20B-E001786	M20B-E001786	exact_label_relation_match
ccl28	ccr10	M23B-E000116	M23B-E000116	exact_label_relation_match
ccl28	ccr3	M24B-E000111	M24B-E000111	exact_label_relation_match
ccl28/ccr10 axis	treg recruitment and recovery	M24B-E000020	M24B-E000020	exact_label_relation_match
ccl3	ackr2	M20B-E001852	M20B-E001852	exact_label_relation_match
ccl3	ccr1	M20B-E001853;M24B-E000112	M20B-E001853;M24B-E000112	exact_label_relation_match
ccl3-associated inflammatory state	secondary damage with ccr1 co-expression	M24B-E000021	M24B-E000021	exact_label_relation_match
ccl4	ackr2	M20B-E001788	M20B-E001788	exact_label_relation_match
ccl4	ccr1	M20B-E002862	M20B-E002862	exact_label_relation_match
ccl5	ccr1	M24B-E000113	M24B-E000113	exact_label_relation_match
ccl5	ccr3	M24B-E000114	M24B-E000114	exact_label_relation_match
ccl5	gpr75	M20B-E002873	M20B-E002873	exact_label_relation_match
ccl5	sdc1	M20B-E002876	M20B-E002876	exact_label_relation_match
ccl5	sdc4	M20B-E002877	M20B-E002877	exact_label_relation_match
ccl7	ccr1	M24B-E000115	M24B-E000115	exact_label_relation_match
ccl7	ccr2b	M24B-E000116	M24B-E000116	exact_label_relation_match
ccl7	ccr3	M24B-E000117	M24B-E000117	exact_label_relation_match
ccl8	ccr1	M24B-E000118	M24B-E000118	exact_label_relation_match
ccl8	ccr2b	M24B-E000025	M24B-E000025	exact_label_relation_match
ccl8	ccr3	M24B-E000026	M24B-E000026	exact_label_relation_match
ccn1	sdc4	M24B-E000034	M24B-E000034	exact_label_relation_match
ccn1/sdc4 axis	microglial debris processing and neurologic recovery	M24B-E000035	M24B-E000035	exact_label_relation_match
ccn4/wisp1	fibroblast migration/proliferation and osteogenic/wound-repair output	M23B-E001032	M23B-E001032	exact_label_relation_match
ccn4/wisp1	itga5:itgb1 (alpha5beta1)	M23B-E001030	M23B-E001030	exact_label_relation_match
ccn4/wisp1	itga5:itgb1-erk/jnk relay	M23B-E001031	M23B-E001031	exact_label_relation_match
ccr4 receptor	beta-arrestin1/2 recruitment	M21B-E000073	M21B-E000073	exact_label_relation_match
ccr7 receptor	gnai and beta-arrestin recruitment	M21B-E000074	M21B-E000074	exact_label_relation_match
cd177	pecam1	M20B-E002886	M20B-E002886	exact_label_relation_match
cd177	pecam1/cd31	M23B-E000117	M23B-E000117	exact_label_relation_match
cd200	cd200r1	M20B-E002887	M20B-E002887	exact_label_relation_match
cd200	cd200r2	M20B-E002888	M20B-E002888	exact_label_relation_match
cd200r1	cd200	M20B-E002890	M20B-E002890	exact_label_relation_match
cd22	ptprc	M20B-E002893	M20B-E002893	exact_label_relation_match
cd274	cd80	M20B-E002894	M20B-E002894	exact_label_relation_match
cd274	pdcd1	M20B-E002895	M20B-E002895	exact_label_relation_match
cd28	cd80	M20B-E002896	M20B-E002896	exact_label_relation_match
cd28	cd86	M20B-E002897	M20B-E002897	exact_label_relation_match
cd34	sell	M20B-E002898	M20B-E002898	exact_label_relation_match
cd34	selp	M20B-E002899	M20B-E002899	exact_label_relation_match
cd38	pecam1	M20B-E002900	M20B-E002900	exact_label_relation_match
cd40lg	itga2b:itgb3 (αiibβ3)	M23B-E000316;M23B-E000317;M23B-E000318	M23B-E000316;M23B-E000317;M23B-E000318	exact_label_relation_match
cd40lg	itgam:itgb2 (mac-1/alphambeta2)	M23B-E001033	M23B-E001033	exact_label_relation_match
cd40lg	mac-1-dependent leukocyte adhesion and recruitment	M23B-E001034	M23B-E001034	exact_label_relation_match
cd40lg/cd40 ligand	itga5:itgb1/alpha5beta1	M23B-E000923;M23B-E000924;M23B-E000925	M23B-E000923;M23B-E000924;M23B-E000925	exact_label_relation_match
cd47	sirpa	M20B-E002904;M23B-E000319;M23B-E000320;M23B-E000321	M20B-E002904;M23B-E000319;M23B-E000320;M23B-E000321	exact_label_relation_match
cd48	cd2	M20B-E002905	M20B-E002905	exact_label_relation_match
cd48	cd244	M20B-E002906	M20B-E002906	exact_label_relation_match
cd72	cd5	M20B-E002912	M20B-E002912	exact_label_relation_match
cd80	cd28	M20B-E002913	M20B-E002913	exact_label_relation_match
cd80	ctla4	M20B-E002914	M20B-E002914	exact_label_relation_match
