pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
bmp4 acvr2a_bmpr1b	Bmp4 Acvr2a_Bmpr1b	no_evidence	PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/; PMID:42234754 https://pubmed.ncbi.nlm.nih.gov/42234754/	human MSCs plus unrelated human expression studies	contextual_expression/inference	The cited receptor-utilization work supports BMP4 primarily through BMPR1A and not the submitted BMPR1B combination; other cited records are unrelated or nonfunctional.	No exact BMP4-ACVR2A-BMPR1B assay was identified.	Cited evidence is insufficient and points away from the submitted type-I receptor scope.
bmp4 acvr2b_bmpr1a	Bmp4 Acvr2b_Bmpr1a	no_evidence	PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/	human MSCs and mixed expression/review contexts	contextual_expression/inference	The cited sources contain receptor expression or general BMP discussion but no exact BMP4-ACVR2B-BMPR1A assay.	A receptor family table or expression profile cannot establish the submitted complex.	No evidence in the cited set.
bmp4 acvr2b_bmpr1b	Bmp4 Acvr2b_Bmpr1b	no_evidence	PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/; PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:37333824 https://pubmed.ncbi.nlm.nih.gov/37333824/	human cancer and human MSC/review contexts	contextual_expression/inference	The cited records are expression/review studies or receptor-utilization data that do not demonstrate BMP4 signaling through ACVR2B-BMPR1B.	No exact ligand-complex assay was cited.	No evidence for the submitted scope.
bmp6 bmpr1b_bmpr2	Bmp6 Bmpr1b_Bmpr2	no_evidence	PMID:37714133 https://pubmed.ncbi.nlm.nih.gov/37714133/; PMID:28886385 https://pubmed.ncbi.nlm.nih.gov/28886385/; PMID:23285157 https://pubmed.ncbi.nlm.nih.gov/23285157/	human MSC expression and broad human review contexts	contextual_expression/inference	The cited records are a TGF-beta review, a general BMP signaling paper, and an MSC aging expression study; none tests BMP6 through BMPR1B-BMPR2.	Receptor expression or a general pathway diagram does not establish the submitted complex.	No evidence in the cited primary/exact sources.
bmp7 acvr1_acvr2a	Bmp7 Acvr1_Acvr2a	retain_low	PMID:28886385 https://pubmed.ncbi.nlm.nih.gov/28886385/; PMID:35421361 https://pubmed.ncbi.nlm.nih.gov/35421361/	mixed human/mouse BMP receptor systems	combinatorial_receptor_inference	The cited combinatorial BMP studies include BMP7 and receptor perturbations involving ACVR1 and ACVR2A, consistent with a functional receptor combination.	The cited studies model combinatorial receptor usage and do not establish a unique stable ACVR1-ACVR2A complex for BMP7 in one defined primary assay.	Retain low pending direct inspection of the specific ligand-receptor matrix or supplementary assay for this complex.
bmp7 acvr1_acvr2b	Bmp7 Acvr1_Acvr2b	no_evidence	PMID:24884710 https://pubmed.ncbi.nlm.nih.gov/24884710/; PMID:25883651 https://pubmed.ncbi.nlm.nih.gov/25883651/; PMID:32708289 https://pubmed.ncbi.nlm.nih.gov/32708289/	mixed human/mouse unrelated systems	contextual_expression/inference	The cited studies concern exosomes, EMT, EBV/BMP2 signaling, or unrelated expression and do not test BMP7 through ACVR1-ACVR2B.	No exact BMP7 receptor-complex assay was identified.	Cited evidence does not support this complex.
bmp7 acvr1_bmpr2	Bmp7 Acvr1_Bmpr2	no_evidence	PMID:31683698 https://pubmed.ncbi.nlm.nih.gov/31683698/; PMID:31591384 https://pubmed.ncbi.nlm.nih.gov/31591384/; PMID:32954268 https://pubmed.ncbi.nlm.nih.gov/32954268/	mixed human/mouse review and unrelated cell contexts	contextual_expression/inference	The cited ACVR1 review and unrelated cell/pathway papers do not provide an exact BMP7-ACVR1-BMPR2 assay.	Generic statements that ACVR1 can pair with BMPR2 are not ligand-specific evidence for BMP7.	No evidence in the cited set.
bmp7 acvr2a_bmpr1a	Bmp7 Acvr2a_Bmpr1a	retain_low	PMID:38678558 https://pubmed.ncbi.nlm.nih.gov/38678558/; PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/	mouse cardiomyocytes plus human cancer/expression contexts	receptor-dependent_function	The zebrafish/mouse regeneration study reports BMP7 effects lost after knockdown of BMPR1A and ACVR2A, supporting this receptor combination in a functional context.	Knockdown of both receptor components does not prove a unique heteromeric complex or direct binding; other cited records are nonconfirmatory.	Real exact contextual support, but receptor-complex scope is unresolved; retain low.
bmp7 acvr2a_bmpr1b	Bmp7 Acvr2a_Bmpr1b	no_evidence	PMID:39383164 https://pubmed.ncbi.nlm.nih.gov/39383164/; PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/	salmon ovarian transcriptome and human expression/review contexts	contextual_expression/inference	The cited studies do not test BMP7 through ACVR2A-BMPR1B; one is an unrelated salmon transcriptome and the others are expression or BMP6/7 context without this complex.	No exact functional or binding assay was cited.	No evidence for the submitted complex.
bmp7 acvr2b_bmpr1a	Bmp7 Acvr2b_Bmpr1a	no_evidence	PMID:18436533 https://pubmed.ncbi.nlm.nih.gov/18436533/; PMID:18780779 https://pubmed.ncbi.nlm.nih.gov/18780779/; PMID:17004110 https://pubmed.ncbi.nlm.nih.gov/17004110/	human MSCs and human cancer/expression contexts	contextual_expression/inference	The cited receptor-utilization and expression records do not establish BMP7 through ACVR2B-BMPR1A.	No exact ligand-complex assay was found in the cited set.	No evidence.
bmp7 acvr2b_bmpr1b	Bmp7 Acvr2b_Bmpr1b	retain_low	PMID:38669760 https://pubmed.ncbi.nlm.nih.gov/38669760/; PMID:35088383 https://pubmed.ncbi.nlm.nih.gov/35088383/	human neuroblastoma and mixed tumor transcriptomic contexts	computational_receptor_inference	A neuroblastoma communication model explicitly assigns a BMP7-(BMPR1B-ACVR2B) pathway and links it to SMAD1 activity and tumor migration; another tumor study makes a similar computational prediction.	Both sources infer the complex from single-cell expression/communication modeling; neither demonstrates direct binding or receptor-specific reconstitution.	Retain low as real contextual computational support, not approved primary ligand-complex evidence.
bmp7 bmpr1a_bmpr2	Bmp7 Bmpr1a_Bmpr2	no_evidence	PMID:30246251 https://pubmed.ncbi.nlm.nih.gov/30246251/; PMID:28600394 https://pubmed.ncbi.nlm.nih.gov/28600394/; PMID:24908616 https://pubmed.ncbi.nlm.nih.gov/24908616/	mixed review and expression contexts	contextual_expression/inference	The cited sources are reviews or expression studies and do not test BMP7 through BMPR1A-BMPR2.	Generic BMP receptor compatibility is not an exact-pair assay.	No evidence in the cited sources.
bmp7 bmpr1b_bmpr2	Bmp7 Bmpr1b_Bmpr2	no_evidence	PMID:28886385 https://pubmed.ncbi.nlm.nih.gov/28886385/; PMID:29234727 https://pubmed.ncbi.nlm.nih.gov/29234727/; PMID:28756206 https://pubmed.ncbi.nlm.nih.gov/28756206/; PMID:24908616 https://pubmed.ncbi.nlm.nih.gov/24908616/	mixed BMP reviews and unrelated cardiac/fibrosis contexts	contextual_expression/inference	The cited records are broad combinatorial BMP/TGF-beta reviews or unrelated expression/network studies and do not provide an exact BMP7-BMPR1B-BMPR2 assay.	Generic statements that BMPR1B and BMPR2 can participate in BMP signaling do not establish this ligand-complex edge.	No evidence in the cited set.
btla tnfrsf14	Btla Tnfrsf14	approve_candidate	PMID:38831106 https://pubmed.ncbi.nlm.nih.gov/38831106/; PMID:38676311 https://pubmed.ncbi.nlm.nih.gov/38676311/	human and mouse CAR-T/cancer and immune studies	receptor_engagement/receptor-dependent_function	The cited Nature Immunology study tests trans BTLA-HVEM/TNFRSF14 engagement and shows receptor-dependent inhibition of CAR-T function; the SLE study independently identifies HVEM as the natural BTLA ligand.	The evidence is functional trans engagement rather than a purified binding assay and can depend on cis/trans receptor geometry.	Exact BTLA-HVEM primary functional evidence; approve.
c1qb c1qbp	C1qb C1qbp	reject_pair	PMID:32887899 https://pubmed.ncbi.nlm.nih.gov/32887899/; PMID:19029902 https://pubmed.ncbi.nlm.nih.gov/19029902/; PMID:34497421 https://pubmed.ncbi.nlm.nih.gov/34497421/	mixed human/mouse expression studies	wrong_ligand_scope	The cited records do not test C1QB binding to C1QBP. C1QBP/gC1qR is a receptor for the globular C1q complex, not evidence that the isolated C1QB chain is the submitted ligand.	C1q is a multimeric ligand composed of C1QA, C1QB, and C1QC; chain-specific ligand attribution is not established by these citations.	Submitted relationship is incorrectly scoped to a single C1q subunit; reject pair.
cadm1 crtam	Cadm1 Crtam	approve_candidate	PMID:24687959 https://pubmed.ncbi.nlm.nih.gov/24687959/; PMID:19799932 https://pubmed.ncbi.nlm.nih.gov/19799932/	mouse gut and thymus immune systems	cell_adhesion/receptor-dependent_function	Primary mouse studies identify CADM1 as the CRTAM ligand and show that blocking or disrupting CRTAM-CADM1 interaction alters T-cell/DC residency or thymic growth.	The studies focus on immune-cell adhesion and residency, not a quantitative purified-protein affinity measurement.	Exact adhesion pair and receptor-dependent function are directly supported.
cadm3 cadm1	Cadm3 Cadm1	approve_candidate	PMID:21456004 https://pubmed.ncbi.nlm.nih.gov/21456004/; PMID:33397712 https://pubmed.ncbi.nlm.nih.gov/33397712/	zebrafish and mouse neural systems	direct_binding/cell_adhesion	Zebrafish molecular assays show heterophilic Cadm3 binding to Cadm1; mouse genetic/neural work further examines Cadm1-Cadm3 adhesion and function.	Species and tissue context differ, and the pair is homophilic/heterophilic adhesion-system dependent.	Exact CADM3-CADM1 binding/adhesion evidence is present; approve.
calr lrp1	Calr Lrp1	approve_candidate	PMID:40714468 https://pubmed.ncbi.nlm.nih.gov/40714468/; PMID:35693935 https://pubmed.ncbi.nlm.nih.gov/35693935/	human OA specimens and mouse DMM OA model	 receptor-dependent_function	CALR upregulation activated LRP1/Rac1 signaling in osteoclast differentiation, and CALR knockdown or CALR deficiency suppressed the phenotype; the cited review also treats CALR/LRP1 as a signaling axis.	The primary study does not measure purified CALR-LRP1 binding or define whether surface CALR is the direct ligand versus part of an immunogenic-cell-death complex.	Exact receptor-dependent CALR-LRP1 functional evidence is present; approve under the contract.
camp fpr2	Camp Fpr2	retain_low	PMID:36923240 https://pubmed.ncbi.nlm.nih.gov/36923240/; PMID:23643932 https://pubmed.ncbi.nlm.nih.gov/23643932/; PMID:39154373 https://pubmed.ncbi.nlm.nih.gov/39154373/	mouse and human FPR2 studies	contextual_receptor_function	The cited mouse cathelicidin study discusses FPR2/ALX in cathelicidin-induced phagocytosis, but the other cited FPR2 studies test lipoxins or synthetic agonists rather than CAMP.	The cited set lacks a clean CAMP/LL-37-to-FPR2 loss-of-function or binding assay; species-specific CRAMP versus human LL-37 processing also matters.	Real pair is suggested, but the submitted citations do not provide exact primary proof; retain low.
ccl1 ccr8	Ccl1 Ccr8	retain_low	PMID:40249828 https://pubmed.ncbi.nlm.nih.gov/40249828/; PMID:40460833 https://pubmed.ncbi.nlm.nih.gov/40460833/	human decidua and mouse pregnancy/HCC models	contextual_receptor_function	The decidual study identifies CCL1 as the CCR8 ligand produced by decidual NK cells and associates CCR8-positive Tregs with fetal tolerance; the HCC study links CCL1-positive macrophages to recruitment of CCR8-positive Tregs.	Neither cited study directly isolates CCL1-CCR8 binding or uses a receptor-specific ligand assay; the biological effects are cellular recruitment contexts.	Retain low because the exact axis is described and biologically relevant, but receptor causality is contextual.
ccl11 ccr3	Ccl11 Ccr3	approve_candidate	PMID:41855337 https://pubmed.ncbi.nlm.nih.gov/41855337/; PMID:25182982 https://pubmed.ncbi.nlm.nih.gov/25182982/	mouse atopic-dermatitis-like model and human skin review	chemotaxis/receptor-dependent_function	The primary mouse study explicitly assigns eosinophil recruitment to the CCL11-CCR3 axis in inflamed skin; the review provides compatible chemokine-receptor context.	The citation supports in vivo axis function rather than a purified binding assay and does not establish all downstream cell types.	Exact primary CCL11-CCR3 functional evidence is present; approve.
ccl12 ccr2	Ccl12 Ccr2	approve_candidate	PMID:41429897 https://pubmed.ncbi.nlm.nih.gov/41429897/; PMID:40517940 https://pubmed.ncbi.nlm.nih.gov/40517940/; PMID:18334747 https://pubmed.ncbi.nlm.nih.gov/18334747/; PMID:41610009 https://pubmed.ncbi.nlm.nih.gov/41610009/	mouse models and human burn-injury observations	receptor-dependent_function/chemotaxis	The cited studies show CCL12-producing cells recruiting CCR2-positive cells, CCL12 chemotaxis in mouse cells, and CCL12-specific antibody/calcium-mobilization evidence; the 2007 study explicitly states that CCL12 binds and activates CCR2.	Most evidence is mouse or cellular recruitment rather than purified human receptor binding, and CCL12 is a mouse chemokine homolog rather than a direct human CCL2 synonym.	Exact CCL12-CCR2 primary functional and binding/activation evidence is present; approve.
ccl17 ccr4	Ccl17 Ccr4	approve_candidate	PMID:35113652 https://pubmed.ncbi.nlm.nih.gov/35113652/; PMID:37005490 https://pubmed.ncbi.nlm.nih.gov/37005490/	mouse myocardial-injury models and human review	chemotaxis/receptor_activation	Primary mouse experiments show CCL17 chemotaxis of Tregs/T cells is blocked by CCR4 antagonists and characterize biased CCR4 signaling; the review provides contextual support.	No purified binding constant is reported and CCL22 is a competing CCR4 ligand in the same assay system.	Exact CCL17-CCR4 receptor-dependent chemotaxis/activation is directly tested; approve.
ccl20 ccr6	Ccl20 Ccr6	approve_candidate	PMID:34719426 https://pubmed.ncbi.nlm.nih.gov/34719426/; PMID:38942796 https://pubmed.ncbi.nlm.nih.gov/38942796/; PMID:41102188 https://pubmed.ncbi.nlm.nih.gov/41102188/	human HCC and mouse syngeneic prostate-bone-metastasis/fibrosis models	receptor-dependent_function/chemotaxis	The cited studies identify CCL20 as the CCR6 ligand and show CCL20/CCR6-dependent recruitment or disruption of the axis in mouse tumor models; one newer study explicitly contrasts CCL20-integrin alpha5beta1 with CCR6.	The evidence is cellular/in vivo axis function, not purified ligand-receptor binding; CCL20 can also signal through noncanonical receptors in specific fibroblast contexts.	Exact CCL20-CCR6 functional support is strong; approve.
ccl21b ccr7	Ccl21b Ccr7	no_evidence	PMID:41420491 https://pubmed.ncbi.nlm.nih.gov/41420491/; PMID:14617751 https://pubmed.ncbi.nlm.nih.gov/14617751/; PMID:29637711 https://pubmed.ncbi.nlm.nih.gov/29637711/	mouse thymus and human/mouse chemokine review contexts	negative_or_family_level	The mouse Ccl21b knockout paper reports that Ccl21b plays little to no role in CCR7-dependent thymocyte migration, while the other cited source supports CCL21/CCR7 generally rather than the CCL21b isoform.	The family-level CCL21-CCR7 relationship cannot be assigned to the specific CCL21b gene product from these citations.	Submitted isoform-specific edge is unsupported and the best exact source argues against its claimed functional importance.
ccl22 ccr4	Ccl22 Ccr4	approve_candidate	PMID:35113652 https://pubmed.ncbi.nlm.nih.gov/35113652/; PMID:38717443 https://pubmed.ncbi.nlm.nih.gov/38717443/	mouse T-cell chemotaxis and human IPF samples	chemotaxis/receptor_activation	The CCL17 study directly measures CCL22-driven chemotaxis and shows loss with CCR4 antagonists; the IPF study independently identifies CCL22 as a CCR4 ligand in a recruitment model.	The primary chemotaxis paper focuses mechanistically on CCL17 competition and biased CCR4 signaling, not a standalone CCL22 structure or affinity measurement.	Exact CCL22-CCR4 functional evidence is present; approve.
ccl24 ccr3	Ccl24 Ccr3	approve_candidate	PMID:40955564 https://pubmed.ncbi.nlm.nih.gov/40955564/; PMID:40791394 https://pubmed.ncbi.nlm.nih.gov/40791394/; PMID:37555717 https://pubmed.ncbi.nlm.nih.gov/37555717/	mouse cardiac fibroblasts and mouse/human sarcoidosis/systemic-sclerosis contexts	receptor_activation/receptor-dependent_function	The primary cardiac study shows CCL24 directly activates fibroblasts through CCR3, with CCR3 deletion, antagonist, and CCL24 blockade reducing fibrosis; the sarcoidosis paper supports the axis context.	The sarcoidosis record is a preprint and the cardiac study is disease-context specific; direct biochemical binding is not shown.	Exact CCL24-CCR3 primary receptor-function evidence is sufficient for approval.
ccl25 ccr9	Ccl25 Ccr9	retain_low	PMID:33996408 https://pubmed.ncbi.nlm.nih.gov/33996408/; PMID:28207301 https://pubmed.ncbi.nlm.nih.gov/28207301/; PMID:32401349 https://pubmed.ncbi.nlm.nih.gov/32401349/	human/mouse mucosal and review contexts	contextual_chemotaxis	The cited reviews describe CCL25 recruitment of CCR9-positive thymocytes and mucosal T cells and summarize the canonical CCL25-CCR9 axis.	All cited records are reviews or broad immunotherapy context; no cited primary ligand-binding or receptor-specific chemotaxis experiment is supplied.	Real canonical pair, but retain low because the submitted citation set lacks primary exact-pair evidence.
ccl28 ccr10	Ccl28 Ccr10	approve_candidate	PMID:37352379 https://pubmed.ncbi.nlm.nih.gov/37352379/; PMID:28207301 https://pubmed.ncbi.nlm.nih.gov/28207301/; PMID:33076281 https://pubmed.ncbi.nlm.nih.gov/33076281/	human colorectal-liver-metastasis and human/mouse mucosal review contexts	receptor-dependent_function/chemotaxis	The primary liver-cancer study assigns IgA-positive plasma-cell recruitment to CCR10-CCL28 signaling; reviews provide compatible mucosal biology.	The study is a cellular recruitment model and does not establish direct binding or exclude other chemokine-receptor contributions in the tumor microenvironment.	Exact CCL28-CCR10 functional evidence is present; approve.
ccl28 ccr3	Ccl28 Ccr3	approve_candidate	PMID:40975172 https://pubmed.ncbi.nlm.nih.gov/40975172/; PMID:40502012 https://pubmed.ncbi.nlm.nih.gov/40502012/; PMID:39193987 https://pubmed.ncbi.nlm.nih.gov/39193987/	human receptor structure-function assays and mouse mucosal infection	 direct_binding/receptor_activation	The JBC structure-function study tests CCL28 selectivity and activation of CCR3, while the mouse infection study shows CCL28-induced neutrophil activation is largely CCR3-dependent.	Engineered chemokine variants and AlphaFold models are included in the structure-function study; infection results are receptor-dependent physiology rather than an affinity measurement.	Exact CCL28-CCR3 primary binding/activation evidence is present; approve.
ccl4 ccr5	Ccl4 Ccr5	retain_low	PMID:42319344 https://pubmed.ncbi.nlm.nih.gov/42319344/; PMID:42234523 https://pubmed.ncbi.nlm.nih.gov/42234523/; PMID:42278489 https://pubmed.ncbi.nlm.nih.gov/42278489/	human tumor data and mouse xenograft/syngeneic contexts	contextual_receptor_function	The cited recent studies associate tumor-derived CCL4 with CCR5 blockade-sensitive immune recruitment or a CCL3/4-CCR5 axis, but do not isolate CCL4 binding to CCR5.	CCL3 and CCL4 are treated together in the cited studies, and pharmacologic CCR5 inhibition is not ligand-specific.	Real pair-level pathway support is contextual; retain low.
ccl5 ackr2	Ccl5 Ackr2	retain_low	PMID:40318012 https://pubmed.ncbi.nlm.nih.gov/40318012/; PMID:40248897 https://pubmed.ncbi.nlm.nih.gov/40248897/	human head-and-neck cancer and mouse melanoma models	computational_receptor_inference/receptor-dependent_function	The HNSC study predicts CCL5-ACKR2 communication from single-cell data; the melanoma study shows ACKR2 inhibition changes CCL5-dependent immune effects and that anti-CCL5 reverses the phenotype.	Neither source directly measures CCL5 capture or binding by ACKR2; the melanoma result is an indirect scavenging/chemokine-level perturbation.	Retain low as contextual support, not exact binding evidence.
ccl5 ccr1	Ccl5 Ccr1	needs_manual_review	PMID:42548765 https://pubmed.ncbi.nlm.nih.gov/42548765/; PMID:42462714 https://pubmed.ncbi.nlm.nih.gov/42462714/; PMID:42455473 https://pubmed.ncbi.nlm.nih.gov/42455473/	recent human/mouse cancer datasets reported by the candidate	unresolved_recent_citations	The accessible cited record for the CCL5-CCR1 claim is an integrative machine-learning and molecular-docking study, not a direct receptor assay; the other cited PMIDs were not available for source-level verification in this audit.	Canonical CCL5-CCR1 biology is plausible, but the submitted recent citations do not yet provide a verifiable exact primary assay.	Manual retrieval and figure-level review of all three cited records are required before approval.
ccl5 ccr3	Ccl5 Ccr3	retain_low	PMID:42367758 https://pubmed.ncbi.nlm.nih.gov/42367758/; PMID:41855337 https://pubmed.ncbi.nlm.nih.gov/41855337/; PMID:42462714 https://pubmed.ncbi.nlm.nih.gov/42462714/	mouse osteoporosis/review and recent mixed systems	contextual_receptor_function	The cited review describes CCL5-CCR3-ERK signaling in osteoclast precursors, while the cited CCL11 study is a different ligand-receptor pair; the remaining recent source requires verification.	The direct CCL5-CCR3 evidence is presented in a review rather than a cited primary paper, and source-level confirmation of the recent record is pending.	Retain low pending primary-source verification.
ccl5 ccr5	Ccl5 Ccr5	needs_manual_review	PMID:42583704 https://pubmed.ncbi.nlm.nih.gov/42583704/; PMID:42581333 https://pubmed.ncbi.nlm.nih.gov/42581333/; PMID:42545372 https://pubmed.ncbi.nlm.nih.gov/42545372/	recent human/mouse systems reported by the candidate	unresolved_recent_citations	The submitted PMIDs were not available for full source-level verification in this audit, so assay type, species, and whether CCL5 rather than a related chemokine was tested remain unresolved.	CCL5-CCR5 is a canonical relationship, but canonical knowledge cannot substitute for opening and checking the cited primary records.	Manual retrieval of the three cited papers is required before approval.
cd40lg cd40	Cd40lg Cd40	needs_manual_review	PMID:42528416 https://pubmed.ncbi.nlm.nih.gov/42528416/; PMID:42518271 https://pubmed.ncbi.nlm.nih.gov/42518271/; PMID:42517579 https://pubmed.ncbi.nlm.nih.gov/42517579/	recent human/mouse systems reported by the candidate	unresolved_recent_citations	The cited recent records were not available for reliable source-level verification in this audit; the canonical CD40LG-CD40 relationship therefore cannot be tied to a checked assay here.	Species, assay, and receptor-complex scope remain unknown for the submitted citations.	Manual retrieval and figure-level review are required before approval.
