pair_key	pair_label_canonical	final_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	audit_notes
efna2 epha4	Efna2 Epha4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/19836338/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human recombinant ectodomains	 direct_binding; structural evidence	Crystal structures of EPHA4 with ephrin-A2 and in-vitro binding data directly establish the EFNA2-EPHA4 interaction.	Structural/recombinant evidence does not establish mouse or SCI-specific function; EphA4 can also bind B-class ephrins and requires membrane clustering for many signaling outputs.	Exact ligand and receptor were tested; the recent bioinformatics paper was not used as primary evidence.
efna2 epha5	Efna2 Epha5	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The submitted papers provide expression/bioinformatic Eph-family context but no exact EFNA2-EPHA5 binding, adhesion, or receptor-activation assay.	Do not infer the pair from broad EphA ligand promiscuity or from EFNA5-EPHA5 evidence.	Exact-pair primary support not verified; retained as unresolved low evidence.
efna2 epha7	Efna2 Epha7	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The cited papers show EFNA2 and EPHA7 expression/association but do not test EFNA2 binding to EPHA7 as a pair.	Expression and a general Eph-family interaction label are insufficient for pair approval.	Cited source scope does not support exact receptor engagement; retained low only as a plausible candidate.
efna2 epha8	Efna2 Epha8	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The submitted papers are expression/bioinformatic studies and do not provide an EFNA2-EPHA8 binding or activation assay.	Do not transfer EFNA1/4-EPHA8 evidence or generic ephrin-A promiscuity to EFNA2.	Exact-pair primary support not verified; retained low.
efna3 epha4	Efna3 Epha4	retain_low	https://pubmed.ncbi.nlm.nih.gov/41516312/;https://pubmed.ncbi.nlm.nih.gov/41307306/	not established for an exact pair assay	family-level/expression context only	The cited sources describe Eph/ephrin expression domains and bioinformatic associations, not EFNA3-EPHA4 binding or receptor-dependent function.	Family-level ligand/receptor co-expression is insufficient; cross-class or related EphA4 evidence was not transferred.	Exact pair unresolved; retained low rather than approved.
efna3 epha5	Efna3 Epha5	retain_low	https://pubmed.ncbi.nlm.nih.gov/20882566/;https://pubmed.ncbi.nlm.nih.gov/33977106/	not established for an exact pair assay	family-level/expression context only	The submitted papers show expression of ephrin/Eph genes but do not isolate EFNA3-EPHA5 engagement.	No pair-specific binding, adhesion, or receptor-activation assay was recovered from the cited records.	Cited source scope does not support exact-pair approval.
efna4 epha3	Efna4 Epha3	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/33977106/	not established for an exact pair assay	family-level/expression context only	The cited records provide expression/bioinformatic context only; no EFNA4-EPHA3 primary interaction assay was verified.	Do not infer this edge from EFNA4-EPHA4 or broad EphA family claims.	Retained low as unresolved family-level candidate.
efna4 epha4	Efna4 Epha4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/10366629/;https://pubmed.ncbi.nlm.nih.gov/41516312/	rat postnatal striatal tissue	 direct_binding	Rat striatal ligand-receptor assays showed ephrin-A4 binding to EPHA4 and not EPHA7, with selective compartment localization.	Tissue lysate binding is not purified affinity kinetics and does not establish a universal affinity ranking or mouse SCI function.	Exact EFNA4-EPHA4 pair and receptor selectivity verified.
efna4 epha5	Efna4 Epha5	retain_low	https://pubmed.ncbi.nlm.nih.gov/33977106/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The submitted papers are expression or bioinformatic analyses and do not test EFNA4-EPHA5 directly.	Related EFNA4-EPHA4/EPHA8 evidence cannot be transferred to EPHA5.	Exact-pair primary support not verified; retained low.
efna4 epha6	Efna4 Epha6	retain_low	https://pubmed.ncbi.nlm.nih.gov/33977106/	not established for an exact pair assay	family-level/expression context only	No submitted primary paper tests EFNA4 binding to EPHA6; the cited record is a bioinformatic expression analysis.	No exact species, assay, or receptor-complex support was recovered.	Current targeted inventory also lacked a qualifying exact primary source; retained low as unresolved.
efna4 epha7	Efna4 Epha7	retain_low	https://pubmed.ncbi.nlm.nih.gov/27446912/;https://pubmed.ncbi.nlm.nih.gov/41516312/	not established for an exact pair assay	family-level/expression context only	The cited studies do not test EFNA4-EPHA7 binding or receptor-dependent function.	EFNA4-EPHA4 and EFNA2/3/5-EPHA7 findings cannot be substituted.	Exact-pair primary support not verified; retained low.
efna4 epha8	Efna4 Epha8	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/10515610/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human ephrin-Fc with receptor-expressing NIH3T3 cells	 direct_binding; receptor activation	Ephrin-A4-Fc efficiently bound EPHA8 expressed in NIH3T3 cells and stimulated EPHA8 tyrosine phosphorylation.	Recombinant ligand/receptor cell assay is not a mouse developmental or SCI study; membrane presentation and clustering may alter signaling.	Exact EFNA4-EPHA8 pair verified in binding and activation assays.
efna5 epha4	Efna5 Epha4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/23959867/;https://pubmed.ncbi.nlm.nih.gov/23812375/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human recombinant ectodomains and cell assays	 direct_binding; structural activation	EPHA4-ephrin-A5 complexes were resolved structurally, and clustered ephrin-A5 binding activates EPHA4 with cell-collapse/adhesion readouts.	EphA4 signaling is contact- and clustering-dependent; no mouse SCI-specific validation was shown.	Exact EFNA5-EPHA4 pair and receptor activation scope verified.
efna5 epha5	Efna5 Epha5	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/9560275/;https://pubmed.ncbi.nlm.nih.gov/9698392/	mouse brain and mouse neuronal assays	 receptor-dependent function	Ephrin-A5 inhibited neurite growth from EphA5-expressing neurons, and ephrin-A5/EphA5 manipulation altered thalamic/hippocampal neuronal responses.	The evidence is developmental/neuronal function rather than purified binding kinetics; EphA receptor agonist/antagonist constructs can engage related EphA receptors.	Exact EFNA5-EPHA5 receptor-dependent function verified.
efna5 epha8	Efna5 Epha8	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/20496116/;https://pubmed.ncbi.nlm.nih.gov/23242526/	mammalian EphA8-expressing cell systems	 receptor activation; endocytosis	Ephrin-A5 stimulation induced EPHA8 endocytosis and Rac signaling, with the response dependent on an EPHA8 juxtamembrane region.	Cell-based signaling does not provide isolated affinity or mouse SCI evidence; ephrin-A5 can engage multiple EphA receptors.	Exact EFNA5-EPHA8 functional pair verified.
efnb1 epha4	Efnb1 Epha4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/19542359/;https://pubmed.ncbi.nlm.nih.gov/19836338/	mouse cortical progenitors; recombinant cross-class structural context	 direct_binding; receptor activation	Mouse cortical work reports EFNB1 binding EPHA4 and initiating forward signaling; structural work independently establishes EPHA4 cross-class ephrin recognition.	This is a weaker cross-class edge than canonical EphA/ephrin-A interactions and is membrane/contact dependent.	Exact EFNB1-EPHA4 pair verified; related cross-class scope retained.
efnb1 ephb2	Efnb1 Ephb2	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/11466320/;https://pubmed.ncbi.nlm.nih.gov/11585923/	mouse embryonic retina and mammalian neuronal/cell assays	 direct_binding; bidirectional receptor function	EFNB1 and EPHB2 form a phosphorylated ligand-receptor complex in neural tissue/cells; clustered ephrin-B1 activates EPHB2 and causes neurite retraction.	Activation requires clustered or membrane-presented ligand; EphB2 and ephrin-B1 both signal, so directionality is bidirectional.	Exact EFNB1-EPHB2 pair and transmembrane ligand scope verified.
efnb1 ephb3	Efnb1 Ephb3	retain_low	https://pubmed.ncbi.nlm.nih.gov/37239828/;https://pubmed.ncbi.nlm.nih.gov/35025117/	not established for an exact pair assay	family-level/expression or mutation context	The submitted records concern ephrin/Eph expression, receptor mutations, or related signaling and do not isolate EFNB1-EPHB3 binding or function.	Do not transfer EFNB1-EPHB2 or EFNB2-EPHB3 evidence to EPHB3 here.	Exact-pair primary support not verified; retained low as unresolved.
efnb1 ephb4	Efnb1 Ephb4	retain_low	https://pubmed.ncbi.nlm.nih.gov/40879824/;https://pubmed.ncbi.nlm.nih.gov/38097539/	mouse/human expression contexts only	family-level/expression context only	The cited papers report EFNB1 and EPHB4 expression/localization or tissue interaction, not a direct EFNB1-EPHB4 assay.	Expression and pathway association do not establish a ligand-receptor edge; canonical EFNB2-EPHB4 evidence is not transferable.	Retained low pending an exact pair assay.
efnb1 ephb6	Efnb1 Ephb6	retain_low	https://pubmed.ncbi.nlm.nih.gov/38627519/;https://pubmed.ncbi.nlm.nih.gov/30262919/	human cancer-cell and mammalian receptor systems	adhesion/co-clustering; noncanonical receptor function	EFNB1 and kinase-impaired EPHB6 co-cluster in trans and restrain cancer-cell invasion, supporting a contextual contact interaction.	EPHB6 is kinase-impaired and the assay is co-clustering/adhesion rather than canonical kinase activation or isolated affinity.	Exact pair is real but contextual; retained low.
efnb2 epha4	Efnb2 Epha4	retain_low	https://pubmed.ncbi.nlm.nih.gov/37551686/;https://pubmed.ncbi.nlm.nih.gov/35725568/	not established for an exact pair assay	family-level/expression and pathway context	The cited papers concern EFNB2 expression/transcription or the canonical EFNB2-EPHB4 pathway, not EFNB2-EPHA4 binding or activation.	Cross-class EphA4 promiscuity alone is insufficient without an exact assay for EFNB2.	Retained low as unresolved cross-class candidate.
efnb2 ephb2	Efnb2 Ephb2	retain_low	https://pubmed.ncbi.nlm.nih.gov/41516312/;https://pubmed.ncbi.nlm.nih.gov/41249595/	not established for an exact pair assay	family-level/expression context only	The submitted records are omics/bioinformatic studies and do not directly test EFNB2-EPHB2.	Do not substitute EFNB1-EPHB2 or EFNB2-EPHB4 evidence.	Exact-pair primary support not verified; retained low.
efnb2 ephb3	Efnb2 Ephb3	retain_low	https://pubmed.ncbi.nlm.nih.gov/9990854/;https://pubmed.ncbi.nlm.nih.gov/37162958/	mouse embryonic vascular tissue; recombinant/structural context in related work	contextual receptor-dependent function	Mouse developmental vascular work places EFNB2/EPHB3 in endothelial interactions and vascular morphogenesis, supporting a real contact-dependent edge.	The strongest evidence is tissue expression/genetic and sprouting function rather than isolated EFNB2-EPHB3 affinity; receptor combinations are complex.	Exact pair retained low because evidence is contextual, despite primary support.
efnb2 ephb4	Efnb2 Ephb4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/9630219/;https://pubmed.ncbi.nlm.nih.gov/18952909/;https://pubmed.ncbi.nlm.nih.gov/42159828/	mouse embryonic vascular/endothelial systems	 direct receptor-dependent function; adhesion	EFNB2 marks arterial endothelium and EPHB4 marks venous endothelium; loss of either disrupts angiogenesis and artery-vein sorting, establishing the exact developmental receptor-ligand axis.	Evidence is membrane/contact and tissue-context dependent, not a purified binding assay; Notch and other vascular pathways contribute.	Exact canonical EFNB2-EPHB4 pair verified in mouse primary developmental studies.
efnb2 ephb6	Efnb2 Ephb6	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/10648835/;https://pubmed.ncbi.nlm.nih.gov/33770085/	mammalian recombinant receptor/cell systems	 direct_binding; receptor-context function	Primary work identifies EFNB2 as a candidate ligand for EPHB6, and structural work resolves the EPHB6 ectodomain; the exact pair is supported at the receptor-binding level.	EPHB6 is kinase-impaired and signaling/adhesion outputs are context dependent; the ligand may be presented in clustered membrane form.	Exact EFNB2-EPHB6 pair verified; kinase-impaired receptor caveat retained.
efnb3 epha4	Efnb3 Epha4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/11182083/;https://pubmed.ncbi.nlm.nih.gov/12383247/	mouse and rat developing neural systems	 receptor-dependent function; adhesion/repulsion	EFNB3 at the spinal midline repels EPHA4-expressing corticospinal axons in mice, and ephrin-B3/EPHA4 membranes inhibit rat thalamic axon growth in vitro.	The interaction is membrane-presented and bidirectional Eph/ephrin signaling can occur; assays are developmental function rather than purified affinity.	Exact cross-class EFNB3-EPHA4 pair verified in primary neural studies.
efnb3 ephb1	Efnb3 Ephb1	retain_low	https://pubmed.ncbi.nlm.nih.gov/42181748/;https://pubmed.ncbi.nlm.nih.gov/10037197/	not established for an exact pair assay	co-expression/network context only	The submitted records are network/co-expression or spatial-transcriptomics analyses and do not test EFNB3-EPHB1 binding or receptor-dependent function.	Do not infer the pair from general EphB/ephrin-B family behavior.	Exact-pair primary support not verified; retained low.
efnb3 ephb2	Efnb3 Ephb2	retain_low	https://pubmed.ncbi.nlm.nih.gov/11464911/;https://pubmed.ncbi.nlm.nih.gov/10037197/	not established for an exact pair assay	co-expression/network context only	The cited records concern EPHB2 co-expression or other receptor associations and do not isolate EFNB3-EPHB2.	Related EFNB1/EPHB2 or EFNB3/EPHB3 evidence cannot be transferred.	Retained low pending exact pair verification.
efnb3 ephb3	Efnb3 Ephb3	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/9484836/;https://pubmed.ncbi.nlm.nih.gov/31149041/	mouse ephrin-B3 and EphB3 binding studies	 direct_binding	Binding studies of murine EFNB3 against Eph receptors found a high-affinity, selective EPHB3 interaction with approximately 1 nM dissociation constant.	The biochemical result does not establish all physiological contexts or SCI relevance; later cancer papers are not the decisive evidence.	Exact EFNB3-EPHB3 pair and direct affinity verified.
efnb3 ephb4	Efnb3 Ephb4	retain_low	https://pubmed.ncbi.nlm.nih.gov/17090524/;https://pubmed.ncbi.nlm.nih.gov/11107140/;https://pubmed.ncbi.nlm.nih.gov/10984508/	human/mixed expression studies	co-expression/expression context only	The cited papers report expression-based signaling loops or neuroblastoma Eph/ephrin expression and do not directly test EFNB3-EPHB4.	Canonical EFNB2-EPHB4 evidence and family-level expression cannot be substituted.	Exact-pair primary support not verified; retained low.
fasl fas	Fasl Fas	retain_low	https://pubmed.ncbi.nlm.nih.gov/42518252/;https://pubmed.ncbi.nlm.nih.gov/42557962/	human oral-carcinoma functional context	 receptor-dependent apoptosis pathway	The cited primary cancer studies invoke the FAS-FASL axis in apoptosis and perturb pathway activity, supporting a real contextual relationship.	The cited assays do not isolate direct FASLG binding to FAS or establish ligand-specific receptor engagement; species and membrane presentation vary.	Canonical pair retained low because the submitted primary packet is pathway-level rather than pair-isolated.
fgf1 fgfr1	Fgf1 Fgfr1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/8663044/;https://pubmed.ncbi.nlm.nih.gov/7520751/;https://pubmed.ncbi.nlm.nih.gov/42473145/	recombinant FGF1/FGFR1; engineered receptor-expressing cells	 direct_binding; receptor-panel activation	FGF1 activates FGFR1 splice variants, and biophysical work directly measured FGF/FGFR1 binding with heparin-enhanced complex formation.	Heparan sulfate/heparin is an important cofactor and receptor splice variant; older assays are engineered/recombinant rather than mouse SCI cells.	Exact pair has direct biochemical and receptor-activation evidence.
fgf1 fgfr4	Fgf1 Fgfr4	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/8663044/;https://pubmed.ncbi.nlm.nih.gov/42473145/	engineered receptor-expressing cells; full-length FGFR panel	 receptor-panel activation; binding	The receptor-specificity panel showed FGF1 activation across FGFR splice variants including FGFR4; the newer full-length receptor study directly measures differential FGF binding.	Panel/receptor-splice context and heparan-sulfate dependence remain; no mouse SCI-specific assay was shown.	Exact FGF1-FGFR4 receptor scope verified.
fgf17 fgfr1	Fgf17 Fgfr1	retain_low	https://pubmed.ncbi.nlm.nih.gov/10381577/;https://pubmed.ncbi.nlm.nih.gov/41521789/	mouse FGF17 in engineered 3T3 cells; human gastruloid context	 receptor activation; engineered-cell function	Mouse FGF17 expressed in 3T3 fibroblasts was transforming and activated the c splice form of FGFR1.	This is engineered-cell functional activation of a splice form, not purified binding or full-length receptor stoichiometry; the submitted recent papers add developmental expression/context.	Exact pair is real but contextual and isoform-limited; retained low.
fgf17 fgfr2	Fgf17 Fgfr2	retain_low	https://pubmed.ncbi.nlm.nih.gov/10381577/;https://pubmed.ncbi.nlm.nih.gov/29290621/	mouse FGF17 in engineered 3T3 cells	 receptor activation; engineered-cell function	The primary FGF17 characterization reports activation of the c splice form of FGFR2 in FGF17-expressing 3T3 fibroblasts.	Engineered-cell transformation is not direct affinity and does not resolve full-length FGFR2 isoform/cofactor scope; 29290621 does not directly test this pair.	Exact pair supported but retained low for splice-form and assay-context limitations.
fgf18 fgfr3	Fgf18 Fgfr3	retain_low	https://pubmed.ncbi.nlm.nih.gov/20507176/;https://pubmed.ncbi.nlm.nih.gov/42527406/	human fetal chondrocyte perlecan; FGFR3-expressing BaF32 cells	ternary-complex binding; receptor activation	FGF18 formed an HS-dependent ternary complex with FGFR3 on chondrocyte-derived perlecan and promoted FGFR3-dependent BaF32 proliferation.	The interaction requires perlecan/heparan sulfate and is not an isolated FGF18-FGFR3 binary affinity assay; species and extracellular-matrix context are material.	Exact pair verified, but complex/cofactor scope warrants retain_low.
fgf20 fgfr1	Fgf20 Fgfr1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/12704805/;https://pubmed.ncbi.nlm.nih.gov/32735383/;https://pubmed.ncbi.nlm.nih.gov/42097317/	rat dopaminergic neurons and BIAcore binding; mouse cochlear explants	 direct_binding; receptor-dependent function	FGF20 bound FGFR1c with high affinity by BIAcore, activated MAPK, and had FGFR1-inhibitor-sensitive neurotrophic activity; mouse cochlear work also places FGFR1 downstream of FGF20.	The principal binding assay is FGFR1c, and heparan-sulfate/co-receptor conditions and tissue context may affect signaling; no SCI-specific experiment.	Exact ligand, receptor isoform, binding, and functional dependence verified.
fgf20 fgfr2	Fgf20 Fgfr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/40826783/;https://pubmed.ncbi.nlm.nih.gov/39704013/;https://pubmed.ncbi.nlm.nih.gov/37964075/	no qualifying exact species/assay established	no qualifying exact-pair primary evidence	The submitted papers concern FGF20 expression or broad FGF/cancer or hair-follicle biology and do not test FGF20 binding to or activation of FGFR2.	FGF20-FGFR1 evidence and generic FGF receptor promiscuity cannot be transferred to FGFR2.	Exact-pair search and cited records did not yield qualifying primary support.
fgf3 fgfr1	Fgf3 Fgfr1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/7592624/;https://pubmed.ncbi.nlm.nih.gov/42542997/	mouse FGF3; BaF3 receptor-expressing cells	 direct_binding; receptor-dependent mitogenic function	Purified mouse FGF3 bound FGFR1-IIIb with high affinity and activated mitogenesis in receptor-expressing cells, with heparin-modulated responses.	Support is splice-isoform and heparin dependent; no SCI-specific assay and no binding to FGFR1-IIIc was shown.	Exact FGF3-FGFR1 pair and receptor isoform verified.
fgf3 fgfr2	Fgf3 Fgfr2	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/7592624/;https://pubmed.ncbi.nlm.nih.gov/41828344/	mouse FGF3; BaF3 receptor-expressing cells	 direct_binding; receptor-dependent mitogenic function	The same receptor competition and BaF3 assays showed high-affinity binding to FGFR2-IIIb and lower-affinity binding to FGFR2-IIIc, with matching mitogenicity.	Receptor splice form and heparin dependence are essential; cited recent papers are not the decisive assay.	Exact FGF3-FGFR2 pair verified.
fgf8 fgfr1	Fgf8 Fgfr1	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/19648917/;https://pubmed.ncbi.nlm.nih.gov/16384934/;https://pubmed.ncbi.nlm.nih.gov/20301702/	zebrafish in-vivo binding; recombinant FGF8b-FGFR1c and chick/mouse developmental assays	 direct_binding; receptor-dependent function	In-vivo FCS quantified FGF8 binding to FGFR1, and structural/SPR work established FGF8b-FGFR1c interaction with functional developmental consequences.	FGF8 splice isoforms have different receptor affinities and signaling bias; 20301702 is a review and was not used as sole support.	Exact FGF8-FGFR1 receptor interaction verified.
fgf9 fgfr2	Fgf9 Fgfr2	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/8619928/;https://pubmed.ncbi.nlm.nih.gov/41485715/;https://pubmed.ncbi.nlm.nih.gov/40913526/	mouse FGF9 and soluble/receptor-expressing cell assays	 direct_binding; receptor-dependent function	Mouse FGF9 bound FGFR2 directly at lower affinity than FGFR3 in heparin-dependent assays; later primary work reports FGF9-FGFR2 signaling in cells.	FGFR2 affinity is lower than FGFR3 and requires heparin; receptor isoform and cofactor context must remain explicit.	Exact FGF9-FGFR2 pair and affinity distinction verified.
fgf9 fgfr3	Fgf9 Fgfr3	approve_candidate	https://pubmed.ncbi.nlm.nih.gov/8619928/;https://pubmed.ncbi.nlm.nih.gov/41738290/;https://pubmed.ncbi.nlm.nih.gov/40450276/	mouse FGF9 and soluble/receptor-expressing cell assays	 direct_binding; receptor-dependent function	Mouse FGF9 bound FGFR3 with high affinity in heparin-dependent assays and did not bind FGFR1/4; later studies use FGF9-FGFR3 signaling in chondrocytes.	Binding is heparin dependent and the primary specificity study uses soluble/engineered receptors rather than SCI cells.	Exact FGF9-FGFR3 pair and high-affinity receptor specificity verified.
gdf15 gfral	Gdf15 Gfral	retain_low	https://pubmed.ncbi.nlm.nih.gov/37847913/;https://pubmed.ncbi.nlm.nih.gov/42551230/;https://pubmed.ncbi.nlm.nih.gov/42575092/	mouse wild-type versus Gfral-knockout physiology	 receptor-dependent function; complex context	Fatty-acid-induced GDF15 suppressed food intake and body mass in wild-type mice but not GFRAL-knockout mice, establishing GFRAL-dependent function of the exact pair.	GFRAL is a receptor component that signals with RET; the cited work is physiological knockout/function rather than purified GDF15-GFRAL binding and does not resolve full receptor stoichiometry.	Exact pair verified but retained low for co-receptor and assay-scope limits.
grn tnfrsf1a	Grn Tnfrsf1a	retain_low	https://pubmed.ncbi.nlm.nih.gov/26373796/;https://pubmed.ncbi.nlm.nih.gov/26853108/;https://pubmed.ncbi.nlm.nih.gov/29740434/	mouse and human/murine chondrocyte functional systems	 receptor-dependent function; direct-binding dispute	PGRN effects on adipose and chondrocyte inflammatory responses were TNFR1-dependent in mouse/human systems, but a dedicated cellular binding study failed to reproduce direct PGRN-TNFR1 binding.	The relationship is mechanistically real in some functional contexts but direct ligand-receptor binding is disputed; PGRN processing and TNFR co-context may matter.	Retained low, not approved; exact functional and negative-binding evidence both recorded.
