promotion_id	regulator_symbol	target_symbol	species_scope	evidence_weight_tier	context_level_regulator	context_level_target	context_level_exact_pair	context_evidence_scope	context_evidence_basis	context_evidence_citations	context_promotion_lane	sci_context_status	context_review_status
public_tf_comprehensive_011	Znf385a/Hzf	Cebpa	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_adipogenesis_or_p53_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/18418387/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_012	Znf385a/Hzf	Tp53	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_adipogenesis_or_p53_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/21402775/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_013	HOXD10	HOXD9	human	B_independent_literature_single_source	L0_no_context_evidence	L0_no_context_evidence	L0_no_context_evidence	no_qualifying_context_found	No exact-pair model was established in the current record (not_established_for_exact_pair); context is therefore L0 no evidence for the pair. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC453170/	context_reviewed_no_qualifying_context	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_014	NOBOX	Pou5f1	mouse	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_oocyte_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/16997917/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_015	BRD4	A2m	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_LPS_liver_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/32821285/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_016	BRD4	Abca1	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_db_db_renal_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/39990894/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_017	KDM1A/LSD1	Abca1	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_atherosclerosis_and_RAW264_7_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/33811891/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_018	KMT2D/MLL4	Abca1	mouse	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_E9_5_MEF_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/18372346/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_019	GPS2	Abca1	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_RAW_BMDM_and_peritoneal_macrophage_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/30153049/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_020	TBL1XR1/TBLR1	ABCA1	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HepG2_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/19481530/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_021	STAG2	ABCA1	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_cancer_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://www.aacr.org/wp-content/uploads/2025/05/AACR2025_Proceedings_050725.pdf	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_022	YAP1	ACKR2	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_dermal_lymphatic_endothelial_cells_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12554403/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_023	YAP1	ACTR2	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_WI_38_fibroblast_and_vascular_smooth_muscle_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://www.nature.com/articles/s41586-022-04924-6	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_024	NSD2/WHSC1	ADAM9	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_TNBC_and_colorectal_cancer_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6786427/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_025	ASH2L	Adam17	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_db_db_nephropathy_and_glomerular_mesangial_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/37879562/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_026	TET3	Agrn	mouse	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_zygote_methylome_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4542306/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_027	TET1	IL5	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_naive_CD4_T_cells_Th1_differentiation_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5868728/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_028	PRMT5	AXL	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HACC2A_and_UFH2_adrenocortical_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://link.springer.com/article/10.1186/s13046-024-03270-x	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_029	PRMT5	EPHA2	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_SUNE1_HK1_and_HEK293_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13042777/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_030	BAHD1	IFNB1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_epithelial_Listeria_infection_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3903274/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_031	CDYL	Cacng3	mouse	B_independent_literature_single_source	L2_CNS_context	L2_CNS_context	L2_CNS_context	exact_pair	The recorded exact-pair model is mouse hippocampal neurons. This supports CNS context for CDYL-to-Cacng3, but not spinal-cord or SCI context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	cns_context_candidate	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_032	CDYL	Glra1	mouse	B_independent_literature_single_source	L2_CNS_context	L2_CNS_context	L2_CNS_context	exact_pair	The recorded exact-pair model is mouse hippocampal neurons. This supports CNS context for CDYL-to-Glra1, but not spinal-cord or SCI context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	cns_context_candidate	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_033	CARM1	GREB1	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_MCF7_ERalpha_positive_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/26505218/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_034	TLE5/AES/Grg5	Ihh	mouse	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (mouse_Grg5_null_growth_plate_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/11984876/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_035	WIZ	CWH43	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_U2OS_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/25789554/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_036	WIZ	DIP2C	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_U2OS_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/25789554/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_037	AMH	ACVR1	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HEK293T_AMH_receptor_assay_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7286617/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_038	HMGB1	ACVR1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_iPSC_derived_macrophage_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8803261/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_039	FXR2	ABCA1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_K562_eCLIP_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8693918	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_040	METTL3	ADAM10	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_PANC1_and_MIA_PaCa2_pancreatic_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386607/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_041	GSK3B	Ccnd1	mouse	A_independent_literature_corroborated	L4_SCI_context	L0_no_context_evidence	L0_no_context_evidence	regulator_only	GSK3B has independent SCI patient and experimental spinal-cord evidence, but the reviewed GSK3B-to-Ccnd1 relationship is from a fibroblast model. SCI context applies to the regulator component only; the exact pair remains L0.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5364823/;https://elifesciences.org/articles/11903	sci_relevant_component_context	indirect_sci_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_042	U2AF2	APOA1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_spliceosomal_interactome_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4671683/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_043	CCL5	Agrp	mouse	A_independent_literature_corroborated	L2_CNS_context	L2_CNS_context	L2_CNS_context	exact_pair	Exact CCL5-to-Agrp evidence was studied in mouse hypothalamus ex vivo tissue and primary neurons. This establishes CNS context for the pair, but not spinal-cord or SCI context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5127185/;https://pubmed.ncbi.nlm.nih.gov/27898058/	cns_context_candidate	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_044	F10/factor Xa	CCN1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HeLa_factor_Xa_PAR1_model_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/11342437/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_045	SUPT16H/SPT16	CCND1	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_A549_NCI_H1299_NCI_H460_lung_cancer_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7648015/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_046	DYRK1A	CCND1	human	A_independent_literature_corroborated	L3_spinal_cord_tissue_context	L0_no_context_evidence	L0_no_context_evidence	regulator_only	DYRK1A has reported spinal-cord expression as part of adult CNS expression profiling, but no SCI mechanism or DYRK1A-to-CCND1 spinal-cord pair was established. The regulator is L3; the exact pair remains L0 for spinal-cord and SCI context.	https://pubmed.ncbi.nlm.nih.gov/12576186/	sci_relevant_component_context	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_047	ADA2/CECR1	ANXA2	human	B_independent_literature_single_source	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_sepsis_time_series_biomarker_analysis_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pubmed.ncbi.nlm.nih.gov/32845709/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_048	METTL14	FGFR4	human	A_independent_literature_corroborated	L4_SCI_context	L0_no_context_evidence	L0_no_context_evidence	regulator_only	METTL14 has independent SCI studies in spinal-cord neurons and SCI repair models, but the reviewed METTL14-to-FGFR4 pair is from HER2-positive breast-cancer models. SCI context applies to the regulator component only; the exact pair remains L0.	https://www.nature.com/articles/s41420-021-00808-2;https://pmc.ncbi.nlm.nih.gov/articles/PMC7953660/;https://pubmed.ncbi.nlm.nih.gov/39821864/	sci_relevant_component_context	indirect_sci_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_049	SRPK1	IGF1R	human	A_independent_literature_corroborated	L3_spinal_cord_tissue_context	L0_no_context_evidence	L0_no_context_evidence	regulator_only	SRPK1 has spinal dorsal-horn context in a nerve-injury/neuropathic-pain study, not an SCI model and not the SRPK1-to-IGF1R pair. The regulator is L3; the exact pair remains L0 for spinal-cord and SCI context.	https://pubmed.ncbi.nlm.nih.gov/27616424/;https://v22.proteinatlas.org/ENSG00000096063-SRPK1/tissue/spinal%2Bcord	sci_relevant_component_context	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
public_tf_comprehensive_050	UBE2I/UBC9	VIM	human	A_independent_literature_corroborated	L1_non_CNS_context	L1_non_CNS_context	L1_non_CNS_context	exact_pair	The recorded exact-pair model (human_HEK293T_with_HL60_and_rhesus_RF6A_Anaplasma_infection_models_not_SCI_target_cell) is non-CNS and does not provide CNS, spinal-cord-tissue, or SCI context. It therefore supports L1 non-CNS context for the exact pair, but no higher context level. This is a bounded screen result, not a claim of exhaustive literature absence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5606578/	non_cns_context_candidate	non_sci_context_limited	adjudicated_no_qualifying_context_in_current_packet
public_tf_comprehensive_051	IGF1R	APOB	human	A_independent_literature_corroborated	L3_spinal_cord_tissue_context	L0_no_context_evidence	L0_no_context_evidence	regulator_only	Independent spinal-cord neuronal IGF1/IGF1R evidence comes from a peripheral-neuropathy model, not SCI and not the IGF1R-to-APOB pair. The exact pair therefore remains L0 for the spinal-cord and SCI levels.	https://pubmed.ncbi.nlm.nih.gov/41170673/	sci_relevant_component_context	non_sci_transferable_context	adjudicated_positive_component_or_pair_context
