promotion_id	regulator_symbol	target_symbol	species_scope	context_level_exact_pair	source_registry	source_record_id	source_database	detection_method	pubmed_id	small_scale_evidence	tflink_source_url	raw_snapshot_path	raw_snapshot_sha256	snapshot_exists	snapshot_sha256_match	snapshot_row_regulator_match	snapshot_row_target_match	snapshot_row_organism_match	snapshot_row_source_match	source_chain_status	audit_basis
public_tf_comprehensive_072	ADCYAP1	LCN8	human	L0_no_context_evidence	TFLink	tflink:human:001561:a510b1da4da0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_073	AFF1	ACKR2	human	L0_no_context_evidence	TFLink	tflink:human:000910:134960ba8ea6	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_074	AFF1	ACTR2	human	L0_no_context_evidence	TFLink	tflink:human:000910:134960ba8ea6	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_075	AFF1	ACVR1	human	L0_no_context_evidence	TFLink	tflink:human:000910:134960ba8ea6	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_076	AFF1	ACVRL1	human	L0_no_context_evidence	TFLink	tflink:human:000910:134960ba8ea6	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_077	AFF3/LAF4	Ackr4	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000930:8cf566102fd0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_078	AFF3/LAF4	Acvr1	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000930:8cf566102fd0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_079	AFF3/LAF4	Adam17	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000930:8cf566102fd0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_080	AFF3/LAF4	Adam22	mouse	L0_no_context_evidence	TFLink	tflink:mouse:000930:8cf566102fd0	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_081	AFF4	A2M	human	L0_no_context_evidence	TFLink	tflink:human:000983:24916d175f9b	GTRD;ReMap	chromatin immunoprecipitation assay	29126285;27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_082	AFF4	ABCA1	human	L0_no_context_evidence	TFLink	tflink:human:000983:24916d175f9b	GTRD;ReMap	chromatin immunoprecipitation assay	29126285;27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_083	AFF4	ACKR2	human	L0_no_context_evidence	TFLink	tflink:human:000983:24916d175f9b	GTRD;ReMap	chromatin immunoprecipitation assay	29126285;27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_084	AFF4	ACTR2	human	L0_no_context_evidence	TFLink	tflink:human:000983:24916d175f9b	GTRD;ReMap	chromatin immunoprecipitation assay	29126285;27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_085	AFF4	Apoe	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001065:7944f11c6701	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_086	AFF4	Ccnd1	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001065:7944f11c6701	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_087	AFF4	Cd9	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001065:7944f11c6701	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_088	AGO1	ACKR2	human	L0_no_context_evidence	TFLink	tflink:human:000973:cdfdf9532605	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_089	AGO1	ACTR2	human	L0_no_context_evidence	TFLink	tflink:human:000973:cdfdf9532605	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_090	AGO1	ACVR1	human	L0_no_context_evidence	TFLink	tflink:human:000973:cdfdf9532605	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_091	AGO1	ADA	human	L0_no_context_evidence	TFLink	tflink:human:000973:cdfdf9532605	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_092	AGO2	ACKR2	human	L0_no_context_evidence	TFLink	tflink:human:001089:4b57fca486e1	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_093	AGO2	ACTR2	human	L0_no_context_evidence	TFLink	tflink:human:001089:4b57fca486e1	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_094	AGO2	ADAM10	human	L0_no_context_evidence	TFLink	tflink:human:001089:4b57fca486e1	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_095	AGO2	ADAM9	human	L0_no_context_evidence	TFLink	tflink:human:001089:4b57fca486e1	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_096	AHCY/Ahcy	2610001J05Rik	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001090:edb43175c419	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_097	AHCY/Ahcy	Ank1	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001090:edb43175c419	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_098	AHCY/Ahcy	Arid1a	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001090:edb43175c419	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_099	AHCY/Ahcy	Smad2	mouse	L0_no_context_evidence	TFLink	tflink:mouse:001090:edb43175c419	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_100	AHRR	ADGRB3	human	L0_no_context_evidence	TFLink	tflink:human:001370:776f07a2418e	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_A9YTQ3.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_A9YTQ3_targets.tsv	3043ddfd65d9b17e90e79844ed1795161d9dd087805fa6186474ea44801fee60	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
public_tf_comprehensive_101	AHRR	ADIPOQ	human	L0_no_context_evidence	TFLink	tflink:human:001370:776f07a2418e	GTRD	chromatin immunoprecipitation assay	27924024	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_A9YTQ3.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_A9YTQ3_targets.tsv	3043ddfd65d9b17e90e79844ed1795161d9dd087805fa6186474ea44801fee60	true	true	true	true	true	true	verified_tflink_gtrd_snapshot_pair	Exact C-tier pair matched to the species-specific TFLink raw snapshot; snapshot checksum and GTRD metadata were checked. This verifies provenance only and does not establish context or causality.
