module	pathway_name	edge_count	node_count	evidence_count
21B	ATP-P2RX2-P2RX3-heteromer	1	2	1
21B	ATP-P2RX2-P2RX5-heteromer	1	2	1
21B	ATP-P2RX2-P2RX6-heteromer	1	2	1
21B	ATP-P2RX4-P2RX6-heteromer	1	2	1
21B	ATP-P2RX7-purinergic-channel	1	2	1
21B	ATP-P2RY1-GPCR	1	2	1
21B	ATP-P2RY11-GPCR	1	2	1
21B	ATP-P2X1-ion-channel	1	2	1
21B	ATP-P2X2-ion-channel	1	2	1
21B	ATP-P2X3-ion-channel	1	2	1
21B	ATP-P2X4-ion-channel	1	2	1
21B	ATP-P2X5-ion-channel	1	2	1
21B	ATP-P2X7-IL1B-release	1	2	1
21B	ATP-P2Y2-GPCR	1	2	1
21B	ATP-P2Y4-GPCR-rat	1	2	1
21B	AVP-AVPR1A-GPCR	1	2	1
21B	AVP-AVPR1B-GPCR	1	2	1
21B	AVP-AVPR2-GPCR	1	2	1
21B	AVP-V2R-GPCR	1	2	1
21B	AVPR1A-Gq-coupling	1	2	1
21B	AVPR1B-Gq/11-coupling	1	2	1
21B	AVPR2-Gs-coupling	1	2	1
21B	AXL-pY779-PIK3R1	1	2	1
21B	AXL-pY821-GRB2	1	2	1
21B	AXL-pY821-LCK	1	2	1
21B	AXL-pY821-PIK3R1	1	2	1
21B	AXL-pY821-SRC	1	2	1
21B	AXL-pY866-PLCG1	1	2	1
21B	Acetylcholine-CHRM1-GPCR	1	2	1
21B	Acetylcholine-CHRM3-muscarinic-GPCR	1	2	1
21B	Acetylcholine-CHRM5-muscarinic-GPCR	1	2	1
21B	Acetylcholine-CHRNA7-nicotinic-channel	1	2	1
21B	Acetylcholine-M2-muscarinic	1	2	1
21B	Acetylcholine-M4-muscarinic	1	2	1
21B	Acetylcholine-alpha2beta2-nAChR	1	2	1
21B	Acetylcholine-alpha2beta4-nAChR	1	2	1
21B	Acetylcholine-alpha3alpha5beta2-nAChR	1	2	1
21B	Acetylcholine-alpha3alpha5beta4-nAChR	1	2	1
21B	Acetylcholine-alpha3alpha6beta2-nAChR	1	2	1
21B	Acetylcholine-alpha3beta2-nAChR	1	2	1
21B	Acetylcholine-alpha3beta3beta4-nAChR	1	2	1
21B	Acetylcholine-alpha3beta4-nAChR	1	2	1
21B	Acetylcholine-alpha4alpha6beta2-nAChR	1	2	1
21B	Acetylcholine-alpha4beta2-nAChR	1	2	1
21B	Acetylcholine-alpha4beta4-nAChR	1	2	1
21B	Acetylcholine-alpha6beta4beta3-nAChR	1	2	1
21B	Acetylcholine-nicotinic-AChR	1	2	1
21B	ActivinA-ACVR1B-ACVR2A-assembly	1	2	1
21B	ActivinA-ACVR1B-ACVR2B	1	2	1
21B	ActivinA-ACVR2A-binding	1	2	1
21B	ActivinA-ACVR2B-binding	1	2	1
21B	ActivinA-CRIPTO-ACVR2B-antagonism	1	2	1
21B	Adenosine-A2A-GPCR	1	2	1
21B	Adenosine-A2B-GPCR	1	2	1
21B	Adenosine-ADORA1-GPCR	1	2	1
21B	Adenosine-ADORA3-GPCR	1	2	1
21B	Adiponectin-ADIPOR1-metabolic-receptor	1	2	1
21B	Adiponectin-ADIPOR2-metabolic-receptor	1	2	1
21B	Adrenomedullin-AM2-CALCRL-RAMP3	1	2	1
21B	Agrin-LRP4-MuSK-NMJ	1	2	1
21B	Alpha4Vcollagen-GPC1-Schwann-myelination	1	2	1
21B	Alpha5beta1-CD97-endothelial-adhesion	1	2	1
21B	AlphaKG-OXGR1-GPCR	1	2	1
21B	AlphaMSH-MC3R-GPCR	1	2	1
21B	Alphavbeta3-CD97-endothelial-adhesion	1	2	1
21B	Amylin-AMY1R-GPCR-complex	1	2	1
21B	Amylin-AMY3R-GPCR-complex	1	2	1
21B	Anandamide-CNR1-Cannabinoid-GPCR	1	2	1
21B	Anandamide-CNR2-Cannabinoid-GPCR	1	2	1
21B	Ang1-7-MAS1-GPCR-PLA2-AA	1	2	1
21B	AngII-AGTR1-GPCR	1	2	1
21B	AngII-AT2-GPCR-PTPase	1	2	1
21B	Apelin-APLNR-GPCR	1	2	1
21B	Arachidonic-acid-TRAAK-channel	1	2	1
21B	Arachidonic-acid-TREK1-channel	1	2	1
21B	Aristolochic-acid-hTAS2R14-bitter-GPCR	1	2	1
21B	Aristolochic-acid-hTAS2R43-bitter-GPCR	1	2	1
21B	Azurocidin-Mac1-binding	1	2	1
21B	Aβ-CD36-microglial-migration	1	2	1
21B	Aβ-TREM2-DAP12-SYK-PI3K-AKT	1	2	1
21B	Aβfibril-CD36-CD47-alpha6beta1-tyrosine-kinase	1	2	1
21B	BAFF-BAFFR	1	2	1
21B	BAFF-BCMA-binding-function	1	2	1
21B	BAFF-TACI-binding-function	1	2	1
21B	BAFFR-PVPAT-TRAF3-noncanonical	1	2	1
21B	BAFFR-TRAF2-proximal	1	2	1
21B	BAFFR-TRAF3-proximal	1	2	1
21B	BAFFR-TRAF6-proximal	1	2	1
21B	BAI1-ELMO1-Dock180-Rac-efferocytosis	1	2	1
21B	BAI1-RTN4R-transsynaptic-neuronal-development	1	2	1
21B	BAI1-RTN4RL1-transsynaptic-neuronal-development	1	2	1
21B	BAI1-RTN4RL2-transsynaptic-neuronal-development	1	2	1
21B	BAI1-TIAM1-Par3-synaptogenesis	2	3	2
21B	BAI3-ELMO1-myoblast-fusion	1	2	1
21B	BAI3-ELMO2-myoblast-fusion	1	2	1
21B	BAI3-RTN4R-transsynaptic-neuronal-development	1	2	1
21B	BAI3-RTN4RL1-transsynaptic-neuronal-development	1	2	1
21B	BAI3-RTN4RL2-transsynaptic-neuronal-development	1	2	1
21B	BCMA-119-143-TRAF1-association	1	2	1
21B	BCMA-119-143-TRAF2-association	1	2	1
21B	BCMA-119-143-TRAF3-association	1	2	1
21B	BCMA-TRAF-adaptor-association	3	4	3
21B	BDCA2-FcRgamma-pDC-complex-assembly	1	2	1
21B	BDKRB2-G12-coupling	1	2	1
21B	BDKRB2-Gq-coupling	1	2	1
21B	BDNF-TrkB-GluN1-neuroprotection	1	2	1
21B	BDNF-TrkB-RTK	1	2	1
21B	BDNF-alpha9beta1-adhesion	1	2	1
21B	BGN-BMP4-Chordin-modulation	1	2	1
21B	BGN-TLR2-inflammatory-signaling	1	2	1
21B	BGN-TLR4-inflammatory-signaling	1	2	1
21B	BIG2-GABRB2-3-GABAergic-Golgi-trafficking	1	2	1
21B	BLNK-BTK-BCR-scaffold-relay	1	2	1
21B	BLNK-HPK1-negative-BCR-relay	1	2	1
21B	BLNK-NCK1-BCR-scaffold-relay	1	2	1
21B	BLNK-PLCG2-BCR-scaffold-relay	1	2	1
21B	BLNK-VAV1-BCR-scaffold-relay	1	2	1
21B	BMP-SMAD	2	4	1
21B	BMP-SMAD-glial	1	2	1
21B	BMP-glial-scar-function	1	2	1
21B	BMP-noncanonical-LIMK1	1	2	2
21B	BMP10-ACVRL1-BMPR2	1	2	1
21B	BMP10-ENG-endoglin	1	2	1
21B	BMP2-ACVR1-BMPR2-complex	1	2	1
21B	BMP2-BMPR1A-ACVR2A	1	2	1
21B	BMP2-BMPR1A-BMPR2-assembly	1	2	1
21B	BMP2-BMPR1A-binding	1	2	1
21B	BMP2-BMPR2-binding	1	2	1
21B	BMP4-BMPR1A-BMPR2-assembly	1	2	1
21B	BMP4-BMPR1A-specificity	1	2	1
21B	BMP4-BMPR1B-binding	1	2	1
21B	BMP4-BMPR2-binding	1	2	1
21B	BMP6-ACVR1-ALK2-binding-activation	1	2	1
21B	BMP6-BMPR1A-ALK3-binding	1	2	1
21B	BMP6-BMPR1B-ALK6-binding	1	2	1
21B	BMP6-BMPR2-binding	1	2	1
21B	BMP7-ACVR1-BMPR2-complex	1	2	1
21B	BMP7-ACVR1-binding	1	2	1
21B	BMP7-ACVR2A-binding	1	2	1
21B	BMP7-ACVR2B-binding	1	2	1
21B	BMP7-BMPR1A-ALK3-binding	1	2	1
21B	BMP7-BMPR1B-binding	1	2	1
21B	BMP7-BMPR2-binding	1	2	1
21B	BMP9-ACVR1-ALK2-context-activation	1	2	1
21B	BMP9-ACVRL1-ACVR2B	1	2	1
21B	BMP9-ENG-endoglin	1	2	1
21B	BMPER-BMP4-endothelial-modulation	1	2	1
21B	BMPR1A-XIAP-TAB1-TAK1-p38	1	2	1
21B	BNP-NPR1-guanylyl-cyclase	1	2	1
21B	BNP-NPR3-clearance-binding	1	2	1
21B	BST2-ILT7-pDC-regulatory-interaction	1	2	1
21B	BTC-EGFR-ERBB-RTK	1	2	1
21B	BTC-ERBB4-ERBB-RTK	1	2	1
21B	BTLA-pY257-pY282-SHP1-inhibitory-site-set	1	2	1
21B	BTLA-pY257-pY282-SHP2-inhibitory-site-set	1	2	1
21B	Beta-endorphin-OPRM1-GPCR	1	2	1
21B	Bile-acid-GPBAR1-GPCR	1	2	1
21B	Bitter-ligand-panel-hTAS2R7-GPCR	1	2	1
21B	Bradykinin-BDKRB2-GPCR	1	2	1
21B	C1QL1-BAI3-synaptic-connectivity	1	2	1
21B	C1QL2-BAI3-synaptic-binding	1	2	1
21B	C1QL3-BAI3-neuronal-adhesion	1	2	1
21B	C1QL4-BAI3-synaptic-binding	1	2	1
21B	C1q-CALR-CD91-apoptotic-clearance	1	2	1
21B	C1q-CD33-LAIR1-inhibitory-crosslink	1	2	1
21B	C1q-CD91-LRP1-clearance	1	2	1
21B	C1q-LAIR1-immune-tolerance	1	2	1
21B	C1q-MEGF10-astrocyte-efferocytosis	1	2	1
21B	C1q-SCARF1-efferocytosis	1	2	1
21B	C1q-TREM2-complement-suppression	1	2	1
21B	C3AR1-Gi-coupling	1	2	1
21B	C3a-C3AR1-GPCR	1	2	1
21B	C3b-CD46-complement-regulation	1	2	1
21B	C3b-CR1-complement-regulation	1	2	1
21B	C3b-CRIg-complement-clearance	1	2	1
21B	C3d-CR2-complement-binding	1	2	1
21B	C4b-CD46-complement-regulation	1	2	1
21B	C4b-CR1-complement-regulation	1	2	1
21B	C5AR1-Gi-coupling	1	2	1
21B	C5a-C5AR1-GPCR	1	2	1
21B	C5a-C5AR2-arrestin-GPCR	1	2	1
21B	C8A-CD59-MAC-inhibition	1	2	1
21B	C9-CD59-MAC-inhibition	1	2	1
21B	CA10-pan-neurexin-cis-binding-and-surface-transport	1	2	1
21B	CACNA1D-GABBR2-CaV1.3-functional-coupling	1	2	1
21B	CACNA2D1-CACNA1B-CaV2.2-auxiliary-complex	1	2	1
21B	CACNA2D2-CACNA1A-CaV2.1-auxiliary-complex	1	2	1
21B	CACNA2D4-CACNA1F-CaV1.4-photoreceptor-complex	1	2	1
21B	CACNB2-CACNA1C-CaV1.2-auxiliary-complex	1	2	1
21B	CACNB2-CACNA1F-CaV1.4-photoreceptor-complex	1	2	1
21B	CACNG2-stargazin-AMPA-receptor-trafficking-gating	1	2	1
21B	CALM1-HTR2A-calcium-dependent-regulation	1	2	1
21B	CALM1-SCN8A-Nav1.6-C-terminal-calcium-regulation	1	2	1
21B	CAML-GABRG2-GABAergic-recycling	1	2	1
21B	CASPR1-4.1B-paranodal-adaptor	1	2	1
21B	CASR-GABBR1-classC-GPCR-heteromer	1	2	1
21B	CASR-GABBR2-classC-GPCR-heteromer	1	2	1
21B	CASR-NALCN-UNC80-calcium-inhibition	1	2	1
21B	CAV1-HTR2A-caveolar-signaling-complex	1	2	1
21B	CB2-Gi/Go-coupling	1	2	1
21B	CBLN1-GRID2-GluD2-triad	1	2	1
21B	CBLN1-NRXN1-GluD2-triad	1	2	1
21B	CBLN2-GRID1-GluD1-synapse-properties	1	2	1
21B	CBLN2-GRID2-GluD2-synaptic-organizer	1	2	1
21B	CBLN2-NRXN-GluD1-triad	1	2	1
21B	CBLN4-DCC-extracellular-binding	1	2	1
21B	CBLN4-NEO1-neurexin-LTP	1	2	1
21B	CCK-CCK1R-GPCR	1	2	1
21B	CCK-CCK2R-GPCR	1	2	1
21B	CCK1R-G12-coupling	1	2	1
21B	CCK1R-Gq/11-coupling	1	2	1
21B	CCK1R-Gs-coupling	1	2	1
21B	CCK2R-Gi/Go-coupling	1	2	1
21B	CCK2R-Gq/11-coupling	1	2	1
21B	CCL1-CCR8-GPCR	1	2	1
21B	CCL1-GPR182-binding	1	2	1
21B	CCL11-CCR2-GPCR-partial-agonism	1	2	1
21B	CCL11-CCR3-GPCR	1	2	1
21B	CCL11-GPR182-binding	1	2	1
21B	CCL13-CCR2-GPCR	1	2	1
21B	CCL13-CCR3-GPCR	1	2	1
21B	CCL15-CCR1-GPCR	1	2	1
21B	CCL15-CCR3-GPCR	1	2	1
21B	CCL16-CCR1-GPCR	1	2	1
21B	CCL16-CCR2-GPCR	1	2	1
21B	CCL16-CCR5-GPCR	1	2	1
21B	CCL17-CCR4-GPCR	1	2	1
21B	CCL19-ACKR4-scavenging	1	2	1
21B	CCL19-CCR7-GPCR	1	2	1
21B	CCL19-GPR182-binding	1	2	1
21B	CCL2-ACKR1-binding	1	2	1
21B	CCL2-CCR2-GPCR	1	2	1
21B	CCL20-ACKR4-scavenging	1	2	1
21B	CCL20-CCR6-GPCR	1	2	1
21B	CCL21-ACKR4-scavenging	1	2	1
21B	CCL21-CCR7-GPCR	1	2	1
21B	CCL22-ACKR4-partial-agonism	1	2	1
21B	CCL22-CCR4-GPCR	1	2	1
21B	CCL22-GPR182-binding	1	2	1
21B	CCL24-CCR3-GPCR	1	2	1
21B	CCL24-GPR182-binding	1	2	1
21B	CCL25-ACKR4-scavenging	1	2	1
21B	CCL25-CCR9-GPCR	1	2	1
21B	CCL25-GPR182-binding	1	2	1
21B	CCL26-CCR1-antagonism	1	2	1
21B	CCL26-CCR2-antagonism	1	2	1
21B	CCL26-CCR3-GPCR	1	2	1
21B	CCL26-CCR5-antagonism	1	2	1
21B	CCL26-CX3CR1-GPCR	1	2	1
21B	CCL26-GPR182-binding	1	2	1
21B	CCL27-CCR10-GPCR	1	2	1
21B	CCL27-GPR182-binding	1	2	1
21B	CCL28-CCR10-GPCR	1	2	1
21B	CCL28-CCR3-GPCR	1	2	1
21B	CCL28-GPR182-scavenging	1	2	1
21B	CCL3-CCR1-GPCR	1	2	1
21B	CCL3-CCR5-GPCR	1	2	1
21B	CCL4-CCR5-GPCR	1	2	1
21B	CCL5-ACKR1-binding	1	2	1
21B	CCL5-CCR1-GPCR	1	2	1
21B	CCL5-CCR3-GPCR	1	2	1
21B	CCL5-CCR5-GPCR	1	2	1
21B	CCL5-alphaIIbbeta3-allosteric-activation	1	2	1
21B	CCL5-alphaVbeta3-allosteric-activation	1	2	1
21B	CCL7-ACKR1-binding	1	2	1
21B	CCL7-CCR1-GPCR	1	2	1
21B	CCL7-CCR2-GPCR	1	2	1
21B	CCL7-CCR3-GPCR	1	2	1
21B	CCL7-CCR5-antagonism	1	2	1
21B	CCL8-CCR1-GPCR	1	2	1
21B	CCL8-CCR2-GPCR	1	2	1
21B	CCL8-CCR3-GPCR	1	2	1
21B	CCL8-CCR5-GPCR	1	2	1
21B	CCR2-Gi-coupling	1	2	1
21B	CCR3-Gi-coupling	1	2	1
21B	CCR5-Gi-coupling	1	2	1
21B	CCR6-Go-coupling	1	2	1
21B	CD160-HVEM-immune-checkpoint	1	2	1
21B	CD200-CD200R1-inhibitory	1	2	1
21B	CD200R1-DOK1-inhibitory-relay	1	2	1
21B	CD200R1-DOK2-inhibitory-relay	1	2	1
21B	CD200R3-DAP12-mast-cell-adaptor-assembly	1	2	1
21B	CD22-PLCG1-BCR-association	1	2	1
21B	CD22-SHP1-inhibitory-recruitment	1	2	1
21B	CD229-LY9-AP2M1-trafficking	1	2	1
21B	CD229-LY9-ITSM-SAP-relay	1	2	1
21B	CD229-LY9-pY606-GRB2-endocytic-relay	1	2	1
21B	CD229-Y470EKL-AP2-endocytosis	1	2	1
21B	CD24-SIGLEC10-DAMP-immune-checkpoint	1	2	1
21B	CD244-ITSM-EAT2	1	2	1
21B	CD244-ITSM-SAP-activating-relay	1	2	1
21B	CD244-ITSM3-SHIP1-inhibitory-relay	1	2	1
21B	CD244-ITSM3-SHP1-inhibitory-relay	1	2	1
21B	CD244-ITSM3-SHP2-inhibitory-relay	1	2	1
21B	CD244-phosphorylated-tail-FYN-association	1	2	1
21B	CD27-PIQED-TRAF2-NFkB	1	2	1
21B	CD27-PIQED-TRAF3-modulatory-branch	1	2	1
21B	CD27-PIQED-TRAF5-costimulation	1	2	1
21B	CD27-TRAF-adaptor-recruitment	2	3	2
21B	CD28-pYMNM-GRB2-costimulation	1	2	1
21B	CD28-pYMNM-PI3K-costimulation	1	2	1
21B	CD3-ITAM-ZAP70-TCR-relay	1	2	1
21B	CD30-EEEGKED-TRAF1-NFkB	1	2	1
21B	CD30-EEEGKED-TRAF2-NFkB	1	2	1
21B	CD30-PEQET-TRAF2-NFkB	1	2	1
21B	CD30-PEQET-TRAF3-modulatory-branch	1	2	1
21B	CD30-TRAF-adaptor-recruitment	3	4	3
21B	CD300A-ITIM-SHP1-inhibition	1	2	1
21B	CD300A-ITIM-SHP1-inhibitory-relay	1	2	1
21B	CD300A-ITIM-SHP2-association	1	2	1
21B	CD300B-DAP12-efferocytosis-assembly	1	2	1
21B	CD300C-FcRgamma-activating-adaptor-assembly	1	2	1
21B	CD300D-FcRgamma-trafficking-adaptor-assembly	1	2	1
21B	CD300E-dual-DAP12-myeloid-adaptor-assembly	1	2	1
21B	CD300E-dual-FcRgamma-myeloid-adaptor-assembly	1	2	1
21B	CD300F-ITIM-SHP1-inhibitory-efferocytosis	1	2	1
21B	CD300F-pY276-p85-PI3K-efferocytosis	1	2	1
21B	CD300H-DAP10-myeloid-adaptor-assembly	1	2	1
21B	CD300H-DAP12-myeloid-adaptor-assembly	1	2	1
21B	CD30L-CD30-costimulation	1	2	1
21B	CD33-pY340-SHP1-inhibitory-ITIM	1	2	1
21B	CD33-pY340-SHP2-inhibitory-ITIM	1	2	1
21B	CD33-pY358-SHP2-inhibitory-ITIM	1	2	1
21B	CD36-ATP1A1-LYN-oxLDL-complex	1	2	1
21B	CD36-FcRgamma-Syk-internalization	2	3	2
21B	CD36-tail-LYN-scavenger-complex	1	2	1
21B	CD40-PVQET-TRAF1-costimulation	1	2	1
21B	CD40-PVQET-TRAF2-NFkB	1	2	1
21B	CD40-PVQET-TRAF3-modulatory-branch	1	2	1
21B	CD40-QEPQEINF-TRAF6-NFkB	1	2	1
21B	CD40-TRAF1-proximal	1	2	1
21B	CD40-TRAF2-proximal	1	2	1
21B	CD40-TRAF3-proximal	1	2	1
21B	CD40-TRAF6-proximal	1	2	1
21B	CD40L-CD40-costimulation	1	2	1
21B	CD40L-alphaIIbbeta3-platelet-activation	1	2	1
21B	CD40LG-Mac1-adhesion	1	2	1
21B	CD44-ezrin-adhesion	1	2	1
21B	CD46-Cyt1-GOPC-autophagy	1	2	1
21B	CD47-SIRPA-dont-eat-me	1	2	1
21B	CD48-CD244-2B4-immune-regulation	1	2	1
21B	CD55-CD97-cell-adhesion	1	2	1
21B	CD58-CD2-T-cell-adhesion-costimulation	1	2	1
21B	CD6-pY629-GADS-bivalent-adaptor-relay	1	2	1
21B	CD6-pY662-SLP76-costimulatory-relay	1	2	1
21B	CD70-CD27-costimulation	1	2	1
21B	CD72-CBLB-B-cell-tolerance-association	1	2	1
21B	CD72-pY39-GRB2-BCR-modulation	1	2	1
21B	CD72-pY7-SHP1-BCR-inhibition	1	2	1
21B	CD79-ITAM-SYK-BCR-relay	1	2	1
21B	CD80-CD28-costimulation	1	2	1
21B	CD80-CTLA4-immune-checkpoint	1	2	1
21B	CD84-EAT2-memory-B-cell-relay	1	2	1
21B	CD84-SAP-memory-B-cell-relay	1	2	1
21B	CD84-pY299-SHP2-mast-cell-inhibitory-relay	1	2	1
21B	CD86-CD28-costimulation	1	2	1
21B	CD86-CTLA4-immune-checkpoint	1	2	1
21B	CD93-alphaXbeta2-apoptotic-cell-opsonin	1	2	1
21B	CD99-CD99L2-trafficking	1	2	1
21B	CDH1-beta-catenin-cadherin-scaffold	1	2	1
21B	CDH1-p120-cadherin-stability	1	2	1
21B	CDH23-PCDH15-tip-link-adhesion	1	2	1
21B	CDH26-alpha4beta7-mucosal-leukocyte-adhesion	1	2	1
21B	CDH26-alphaE-integrin-associated-binding	1	2	1
21B	CDH5-p120-endothelial-adhesion	1	2	1
21B	CEACAM1-TIM3-immune-checkpoint	1	2	1
21B	CEACAM1L-ITIM-SHP1-TCR-inhibition	1	2	1
21B	CEACAM1L-ITIM-SHP2-inhibitory-relay	1	2	1
21B	CER1-BMP4-antagonism	1	2	1
21B	CGRP-CALCRL-RAMP1-Gs	1	2	1
21B	CGRP-CALCRL-RAMP1-Gs-coupling	1	2	1
21B	CHOP-GABBR2-ER-stress-trafficking	1	2	1
21B	CHRD-BMP4-antagonism	1	2	1
21B	CHRM1-Gi/o-coupling	1	2	1
21B	CHRM1-Gq-coupling	1	2	1
21B	CHRM2-GABBR2-neuronal-heteromer	1	2	1
21B	CHRM2-Gi-coupling	1	2	1
21B	CHRM3-Gq-coupling	1	2	1
21B	CHRM3-NALCN-SFK-cation-current	1	2	1
21B	CHRM4-Gi-coupling	1	2	1
21B	CHRM5-Gq-coupling	1	2	1
21B	CIB2-TMC1-hair-cell-mechanotransduction	1	2	1
21B	CIB2-TMC2-hair-cell-mechanotransduction	1	2	1
21B	CIPP-ASIC3-sensory-neuron-scaffold	1	2	1
21B	CIPP-HTR2A-PDZ-receptor-complex	1	2	1
21B	CIPP-HTR2B-PDZ-neuronal-signaling-platform	1	2	1
21B	CLEC12B-MAH-ITIM-SHP1-inhibitory-relay	1	2	1
21B	CLEC12B-MAH-ITIM-SHP2-inhibitory-relay	1	2	1
21B	CLEC2-SYK-hemITAM	1	2	1
21B	CLEC4A-DCIR-ITIM-SHP1-inhibitory-relay	1	2	1
21B	CLEC4A-DCIR-ITIM-SHP2-inhibitory-relay	1	2	1
21B	CLEC9A-DNGR1-hemITAM-SYK-cross-presentation	1	2	1
