resource_key	canonical_communication_id	source_record_key	source_record_key_kind	record_kind	native_ligand	native_receptor	normalized_ligand	normalized_receptor	original_values_json	normalized_values_json	transform_notes	evidence_status	method_score_json
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-47434d87a6d0de4de90afdf7	row:000011	generated_row_locator	direct_lr_candidate	Adam10	Cd44	Adam10	Cd44	"{""ligand"":""Adam10"",""receptor"":""Cd44""}"	"{""ligand"":""Adam10"",""receptor"":""Cd44"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-7b282f0cd7e7faed85ca54e1	row:000012	generated_row_locator	direct_lr_candidate	Adam10	Epha3	Adam10	Epha3	"{""ligand"":""Adam10"",""receptor"":""Epha3""}"	"{""ligand"":""Adam10"",""receptor"":""Epha3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-7033d66ab733ac29151a634f	row:000013	generated_row_locator	direct_lr_candidate	Adam10	Axl	Adam10	Axl	"{""ligand"":""Adam10"",""receptor"":""Axl""}"	"{""ligand"":""Adam10"",""receptor"":""Axl"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-909673d0de13a79d0cdd6c3b	row:000014	generated_row_locator	direct_lr_candidate	Adam10	Notch1	Adam10	Notch1	"{""ligand"":""Adam10"",""receptor"":""Notch1""}"	"{""ligand"":""Adam10"",""receptor"":""Notch1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-49fc29fc312906515654033e	row:000015	generated_row_locator	direct_lr_candidate	Adam10	Notch2	Adam10	Notch2	"{""ligand"":""Adam10"",""receptor"":""Notch2""}"	"{""ligand"":""Adam10"",""receptor"":""Notch2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6eb57448eddfa2ac1a33dc85	row:000016	generated_row_locator	direct_lr_candidate	Adam10	Nrcam	Adam10	Nrcam	"{""ligand"":""Adam10"",""receptor"":""Nrcam""}"	"{""ligand"":""Adam10"",""receptor"":""Nrcam"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-488ebc76d07870551f30705d	row:000017	generated_row_locator	direct_lr_candidate	Adam10	Tspan17	Adam10	Tspan17	"{""ligand"":""Adam10"",""receptor"":""Tspan17""}"	"{""ligand"":""Adam10"",""receptor"":""Tspan17"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-164f5c7cb799f66c7aa143ee	row:000018	generated_row_locator	direct_lr_candidate	Adam10	Tspan10	Adam10	Tspan10	"{""ligand"":""Adam10"",""receptor"":""Tspan10""}"	"{""ligand"":""Adam10"",""receptor"":""Tspan10"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-8356e40faf99f32d4b735699	row:000019	generated_row_locator	direct_lr_candidate	Adam10	Trem2	Adam10	Trem2	"{""ligand"":""Adam10"",""receptor"":""Trem2""}"	"{""ligand"":""Adam10"",""receptor"":""Trem2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-35509da4c7916e0cccad1043	row:000020	generated_row_locator	direct_lr_candidate	Tnfsf11	Tnfrsf11b	Tnfsf11	Tnfrsf11b	"{""ligand"":""Tnfsf11"",""receptor"":""Tnfrsf11b""}"	"{""ligand"":""Tnfsf11"",""receptor"":""Tnfrsf11b"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-28a7626dc25eff0709da11d0	row:000021	generated_row_locator	direct_lr_candidate	Tnfsf11	Lgr4	Tnfsf11	Lgr4	"{""ligand"":""Tnfsf11"",""receptor"":""Lgr4""}"	"{""ligand"":""Tnfsf11"",""receptor"":""Lgr4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-a47601afa10033830ae33897	row:000022	generated_row_locator	direct_lr_candidate	Tnfsf11	Tnfrsf11a	Tnfsf11	Tnfrsf11a	"{""ligand"":""Tnfsf11"",""receptor"":""Tnfrsf11a""}"	"{""ligand"":""Tnfsf11"",""receptor"":""Tnfrsf11a"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-8891b9152a0e26b7fe943657	row:000023	generated_row_locator	direct_lr_candidate	Ereg	Egfr_Erbb2	Ereg	Egfr_Erbb2	"{""ligand"":""Ereg"",""receptor"":""Egfr_Erbb2""}"	"{""ligand"":""Ereg"",""receptor"":""Egfr_Erbb2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-f74bac2d9662fc0caa743c84	row:000024	generated_row_locator	direct_lr_candidate	Ereg	Erbb2_Erbb4	Ereg	Erbb2_Erbb4	"{""ligand"":""Ereg"",""receptor"":""Erbb2_Erbb4""}"	"{""ligand"":""Ereg"",""receptor"":""Erbb2_Erbb4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-656aa41860d49f437ff28cd3	row:000025	generated_row_locator	direct_lr_candidate	Ereg	Erbb3	Ereg	Erbb3	"{""ligand"":""Ereg"",""receptor"":""Erbb3""}"	"{""ligand"":""Ereg"",""receptor"":""Erbb3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-e616e7dee3fd52ed163756d9	row:000026	generated_row_locator	direct_lr_candidate	Adam12	Itgb1	Adam12	Itgb1	"{""ligand"":""Adam12"",""receptor"":""Itgb1""}"	"{""ligand"":""Adam12"",""receptor"":""Itgb1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-bc4854addee4794147a666aa	row:000027	generated_row_locator	direct_lr_candidate	Adam12	Itga9	Adam12	Itga9	"{""ligand"":""Adam12"",""receptor"":""Itga9""}"	"{""ligand"":""Adam12"",""receptor"":""Itga9"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-1e97f12730b9990c5f00b725	row:000028	generated_row_locator	direct_lr_candidate	Tnfsf12	Tnfrsf8	Tnfsf12	Tnfrsf8	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf8""}"	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf8"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-23d18ff56e0b7fb3eb3cc547	row:000029	generated_row_locator	direct_lr_candidate	Tnfsf12	Cd163	Tnfsf12	Cd163	"{""ligand"":""Tnfsf12"",""receptor"":""Cd163""}"	"{""ligand"":""Tnfsf12"",""receptor"":""Cd163"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-44c35c65b1003c4a03d7f9a6	row:000030	generated_row_locator	direct_lr_candidate	Tnfsf12	Tnfrsf25	Tnfsf12	Tnfrsf25	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf25""}"	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf25"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-cbe6a9a739cc4b3ef36611f1	row:000031	generated_row_locator	direct_lr_candidate	Tnfsf12	Tnfrsf12a	Tnfsf12	Tnfrsf12a	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf12a""}"	"{""ligand"":""Tnfsf12"",""receptor"":""Tnfrsf12a"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-0e5e4e92a178837afdd4c62c	row:000032	generated_row_locator	direct_lr_candidate	Tnfsf14	Ltbr	Tnfsf14	Ltbr	"{""ligand"":""Tnfsf14"",""receptor"":""Ltbr""}"	"{""ligand"":""Tnfsf14"",""receptor"":""Ltbr"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-aeac0f70d073bb09d6bc7964	row:000033	generated_row_locator	direct_lr_candidate	Tnfsf14	Tnfrsf14	Tnfsf14	Tnfrsf14	"{""ligand"":""Tnfsf14"",""receptor"":""Tnfrsf14""}"	"{""ligand"":""Tnfsf14"",""receptor"":""Tnfrsf14"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-44c32a31b8bb912f14c187cc	row:000034	generated_row_locator	direct_lr_candidate	Adam23	Itgb3	Adam23	Itgb3	"{""ligand"":""Adam23"",""receptor"":""Itgb3""}"	"{""ligand"":""Adam23"",""receptor"":""Itgb3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-305b16ae535d9f34e623e8d9	row:000035	generated_row_locator	direct_lr_candidate	Adam23	Itga5	Adam23	Itga5	"{""ligand"":""Adam23"",""receptor"":""Itga5""}"	"{""ligand"":""Adam23"",""receptor"":""Itga5"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-f2dfd3b9828384559e3b5437	row:000036	generated_row_locator	direct_lr_candidate	Adam23	Itga4	Adam23	Itga4	"{""ligand"":""Adam23"",""receptor"":""Itga4""}"	"{""ligand"":""Adam23"",""receptor"":""Itga4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-fc103af527b4504fc2ae2326	row:000037	generated_row_locator	direct_lr_candidate	Adam11	Itga4	Adam11	Itga4	"{""ligand"":""Adam11"",""receptor"":""Itga4""}"	"{""ligand"":""Adam11"",""receptor"":""Itga4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-25e12cf2c62d6ab7fda986e4	row:000038	generated_row_locator	direct_lr_candidate	Icosl	Cd28	Icosl	Cd28	"{""ligand"":""Icosl"",""receptor"":""Cd28""}"	"{""ligand"":""Icosl"",""receptor"":""Cd28"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-54c46ac8fc4e92725d4e8698	row:000039	generated_row_locator	direct_lr_candidate	Icosl	Ctla4	Icosl	Ctla4	"{""ligand"":""Icosl"",""receptor"":""Ctla4""}"	"{""ligand"":""Icosl"",""receptor"":""Ctla4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-cc7badc73ffe1fad985e813e	row:000040	generated_row_locator	direct_lr_candidate	Icosl	Icos	Icosl	Icos	"{""ligand"":""Icosl"",""receptor"":""Icos""}"	"{""ligand"":""Icosl"",""receptor"":""Icos"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-729c9be88279ca46ffcf761e	row:000041	generated_row_locator	direct_lr_candidate	Sema7a	Itga1_Itgb1	Sema7a	Itga1_Itgb1	"{""ligand"":""Sema7a"",""receptor"":""Itga1_Itgb1""}"	"{""ligand"":""Sema7a"",""receptor"":""Itga1_Itgb1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-2cf1b622491ce3508f0b6f28	row:000042	generated_row_locator	direct_lr_candidate	Sema7a	Plxnc1	Sema7a	Plxnc1	"{""ligand"":""Sema7a"",""receptor"":""Plxnc1""}"	"{""ligand"":""Sema7a"",""receptor"":""Plxnc1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-ef7c0418db1f83a05512d5e2	row:000043	generated_row_locator	direct_lr_candidate	Tnfsf13	Tnfrsf11b	Tnfsf13	Tnfrsf11b	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf11b""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf11b"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-4b47e045706e9fb5d58186cd	row:000044	generated_row_locator	direct_lr_candidate	Tnfsf13	Tnfrsf13b	Tnfsf13	Tnfrsf13b	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf13b""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf13b"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-15fa1234ca13c5bf510f973d	row:000045	generated_row_locator	direct_lr_candidate	Tnfsf13	Tnfrsf1a	Tnfsf13	Tnfrsf1a	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf1a""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf1a"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-09f3b1897321c5e76b6ababd	row:000046	generated_row_locator	direct_lr_candidate	Tnfsf13	Fas	Tnfsf13	Fas	"{""ligand"":""Tnfsf13"",""receptor"":""Fas""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Fas"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-2e0e570801aeb7d9f797af91	row:000047	generated_row_locator	direct_lr_candidate	Tnfsf13	Sdc2	Tnfsf13	Sdc2	"{""ligand"":""Tnfsf13"",""receptor"":""Sdc2""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Sdc2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-a2c6670faa5a56527a1e4080	row:000048	generated_row_locator	direct_lr_candidate	Tnfsf13	Tnfrsf17	Tnfsf13	Tnfrsf17	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf17""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf17"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-1ce5d8ec7f11d6cedddf2bd2	row:000049	generated_row_locator	direct_lr_candidate	Tnfsf13	Tnfrsf14	Tnfsf13	Tnfrsf14	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf14""}"	"{""ligand"":""Tnfsf13"",""receptor"":""Tnfrsf14"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-f507ca3d49b0e384fc4c10ff	row:000050	generated_row_locator	direct_lr_candidate	Nfasc	Cntn1_Cntnap1	Nfasc	Cntn1_Cntnap1	"{""ligand"":""Nfasc"",""receptor"":""Cntn1_Cntnap1""}"	"{""ligand"":""Nfasc"",""receptor"":""Cntn1_Cntnap1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-2d0208153c7405678f83e8d4	row:000051	generated_row_locator	direct_lr_candidate	Slitrk3	Ptprs	Slitrk3	Ptprs	"{""ligand"":""Slitrk3"",""receptor"":""Ptprs""}"	"{""ligand"":""Slitrk3"",""receptor"":""Ptprs"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6e17fb4bc61642e8bc88dea4	row:000052	generated_row_locator	direct_lr_candidate	Tnfsf15	Tnfrsf25	Tnfsf15	Tnfrsf25	"{""ligand"":""Tnfsf15"",""receptor"":""Tnfrsf25""}"	"{""ligand"":""Tnfsf15"",""receptor"":""Tnfrsf25"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-c3eebfae2bc8f24c9a148040	row:000053	generated_row_locator	direct_lr_candidate	Tgfa	Egfr_Erbb2	Tgfa	Egfr_Erbb2	"{""ligand"":""Tgfa"",""receptor"":""Egfr_Erbb2""}"	"{""ligand"":""Tgfa"",""receptor"":""Egfr_Erbb2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6ad356c217efcbbb38219b11	row:000054	generated_row_locator	direct_lr_candidate	Tgfa	Erbb3	Tgfa	Erbb3	"{""ligand"":""Tgfa"",""receptor"":""Erbb3""}"	"{""ligand"":""Tgfa"",""receptor"":""Erbb3"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-7b6c94ab9c3c897382cb81a1	row:000055	generated_row_locator	direct_lr_candidate	Tgfa	Erbb4	Tgfa	Erbb4	"{""ligand"":""Tgfa"",""receptor"":""Erbb4""}"	"{""ligand"":""Tgfa"",""receptor"":""Erbb4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-39a48e98e0a12a45c75e4042	row:000056	generated_row_locator	direct_lr_candidate	Tnf	Ffar2	Tnf	Ffar2	"{""ligand"":""Tnf"",""receptor"":""Ffar2""}"	"{""ligand"":""Tnf"",""receptor"":""Ffar2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-f9542e4758984b7dfaa3bb9c	row:000057	generated_row_locator	direct_lr_candidate	Tnf	Tnfrsf21	Tnf	Tnfrsf21	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf21""}"	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf21"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-6efe6f361013e8367c6504d0	row:000058	generated_row_locator	direct_lr_candidate	Tnf	Tnfrsf1a	Tnf	Tnfrsf1a	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf1a""}"	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf1a"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-e39dd0e9962922fecbcc12f0	row:000059	generated_row_locator	direct_lr_candidate	Tnf	Tnfrsf1b	Tnf	Tnfrsf1b	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf1b""}"	"{""ligand"":""Tnf"",""receptor"":""Tnfrsf1b"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-65793a571f9d766206b1da26	row:000060	generated_row_locator	direct_lr_candidate	Tnf	Fas	Tnf	Fas	"{""ligand"":""Tnf"",""receptor"":""Fas""}"	"{""ligand"":""Tnf"",""receptor"":""Fas"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-c374b8e09c8ed28ece2389e4	row:000061	generated_row_locator	direct_lr_candidate	Tnf	Flt4	Tnf	Flt4	"{""ligand"":""Tnf"",""receptor"":""Flt4""}"	"{""ligand"":""Tnf"",""receptor"":""Flt4"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-15f6ff14c27e2298c2cb57cd	row:000062	generated_row_locator	direct_lr_candidate	Tnf	Notch1	Tnf	Notch1	"{""ligand"":""Tnf"",""receptor"":""Notch1""}"	"{""ligand"":""Tnf"",""receptor"":""Notch1"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-4fa3dd3c952b6b22ac229c52	row:000063	generated_row_locator	direct_lr_candidate	Tnf	Ptprs	Tnf	Ptprs	"{""ligand"":""Tnf"",""receptor"":""Ptprs""}"	"{""ligand"":""Tnf"",""receptor"":""Ptprs"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-63214dbc8a037579e4ada888	row:000064	generated_row_locator	direct_lr_candidate	Tnf	Sema4c	Tnf	Sema4c	"{""ligand"":""Tnf"",""receptor"":""Sema4c""}"	"{""ligand"":""Tnf"",""receptor"":""Sema4c"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-e0db70013b68578ecdd7c003	row:000065	generated_row_locator	direct_lr_candidate	Tnf	Celsr2	Tnf	Celsr2	"{""ligand"":""Tnf"",""receptor"":""Celsr2""}"	"{""ligand"":""Tnf"",""receptor"":""Celsr2"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
mscs_phase2:liana_mouseconsensus.tsv	MSCICOMM-d99b02bf25681270b8cd07e9	row:000066	generated_row_locator	direct_lr_candidate	Tnf	Icos	Tnf	Icos	"{""ligand"":""Tnf"",""receptor"":""Icos""}"	"{""ligand"":""Tnf"",""receptor"":""Icos"",""species"":""mouse""}"	Whitespace trimming only; source row retained losslessly in original_values_json.	method_resource_only	{}
