canonical_communication_id	species_scope	ligand_name	receptor_name	normalized_ligand_name	normalized_receptor_name	communication_kind	evidence_status	source_method_count	source_record_count	source_methods_json	normalization_notes
MSCICOMM-bf3d4559b90c4c260a85ffb7	mouse	A2m	Lrp1	A2m	Lrp1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d7663726764cd8a22a541d44	mouse	A2m	Mmp2	A2m	Mmp2	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-3659ac7dd449c844036b8f36	mouse	A2m	Mmp9	A2m	Mmp9	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-0586152342473a07d1c21809	mouse	AU040320	Ildr1	AU040320	Ildr1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-c978837cae4f414bf97879e0	mouse	AU040320	Mpzl3	AU040320	Mpzl3	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-36154ceeba93387e7868f5b5	mouse	AU040320	Siglece	AU040320	Siglece	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-79eb51fd95303c91c900e125	mouse	AU040320	Siglecf	AU040320	Siglecf	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ade949fdf1fec5e3bf370148	mouse	AU040320	Unc5a	AU040320	Unc5a	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-698ec893b3694bc48cb959c7	mouse	Aanat	Mtnr1a	Aanat	Mtnr1a	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-94bf64602750cceb12eaf7a8	mouse	Aanat	Mtnr1b	Aanat	Mtnr1b	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-65aad727957e7dcd770e76ad	mouse	Abca1	Apoa1	Abca1	Apoa1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-2ae06dfa762dabc9f5d4893b	mouse	Abca1	Megf10	Abca1	Megf10	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ad3ec5fd713fa1186e4d924c	mouse	Ace	Agtr2	Ace	Agtr2	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d468bd956f0e39469b59a3fa	mouse	Ace	Bdkrb2	Ace	Bdkrb2	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-20df5765525bae72004db30e	mouse	Ace2	Slc6a19	Ace2	Slc6a19	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-24669b0370879547847b4d52	mouse	Ace2	Tigit	Ace2	Tigit	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8fc9a7b06356a6c85b392c8b	mouse	Ace2	Tnfrsf11a	Ace2	Tnfrsf11a	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-5db8baa3ba9c88ed6067efb6	mouse	Ace2	Tnfrsf11b	Ace2	Tnfrsf11b	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-bebe14e0e008e46dcb59c201	mouse	Acp4	Erbb4	Acp4	Erbb4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-b3bf9f67a638a717d4f81d6a	mouse	Acp4	Vstm2b	Acp4	Vstm2b	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7e287860624ff264f917c72d	mouse	Actr2	Adrb2	Actr2	Adrb2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-08efa980dd75f6283da49b1f	mouse	Actr2	Ldlr	Actr2	Ldlr	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-edbc1126df2825b06f4d7c53	mouse	Actr2	Lrp2	Actr2	Lrp2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7f730109016741465144ad6c	mouse	Ada	Dpp4	Ada	Dpp4	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-2dd4274444a31d8603b25ca0	mouse	Adam10	App	Adam10	App	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7033d66ab733ac29151a634f	mouse	Adam10	Axl	Adam10	Axl	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d961c64861f795bc386842e1	mouse	Adam10	Cadm1	Adam10	Cadm1	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-47434d87a6d0de4de90afdf7	mouse	Adam10	Cd44	Adam10	Cd44	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7b282f0cd7e7faed85ca54e1	mouse	Adam10	Epha3	Adam10	Epha3	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d347ca9a371ffcdfb62f6aaf	mouse	Adam10	Gpnmb	Adam10	Gpnmb	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-373dc6504bc76c69734897d0	mouse	Adam10	Il6ra	Adam10	Il6ra	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-6e906af56b3454c1d461d388	mouse	Adam10	Met	Adam10	Met	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-909673d0de13a79d0cdd6c3b	mouse	Adam10	Notch1	Adam10	Notch1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-49fc29fc312906515654033e	mouse	Adam10	Notch2	Adam10	Notch2	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-9b986682dd3393149875e7e7	mouse	Adam10	Notch3	Adam10	Notch3	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-06417bdb0ab5dd3c6d5307d1	mouse	Adam10	Notch4	Adam10	Notch4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-6eb57448eddfa2ac1a33dc85	mouse	Adam10	Nrcam	Adam10	Nrcam	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8356e40faf99f32d4b735699	mouse	Adam10	Trem2	Adam10	Trem2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-164f5c7cb799f66c7aa143ee	mouse	Adam10	Tspan10	Adam10	Tspan10	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-0b975f11002f28e421ed8870	mouse	Adam10	Tspan12	Adam10	Tspan12	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ad2b4a567f261eb0434d2b25	mouse	Adam10	Tspan14	Adam10	Tspan14	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-3d3b0b2963a60930190f0384	mouse	Adam10	Tspan15	Adam10	Tspan15	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-488ebc76d07870551f30705d	mouse	Adam10	Tspan17	Adam10	Tspan17	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-db5a765d9ffb10fd2699cbc9	mouse	Adam10	Tspan33	Adam10	Tspan33	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-cbdc1b5b388d487c76194bbe	mouse	Adam10	Tspan5	Adam10	Tspan5	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7804b1842c0230f395c47423	mouse	Adam11	Ccr4	Adam11	Ccr4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-fc103af527b4504fc2ae2326	mouse	Adam11	Itga4	Adam11	Itga4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-bc4854addee4794147a666aa	mouse	Adam12	Itga9	Adam12	Itga9	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-e616e7dee3fd52ed163756d9	mouse	Adam12	Itgb1	Adam12	Itgb1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-af2bec1e5fb118b7e6c64020	mouse	Adam12	Sdc4	Adam12	Sdc4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-b99b6430a015bd518db17e16	mouse	Adam15	Itga5	Adam15	Itga5	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-0305f31fd19bde896493c1c7	mouse	Adam15	Itga9	Adam15	Itga9	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d63aabc67151cf4ea983f716	mouse	Adam15	Itgav	Adam15	Itgav	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-21a195acd809c128845ad3ba	mouse	Adam15	Itgb1	Adam15	Itgb1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-6e9e8c9b557ab621ef5ca88e	mouse	Adam15	Itgb3	Adam15	Itgb3	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-a5fb3e855a31862a12d5010f	mouse	Adam17	Erbb4	Adam17	Erbb4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-55c5d818d857b63f1e526972	mouse	Adam17	Il6ra	Adam17	Il6ra	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-f90314bd4fedbf68a2c3d984	mouse	Adam17	Itga5	Adam17	Itga5	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ff3f4786eeb3d912680abe18	mouse	Adam17	Itgb1	Adam17	Itgb1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-efe9fde750b933ba2721c290	mouse	Adam17	Met	Adam17	Met	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-20dcfc9435e891843b01bcd5	mouse	Adam17	Muc1	Adam17	Muc1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-1e8f15044835d0d273e19bde	mouse	Adam17	Notch1	Adam17	Notch1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-0f1c101c3d19c7f33eab3fc9	mouse	Adam17	Notch2	Adam17	Notch2	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-ace59602066e5a27de8730e5	mouse	Adam17	Notch3	Adam17	Notch3	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-a42c9cccee21cf7d5df6aa87	mouse	Adam17	Notch4	Adam17	Notch4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-9bafd9f9292d985e6d651be3	mouse	Adam17	Rhbdf2	Adam17	Rhbdf2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-11c78ce049c64659a471cd68	mouse	Adam2	Cd9	Adam2	Cd9	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-5f139b3ebdcf790cb33745c0	mouse	Adam2	Itga6	Adam2	Itga6	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-fadeea1f7a8b1561e3bd5b3e	mouse	Adam2	Itga9	Adam2	Itga9	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d5b7d7a2fa3ef36c3fdc6d58	mouse	Adam2	Itgb1	Adam2	Itgb1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-6b53d44cd6ce6458ad368790	mouse	Adam2	Itgb7	Adam2	Itgb7	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8421757579b59ffacb2963bd	mouse	Adam20	Il1rapl1	Adam20	Il1rapl1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-afb092677fcf39914c7d3307	mouse	Adam20	Il1rapl2	Adam20	Il1rapl2	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-51f4216b657109bb1e53d8c6	mouse	Adam21	Clec12b	Adam21	Clec12b	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-79bf87e2a0f954672d06764f	mouse	Adam21	Flt4	Adam21	Flt4	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-fd484b566cde4c2c8ac1fa40	mouse	Adam21	Igsf21	Adam21	Igsf21	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-f2dfd3b9828384559e3b5437	mouse	Adam23	Itga4	Adam23	Itga4	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-305b16ae535d9f34e623e8d9	mouse	Adam23	Itga5	Adam23	Itga5	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-44c32a31b8bb912f14c187cc	mouse	Adam23	Itgb3	Adam23	Itgb3	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-4cd25d6902c460b51e8f1886	mouse	Adam25	Il1rapl1	Adam25	Il1rapl1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7e5fd9b3347f7cf08c28cffc	mouse	Adam25	Il1rapl2	Adam25	Il1rapl2	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7e2c3829f5b16ecf93fb47bb	mouse	Adam28	Itga4	Adam28	Itga4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-a4b4cd2e9b101ae3ea0a3b5d	mouse	Adam29	Itga4	Adam29	Itga4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-b0546d88e93cab2008d224f0	mouse	Adam39	Il1rapl1	Adam39	Il1rapl1	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-31c0115674f8bdb4213a43ac	mouse	Adam39	Il1rapl2	Adam39	Il1rapl2	direct_lr_candidate	method_resource_only	1	1	"[""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-2a62e28a3adfc330d2a4ecd8	mouse	Adam7	Itga4	Adam7	Itga4	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-33bbf98617048b86082cb921	mouse	Adam7	Itgb7	Adam7	Itgb7	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-9e4ab74bd6bb410a3bc4a619	mouse	Adam9	Itga3	Adam9	Itga3	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-eae45b98587dbf5f0709f2bd	mouse	Adam9	Itga6	Adam9	Itga6	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-d5ac76c0cc71b8bb071d6413	mouse	Adam9	Itgav	Adam9	Itgav	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-2ce8e6bf616aafc190d80c55	mouse	Adam9	Itgb1	Adam9	Itgb1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-5d9580f881a0ea3b77fb4014	mouse	Adam9	Itgb5	Adam9	Itgb5	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8825e778937c3e8bf3ae935e	mouse	Adamts3	Ccbe1	Adamts3	Ccbe1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-784d1c05f24d04ec28caa8ed	mouse	Adcyap1	Adcyap1r1	Adcyap1	Adcyap1r1	direct_lr_candidate	method_resource_only	3	3	"[""cellchat"",""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-2461eadf1f30f1e00a6088fa	mouse	Adcyap1	Adrb2	Adcyap1	Adrb2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-f71f8aa60e04e1bb1146b3ea	mouse	Adcyap1	Adrb3	Adcyap1	Adrb3	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-dae9077d097567e43ee15760	mouse	Adcyap1	Dpp4	Adcyap1	Dpp4	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-daad270bf8fa085d90962a8c	mouse	Adcyap1	Gpr20	Adcyap1	Gpr20	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-84802474df3e4fe84dc1a6e9	mouse	Adcyap1	Gpr84	Adcyap1	Gpr84	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8a377047c6eb3f5054d63abb	mouse	Adcyap1	Pth1r	Adcyap1	Pth1r	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-9a594a130ac32a1dacadedbb	mouse	Adcyap1	Ramp2	Adcyap1	Ramp2	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-8910557095974baf43c4a674	mouse	Adcyap1	Ramp3	Adcyap1	Ramp3	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-1a023085453301adf846f1d5	mouse	Adcyap1	Sctr	Adcyap1	Sctr	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-668f03f385a02a7f3e684d17	mouse	Adcyap1	Tshr	Adcyap1	Tshr	direct_lr_candidate	method_resource_only	1	1	"[""liana""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
MSCICOMM-7d34ae43c1543a1a5756e17f	mouse	Adcyap1	Vipr1	Adcyap1	Vipr1	direct_lr_candidate	method_resource_only	2	2	"[""liana"",""nichenet""]"	Whitespace trimming only; no synonym, orthology, or biological validation inference.
