b_edge_id	source_entity	target_entity	relation_type	confidence_tier	evidence_layer	edge_status	exportable	register_pathway_name	pathway_family	family_label	assignment_status	assignment_basis	pathway_claim_boundary
M20B-E000037	5-HT-TPH1_SLC18A1	HTR3_complex	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000038	5-HT-TPH1_SLC18A1	Htr4	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000039	5-HT-TPH1_SLC18A1	Htr5a	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000040	5-HT-TPH1_SLC18A1	Htr6	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000041	5-HT-TPH1_SLC18A1	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000042	5-HT-TPH1_SLC18A2	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000043	5-HT-TPH1_SLC18A2	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000044	5-HT-TPH1_SLC18A2	Htr1d	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000045	5-HT-TPH1_SLC18A2	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000046	5-HT-TPH1_SLC18A2	Htr1f	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000047	5-HT-TPH1_SLC18A2	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000048	5-HT-TPH1_SLC18A2	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000049	5-HT-TPH1_SLC18A2	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000050	5-HT-TPH1_SLC18A2	HTR3_complex	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000051	5-HT-TPH1_SLC18A2	Htr4	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000052	5-HT-TPH1_SLC18A2	Htr5a	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000053	5-HT-TPH1_SLC18A2	Htr6	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000054	5-HT-TPH1_SLC18A2	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000055	5-HT-TPH1_SLC6A4	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000056	5-HT-TPH1_SLC6A4	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000057	5-HT-TPH1_SLC6A4	Htr1d	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000058	5-HT-TPH1_SLC6A4	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000059	5-HT-TPH1_SLC6A4	Htr1f	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000060	5-HT-TPH1_SLC6A4	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000061	5-HT-TPH1_SLC6A4	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000062	5-HT-TPH1_SLC6A4	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000063	5-HT-TPH1_SLC6A4	HTR3_complex	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000064	5-HT-TPH1_SLC6A4	Htr4	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000065	5-HT-TPH1_SLC6A4	Htr5a	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000066	5-HT-TPH1_SLC6A4	Htr6	engages	low	boundary	no_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000067	5-HT-TPH1_SLC6A4	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000068	5-HT-TPH2_SLC18A1	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000069	5-HT-TPH2_SLC18A1	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000070	5-HT-TPH2_SLC18A1	Htr1d	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000071	5-HT-TPH2_SLC18A1	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000072	5-HT-TPH2_SLC18A1	Htr1f	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000073	5-HT-TPH2_SLC18A1	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000074	5-HT-TPH2_SLC18A1	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000075	5-HT-TPH2_SLC18A1	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000076	5-HT-TPH2_SLC18A1	HTR3_complex	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000077	5-HT-TPH2_SLC18A1	Htr4	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000078	5-HT-TPH2_SLC18A1	Htr5a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000079	5-HT-TPH2_SLC18A1	Htr6	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000080	5-HT-TPH2_SLC18A1	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000081	5-HT-TPH2_SLC18A2	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000082	5-HT-TPH2_SLC18A2	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000083	5-HT-TPH2_SLC18A2	Htr1d	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000084	5-HT-TPH2_SLC18A2	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000085	5-HT-TPH2_SLC18A2	Htr1f	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000086	5-HT-TPH2_SLC18A2	Htr2a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000087	5-HT-TPH2_SLC18A2	Htr2b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000088	5-HT-TPH2_SLC18A2	Htr2c	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000089	5-HT-TPH2_SLC18A2	HTR3_complex	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000090	5-HT-TPH2_SLC18A2	Htr4	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000091	5-HT-TPH2_SLC18A2	Htr5a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000092	5-HT-TPH2_SLC18A2	Htr6	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000093	5-HT-TPH2_SLC18A2	Htr7	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000094	5-HT-TPH2_SLC6A4	Htr1a	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000095	5-HT-TPH2_SLC6A4	Htr1b	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000096	5-HT-TPH2_SLC6A4	Htr1d	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000097	5-HT-TPH2_SLC6A4	Htr1e	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
M20B-E000098	5-HT-TPH2_SLC6A4	Htr1f	engages	low	boundary	low_evidence	false	module20a_frozen_ligand_receptor	pathway_not_established	Pathway not established	not_established	boundary or non-direct layer; no pathway-family assignment made	Family grouping only; downstream pathway, relay, TF/program, and SCI context remain unasserted.
