repository_root	relative_path	identifier_type	identifier_value	match_scope
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID15120644_europepmc.xml	PMID	15120644	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID15564140_europepmc.xml	PMID	15564140	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID15579076_europepmc.xml	PMID	15579076	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID15950941_europepmc.xml	PMID	15950941	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID17027511_europepmc.xml	PMID	17027511	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID17083366_europepmc.xml	PMID	17083366	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID17465720_europepmc.xml	PMID	17465720	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID19342680_europepmc.xml	PMID	19342680	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID20061404_europepmc.xml	PMID	20061404	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID21565488_europepmc.xml	PMID	21565488	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID22802649.xml	PMID	22802649	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID24816455_europepmc.xml	PMID	24816455	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID25195068_europepmc.xml	PMID	25195068	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID30755657_europepmc.xml	PMID	30755657	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID31205408.xml	PMID	31205408	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID33610678.xml	PMID	33610678	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_PMID34557075_europepmc.xml	PMID	34557075	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID11564763_europepmc.xml	PMID	11564763	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID12351624_europepmc.xml	PMID	12351624	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID17074928_europepmc.xml	PMID	17074928	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID20061404_europepmc.xml	PMID	20061404	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID22802649_europepmc.xml	PMID	22802649	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL20_primary_PMID33610678_europepmc.xml	PMID	33610678	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL21_batch125_PMID11418623.xml	PMID	11418623	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL21_batch125_PMID12093291.xml	PMID	12093291	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL21_batch125_PMID17234735.xml	PMID	17234735	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID16039558_europepmc.xml	PMID	16039558	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID16039559_europepmc.xml	PMID	16039559	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID17158376_europepmc.xml	PMID	17158376	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID17418916_europepmc.xml	PMID	17418916	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID17542924_europepmc.xml	PMID	17542924	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID17565120_europepmc.xml	PMID	17565120	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID17881510_europepmc.xml	PMID	17881510	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID18204405_europepmc.xml	PMID	18204405	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID18448455_europepmc.xml	PMID	18448455	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID18802081_europepmc.xml	PMID	18802081	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID19508382_europepmc.xml	PMID	19508382	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID19553541_europepmc.xml	PMID	19553541	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_PMID20689058_europepmc.xml	PMID	20689058	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID21934731.xml	PMID	21934731	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID22215666.xml	PMID	22215666	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID22392053.xml	PMID	22392053	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID22836779.xml	PMID	22836779	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID23071771.xml	PMID	23071771	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID23306193.xml	PMID	23306193	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID23435764.xml	PMID	23435764	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL33_extra_PMID23688338.xml	PMID	23688338	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID12950150_europepmc.xml	PMID	12950150	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID16709016_europepmc.xml	PMID	16709016	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID18066066_europepmc.xml	PMID	18066066	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID26977119_europepmc.xml	PMID	26977119	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID32512917_europepmc.xml	PMID	32512917	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_PMID42312684_europepmc.xml	PMID	42312684	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID10358772_europepmc.xml	PMID	10358772	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID10510091_europepmc.xml	PMID	10510091	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID10534111_europepmc.xml	PMID	10534111	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID11003391_europepmc.xml	PMID	11003391	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID11773030_europepmc.xml	PMID	11773030	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID11786536_europepmc.xml	PMID	11786536	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID12421669_europepmc.xml	PMID	12421669	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID12704343_europepmc.xml	PMID	12704343	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID15350752_europepmc.xml	PMID	15350752	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_extra_PMID15830341_europepmc.xml	PMID	15830341	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID8557662_europepmc.xml	PMID	8557662	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID8624802_europepmc.xml	PMID	8624802	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID8986719_europepmc.xml	PMID	8986719	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID9190938_europepmc.xml	PMID	9190938	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID9605184_europepmc.xml	PMID	9605184	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_jak_PMID9813029_europepmc.xml	PMID	9813029	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID10068058_europepmc.xml	PMID	10068058	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID10369419_europepmc.xml	PMID	10369419	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID11709700_europepmc.xml	PMID	11709700	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID11773030_europepmc.xml	PMID	11773030	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID12935900_europepmc.xml	PMID	12935900	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID18005266_europepmc.xml	PMID	18005266	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_signal_PMID21321603_europepmc.xml	PMID	21321603	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID15684085_europepmc.xml	PMID	15684085	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID16640778_europepmc.xml	PMID	16640778	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID16793046_europepmc.xml	PMID	16793046	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID17324389_europepmc.xml	PMID	17324389	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID19628763_europepmc.xml	PMID	19628763	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID19880493_europepmc.xml	PMID	19880493	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL4_structure_PMID21064130_europepmc.xml	PMID	21064130	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID10483584_europepmc.xml	PMID	10483584	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID10570284_europepmc.xml	PMID	10570284	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID10657646_europepmc.xml	PMID	10657646	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID10878344_europepmc.xml	PMID	10878344	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID10881176_europepmc.xml	PMID	10881176	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID11045564_europepmc.xml	PMID	11045564	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID12027403_europepmc.xml	PMID	12027403	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID12208884_europepmc.xml	PMID	12208884	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID12225394_europepmc.xml	PMID	12225394	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID12872121_europepmc.xml	PMID	12872121	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID27856823_europepmc.xml	PMID	27856823	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID38972002_europepmc.xml	PMID	38972002	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID9843216_europepmc.xml	PMID	9843216	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_IL7_PMID9916685_europepmc.xml	PMID	9916685	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID10092887_europepmc.xml	PMID	10092887	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID10582336_europepmc.xml	PMID	10582336	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID11758170_europepmc.xml	PMID	11758170	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID12202242_europepmc.xml	PMID	12202242	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID18473871_europepmc.xml	PMID	18473871	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID21965659_europepmc.xml	PMID	21965659	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID8496674_europepmc.xml	PMID	8496674	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID9257712_europepmc.xml	PMID	9257712	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID9516124_europepmc.xml	PMID	9516124	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL5_primary_PMID9694696_europepmc.xml	PMID	9694696	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID11349123_europepmc.xml	PMID	11349123	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID11722644_europepmc.xml	PMID	11722644	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID11891057_europepmc.xml	PMID	11891057	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID12014808_europepmc.xml	PMID	12014808	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID12441142_europepmc.xml	PMID	12441142	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID12794134_europepmc.xml	PMID	12794134	filename
data/raw/evidence/module20_24_supervised_cli_phase2	data/raw/evidence/module20_24_supervised_cli_phase2/retry_A20B_IL7_primary_PMID14500690_europepmc.xml	PMID	14500690	filename
