species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	SNAI1	CDH1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006812	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	negative	12579345	19893985	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12579345;19893985; direct_evidence_pmids=12579345;19893985; source_lead_pmids=12579345;15311212;16424022;16502042;16617148;16804902;19179606;19874710;19893985;20053763.
human	AHR	CYP1A1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000030	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	8631128	9698073	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=8631128;9698073;10359656;12376470;15325265;19376845;21357676;24639079; direct_evidence_pmids=8631128;9698073;10359656;12376470;15325265;19376845;21357676;24639079; source_lead_pmids=10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073.
human	NR1I2	CYP3A4	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005088	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	23807564		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23807564; direct_evidence_pmids=23807564; source_lead_pmids=11991950;12606758;15100175;15650019;16608838;18096673;20171174;21292004;21920351;23807564.
human	ZEB1	CDH1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009295	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	23743934		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23743934; direct_evidence_pmids=23743934; source_lead_pmids=12161443;15311212;23743934.
mouse	Nr1h3	Cyp7a1	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003731	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	12117567		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12117567; direct_evidence_pmids=12117567; source_lead_pmids=12117567;21963511.
human	POU1F1	PRL	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005547	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	7877625	9207961	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=7877625;9207961;11081207;11874696;17240357;17933456;19808898; direct_evidence_pmids=7877625;9207961;11081207;11874696;17240357;17933456;19808898; source_lead_pmids=11081207;11874696;17240357;17933456;19808898;7877625;9207961;9822660.
human	SNAI2	CDH1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006824	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	22899291		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=22899291; direct_evidence_pmids=22899291; source_lead_pmids=15311212;20053763;22899291.
human	PDX1	INS	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005411	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=10426567;10567373;10585868;20886630.
human	STAT6	CCL26	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008150	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	11544308	15589317	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11544308;15589317; direct_evidence_pmids=11544308;15589317; source_lead_pmids=11544308;15589317.
human	YY1	CXCR4	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009180	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	negative	10229837	11145693	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=10229837;11145693;12571248;15737629;15805285;20068066; direct_evidence_pmids=10229837;11145693;12571248;15737629;15805285;20068066; source_lead_pmids=10229837;11145693;12571248;15737629;15805285;20068066.
human	HNF1A	CRP	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002995	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=18292576;8703909.
human	FOXM1	MYC	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002250	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	23804320		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23804320; direct_evidence_pmids=23804320; source_lead_pmids=23804320.
human	TBX21	IFNG	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008236	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	12938094	24752800	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12938094;24752800; direct_evidence_pmids=12938094;24752800; source_lead_pmids=12938094;16498264;16737784;17705132;19879772;20056084;21507199;22521571;24752800.
mouse	Runx2	Bglap2	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:004917	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	21471200		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=21471200; direct_evidence_pmids=21471200; source_lead_pmids=18821584;19324883;20717926;21471200;24106268.
human	USF1	APOA5	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008822	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	15684402	18572192	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=15684402;18572192; direct_evidence_pmids=15684402;18572192; source_lead_pmids=15684402;18572192.
human	TWIST1	AKT2	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008742	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	21876555	22982861	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=21876555;22982861; direct_evidence_pmids=21876555;22982861; source_lead_pmids=21876555;22982861.
human	STAT4	MYC	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008112	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	10702306		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=10702306; direct_evidence_pmids=10702306; source_lead_pmids=10702306.
mouse	Rel	Il12b	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:004647	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	16166378		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16166378; direct_evidence_pmids=16166378; source_lead_pmids=16166378;17291992;18523276;7565674.
human	GATA1	EPOR	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002368	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	23577103		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=23577103; direct_evidence_pmids=23577103; source_lead_pmids=23577103;7659529;8513868.
human	DDIT3	TNFRSF10B	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001105	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=15322075;15994939;18593935;18794136;21044953;21726997;21941003.
human	RARA	SFTPB	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005864	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=10070102.
human	IRF7	CXCL10	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003347	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	24701034		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=24701034; direct_evidence_pmids=24701034; source_lead_pmids=24701034.
mouse	Nfatc2	Il4	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003181	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	25037220		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=25037220; direct_evidence_pmids=25037220; source_lead_pmids=10894164;25037220;8668213.
human	ATF6	XBP1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000376	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	24269637		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=24269637; direct_evidence_pmids=24269637; source_lead_pmids=20003459;24269637.
human	BACH1	HMOX1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000409	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	negative	18550526	21982894	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=18550526;21982894; direct_evidence_pmids=18550526;21982894; source_lead_pmids=17409198;18550526;21982894.
human	E2F4	BRCA1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001356	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	negative	17106239	20133863	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=17106239;20133863;21701264;23108140; direct_evidence_pmids=17106239;20133863;21701264;23108140; source_lead_pmids=17106239;20133863;21701264;23108140.
human	GLI1	BCL2	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002520	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	19074837		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=19074837; direct_evidence_pmids=19074837; source_lead_pmids=19074837;21135115.
human	GATA2	PRG2	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002430	database_only_unverified	22B	database_curated_unverified	database_assertion	negative			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=10438731;9558404.
human	MYB	MYC	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004121	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	11259163	16088151	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=11259163;16088151;19609274; direct_evidence_pmids=11259163;16088151;19609274; source_lead_pmids=11259163;16088151;19609274.
human	FOXA1	ESR1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002166	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=20501593;24290378.
mouse	Sox2	Nanog	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:005426	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	15860457	20872845	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=15860457;20872845;22787153; direct_evidence_pmids=15860457;20872845;22787153; source_lead_pmids=15860457;16541131;20872845;22787153.
mouse	Pou5f1	Nanog	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:004342	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	15860457	16541131	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=15860457;16541131;19816951;22787153;25743411; direct_evidence_pmids=15860457;16541131;19816951;22787153;25743411; source_lead_pmids=15860457;16541131;19528230;19816951;22787153;25743411.
mouse	Lef1	Ptgs2	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002549	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=14552705;17945188;19783677.
human	TP73	CDKN1A	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008695	database_only_unverified	22B	database_curated_unverified	database_assertion	positive			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=12841870;17700533.
human	ZEB2	MEOX2	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009310	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	negative	20516212		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=20516212; direct_evidence_pmids=20516212; source_lead_pmids=20516212.
human	CTNNB1	MYC	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001056	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	17724465	18679417	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=17724465;18679417;19662654;19778454; direct_evidence_pmids=17724465;18679417;19662654; source_lead_pmids=17724465;18679417;19662654;19778454.
mouse	Esr2	Pparg	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:001072	database_only_unverified	22B	database_curated_unverified	database_assertion	negative			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=12421816;15068509.
human	NR3C1	CALD1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005143	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	positive	18772142		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=18772142; direct_evidence_pmids=18772142; source_lead_pmids=18772142.
human	CDX2	VDR	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000597	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	16604479	16883525	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=16604479;16883525;19960008; direct_evidence_pmids=16604479;16883525; source_lead_pmids=11450701;16604479;16883525;19960008.
human	POU2F1	HIST2H2BE	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005569	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=10064132;2007132.
human	JUND	PLAUR	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003606	database_only_unverified	22B	database_curated_unverified	database_assertion	unknown			not_assessed	none_claimed	not verified	not verified	TRRUST/DoRothEA source lead was not independently verified in the retrieved abstracts.	Abstract triage: exact_pair_pmids=none; direct_evidence_pmids=none; source_lead_pmids=10471035;11234878.
mouse	Clock	Per1	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:000394	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	12397359	15147242	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=12397359;15147242;15817303; direct_evidence_pmids=12397359;15147242;15817303; source_lead_pmids=12397359;12544823;15147242;15817303.
human	TCF7L2	CTNNB1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008300	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	24317174		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=24317174; direct_evidence_pmids=24317174; source_lead_pmids=24317174.
human	BMAL1	PER2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000822:4a79f3f75cf9	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	positive	10938103	11441147	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=10938103;11441147;11798163;15712105;17027273;17463251;17660446;18454201; direct_evidence_pmids=10938103;11441147;11798163;15712105;17027273;17463251;17660446;18454201; source_lead_pmids=10652231;10938103;11441147;11798163;12916720;15699353;15712105;17027273;17463251;17660446;18454201;19020302;19168071;19299583;20215567;20576619;20688499;20852621;21533189;21960634;22039518;22208286;22750052;23469106;23596172;23620290;24051492;24099911;24327317;25888034;26257703;26323038;27773696;28487473;28828400;30683868;32114021;33351992;33598947;34011974;34702951;34741025;35302984;35682995;36376366;36405557;36893964;38014083.
human	SOX9	COL2A1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006918	promote_to_22B	22B	abstract_verified_exact_pair	primary_experiment_plus_independent_corroboration	unknown	15623506	18759300	not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=15623506;18759300;20039424; direct_evidence_pmids=15623506;18759300;20039424; source_lead_pmids=15623506;18759300;20039424.
human	PGR	IGFBP1	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005430	hold_exact_pair	22B	abstract_verified_exact_pair_single_source	primary_literature_lead	unknown	15987820		not_assessed	none_claimed	as reported in abstract	as reported in abstract	Abstract-level adjudication; full-text details and species/context boundaries require manual follow-up.	Abstract triage: exact_pair_pmids=15987820; direct_evidence_pmids=15987820; source_lead_pmids=11117526;15987820.
