batch_rank	tf_key	tf_symbol	species	target_symbol	tflink_target_count	lead_rank_within_tf	pubmed_hit_count	primary_candidate_count	direct_experiment_candidate_count	best_pmid	best_score	suggested_action	query_variant	source_snapshot	limitations
8	ascl2	Ascl2	mouse	B4galt7	14210	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
8	ascl2	Ascl2	mouse	Yod1	14210	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
9	gatad2a	GATAD2A	human	TMEM53	14198	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
9	gatad2a	GATAD2A	human	MIS12	14198	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
9	gatad2a	GATAD2A	human	SNRNP35	14198	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
9	gatad2a	GATAD2A	human	PINX1	14198	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
10	arid2	ARID2	human	TMEM53	13776	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
10	arid2	ARID2	human	MIS12	13776	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
10	arid2	ARID2	human	ANKHD1	13776	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
10	arid2	ARID2	human	TBC1D9	13776	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	RAG1	human	TRAC	13520	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	RAG1	human	TMEM68	13520	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	RAG1	human	GPCPD1	13520	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	RAG1	human	MSL2	13520	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	Rag1	mouse	Ckb	13520	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	Rag1	mouse	Ndst3	13520	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	Rag1	mouse	Cenpp	13520	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
11	rag1	Rag1	mouse	Klf8	13520	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
12	gatad2b	GATAD2B	human	TMEM53	13325	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
12	gatad2b	GATAD2B	human	MIS12	13325	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
12	gatad2b	GATAD2B	human	PINX1	13325	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
12	gatad2b	GATAD2B	human	ANKHD1	13325	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
13	zbtb48	ZBTB48	human	TMEM53	13134	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
13	zbtb48	ZBTB48	human	MIS12	13134	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
13	zbtb48	ZBTB48	human	PINX1	13134	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
13	zbtb48	ZBTB48	human	TBC1D9	13134	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	ARNT2	human	MIS12	12833	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	ARNT2	human	ANKHD1	12833	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	ARNT2	human	TRIP11	12833	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	ARNT2	human	MSL2	12833	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	Arnt2	mouse	Ckb	12833	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	Arnt2	mouse	Ndst3	12833	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	Arnt2	mouse	Znf423	12833	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
14	arnt2	Arnt2	mouse	Cenpp	12833	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
15	zfp57	Zfp57	mouse	Ndst3	12062	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
15	zfp57	Zfp57	mouse	Znf423	12062	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
15	zfp57	Zfp57	mouse	Slc28a1	12062	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
15	zfp57	Zfp57	mouse	Cenpp	12062	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	GRHL3	human	PINX1	11800	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	GRHL3	human	ANKHD1	11800	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	GRHL3	human	TBC1D9	11800	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	GRHL3	human	SVOP	11800	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	Grhl3	mouse	Ndst3	11800	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	Grhl3	mouse	Alyref	11800	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	Grhl3	mouse	B4galt7	11800	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
16	grhl3	Grhl3	mouse	Ankrd46	11800	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	ZNF281	human	CARM1	11705	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	ZNF281	human	CASC3	11705	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	ZNF281	human	TBC1D9	11705	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	ZNF281	human	SVOP	11705	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	Znf281	mouse	Znf423	11705	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	Znf281	mouse	Klf8	11705	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	Znf281	mouse	Pla2g12a	11705	3	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
17	znf281	Znf281	mouse	B4galt7	11705	4	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
18	zbtb26	ZBTB26	human	MIS12	11110	1	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
18	zbtb26	ZBTB26	human	SNRNP35	11110	2	0	0	0			no_retrieved_abstract_candidate	species_unrestricted_fallback	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	Abstract-level discovery only; database/GMT membership is not treated as evidence.
