batch_rank	tf_key	tf_symbol	species	target_symbol	tflink_target_count	lead_rank_within_tf	query_variant	query	pubmed_hit_count	candidate_pmids	source_registry	source_version	source_snapshot	lead_status	limitations
2	tcf7l1	TCF7L1	human	ANKHD1	19122	3	species_unrestricted_fallback	"""TCF7L1""[Title/Abstract] AND ""ANKHD1""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
2	tcf7l1	TCF7L1	human	TBC1D9	19122	4	species_unrestricted_fallback	"""TCF7L1""[Title/Abstract] AND ""TBC1D9""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
2	tcf7l1	Tcf7l1	mouse	Ckb	19122	1	species_unrestricted_fallback	"""Tcf7l1""[Title/Abstract] AND ""Ckb""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
2	tcf7l1	Tcf7l1	mouse	Cenpp	19122	2	species_unrestricted_fallback	"""Tcf7l1""[Title/Abstract] AND ""Cenpp""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
2	tcf7l1	Tcf7l1	mouse	Znf426	19122	3	species_unrestricted_fallback	"""Tcf7l1""[Title/Abstract] AND ""Znf426""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
2	tcf7l1	Tcf7l1	mouse	Tmem18	19122	4	species_unrestricted_fallback	"""Tcf7l1""[Title/Abstract] AND ""Tmem18""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	SETDB1	human	TMEM53	19086	1	species_unrestricted_fallback	"""SETDB1""[Title/Abstract] AND ""TMEM53""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	SETDB1	human	MIS12	19086	2	species_unrestricted_fallback	"""SETDB1""[Title/Abstract] AND ""MIS12""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	SETDB1	human	SNRNP35	19086	3	species_unrestricted_fallback	"""SETDB1""[Title/Abstract] AND ""SNRNP35""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	SETDB1	human	SVOP	19086	4	species_unrestricted_fallback	"""SETDB1""[Title/Abstract] AND ""SVOP""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	Setdb1	mouse	Znf423	19086	1	species_unrestricted_fallback	"""Setdb1""[Title/Abstract] AND ""Znf423""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	Setdb1	mouse	Cenpp	19086	2	species_unrestricted_fallback	"""Setdb1""[Title/Abstract] AND ""Cenpp""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	Setdb1	mouse	Cd40	19086	3	species_unrestricted_fallback	"""Setdb1""[Title/Abstract] AND ""Cd40""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
3	setdb1	Setdb1	mouse	B4galt7	19086	4	species_unrestricted_fallback	"""Setdb1""[Title/Abstract] AND ""B4galt7""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	ZFX	human	TMEM53	16412	1	species_unrestricted_fallback	"""ZFX""[Title/Abstract] AND ""TMEM53""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	ZFX	human	MIS12	16412	2	species_unrestricted_fallback	"""ZFX""[Title/Abstract] AND ""MIS12""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	ZFX	human	SNRNP35	16412	3	species_unrestricted_fallback	"""ZFX""[Title/Abstract] AND ""SNRNP35""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	ZFX	human	TBC1D9	16412	4	species_unrestricted_fallback	"""ZFX""[Title/Abstract] AND ""TBC1D9""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	Zfx	mouse	Emg1	16412	1	species_unrestricted_fallback	"""Zfx""[Title/Abstract] AND ""Emg1""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	Zfx	mouse	Usp28	16412	2	species_unrestricted_fallback	"""Zfx""[Title/Abstract] AND ""Usp28""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	Zfx	mouse	Ciao1	16412	3	species_unrestricted_fallback	"""Zfx""[Title/Abstract] AND ""Ciao1""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
4	zfx	Zfx	mouse	Aurka	16412	4	species_unrestricted_fallback	"""Zfx""[Title/Abstract] AND ""Aurka""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
5	mbd4	MBD4	human	TMEM53	16091	1	species_unrestricted_fallback	"""MBD4""[Title/Abstract] AND ""TMEM53""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
5	mbd4	MBD4	human	MIS12	16091	2	species_unrestricted_fallback	"""MBD4""[Title/Abstract] AND ""MIS12""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
5	mbd4	MBD4	human	SNRNP35	16091	3	species_unrestricted_fallback	"""MBD4""[Title/Abstract] AND ""SNRNP35""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
5	mbd4	MBD4	human	TBC1D9	16091	4	species_unrestricted_fallback	"""MBD4""[Title/Abstract] AND ""TBC1D9""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
6	ebf2	Ebf2	mouse	Ckb	14888	1	species_unrestricted_fallback	"""Ebf2""[Title/Abstract] AND ""Ckb""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
6	ebf2	Ebf2	mouse	Ndst3	14888	2	species_unrestricted_fallback	"""Ebf2""[Title/Abstract] AND ""Ndst3""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
6	ebf2	Ebf2	mouse	Znf423	14888	3	species_unrestricted_fallback	"""Ebf2""[Title/Abstract] AND ""Znf423""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
6	ebf2	Ebf2	mouse	Cenpp	14888	4	species_unrestricted_fallback	"""Ebf2""[Title/Abstract] AND ""Cenpp""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
7	isx	Isx	mouse	Ckb	14564	1	species_unrestricted_fallback	"""Isx""[Title/Abstract] AND ""Ckb""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
7	isx	Isx	mouse	Ndst3	14564	2	species_unrestricted_fallback	"""Isx""[Title/Abstract] AND ""Ndst3""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
7	isx	Isx	mouse	Znf423	14564	3	species_unrestricted_fallback	"""Isx""[Title/Abstract] AND ""Znf423""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
7	isx	Isx	mouse	Cenpp	14564	4	species_unrestricted_fallback	"""Isx""[Title/Abstract] AND ""Cenpp""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	ASCL2	human	TMEM53	14210	1	species_unrestricted_fallback	"""ASCL2""[Title/Abstract] AND ""TMEM53""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	ASCL2	human	MIS12	14210	2	species_unrestricted_fallback	"""ASCL2""[Title/Abstract] AND ""MIS12""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	ASCL2	human	SNRNP35	14210	3	species_unrestricted_fallback	"""ASCL2""[Title/Abstract] AND ""SNRNP35""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	ASCL2	human	TBC1D9	14210	4	species_unrestricted_fallback	"""ASCL2""[Title/Abstract] AND ""TBC1D9""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	Ascl2	mouse	Cenpp	14210	1	species_unrestricted_fallback	"""Ascl2""[Title/Abstract] AND ""Cenpp""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	Ascl2	mouse	Pou1f1	14210	2	species_unrestricted_fallback	"""Ascl2""[Title/Abstract] AND ""Pou1f1""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	Ascl2	mouse	B4galt7	14210	3	species_unrestricted_fallback	"""Ascl2""[Title/Abstract] AND ""B4galt7""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
8	ascl2	Ascl2	mouse	Yod1	14210	4	species_unrestricted_fallback	"""Ascl2""[Title/Abstract] AND ""Yod1""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_mouse_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
9	gatad2a	GATAD2A	human	TMEM53	14198	1	species_unrestricted_fallback	"""GATAD2A""[Title/Abstract] AND ""TMEM53""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
9	gatad2a	GATAD2A	human	MIS12	14198	2	species_unrestricted_fallback	"""GATAD2A""[Title/Abstract] AND ""MIS12""[Title/Abstract] AND (regulat*[Title/Abstract] OR transcri*[Title/Abstract] OR promoter[Title/Abstract] OR binding[Title/Abstract] OR expression[Title/Abstract])"	0		TFLink	TFLink_v1.0_snapshot	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	target_search_lead_only	GMT membership has no target-level assay, source database, or PMID; exact-pair literature review required.
