queue_id	module	edge_id	source_label	target_label	evidence_scope	curation_priority	disposition	output_class_observed	route_action	existing_output_route_count	existing_output_route_ids	review_basis	source_locator	source_evidence_ids	evidence_summary	limitations	next_action
M21B-DOWNSTREAM:02579	21B	M21B-E002196	Collagen IV	ITGA2:ITGB1 integrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:8344274; PMID:1646206	M21B-EVID-002139	Primary-supported claim: The reviews identify alpha2beta1 as a collagen IV receptor and the cited primary directly measures isolated alpha2beta1 binding to triple-helical collagen IV CB3 fragments, with affinity chromatography independently isolating the alpha2beta1 complex from collagen IV-binding cell material. Primary model/assay: Purified alpha2beta1 integrin and triple-helical collagen IV CB3/tryptic fragments; solid-phase and inhibition assays with cation dependence and nanomolar affinity; collagen IV affinity chromatography from cell lysates	Preserve native/triple-helical collagen IV or CB3 fragment conformation, alpha2beta1 heterodimer and cation dependence; adhesion/receptor evidence is non-SCI and does not imply a universal collagen receptor mechanism.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02580	21B	M21B-E002211	NPHS1/Nephrin	KIRREL1/NEPH1	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12660326	M21B-EVID-002154	Primary-supported claim: The reviews identify nephrin and NEPH1 as heterophilic slit-diaphragm partners, and the cited primary demonstrates reciprocal nephrin/NEPH1 ectodomain pull-down and glycosylation-dependent heterodimerization. Primary model/assay: NEPH1-Ig and nephrin-Ig fusion proteins with full-length proteins in HEK293T cells; reciprocal co-immunoprecipitation, pull-down and Ig-domain truncation assays	Preserve glycosylation-dependent nephrin–NEPH1 heterodimerization and podocyte slit-diaphragm cis/trans ambiguity; no SCI, signaling-kinase or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02581	21B	M21B-E002363	NLGN2/neuroligin-2	NRXN1B/beta-neurexin-1 (SS4+)	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:18334217; PMID:8576240	M21B-EVID-002306	Primary-supported claim: The reviews describe splice-dependent neuroligin-neurexin recognition; the cited primaries support neuroligin-2 interaction with neurexin-1beta carrying the SS4 insert and beta-neurexin binding of neuroligin-2 in recombinant/native systems. Primary model/assay: Rat/bovine recombinant neurexin-1beta splice isoforms and neuroligin proteins; crystal structure of neurexin-1beta+SS4, binding/affinity and alternative-splice comparisons, with native brain-protein and recombinant binding assays	Preserve NLGN2 and neurexin-1beta SS4/splice context; binding affinity is splice-dependent and the evidence is synaptic/neurodevelopmental rather than SCI; no generalized neuroligin-neurexin equivalence is inferred.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02582	21B	M21B-E002364	NLGN3/neuroligin-3	NRXN1B/beta-neurexin-1 (SS4-)	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:8576240; PMID:17042500	M21B-EVID-002307	Primary-supported claim: The reviews summarize neuroligin-neurexin splice-code evidence; the cited primaries show neuroligin-3 binds beta-neurexins, with strong beta-neurexin-1 recognition in the no-SS4-insert context and defined 2:2 ectodomain-complex/affinity behavior across neuroligin isoforms. Primary model/assay: Rat recombinant neuroligin-3 and beta-neurexin-1 ectodomains plus native brain-protein comparator; recombinant binding, affinity chromatography/SPR and splice-isoform comparisons, including beta-neurexin-1 SS4 dependence	Preserve beta-neurexin-1 and SS4-negative splice context; neuroligin-3 affinity and synaptic function are isoform/context dependent, with no SCI or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02594	21B	M21B-E002405	GLRB/glycine receptor beta subunit	GPHN/gephyrin	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:7546736; DOI:10.1016/0896-6273(95)90145-0	M21B-EVID-002348	Primary-supported claim: The reviews identify the glycine-receptor beta subunit as the canonical gephyrin-binding subunit; the cited primary maps a beta-subunit cytoplasmic-loop binding motif, demonstrates recombinant gephyrin binding and shows loss/gain of binding in receptor-loop insertion assays. Primary model/assay: Rat glycine-receptor beta intracellular loop and recombinant gephyrin, overlay and transfected-mammalian-cell assays, beta-loop insertion into GABA-A beta1 and receptor alpha-subunit comparators	Preserve the GlyR beta TM3-TM4 intracellular loop and gephyrin E-domain anchoring mechanism; alpha-subunits did not bind in the cited primary, and no autonomous channel signaling, SCI transfer or terminal-TF inference is added.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02631	21B	M21B-E002491	P2RX2/P2X2 ATP-gated receptor	TUBB/tubulin beta I	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17664027; DOI:10.1016/j.neuint.2007.06.032	M21B-EVID-002434	Primary-supported claim: The reviews identify beta-tubulin as a P2X2 C-terminal-associated cytoskeletal protein; the cited primary shows isoform-specific P2X2a C-terminal binding to beta-tubulin I in biochemical assays, direct interaction with purified brain tubulin and surface-receptor association in heterologous cells. Primary model/assay: Rat brain and bovine brain tubulin, purified P2X2/P2X2b C-terminal constructs and HEK293 cells; GST pull-down, co-sedimentation, co-immunoprecipitation, isoform deletion/mutant comparison and surface biotinylation assays	Represent the long P2X2a isoform-to-beta-tubulin-I interaction; preserve alternative-splice and cytoskeletal-context boundaries, without inferring a universal tubulin isoform, SCI effect or terminal-TF output.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02677	21B	M21B-E002665	CASK/MAGUK scaffold	NRXN1/neurexin-1	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:8786425; PMCID:PMC6578772	M21B-EVID-002608	Primary-supported claim: The review identifies CASK as an intracellular neurexin scaffold; the cited primary uses yeast two-hybrid and C-terminal deletion mapping to show neurexin binding through its terminal residues. Primary model/assay: Rat and human neurexin/CASK constructs; yeast two-hybrid, deletion mapping and biochemical interaction assays	Preserve intracellular synaptic adhesion-scaffold association, neurexin isoform and Y2H limitations; no SCI or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02767	21B	M21B-E003000	MUC1-Tn glycoform	MGL/CLEC10A	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17195076	M21B-EVID-002943	Primary-supported claim: The review cites the primary study identifying MGL/CLEC10A as the receptor recognizing and binding the tumor-associated Tn glycoform of MUC1. Primary model/assay: Human MUC1-Fc carrying Tn antigen, fluorescent-bead binding to human monocyte-derived dendritic cells, MGL-Fc and MGL-transfected CHO binding assays, GalNAc/EGTA blockade, and primary colon-carcinoma tissue binding	Review-guided candidate traced to primary MUC1-Tn-MGL recognition evidence.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02821	21B	M21B-E003702	YAP1 pS127	SFN/14-3-3sigma	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:20823509; PMCID:PMC2935210	M21B-EVID-003645	Crystal-structure and phosphoserine-contact analyses support direct SFN/14-3-3sigma binding to YAP1 pSer127.	Binding is shown for a phosphopeptide and one 14-3-3 isoform; preserve structural-system and isoform boundaries, with no SCI or unsupported terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:02863	21B	M21B-E004759	M4/Arp4/M protein/Streptococcus pyogenes	C4BP/C4b-binding protein	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	2	ROUTE:11072;ROUTE:11073	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16330538	M21B-EVID-004702	Primary-supported claim: The review identifies M4/Arp4 M-protein as a C4BP-binding streptococcal complement-evasion factor; the cited primary demonstrates direct C4BP CCP1-2 interaction with recombinant M4/Arp4 material and structural/biochemical binding analysis. Primary model/assay: Recombinant S. pyogenes M4/Arp4 hypervariable-region or M-protein constructs and purified human C4BP; solid-phase binding, deletion/mutant mapping and structural/biochemical interaction assays.	Preserve M4/Arp4 hypervariable-region and C4BP CCP1-2 binding context; direct complement capture does not imply a host signaling relay or SCI/terminal-TF effect.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03014	21B	M21B-E005464	ICAM1/CD54	ITGAX:ITGB2/CR4	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:16252253; DOI:10.1002/eji.200425914	M21B-EVID-005407	Primary-supported claim: The reviews identify ICAM-1 as a ligand of beta2 integrins including CR4 and cite the primary study demonstrating direct ICAM-1/CD11c-CD18 interaction and domain-specific recognition. Primary model/assay: Purified human CD11c/CD18 and ICAM-1 ectodomain systems; phage-display and synthetic-peptide competition, surface-plasmon-resonance, CD11c/CD18-positive monocytes, and ICAM-1 deletion constructs.	Promote direct ICAM-1/CR4 binding and bounded adhesion only; preserve the ICAM-1 D4 and multivalent-peptide/CR4 assay caveats, and do not transfer to all Mac-1/LFA-1 biology or SCI.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03024	21B	M21B-E005534	NECTIN1/CD111	CD96/TACTILE	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:17971293; PMCID:PMC6373967; DOI:10.1371/journal.pone.0191588	M21B-EVID-005477	Primary-supported claim: The review identifies nectin-1 as a species- and receptor-context-dependent CD96 ligand; the cited primary directly demonstrates dose-dependent human nectin-1/CD96 ectodomain binding by ELISA and SPR, with the nectin-1 V-domain sufficient for interaction. Primary model/assay: Human recombinant nectin-1 full ectodomain/V-domain and CD96 ectodomain; ELISA, surface-plasmon resonance and domain/isoform comparison.	Promote direct human nectin-1/CD96 ectodomain binding with bounded adhesion/checkpoint context only; preserve the relatively low affinity, CD96 isoform and species differences, and do not infer universal NK signaling or SCI function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03025	21B	M21B-E005536	LGALS3BP/Mac-2BP	SIGLEC10	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:25320078; PMCID:PMC4246102; DOI:10.1038/onc.2014.326	M21B-EVID-005479	Primary-supported claim: The review identifies LGALS3BP as an extracellular immunomodulatory glycoprotein and cites the primary study showing high-affinity binding of human LGALS3BP to Siglec-10-Fc in recombinant glycan-dependent assays. Primary model/assay: Human and murine recombinant LGALS3BP/CyCAP and human Siglec-5/6/7/9/10/11 or mouse Siglec-E Fc proteins; ELISA binding panel, sialic-acid mutant controls and carcinoma-tissue proximity context.	Promote direct glycan-dependent LGALS3BP-Siglec-10 binding with bounded inhibitory/immunomodulatory context only; preserve multimeric LGALS3BP glycoform and species/affinity boundaries, and do not infer a universal Siglec-10 signaling mechanism or SCI function.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03026	21B	M21B-E005537	NLGN4X/NLGN4	NRXN1beta	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:20543817; PMCID:PMC2910273; DOI:10.1038/emboj.2010.123	M21B-EVID-005480	Primary-supported claim: The review describes neuroligin 4X as a postsynaptic neurexin ligand; the cited primary resolves a 2.6-A Nrx1beta-NL4 complex and confirms subtype-selective extracellular binding by structure-guided SPR and mutational analysis. Primary model/assay: Recombinant human Nrx1beta and neuroligin-4 extracellular domains; 2.6-A X-ray crystallography, structure-guided mutants and surface-plasmon resonance binding.	Promote direct Ca2+-coordinated NLGN4X-NRXN1beta extracellular adhesion only; preserve beta-neurexin isoform, splice/ionic dependence and synaptic-development context, with no SCI or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03062	21B	M21B-E006229	APOE-containing lipoprotein particles/ApoE	ApoER2/LRP8	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12950167; DOI:10.1021/bi027093c	M21B-EVID-006172	Primary-supported claim: The review identifies ApoER2/LRP8 as an ApoE-binding LDL-receptor-family member and cites the primary binding study; the primary demonstrates specific binding of reconstituted POPC-ApoE particles and multiple ApoE isoforms/fragments to ApoER2-expressing cells. Primary model/assay: LDLA-7 cells expressing apoER2 and transiently transfected COS-M6 cells with untransfected controls; reconstituted POPC-ApoE2/3/4 particles and ApoE truncation/mutant variants; specific receptor-binding assays	Preserve ApoE isoform, lipidated/reconstituted particle and ApoER2/LRP8 receptor context; the primary supports binding/uptake-relevant receptor recognition, not a universal intracellular relay, SCI effect or terminal-TF inference.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03097	21B	M21B-E006321	Foot-and-mouth disease virus VP1	ITGAV:ITGB3 integrin	direct_edge	P2	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	1	ROUTE:11722	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:9343190; PMCID:PMC192296; DOI:10.1128/JVI.71.11.8357-8361.1997	M21B-EVID-006264	Primary-supported claim: The review identifies RGD-dependent FMDV binding to alphaVbeta3 and cites the purified-integrin primary study. Primary model/assay: Multiple FMDV serotypes; purified alphaVbeta3 solid-phase binding; RGD/RGE competition and capsid VP1 ligand context	Preserve FMDV VP1 RGD motif, serotype and host-cell/HSPG context; purified alphaVbeta3 binding supports receptor recognition but does not establish a universal entry route or SCI/terminal-TF output.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03251	21B	M21B-E008852	IL-1alpha	sIL1R2:sIL1RAP	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12530978	M21B-EVID-008798	Primary-supported claim: The review cites soluble IL-1R2/IL-1RAP decoy-complex binding measurements for IL-1alpha. Primary model/assay: Recombinant human IL-1alpha, soluble IL-1R2 and soluble accessory protein with binding-affinity measurements	Direct soluble decoy sequestration only; no IL1R2 intracellular signaling or astrocyte/SCI specificity.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03252	21B	M21B-E008853	IL-1beta	sIL1R2:sIL1RAP	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:12530978	M21B-EVID-008799	Primary-supported claim: The review cites soluble IL-1R2/IL-1RAP decoy-complex measurements showing accessory-protein-enhanced IL-1beta binding. Primary model/assay: Recombinant human IL-1beta, soluble IL-1R2 and soluble accessory protein with binding-affinity measurements	Preserve soluble accessory-protein dependence and IL-1beta specificity; no IL1R2 intracellular signaling or SCI specificity.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03255	21B	M21B-E010018	extracellular neuroleukin/NLK	HSPA5/GRP78/BiP	direct_edge	P2	reviewed_no_explicit_downstream_output_in_curated_record	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:30459611; PMCID:PMC6232869; DOI:10.3389/fphar.2018.01228	M21B-EVID-009964	Primary-supported claim: DARTS, thermolysin protection and recombinant-protein immunoprecipitation identify GRP78 as a direct extracellular NLK-binding receptor candidate. Primary model/assay: Mouse spinal-cord astrocyte lysates, recombinant GRP78/ NLK, DARTS, thermolysin-protection and recombinant-protein co-immunoprecipitation assays	Preserve GRP78 as a receptor candidate supported by DARTS/protein association rather than a fully reconstituted signaling complex.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03321	21B	M21B-E010721	PTN	NCL/Nucleolin	contextual_support	P3	reviewed_no_new_output_in_record_existing_output_route_present	unknown	retain_entry_evidence_and_existing_output_routes	1	ROUTE:11972	Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:40797111; PMCID:PMC12344060; DOI:10.1186/s13619-025-00253-x	M21B-EVID-010667	The primary study reports PTN-NCL/Nucleolin association by proximity ligation assay in astrocyte-associated cellular and SCI-section contexts.	PLA supports cellular PTN-NCL association but not purified binary binding or a receptor mechanism; preserve PTN protein, NCL/Nucleolin, and astrocyte/cell-context limits.	full_text_primary_review_if_output_route_is_needed
M21B-DOWNSTREAM:03378	21B	M21B-E011677	APOE	LRP2	contextual_support	P3	reviewed_contextual_association_without_explicit_output	unknown	retain_entry_evidence_only	0		Manual audit of the stored primary-supported evidence_summary and assay_or_perturbation fields; no explicit downstream output/readout was retained in the curated record.	PMID:9122201	M21B-EVID-010980	Primary megalin mapping experiments show that apoE-betaVLDL binds the LRP2/megalin receptor and localize the interaction to a ligand-binding repeat cluster, supporting a bounded APOE-containing-particle-to-LRP2 edge.	Preserve the apoE-betaVLDL particle form, rat megalin assay and receptor-binding/internalization context; do not generalize to every APOE isoform or free APOE molecule, and do not infer a complete intracellular or TF route.	full_text_primary_review_if_output_route_is_needed
