outcome_id	queue_key	regulator_symbol	target_symbol	species_scope	search_query	source_citations	evidence_type	outcome_summary	disposition	search_status
search_outcome_018	kdm5a/jarid1a/rbp2|adam17|mouse	KDM5A/JARID1A/RBP2	Adam17	mouse	"KDM5A JARID1A RBP2 Adam17 mouse binding profile"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28343	genome_wide_binding_profile_without_target_level_validation	GSE28343 is a mouse ES-cell KDM5A/JARID1A/RBP2 ChIP-seq series demonstrating genome-wide occupancy profiling, but the retrieved record did not establish a target-specific Adam17 locus call or functional direction.	retain_profile_only_without_promotion	completed
search_outcome_019	prmt5|axl|human	PRMT5	AXL	human	"PRMT5 AXL human direct regulation"	https://link.springer.com/article/10.1186/s13046-024-03270-x	selective_perturbation_expression_without_direct_occupancy	In human adenoid cystic carcinoma cell and organoid models, selective PRMT5 inhibitors reduced AXL expression along with other disease-associated genes; the study did not establish direct PRMT5 occupancy at AXL or a genetic PRMT5-specific causal edge.	retain_functional_noncanonical_candidate_pending_orthogonal_corroboration	completed
search_outcome_020	sirt6|actr2|mouse	SIRT6	Actr2	mouse	"SIRT6 Actr2 mouse source-level target profile"	https://maayanlab.cloud/Harmonizome/gene_set/SIRT6/ENCODE%2BTranscription%2BFactor%2BTargets	profile_membership_only	The ENCODE-derived SIRT6 target set contains Actr2, but the retrieved resource is a target-set/profile record and does not provide a source-level Actr2 locus call or orthogonal functional validation.	retain_profile_only_without_promotion	completed
search_outcome_021	sirt6|adam23|mouse	SIRT6	Adam23	mouse	"SIRT6 Adam23 mouse source-level target profile"	https://maayanlab.cloud/Harmonizome/gene_set/SIRT6/ENCODE%2BTranscription%2BFactor%2BTargets	profile_membership_only	The ENCODE-derived SIRT6 target set contains Adam23, but the retrieved resource is a target-set/profile record and does not provide a source-level Adam23 locus call or orthogonal functional validation.	retain_profile_only_without_promotion	completed
search_outcome_022	asxl2|adgrb3|human	ASXL2	ADGRB3	human	"ASXL2 ADGRB3 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ASXL2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5454368/	gtrd_chipseq_target_set_without_pair_function	The human ASXL2 GTRD-harmonized promoter target set contains ADGRB3, but the retrieved target-set record does not establish a source-level ADGRB3 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_023	asxl2|ap3b2|human	ASXL2	AP3B2	human	"ASXL2 AP3B2 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ASXL2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5454368/	gtrd_chipseq_target_set_without_pair_function	The human ASXL2 GTRD-harmonized promoter target set contains AP3B2, but the retrieved target-set record does not establish a source-level AP3B2 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_024	asxl2|barhl1|human	ASXL2	BARHL1	human	"ASXL2 BARHL1 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ASXL2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5454368/	gtrd_chipseq_target_set_without_pair_function	The human ASXL2 GTRD-harmonized promoter target set contains BARHL1, but the retrieved target-set record does not establish a source-level BARHL1 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_025	asxl2|ca11|human	ASXL2	CA11	human	"ASXL2 CA11 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ASXL2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5454368/	gtrd_chipseq_target_set_without_pair_function	The human ASXL2 GTRD-harmonized promoter target set contains CA11, but the retrieved target-set record does not establish a source-level CA11 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_026	atad2|9930022d16rik|mouse	ATAD2	9930022D16Rik	mouse	"ATAD2 9930022D16Rik mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/ATAD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC8500222/	gtrd_chipseq_target_set_without_pair_function	The mouse ATAD2 GTRD-harmonized target set contains 9930022D16Rik, but the retrieved record does not establish a source-level ATAD2 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_027	atad2|ecel1|mouse	ATAD2	Ecel1	mouse	"ATAD2 Ecel1 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/ATAD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC8500222/	gtrd_chipseq_target_set_without_pair_function	The mouse ATAD2 GTRD-harmonized target set contains Ecel1, but the retrieved record does not establish a source-level ATAD2 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_028	atad2|haus5|mouse	ATAD2	Haus5	mouse	"ATAD2 Haus5 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/ATAD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC8500222/	gtrd_chipseq_target_set_without_pair_function	The mouse ATAD2 GTRD-harmonized target set contains Haus5, but the retrieved record does not establish a source-level ATAD2 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_029	atad2|kcna6|mouse	ATAD2	Kcna6	mouse	"ATAD2 Kcna6 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/ATAD2_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC8500222/	gtrd_chipseq_target_set_without_pair_function	The mouse ATAD2 GTRD-harmonized target set contains Kcna6, but the retrieved record does not establish a source-level ATAD2 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_030	cbx1/hp1beta|abcc9|mouse	CBX1/HP1beta	Abcc9	mouse	"CBX1 HP1beta Abcc9 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/CBX1_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC2582898/	gtrd_chipseq_target_set_without_pair_function	The mouse CBX1/HP1beta GTRD-harmonized target set contains Abcc9, but the retrieved record does not establish a source-level CBX1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_031	cbx1/hp1beta|gm21083|mouse	CBX1/HP1beta	Gm21083	mouse	"CBX1 HP1beta Gm21083 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/CBX1_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC2582898/	gtrd_chipseq_target_set_without_pair_function	The mouse CBX1/HP1beta GTRD-harmonized target set contains Gm21083, but the retrieved record does not establish a source-level CBX1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_032	cbx1/hp1beta|gm7324|mouse	CBX1/HP1beta	Gm7324	mouse	"CBX1 HP1beta Gm7324 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/CBX1_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC2582898/	gtrd_chipseq_target_set_without_pair_function	The mouse CBX1/HP1beta GTRD-harmonized target set contains Gm7324, but the retrieved record does not establish a source-level CBX1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_033	greb1|adipoq|human	GREB1	ADIPOQ	human	"GREB1 ADIPOQ human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GREB1_TARGET_GENES.html	gtrd_chipseq_target_set_without_pair_function	The human GREB1 GTRD-harmonized target set contains ADIPOQ, but the retrieved record does not establish a source-level GREB1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_034	greb1|bdkrb1|human	GREB1	BDKRB1	human	"GREB1 BDKRB1 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GREB1_TARGET_GENES.html	gtrd_chipseq_target_set_without_pair_function	The human GREB1 GTRD-harmonized target set contains BDKRB1, but the retrieved record does not establish a source-level GREB1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_035	greb1|ccr3|human	GREB1	CCR3	human	"GREB1 CCR3 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GREB1_TARGET_GENES.html	gtrd_chipseq_target_set_without_pair_function	The human GREB1 GTRD-harmonized target set contains CCR3, but the retrieved record does not establish a source-level GREB1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_036	greb1|cd22|human	GREB1	CD22	human	"GREB1 CD22 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GREB1_TARGET_GENES.html	gtrd_chipseq_target_set_without_pair_function	The human GREB1 GTRD-harmonized target set contains CD22, but the retrieved record does not establish a source-level GREB1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_037	kat2a|bola1|human	KAT2A	BOLA1	human	"KAT2A BOLA1 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KAT2A_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC4195786/	gtrd_chipseq_target_set_without_pair_function	The human KAT2A GTRD-harmonized target set contains BOLA1, but the retrieved record does not establish a source-level KAT2A target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_038	kat2a|c11orf68|human	KAT2A	C11orf68	human	"KAT2A C11orf68 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KAT2A_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC4195786/	gtrd_chipseq_target_set_without_pair_function	The human KAT2A GTRD-harmonized target set contains C11orf68, but the retrieved record does not establish a source-level C11orf68 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_039	kdm4d|a930009a15rik|mouse	KDM4D	A930009A15Rik	mouse	"KDM4D A930009A15Rik mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/KDM4D_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/21293030/	no_traceable_exact_primary_source	The retrieved KDM4D primary locator resolves to a mouse spermatogenesis study, but no traceable exact KDM4D-to-A930009A15Rik target evidence was established; the GTRD/MSigDB page was not retrievable in this pass.	retain_database_or_locator_lead_without_promotion	completed
search_outcome_040	mettl14|jund|human	METTL14	JUND	human	"METTL14 JUND human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/cards/METTL14_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/30445619/	gtrd_chipseq_target_set_without_pair_function	The human METTL14 target-set resource contains JUND, but the retrieved record does not establish a source-level METTL14 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_041	mier1|adcyap1|human	MIER1	ADCYAP1	human	"MIER1 ADCYAP1 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MIER1_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/36934083/	gtrd_chipseq_target_set_without_pair_function	The human MIER1 GTRD-harmonized target set contains ADCYAP1, but the retrieved record does not establish a source-level MIER1 target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_042	ogt|adgrl1|mouse	OGT	Adgrl1	mouse	"OGT Adgrl1 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/OGT_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/22371499/	gtrd_chipseq_target_set_without_pair_function	The mouse OGT GTRD-harmonized target set contains Adgrl1, but the retrieved record does not establish a source-level OGT target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_043	ogt|anxa2|mouse	OGT	Anxa2	mouse	"OGT Anxa2 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/OGT_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/22371499/	gtrd_chipseq_target_set_without_pair_function	The mouse OGT GTRD-harmonized target set contains Anxa2, but the retrieved record does not establish a source-level OGT target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_044	ogt|c1ql1|mouse	OGT	C1ql1	mouse	"OGT C1ql1 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/OGT_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/22371499/	gtrd_chipseq_target_set_without_pair_function	The mouse OGT GTRD-harmonized target set contains C1ql1, but the retrieved record does not establish a source-level OGT target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_045	ogt|c1ql4|mouse	OGT	C1ql4	mouse	"OGT C1ql4 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/OGT_TARGET_GENES.html;https://pubmed.ncbi.nlm.nih.gov/22371499/	gtrd_chipseq_target_set_without_pair_function	The mouse OGT GTRD-harmonized target set contains C1ql4, but the retrieved record does not establish a source-level OGT target-locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_046	msl1|adgrl2|mouse	MSL1	Adgrl2	mouse	"MSL1 Adgrl2 mouse binding and depletion study"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57698;https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/MSL1_TARGET_GENES.html	genome_wide_binding_and_depletion_without_target_level_validation	GSE57698 contains MSL1 ChIP-seq and Msl1-depletion RNA-seq in mouse ESCs, but the retrieved record did not establish a target-specific Adgrl2 locus call or pair-specific expression direction.	retain_profile_only_without_promotion	completed
search_outcome_047	msl1|apoe|mouse	MSL1	Apoe	mouse	"MSL1 Apoe mouse binding and depletion study"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57698;https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/MSL1_TARGET_GENES.html	genome_wide_binding_and_depletion_without_target_level_validation	GSE57698 contains MSL1 ChIP-seq and Msl1-depletion RNA-seq in mouse ESCs, but the retrieved record did not establish a target-specific Apoe locus call or pair-specific expression direction.	retain_profile_only_without_promotion	completed
search_outcome_048	msl1|bmp6|mouse	MSL1	Bmp6	mouse	"MSL1 Bmp6 mouse binding and depletion study"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57698;https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/MSL1_TARGET_GENES.html	genome_wide_binding_and_depletion_without_target_level_validation	GSE57698 contains MSL1 ChIP-seq and Msl1-depletion RNA-seq in mouse ESCs, but the retrieved record did not establish a target-specific Bmp6 locus call or pair-specific expression direction.	retain_profile_only_without_promotion	completed
search_outcome_049	msl1|ccl25|mouse	MSL1	Ccl25	mouse	"MSL1 Ccl25 mouse binding and depletion study"	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57698;https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/MSL1_TARGET_GENES.html	genome_wide_binding_and_depletion_without_target_level_validation	GSE57698 contains MSL1 ChIP-seq and Msl1-depletion RNA-seq in mouse ESCs, but the retrieved record did not establish a target-specific Ccl25 locus call or pair-specific expression direction.	retain_profile_only_without_promotion	completed
search_outcome_050	nucks1|adam9|mouse	NUCKS1	Adam9	mouse	"NUCKS1 Adam9 mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/NUCKS1_TARGET_GENES.html;https://www.uniprot.org/uniprotkb/Q80XU3/entry	source_page_unavailable_no_traceable_exact_primary	The queued NUCKS1 target-set page was not retrievable in this pass and the UniProt record provides identity/function information rather than an exact Adam9 regulator-target experiment; no traceable exact primary evidence was established.	retain_database_or_locator_lead_without_promotion	completed
search_outcome_051	nucks1|agrp|mouse	NUCKS1	Agrp	mouse	"NUCKS1 Agrp mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/NUCKS1_TARGET_GENES.html;https://www.uniprot.org/uniprotkb/Q80XU3/entry	source_page_unavailable_no_traceable_exact_primary	The queued NUCKS1 target-set page was not retrievable in this pass and the UniProt record provides identity/function information rather than an exact Agrp regulator-target experiment; no traceable exact primary evidence was established.	retain_database_or_locator_lead_without_promotion	completed
search_outcome_052	nucks1|ang|mouse	NUCKS1	Ang	mouse	"NUCKS1 Ang mouse target profile"	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/NUCKS1_TARGET_GENES.html;https://www.uniprot.org/uniprotkb/Q80XU3/entry	source_page_unavailable_no_traceable_exact_primary	The queued NUCKS1 target-set page was not retrievable in this pass and the UniProt record provides identity/function information rather than an exact Ang regulator-target experiment; no traceable exact primary evidence was established.	retain_database_or_locator_lead_without_promotion	completed
search_outcome_053	prkdc/dna-pkcs|actr2|human	PRKDC/DNA-PKcs	ACTR2	human	"PRKDC DNA-PKcs ACTR2 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PRKDC_TARGET_GENES.html;https://pmc.ncbi.nlm.nih.gov/articles/PMC5355436/	gtrd_chipseq_target_set_without_pair_function	The human PRKDC GTRD-harmonized target set contains ACTR2, but the retrieved PRKDC studies support broader DNA-PKcs chromatin/transcription functions rather than a source-level ACTR2 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_054	prmt5|abca10|human	PRMT5	ABCA10	human	"PRMT5 ABCA10 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PRMT5_TARGET_GENES;https://academic.oup.com/nar/article/42/1/235/2437655	gtrd_chipseq_target_set_without_pair_function	The human PRMT5 GTRD-harmonized target set contains ABCA10, while the retrieved primary PRMT5 chromatin study establishes promoter/ICR-associated PRMT5 biology but not a source-level ABCA10 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_055	prmt5|nrp1|human	PRMT5	NRP1	human	"PRMT5 NRP1 human target profile"	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PRMT5_TARGET_GENES;https://academic.oup.com/nar/article/42/1/235/2437655	gtrd_chipseq_target_set_without_pair_function	The human PRMT5 GTRD-harmonized target set contains NRP1, while the retrieved primary PRMT5 chromatin study establishes promoter/ICR-associated PRMT5 biology but not a source-level NRP1 locus call with pair-specific functional direction.	retain_profile_only_without_promotion	completed
search_outcome_056	smchd1|adgrb3|mouse	SMCHD1	Adgrb3	mouse	"SMCHD1 Adgrb3 mouse binding profile"	https://www.gsea-msigdb.org/gsea/msigdb/cards/SMCHD1_TARGET_GENES;https://www.nature.com/articles/s41467-025-62211-0	species_mismatch_profile_near_match	The retrieved SMCHD1 target-set record and corroborating Dam-ID/knockout study are human-focused, so they do not establish a mouse SMCHD1-to-Adgrb3 edge.	retain_cross_species_near_match_without_promotion	completed
search_outcome_057	smchd1|ak1|mouse	SMCHD1	Ak1	mouse	"SMCHD1 Ak1 mouse binding profile"	https://www.gsea-msigdb.org/gsea/msigdb/cards/SMCHD1_TARGET_GENES;https://www.nature.com/articles/s41467-025-62211-0	species_mismatch_profile_near_match	The retrieved SMCHD1 target-set record and corroborating Dam-ID/knockout study are human-focused, so they do not establish a mouse SMCHD1-to-Ak1 edge.	retain_cross_species_near_match_without_promotion	completed
search_outcome_058	smchd1|ang|mouse	SMCHD1	Ang	mouse	"SMCHD1 Ang mouse binding profile"	https://www.gsea-msigdb.org/gsea/msigdb/cards/SMCHD1_TARGET_GENES;https://www.nature.com/articles/s41467-025-62211-0	species_mismatch_profile_near_match	The retrieved SMCHD1 target-set record and corroborating Dam-ID/knockout study are human-focused, so they do not establish a mouse SMCHD1-to-Ang edge.	retain_cross_species_near_match_without_promotion	completed
search_outcome_059	smchd1|cntn3|human	SMCHD1	CNTN3	human	"SMCHD1 CNTN3 human binding profile"	https://www.gsea-msigdb.org/gsea/msigdb/cards/SMCHD1_TARGET_GENES;https://www.nature.com/articles/s41467-025-62211-0	gtrd_chipseq_target_set_without_pair_function	The human SMCHD1 target-set record contains CNTN3, and the human myoblast study supports broad SMCHD1 chromatin localization and knockout-associated expression changes, but no source-level CNTN3 locus call or pair-specific direction was retrieved.	retain_profile_only_without_promotion	completed
