priority_rank	priority_score	priority_tier	search_lane	active_search_eligible	queue_state	queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	provenance_row_count	source_registries	source_record_ids	review_ids	exact_pair_statuses	primary_and_corroborating_citations	dispositions	review_status	evidence_confidence_tier	evidence_tier_basis	search_outcome_status	next_action
11	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	chaf1b/caf-1|etv5|human	CHAF1B/CAF-1	ETV5	human	22B	1	TFLink	tflink:human:001259:a5d3bcad9684	public_tf_evidence_batch024_pair_15_4	reverse_direction_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC8245179/	retain_reverse_direction_evidence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
12	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	coil|h2ac11|human	COIL	H2AC11	human		1	TFLink	tflink:human:001581:685489d419be	public_tf_evidence_batch034_pair_16_1	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
13	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	coil|h2bc4|human	COIL	H2BC4	human		1	TFLink	tflink:human:001581:685489d419be	public_tf_evidence_batch034_pair_16_2	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
14	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	coil|h3c1|human	COIL	H3C1	human		1	TFLink	tflink:human:001581:685489d419be	public_tf_evidence_batch034_pair_16_4	database_membership_only_not_promotable	https://tflink.net/download/#interaction-gmt	retain_provenance_traceable_candidate_without_promotion	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
15	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	cul4a|acvr1|human	CUL4A	ACVR1	human	20B	1	TFLink	tflink:human:001221:fb8314ff0f9c	public_tf_evidence_batch026_pair_10_3	complex_protein_association_near_match_not_promotable	https://thebiogrid.org/interaction/3585406;https://pubmed.ncbi.nlm.nih.gov/36688959/	retain_complex_protein_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
16	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	dyrk1a|col1a1|human	DYRK1A	COL1A1	human	20B;23B	1	TFLink	tflink:human:001217:3235dd27986a	public_tf_evidence_batch030_pair_10_3	cross_species_indirect_rna_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/19801542/;https://pmc.ncbi.nlm.nih.gov/articles/PMC2785177/	retain_cross_species_indirect_rna_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
17	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	ebp|bcl2|human	EBP	BCL2	human	22B	1	TFLink	tflink:human:001134:3063badd497c	public_tf_evidence_batch028_pair_17_2	paralog_or_other_regulator_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/16396631/	retain_paralog_or_other_regulator_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
18	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	ebp|bdnf|human	EBP	BDNF	human	20B	1	TFLink	tflink:human:001134:3063badd497c	public_tf_evidence_batch028_pair_17_3	paralog_or_other_regulator_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC7044735/	retain_paralog_or_other_regulator_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
19	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	f10/factor xa|cdh2|human	F10/factor Xa	CDH2	human	20B;23B	1	TFLink	tflink:human:001412:d5aaeb0ed4a4	public_tf_evidence_batch030_pair_06_2	engineered_target_protein_substrate_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/21170270/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3003141/	retain_engineered_protein_substrate_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
20	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	f10/factor xa|col3a1|human	F10/factor Xa	COL3A1	human	20B	1	TFLink	tflink:human:001412:d5aaeb0ed4a4	public_tf_evidence_batch030_pair_06_3	cross_species_ligand_rna_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/32495720/	retain_cross_species_ligand_rna_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
21	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	gsk3b|axl|mouse	GSK3B	Axl	mouse	20B	1	TFLink	tflink:mouse:001012:0389c008546d	public_tf_evidence_batch029_pair_01_3	reverse_direction_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC9899255/	retain_reverse_direction_evidence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
22	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	h2az1/h2afz|actr2|human	H2AZ1/H2AFZ	ACTR2	human	20B	1	TFLink	tflink:human:000946:de814252a9b0	public_tf_evidence_batch017_pair_22_4	network_cooccurrence_only_not_promotable	https://pubmed.ncbi.nlm.nih.gov/35116276/	retain_network_cooccurrence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
23	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hbz/hbaz|cadm1|human	HBZ/HBAZ	CADM1	human	20B;23B	1	TFLink	tflink:human:001429:eb39eb418a25	public_tf_evidence_batch029_pair_04_2	viral_paralog_near_match_not_promotable	https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1005560;https://pubmed.ncbi.nlm.nih.gov/15592508/	retain_viral_HBZ_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
24	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hdac6|adam10|human	HDAC6	ADAM10	human	23B	1	TFLink	tflink:human:001078:26a4cd742c3a	public_tf_evidence_batch021_pair_19_4	contextual_ortholog_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC10799458/	retain_cross_species_pharmacologic_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
25	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxa13|aldh1a2|human	HOXA13	ALDH1A2	human		1	TFLink	tflink:human:001374:3a6cde5573bf	public_tf_evidence_batch012_pair_17_2	ortholog_model_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/23553814/;https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HOXA13_TARGET_GENES.html	retain_ortholog_model_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
26	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxb9|ncam1|human	HOXB9	NCAM1	human	20B;23B	1	TFLink	tflink:human:000791:8c7e8dad9cbb	public_tf_evidence_batch013_pair_08_1	contextual_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/1347944/;https://pubmed.ncbi.nlm.nih.gov/32015336/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
27	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd11|ackr3|mouse	HOXD11	Ackr3	mouse	20B	2	TFLink	tflink:mouse:000946:cb3e8dcdee95	public_tf_evidence_batch003_pair_11_01	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
28	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd11|acvr1c|mouse	HOXD11	Acvr1c	mouse	20B	2	TFLink	tflink:mouse:000946:cb3e8dcdee95	public_tf_evidence_batch003_pair_11_03	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
29	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd11|acvr1|mouse	HOXD11	Acvr1	mouse	20B	2	TFLink	tflink:mouse:000946:cb3e8dcdee95	public_tf_evidence_batch003_pair_11_02	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
30	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd11|adam12|mouse	HOXD11	Adam12	mouse	20B;23B	2	TFLink	tflink:mouse:000946:cb3e8dcdee95	public_tf_evidence_batch003_pair_11_04	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
31	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd8|cdkn2a|human	HOXD8	CDKN2A	human		1	TFLink	tflink:human:000435:226346ac520a	public_tf_evidence_batch014_pair_21_1	contextual_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC3616285/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
32	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	hoxd8|hoxd9|human	HOXD8	HOXD9	human		1	TFLink	tflink:human:000435:226346ac520a	public_tf_evidence_batch014_pair_21_2	contextual_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/7926763/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
33	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	iglv5-37|agrn|human	IGLV5-37	AGRN	human	20B;23B	1	TFLink	tflink:human:000967:2990986b795d	public_tf_evidence_batch029_pair_06_1	fusion_or_other_context_near_match_not_promotable	https://link.springer.com/article/10.1186/s12885-025-13641-y;https://pmc.ncbi.nlm.nih.gov/articles/PMC3756901/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
34	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	iglv5-37|bcl2|human	IGLV5-37	BCL2	human	22B	1	TFLink	tflink:human:000967:2990986b795d	public_tf_evidence_batch029_pair_06_2	fusion_or_other_context_near_match_not_promotable	https://link.springer.com/article/10.1186/s12885-025-13641-y;https://pmc.ncbi.nlm.nih.gov/articles/PMC3756901/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
35	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	iglv5-37|c1ql4|human	IGLV5-37	C1QL4	human	20B	1	TFLink	tflink:human:000967:2990986b795d	public_tf_evidence_batch029_pair_06_3	fusion_or_other_context_near_match_not_promotable	https://link.springer.com/article/10.1186/s12885-025-13641-y;https://pmc.ncbi.nlm.nih.gov/articles/PMC3756901/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
36	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	iglv5-37|clec11a|human	IGLV5-37	CLEC11A	human	20B	1	TFLink	tflink:human:000967:2990986b795d	public_tf_evidence_batch029_pair_06_4	fusion_or_other_context_near_match_not_promotable	https://link.springer.com/article/10.1186/s12885-025-13641-y;https://pmc.ncbi.nlm.nih.gov/articles/PMC3756901/	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
37	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	insr|adam17|human	INSR	ADAM17	human	20B	1	TFLink	tflink:human:001240:2f8bca44dcf4	public_tf_evidence_batch027_pair_15_2	reverse_direction_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/36018759/	retain_reverse_direction_evidence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
38	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	isl2|foxp2|human	ISL2	FOXP2	human		1	TFLink	tflink:human:001598:7c58b13220f6	public_tf_evidence_batch014_pair_22_2	contextual_near_match_not_promotable	https://maayanlab.cloud/Harmonizome/gene_set/FOXP2/ENCODE%2BTranscription%2BFactor%2BTargets	retain_contextual_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
39	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kansl3/nsl3|adipor2|mouse	KANSL3/NSL3	Adipor2	mouse	20B	1	TFLink	tflink:mouse:000985:cb9f09271c13	public_tf_evidence_batch023_pair_14_4	contextual_go_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/41044006/	retain_contextual_metabolic_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
40	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kat2a|stat3|human	KAT2A	STAT3	human	21B;22B	1	TFLink	tflink:human:001423:248d2701a84d	public_tf_evidence_batch025_pair_14_1	reverse_direction_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC7618962/	retain_reverse_direction_evidence_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
41	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kdm1a/lsd1|ackr3|human	KDM1A/LSD1	ACKR3	human	20B	1	TFLink	tflink:human:001062:51e7c86aabd2	public_tf_evidence_batch016_pair_17_4	perturbation_association_without_direct_binding_not_promotable	https://maayanlab.cloud/Harmonizome/gene_set/Perturb_13560_OE_Kdm1a_SRP105108/PerturbAtlas%2BSignatures%2Bof%2BDifferentially%2BExpressed%2BGenes%2Bfor%2BMouse%2BGene%2BPerturbations	retain_indirect_perturbation_association_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
42	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kdm1a/lsd1|ackr3|mouse	KDM1A/LSD1	Ackr3	mouse	20B	1	TFLink	tflink:mouse:000878:17c33fbb41ca	public_tf_evidence_batch016_pair_22_3	perturbation_association_without_direct_binding_not_promotable	https://maayanlab.cloud/Harmonizome/gene_set/Perturb_13560_OE_Kdm1a_SRP105108/PerturbAtlas%2BSignatures%2Bof%2BDifferentially%2BExpressed%2BGenes%2Bfor%2BMouse%2BGene%2BPerturbations	retain_indirect_perturbation_association_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
43	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kdm3a/jmjd1a|abca1|human	KDM3A/JMJD1A	ABCA1	human	20B	1	TFLink	tflink:human:001272:622753c9dd4f	public_tf_evidence_batch021_pair_04_2	contextual_complex_association_not_promotable	https://pubmed.ncbi.nlm.nih.gov/19481530/;https://www.sciencedirect.com/science/article/pii/S1097276509003141	retain_adjacent_target_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
44	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kdm4a|adam10|mouse	KDM4A	Adam10	mouse	23B	1	TFLink	tflink:mouse:000886:62bc83f4d291	public_tf_evidence_batch022_pair_22_1	contextual_ortholog_near_match_not_promotable	https://pmc.ncbi.nlm.nih.gov/articles/PMC7517301/	retain_cross_species_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
45	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	kdm6a/utx|abca1|mouse	KDM6A/UTX	Abca1	mouse	20B	1	TFLink	tflink:mouse:000883:cb6706213a71	public_tf_evidence_batch018_pair_11_1	ambiguous_expression_panel_not_promotable	https://www.nature.com/articles/s41467-026-70846-w;https://assets-eu.researchsquare.com/files/rs-6065505/v1/76a9acd44dea6bd7ab94a025.pdf	retain_ambiguous_chromatin_expression_context_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
46	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	lhx6|adam23|mouse	LHX6	Adam23	mouse	20B	2	TFLink	tflink:mouse:001048:8e44f8a91cf7	public_tf_evidence_batch006_pair_09_13	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
47	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	lhx6|adam9|mouse	LHX6	Adam9	mouse	20B	2	TFLink	tflink:mouse:001048:8e44f8a91cf7	public_tf_evidence_batch006_pair_09_14	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
48	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	lhx6|ambn|mouse	LHX6	Ambn	mouse	20B;23B	2	TFLink	tflink:mouse:001048:8e44f8a91cf7	public_tf_evidence_batch006_pair_09_15	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
49	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	lhx6|angpt4|mouse	LHX6	Angpt4	mouse	20B	2	TFLink	tflink:mouse:001048:8e44f8a91cf7	public_tf_evidence_batch006_pair_09_16	no_exact_pair_support_found_in_bounded_search		retain_database_candidate_as_search_lead_only	reviewed	D_database_only_no_pair_evidence	no pair-specific citation or functional outcome was recorded	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
50	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	magi1|abca1|mouse	MAGI1	Abca1	mouse	20B	1	TFLink	tflink:mouse:000858:e41a0080b067	public_tf_evidence_batch026_pair_13_1	cross_species_protein_interaction_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/9395497/;https://www.uniprot.org/uniprotkb/O95477/entry	retain_cross_species_protein_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
51	8	D_direction_or_species_hold	direction_species_adjudication	false	hold_near_match	mettl14|hmgb1|human	METTL14	HMGB1	human	24B	1	TFLink	tflink:human:001494:1c49f18bd387	public_tf_evidence_batch031_pair_07_3	cross_species_functional_rna_protein_near_match_not_promotable	https://pubmed.ncbi.nlm.nih.gov/41247402/;https://link.springer.com/article/10.1007/s00592-025-02623-y	retain_cross_species_indirect_RNA_inflammatory_near_match_separately	reviewed	E_reviewed_nonpromotable	held row has contextual, directional, species, identity, or other nonpromotable evidence	not_yet_logged	Verify direction, species, paralog, and model before considering any exact-edge search.
