queue_key	regulator_symbol	target_symbol	species_scope	target_graph_modules	source_record_id	raw_tf_symbol	tf_uniprot_id	target_uniprot_id	name_tf	name_target	detection_method	pubmed_id	organism	source_database	small_scale_evidence	tflink_source_url	raw_snapshot_path	raw_snapshot_sha256	exact_pair_match
adcyap1|lcn8|human	ADCYAP1	LCN8	human		tflink:human:001561:a510b1da4da0	ADCYAP1	P18509	Q6JVE9	ADCYAP1	LCN8	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P18509.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P18509_targets.tsv	c9a05136bf2a398b8a2d549157c8402ebd702c8d8d7ae500532aeed9a130f3c5	true
aff1|ackr2|human	AFF1	ACKR2	human	20B	tflink:human:000910:134960ba8ea6	AFF1	P51825	O00590	AFF1	ACKR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true
aff1|actr2|human	AFF1	ACTR2	human	20B	tflink:human:000910:134960ba8ea6	AFF1	P51825	P61160	AFF1	ACTR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true
aff1|acvr1|human	AFF1	ACVR1	human	20B	tflink:human:000910:134960ba8ea6	AFF1	P51825	Q04771	AFF1	ACVR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true
aff1|acvrl1|human	AFF1	ACVRL1	human	20B	tflink:human:000910:134960ba8ea6	AFF1	P51825	P37023	AFF1	ACVRL1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51825.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P51825_targets.tsv	06c0e707ec93e4d39d58a4e984bb539ee2accf57a2b15f3a6d51c384736b0e56	true
aff3/laf4|ackr4|mouse	AFF3/LAF4	Ackr4	mouse	20B	tflink:mouse:000930:8cf566102fd0	Aff3	P51827	Q924I3	Aff3	Ackr4	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true
aff3/laf4|acvr1|mouse	AFF3/LAF4	Acvr1	mouse	20B	tflink:mouse:000930:8cf566102fd0	Aff3	P51827	P37172	Aff3	Acvr1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true
aff3/laf4|adam17|mouse	AFF3/LAF4	Adam17	mouse	20B	tflink:mouse:000930:8cf566102fd0	Aff3	P51827	Q9Z0F8	Aff3	Adam17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true
aff3/laf4|adam22|mouse	AFF3/LAF4	Adam22	mouse	20B;23B	tflink:mouse:000930:8cf566102fd0	Aff3	P51827	Q9R1V6	Aff3	Adam22	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P51827.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P51827_targets.tsv	90ae60f0631ddf01840fe3602897947560196443c47f78fba9468398344650dd	true
aff4|a2m|human	AFF4	A2M	human	20B	tflink:human:000983:24916d175f9b	AFF4	Q9UHB7	P01023	AFF4	A2M	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true
aff4|abca1|human	AFF4	ABCA1	human	20B	tflink:human:000983:24916d175f9b	AFF4	Q9UHB7	O95477	AFF4	ABCA1	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true
aff4|ackr2|human	AFF4	ACKR2	human	20B	tflink:human:000983:24916d175f9b	AFF4	Q9UHB7	O00590	AFF4	ACKR2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true
aff4|actr2|human	AFF4	ACTR2	human	20B	tflink:human:000983:24916d175f9b	AFF4	Q9UHB7	P61160	AFF4	ACTR2	chromatin immunoprecipitation assay	29126285;27924024	Homo sapiens	GTRD;ReMap	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UHB7.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UHB7_targets.tsv	0103fca5096b4dfd849e21c9bfae6ec70b7eddc9a4476e4eca74524054c32fc0	true
aff4|apoe|mouse	AFF4	Apoe	mouse	20B	tflink:mouse:001065:7944f11c6701	Aff4	Q9ESC8	P08226	Aff4	Apoe	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true
aff4|ccnd1|mouse	AFF4	Ccnd1	mouse	22B	tflink:mouse:001065:7944f11c6701	Aff4	Q9ESC8	P25322	Aff4	Ccnd1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true
aff4|cd9|mouse	AFF4	Cd9	mouse	20B	tflink:mouse:001065:7944f11c6701	Aff4	Q9ESC8	P40240	Aff4	Cd9	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9ESC8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_Q9ESC8_targets.tsv	6d61e0a582b4f9032b00e78e00600caf8be20d96da4104a693dd3f3662ee17e0	true
ago1|ackr2|human	AGO1	ACKR2	human	20B	tflink:human:000973:cdfdf9532605	AGO1	Q9UL18	O00590	AGO1	ACKR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true
ago1|actr2|human	AGO1	ACTR2	human	20B	tflink:human:000973:cdfdf9532605	AGO1	Q9UL18	P61160	AGO1	ACTR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true
ago1|acvr1|human	AGO1	ACVR1	human	20B	tflink:human:000973:cdfdf9532605	AGO1	Q9UL18	Q04771	AGO1	ACVR1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true
ago1|ada|human	AGO1	ADA	human	20B	tflink:human:000973:cdfdf9532605	AGO1	Q9UL18	P00813	AGO1	ADA	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UL18.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UL18_targets.tsv	45e661834f4e627326cf8c9bd97c4fc8b8f8680341e8b230204f2d9f3f74f123	true
ago2|ackr2|human	AGO2	ACKR2	human	20B	tflink:human:001089:4b57fca486e1	AGO2	Q9UKV8	O00590	AGO2	ACKR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true
ago2|actr2|human	AGO2	ACTR2	human	20B	tflink:human:001089:4b57fca486e1	AGO2	Q9UKV8	P61160	AGO2	ACTR2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true
ago2|adam10|human	AGO2	ADAM10	human	23B	tflink:human:001089:4b57fca486e1	AGO2	Q9UKV8	O14672	AGO2	ADAM10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true
ago2|adam9|human	AGO2	ADAM9	human	20B	tflink:human:001089:4b57fca486e1	AGO2	Q9UKV8	Q13443	AGO2	ADAM9	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9UKV8.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9UKV8_targets.tsv	a6e73b0d4cffd0451e49d853c92bb9da91c1e0987f23676aae55c01797c1851c	true
ahcy/ahcy|2610001j05rik|mouse	AHCY/Ahcy	2610001J05Rik	mouse		tflink:mouse:001090:edb43175c419	Ahcy	P50247	F2Z3Y9	Ahcy	2610001J05Rik	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true
ahcy/ahcy|ank1|mouse	AHCY/Ahcy	Ank1	mouse		tflink:mouse:001090:edb43175c419	Ahcy	P50247	Q02357	Ahcy	Ank1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true
ahcy/ahcy|arid1a|mouse	AHCY/Ahcy	Arid1a	mouse		tflink:mouse:001090:edb43175c419	Ahcy	P50247	A2BH40	Ahcy	Arid1a	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true
ahcy/ahcy|smad2|mouse	AHCY/Ahcy	Smad2	mouse	21B;22B	tflink:mouse:001090:edb43175c419	Ahcy	P50247	Q62432	Ahcy	Smad2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P50247.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P50247_targets.tsv	b7e960e02e8bbfb12b83e4b4103ee93e47491c4f909a3d9790fd0db1f9dff2b8	true
amh|adam10|human	AMH	ADAM10	human	23B	tflink:human:001141:c74f4bea210d	AMH	P03971	O14672	AMH	ADAM10	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P03971.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P03971_targets.tsv	23be1c0853b9360418aaae5124bef707095ed1b8816adb2dea4db6c9f01a8af8	true
amh|adgre5|human	AMH	ADGRE5	human	23B	tflink:human:001141:c74f4bea210d	AMH	P03971	P48960	AMH	ADGRE5	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P03971.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P03971_targets.tsv	23be1c0853b9360418aaae5124bef707095ed1b8816adb2dea4db6c9f01a8af8	true
amh|adgrl2|human	AMH	ADGRL2	human	20B;23B	tflink:human:001141:c74f4bea210d	AMH	P03971	O95490	AMH	ADGRL2	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P03971.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_P03971_targets.tsv	23be1c0853b9360418aaae5124bef707095ed1b8816adb2dea4db6c9f01a8af8	true
anp32e|ackr3|mouse	ANP32E	Ackr3	mouse	20B	tflink:mouse:001055:0aaeafaa95ab	Anp32e	P97822	P56485	Anp32e	Ackr3	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97822.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97822_targets.tsv	734a6ac5ec32c718aa54f04dc20f1903fc156027374979db3413d1fc7bc481c0	true
anp32e|adgre5|mouse	ANP32E	Adgre5	mouse	23B	tflink:mouse:001055:0aaeafaa95ab	Anp32e	P97822	E9QJS7	Anp32e	Adgre5	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97822.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97822_targets.tsv	734a6ac5ec32c718aa54f04dc20f1903fc156027374979db3413d1fc7bc481c0	true
anp32e|adipor2|mouse	ANP32E	Adipor2	mouse	20B	tflink:mouse:001055:0aaeafaa95ab	Anp32e	P97822	Q8BQS5	Anp32e	Adipor2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97822.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97822_targets.tsv	734a6ac5ec32c718aa54f04dc20f1903fc156027374979db3413d1fc7bc481c0	true
anp32e|ado|mouse	ANP32E	Ado	mouse	20B	tflink:mouse:001055:0aaeafaa95ab	Anp32e	P97822	Q6PDY2	Anp32e	Ado	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97822.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97822_targets.tsv	734a6ac5ec32c718aa54f04dc20f1903fc156027374979db3413d1fc7bc481c0	true
anpep|actr2|mouse	Anpep	Actr2	mouse	20B	tflink:mouse:000910:af51e6580143	Anpep	P97449	P61161	Anpep	Actr2	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97449.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97449_targets.tsv	a659dd87ddf2d3fd22c14db862a92726b68e9c09a283ef74230c71680dc72c05	true
anpep|acvrl1|mouse	Anpep	Acvrl1	mouse	20B	tflink:mouse:000910:af51e6580143	Anpep	P97449	Q61288	Anpep	Acvrl1	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97449.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97449_targets.tsv	a659dd87ddf2d3fd22c14db862a92726b68e9c09a283ef74230c71680dc72c05	true
anpep|adam17|mouse	Anpep	Adam17	mouse	20B	tflink:mouse:000910:af51e6580143	Anpep	P97449	Q9Z0F8	Anpep	Adam17	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97449.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97449_targets.tsv	a659dd87ddf2d3fd22c14db862a92726b68e9c09a283ef74230c71680dc72c05	true
anpep|ada|mouse	Anpep	Ada	mouse	20B	tflink:mouse:000910:af51e6580143	Anpep	P97449	P03958	Anpep	Ada	chromatin immunoprecipitation assay	27924024	Mus musculus	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_P97449.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/mouse_P97449_targets.tsv	a659dd87ddf2d3fd22c14db862a92726b68e9c09a283ef74230c71680dc72c05	true
arhgap35|akap11|human	ARHGAP35	AKAP11	human		tflink:human:000591:dac37f947c87	ARHGAP35	Q9NRY4	Q9UKA4	ARHGAP35	AKAP11	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NRY4.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NRY4_targets.tsv	85fe8dc19f20b7e63cc37bccecec8896331ca1ad0064b5100d9bb281c7775f77	true
arhgap35|dchs1|human	ARHGAP35	DCHS1	human	20B	tflink:human:000591:dac37f947c87	ARHGAP35	Q9NRY4	Q96JQ0	ARHGAP35	DCHS1	chromatin immunoprecipitation assay	27924024	Homo sapiens	GTRD	No	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NRY4.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NRY4_targets.tsv	85fe8dc19f20b7e63cc37bccecec8896331ca1ad0064b5100d9bb281c7775f77	true
arhgap35|nr3c1|human	ARHGAP35	NR3C1	human	22B	tflink:human:000591:dac37f947c87	ARHGAP35	Q9NRY4	P04150	ARHGAP35	NR3C1	electrophoretic mobility shift assay	22900683;2026589	Homo sapiens	HTRI	Yes	https://cdn.netbiol.org/tflink/proteinDownload_targets/TFLink_targets_of_Q9NRY4.tsv	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_protein_targets_v1/human_Q9NRY4_targets.tsv	85fe8dc19f20b7e63cc37bccecec8896331ca1ad0064b5100d9bb281c7775f77	true
