followup_id	promotion_id	regulator_symbol	target_symbol	species_scope	module_route	promotion_class	independent_literature_support_status	independent_literature_source_count	evidence_weight_tier	current_primary_citation	current_corroborating_citation	current_cell_or_model	evidence_gap	next_evidence_requirement	exact_pair_search_url	status
public_tf_comprehensive_followup_011	public_tf_comprehensive_011	Znf385a/Hzf	Cebpa	mouse	general_public_interaction_catalog	role_specific_noncanonical_post_transcriptional_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/18418387/		mouse_adipogenesis_or_p53_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf385a%2FHzf%22+AND+%22Cebpa%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_012	public_tf_comprehensive_012	Znf385a/Hzf	Tp53	mouse	general_public_interaction_catalog	role_specific_noncanonical_post_transcriptional_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/21402775/		mouse_adipogenesis_or_p53_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Znf385a%2FHzf%22+AND+%22Tp53%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_013	public_tf_comprehensive_013	HOXD10	HOXD9	human	general_public_interaction_catalog	sequence_specific_tf_reporter_binding_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC453170/		not_established_for_exact_pair	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22HOXD10%22+AND+%22HOXD9%22+AND+human	followup_needed
public_tf_comprehensive_followup_014	public_tf_comprehensive_014	NOBOX	Pou5f1	mouse	general_public_interaction_catalog	sequence_specific_tf_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/16997917/	https://pubmed.ncbi.nlm.nih.gov/17494914/	mouse_oocyte_models_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22NOBOX%22+AND+%22Pou5f1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_015	public_tf_comprehensive_015	BRD4	A2m	mouse	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/32821285/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7416228/	mouse_LPS_liver_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Brd4%22+AND+%22A2m%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_016	public_tf_comprehensive_016	BRD4	Abca1	mouse	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/39990894/	https://pmc.ncbi.nlm.nih.gov/articles/PMC11843129/	mouse_db_db_renal_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Brd4%22+AND+%22Abca1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_017	public_tf_comprehensive_017	KDM1A/LSD1	Abca1	mouse	20B_target_interaction	role_specific_noncanonical_pathway_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/33811891/		mouse_atherosclerosis_and_RAW264_7_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Kdm1a%22+AND+%22Abca1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_018	public_tf_comprehensive_018	KMT2D/MLL4	Abca1	mouse	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/18372346/	https://pmc.ncbi.nlm.nih.gov/articles/PMC2422828/	mouse_E9_5_MEF_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Kmt2d%22+AND+%22Abca1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_019	public_tf_comprehensive_019	GPS2	Abca1	mouse	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/30153049/		mouse_RAW_BMDM_and_peritoneal_macrophage_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Gps2%22+AND+%22Abca1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_020	public_tf_comprehensive_020	TBL1XR1/TBLR1	ABCA1	human	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/19481530/	https://reactome.org/content/detail/R-HSA-9024326	human_HepG2_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22TBL1XR1%22+AND+%22ABCA1%22+AND+human	followup_needed
public_tf_comprehensive_followup_021	public_tf_comprehensive_021	STAG2	ABCA1	human	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://www.aacr.org/wp-content/uploads/2025/05/AACR2025_Proceedings_050725.pdf	https://www.biorxiv.org/content/10.64898/2026.06.10.731379v1	human_cancer_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22STAG2%22+AND+%22ABCA1%22+AND+human	followup_needed
public_tf_comprehensive_followup_022	public_tf_comprehensive_022	YAP1	ACKR2	human	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC12554403/	https://pmc.ncbi.nlm.nih.gov/articles/PMC12554403/	human_dermal_lymphatic_endothelial_cells_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22YAP1%22+AND+%22ACKR2%22+AND+human	followup_needed
public_tf_comprehensive_followup_023	public_tf_comprehensive_023	YAP1	ACTR2	human	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://www.nature.com/articles/s41586-022-04924-6		human_WI_38_fibroblast_and_vascular_smooth_muscle_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22YAP1%22+AND+%22ACTR2%22+AND+human	followup_needed
public_tf_comprehensive_followup_024	public_tf_comprehensive_024	NSD2/WHSC1	ADAM9	human	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC6786427/	https://pmc.ncbi.nlm.nih.gov/articles/PMC8528846/	human_TNBC_and_colorectal_cancer_models_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22NSD2%22+AND+%22ADAM9%22+AND+human	followup_needed
public_tf_comprehensive_followup_025	public_tf_comprehensive_025	ASH2L	Adam17	mouse	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/37879562/		mouse_db_db_nephropathy_and_glomerular_mesangial_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Ash2l%22+AND+%22Adam17%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_026	public_tf_comprehensive_026	TET3	Agrn	mouse	20B_chromatin_epigenetic_association;23B_chromatin_epigenetic_association	role_specific_noncanonical_epigenetic_locus_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC4542306/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4542306/	mouse_zygote_methylome_model_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Tet3%22+AND+%22Agrn%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_027	public_tf_comprehensive_027	TET1	IL5	human	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC5868728/	https://pmc.ncbi.nlm.nih.gov/articles/PMC5868728/	human_naive_CD4_T_cells_Th1_differentiation_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22TET1%22+AND+%22IL5%22+AND+human	followup_needed
public_tf_comprehensive_followup_028	public_tf_comprehensive_028	PRMT5	AXL	human	20B_target_interaction	role_specific_noncanonical_indirect_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://link.springer.com/article/10.1186/s13046-024-03270-x	https://link.springer.com/article/10.1186/s13046-024-03270-x	human_HACC2A_and_UFH2_adrenocortical_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22PRMT5%22+AND+%22AXL%22+AND+human	followup_needed
public_tf_comprehensive_followup_029	public_tf_comprehensive_029	PRMT5	EPHA2	human	22B_target_interaction	role_specific_noncanonical_protein_ptm_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC13042777/	https://pmc.ncbi.nlm.nih.gov/articles/PMC13042777/;https://pubmed.ncbi.nlm.nih.gov/41930341/;https://doi.org/10.1002/mco2.70697	human_SUNE1_HK1_and_HEK293_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22PRMT5%22+AND+%22EPHA2%22+AND+human	followup_needed
public_tf_comprehensive_followup_030	public_tf_comprehensive_030	BAHD1	IFNB1	human	20B_target_interaction	role_specific_noncanonical_complex_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC3903274/		human_epithelial_Listeria_infection_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22BAHD1%22+AND+%22IFNB1%22+AND+human	followup_needed
public_tf_comprehensive_followup_031	public_tf_comprehensive_031	CDYL	Cacng3	mouse	general_public_interaction_catalog	role_specific_noncanonical_chromatin_occupancy_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	https://pubmed.ncbi.nlm.nih.gov/28842554/;https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	mouse_hippocampal_neuronal_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Cdyl%22+AND+%22Cacng3%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_032	public_tf_comprehensive_032	CDYL	Glra1	mouse	general_public_interaction_catalog	role_specific_noncanonical_chromatin_occupancy_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	https://pubmed.ncbi.nlm.nih.gov/28842554/;https://pmc.ncbi.nlm.nih.gov/articles/PMC5572458/	mouse_hippocampal_neuronal_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Cdyl%22+AND+%22Glra1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_033	public_tf_comprehensive_033	CARM1	GREB1	human	general_public_interaction_catalog	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/26505218/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7069091/	human_MCF7_ERalpha_positive_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22CARM1%22+AND+%22GREB1%22+AND+human	followup_needed
public_tf_comprehensive_followup_034	public_tf_comprehensive_034	TLE5/AES/Grg5	Ihh	mouse	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/11984876/	https://pubmed.ncbi.nlm.nih.gov/15183720/	mouse_Grg5_null_growth_plate_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Tle5%22+AND+%22Ihh%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_035	public_tf_comprehensive_035	WIZ	CWH43	human	general_public_interaction_catalog	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/25789554/	https://elifesciences.org/articles/05606.pdf	human_U2OS_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22WIZ%22+AND+%22CWH43%22+AND+human	followup_needed
public_tf_comprehensive_followup_036	public_tf_comprehensive_036	WIZ	DIP2C	human	general_public_interaction_catalog	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/25789554/	https://elifesciences.org/articles/05606.pdf	human_U2OS_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22WIZ%22+AND+%22DIP2C%22+AND+human	followup_needed
public_tf_comprehensive_followup_037	public_tf_comprehensive_037	AMH	ACVR1	human	20B_ligand_receptor_relay	role_specific_noncanonical_ligand_receptor_relay	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC7286617/	https://academic.oup.com/mend/article/15/6/936/2526375;https://pmc.ncbi.nlm.nih.gov/articles/PMC7286617/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4023255/;https://reactome.org/content/detail/R-HSA-8858346	human_HEK293T_AMH_receptor_assay_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22AMH%22+AND+%22ACVR1%22+AND+human	followup_needed
public_tf_comprehensive_followup_038	public_tf_comprehensive_038	HMGB1	ACVR1	human	20B_ligand_receptor_response	role_specific_noncanonical_ligand_receptor_response_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC8803261/		human_iPSC_derived_macrophage_model_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22HMGB1%22+AND+%22ACVR1%22+AND+human	followup_needed
public_tf_comprehensive_followup_039	public_tf_comprehensive_039	FXR2	ABCA1	human	20B_rna_association	role_specific_noncanonical_rna_binding_association	independent_literature_single_source	1	B_independent_literature_single_source	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8693918	https://www.nature.com/articles/s41586-020-2077-3;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM8693918;https://www.nature.com/articles/s41586-020-2077-3	human_K562_eCLIP_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22FXR2%22+AND+%22ABCA1%22+AND+human	followup_needed
public_tf_comprehensive_followup_040	public_tf_comprehensive_040	METTL3	ADAM10	human	23B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386607/		human_PANC1_and_MIA_PaCa2_pancreatic_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22METTL3%22+AND+%22ADAM10%22+AND+human	followup_needed
public_tf_comprehensive_followup_041	public_tf_comprehensive_041	GSK3B	Ccnd1	mouse	22B_target_interaction	role_specific_noncanonical_protein_ptm_association	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC317244/	https://research.bioinformatics.udel.edu/iptmnet/entry/P25322/;https://pmc.ncbi.nlm.nih.gov/articles/PMC317244/;https://genesdev.cshlp.org/content/12/22/3499;https://research.bioinformatics.udel.edu/iptmnet/entry/P25322/;https://pubmed.ncbi.nlm.nih.gov/18328826/	mouse_NIH_3T3_fibroblast_model_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Gsk3b%22+AND+%22Ccnd1%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_042	public_tf_comprehensive_042	U2AF2	APOA1	human	20B_rna_processing_association	role_specific_noncanonical_rna_processing_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC4671683/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4671683/	human_spliceosomal_interactome_model_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22U2AF2%22+AND+%22APOA1%22+AND+human	followup_needed
public_tf_comprehensive_followup_043	public_tf_comprehensive_043	CCL5	Agrp	mouse	20B_target_interaction	role_specific_noncanonical_exact_pair	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pmc.ncbi.nlm.nih.gov/articles/PMC5127185/	https://pubmed.ncbi.nlm.nih.gov/27898058/	mouse_hypothalamus_ex_vivo_tissue_and_primary_neuron_models_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22Ccl5%22+AND+%22Agrp%22+AND+mouse	followup_needed
public_tf_comprehensive_followup_044	public_tf_comprehensive_044	F10/factor Xa	CCN1	human	24B_ligand_protease_and_downstream_rna	role_specific_noncanonical_exact_pair	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/11342437/		human_HeLa_factor_Xa_PAR1_model_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22F10%22+AND+%22CCN1%22+AND+human	followup_needed
public_tf_comprehensive_followup_045	public_tf_comprehensive_045	SUPT16H/SPT16	CCND1	human	22B_chromatin_expression_association	role_specific_noncanonical_chromatin_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pmc.ncbi.nlm.nih.gov/articles/PMC7648015/		human_A549_NCI_H1299_NCI_H460_lung_cancer_models_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22SUPT16H%22+AND+%22CCND1%22+AND+human	followup_needed
public_tf_comprehensive_followup_046	public_tf_comprehensive_046	DYRK1A	CCND1	human	22B_target_interaction	role_specific_noncanonical_protein_ptm_association	independent_literature_corroborated	2	A_independent_literature_corroborated	https://pubmed.ncbi.nlm.nih.gov/24119401/	https://pubmed.ncbi.nlm.nih.gov/24806449/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4039290/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4111700/;https://www.sciencedirect.com/science/article/pii/S235239641500033X;https://pubmed.ncbi.nlm.nih.gov/24119401/;https://pubmed.ncbi.nlm.nih.gov/24806449/	human_fibroblast_and_SH_SY5Y_kinase_models_not_SCI_target_cell	orthogonal_mechanism_and_context	Seek an orthogonal assay or perturbation and confirm target presence, direction, and model boundaries.	https://pubmed.ncbi.nlm.nih.gov/?term=%22DYRK1A%22+AND+%22CCND1%22+AND+human	followup_needed
public_tf_comprehensive_followup_047	public_tf_comprehensive_047	ADA2/CECR1	ANXA2	human	20B_secreted_factor_association;23B_secreted_factor_association;24B_secreted_factor_association	role_specific_noncanonical_secreted_factor_expression_association	independent_literature_single_source	1	B_independent_literature_single_source	https://pubmed.ncbi.nlm.nih.gov/32845709/		human_sepsis_time_series_biomarker_analysis_not_SCI_target_cell	independent_corroboration	Seek an independent primary study with the same regulator, target, species, and mechanism.	https://pubmed.ncbi.nlm.nih.gov/?term=%22ADA2%22+AND+%22ANXA2%22+AND+human	followup_needed
