module22a_handoff_id	coverage_id	pair_key	pair_label_canonical	pathway_reuse_keys	terminal_tf_entities	module21a_evidence_ids	tf_program_evidence_ids	handoff_status	terminal_tf_status	search_boundary	limitations
M22A-HANDOFF-000012	M21A-PAIR-000012	5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2			M21A-PAIR-EVID-545		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The submitted source combines serotonin with dopamine precursor/enzyme notation; dopamine-receptor evidence cannot be assigned to the 5-HT-DOPA-DDC composite, and no terminal TF was directly measured
M22A-HANDOFF-000013	M21A-PAIR-000013	5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3			M21A-PAIR-EVID-546		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The submitted source combines serotonin with dopamine precursor/enzyme notation; dopamine-receptor evidence cannot be assigned to the 5-HT-DOPA-DDC composite, and no terminal TF was directly measured
M22A-HANDOFF-000014	M21A-PAIR-000014	5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4			M21A-PAIR-EVID-547		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The submitted source combines serotonin with dopamine precursor/enzyme notation; dopamine-receptor evidence cannot be assigned to the 5-HT-DOPA-DDC composite, and no terminal TF was directly measured
M22A-HANDOFF-000015	M21A-PAIR-000015	5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5			M21A-PAIR-EVID-548		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The submitted source combines serotonin with dopamine precursor/enzyme notation; dopamine-receptor evidence cannot be assigned to the 5-HT-DOPA-DDC composite, and no terminal TF was directly measured
M22A-HANDOFF-000016	M21A-PAIR-000016	5-ht-dopa-ddc htr1a	5-HT-DOPA-DDC Htr1a			M21A-PAIR-EVID-549		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT1A signaling exists, but the submitted record combines 5-HT with DOPA and DDC and does not establish one receptor-side ligand source; no terminal TF was directly measured
M22A-HANDOFF-000017	M21A-PAIR-000017	5-ht-dopa-ddc htr1b	5-HT-DOPA-DDC Htr1b			M21A-PAIR-EVID-550		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	No qualifying exact assay for the submitted composite; family-level 5-HT1 evidence was not transferred, and no terminal TF was directly measured
M22A-HANDOFF-000018	M21A-PAIR-000018	5-ht-dopa-ddc htr1d	5-HT-DOPA-DDC Htr1d			M21A-PAIR-EVID-551		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	No qualifying exact assay for the submitted composite; family-level 5-HT1 evidence was not transferred, and no terminal TF was directly measured
M22A-HANDOFF-000019	M21A-PAIR-000019	5-ht-dopa-ddc htr1f	5-HT-DOPA-DDC Htr1f			M21A-PAIR-EVID-552		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	No qualifying exact assay for the submitted composite; family-level 5-HT1 evidence was not transferred, and no terminal TF was directly measured
M22A-HANDOFF-000020	M21A-PAIR-000020	5-ht-dopa-ddc htr2a	5-HT-DOPA-DDC Htr2a			M21A-PAIR-EVID-553		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The primary study supports 5-HT2A signaling but not the submitted mixed ligand/source; no terminal TF was directly measured
M22A-HANDOFF-000021	M21A-PAIR-000021	5-ht-dopa-ddc htr2b	5-HT-DOPA-DDC Htr2b			M21A-PAIR-EVID-554		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The primary studies support 5-HT2B receptor signaling but not the submitted mixed ligand/source; no terminal TF was directly measured
M22A-HANDOFF-000022	M21A-PAIR-000022	5-ht-dopa-ddc htr2c	5-HT-DOPA-DDC Htr2c			M21A-PAIR-EVID-555		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	No qualifying exact composite-pair assay was located; family-level evidence was not promoted and no terminal TF was directly measured
M22A-HANDOFF-000023	M21A-PAIR-000023	5-ht-dopa-ddc htr3a	5-HT-DOPA-DDC Htr3a			M21A-PAIR-EVID-556		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The primary studies establish serotonin activation of 5-HT3A but not the submitted mixed ligand/source; HTR3B subunit composition and terminal TF were not resolved
M22A-HANDOFF-000024	M21A-PAIR-000024	5-ht-dopa-ddc htr3b	5-HT-DOPA-DDC Htr3b			M21A-PAIR-EVID-557		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	No qualifying exact composite-pair assay was located; subunit-level evidence was not transferred to a standalone HTR3B edge and no terminal TF was measured
M22A-HANDOFF-000025	M21A-PAIR-000025	5-ht-dopa-ddc htr4	5-HT-DOPA-DDC Htr4			M21A-PAIR-EVID-558		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The primary studies support 5-HT4 signaling but not the submitted mixed ligand/source; no terminal TF was directly measured
M22A-HANDOFF-000026	M21A-PAIR-000026	5-ht-dopa-ddc htr5a	5-HT-DOPA-DDC Htr5a	M21A-REUSE-0300		M21A-PAIR-EVID-559		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT receptor signaling was measured, but DOPA/DDC production was not manipulated; no terminal TF was measured; C6 overexpression context.
M22A-HANDOFF-000027	M21A-PAIR-000027	5-ht-dopa-ddc htr6	5-HT-DOPA-DDC Htr6	M21A-REUSE-0301		M21A-PAIR-EVID-560		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR6 relay is supported in recombinant systems, but DOPA/DDC production was not manipulated and no terminal TF was directly measured.
M22A-HANDOFF-000028	M21A-PAIR-000028	5-ht-dopa-ddc htr7	5-HT-DOPA-DDC Htr7	M21A-REUSE-0302		M21A-PAIR-EVID-561		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT receptor signaling is supported, but DOPA/DDC production was not manipulated; splice variants and cell context affect coupling; no terminal TF assignment.
M22A-HANDOFF-000029	M21A-PAIR-000029	5-ht-tph1_slc18a1 htr1a	5-HT-TPH1_SLC18A1 Htr1a	M21A-REUSE-0303		M21A-PAIR-EVID-562		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR1A signaling is supported, but TPH1/SLC18A1 production or vesicular-release branch was not manipulated; downstream effects are cell-context dependent; no terminal TF.
M22A-HANDOFF-000030	M21A-PAIR-000030	5-ht-tph1_slc18a1 htr1b	5-HT-TPH1_SLC18A1 Htr1b	M21A-REUSE-0304		M21A-PAIR-EVID-563		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	5-HT directly inhibited cAMP in a receptor-defined cell assay, but TPH1/SLC18A1 production or release was not manipulated; receptor density and assay context limit extrapolation; no terminal TF.
M22A-HANDOFF-000031	M21A-PAIR-000031	5-ht-tph1_slc18a1 htr1d	5-HT-TPH1_SLC18A1 Htr1d	M21A-REUSE-0305		M21A-PAIR-EVID-564		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct HTR1D signaling is supported, but TPH1/SLC18A1 production or release was not manipulated; cell-growth output is not a terminal TF readout; no terminal TF.
M22A-HANDOFF-000032	M21A-PAIR-000032	5-ht-tph1_slc18a1 htr1e	5-HT-TPH1_SLC18A1 Htr1e	M21A-REUSE-0306		M21A-PAIR-EVID-565		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR1E coupling is supported in transfected cells, but native rodent expression is limited/absent and TPH1/SLC18A1 production was not manipulated; no terminal TF.
M22A-HANDOFF-000033	M21A-PAIR-000033	5-ht-tph1_slc18a1 htr1f	5-HT-TPH1_SLC18A1 Htr1f	M21A-REUSE-0307		M21A-PAIR-EVID-566		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct receptor activation and cAMP relay were shown in a recombinant system, but TPH1/SLC18A1 production or release was not manipulated and no terminal TF was measured.
M22A-HANDOFF-000034	M21A-PAIR-000034	5-ht-tph1_slc18a1 htr2a	5-HT-TPH1_SLC18A1 Htr2a	M21A-REUSE-0308		M21A-PAIR-EVID-567		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Some downstream experiments used DOI rather than 5-HT; direct HTR2A signaling is nevertheless established with 5-HT in recombinant cells; TPH1/SLC18A1 production was not manipulated and no terminal TF was directly measured.
M22A-HANDOFF-000035	M21A-PAIR-000035	5-ht-tph1_slc18a1 htr2b	5-HT-TPH1_SLC18A1 Htr2b	M21A-REUSE-0309		M21A-PAIR-EVID-568		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-induced Ca2+ and receptor-dependent astrocyte function are supported, but TPH1/SLC18A1 production was not manipulated; no terminal TF was measured.
M22A-HANDOFF-000036	M21A-PAIR-000036	5-ht-tph1_slc18a1 htr2c	5-HT-TPH1_SLC18A1 Htr2c	M21A-REUSE-0310		M21A-PAIR-EVID-569		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR2C signaling is supported in recombinant cells, but TPH1/SLC18A1 production or release was not manipulated; no terminal TF.
M22A-HANDOFF-000037	M21A-PAIR-000037	5-ht-tph1_slc18a1 htr3_complex	5-HT-TPH1_SLC18A1 HTR3_complex	M21A-REUSE-0311		M21A-PAIR-EVID-570		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The receptor-complex node is composition-dependent; studies directly test HTR3A homomers and HTR3A/3B heteromers rather than every native HTR3 assembly; TPH1/SLC18A1 production was not manipulated; no terminal TF.
M22A-HANDOFF-000038	M21A-PAIR-000038	5-ht-tph1_slc18a1 htr4	5-HT-TPH1_SLC18A1 Htr4	M21A-REUSE-0312		M21A-PAIR-EVID-571		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR4 relay and cellular output are supported, but TPH1/SLC18A1 production or release was not manipulated; no terminal TF was measured.
M22A-HANDOFF-000039	M21A-PAIR-000039	5-ht-tph1_slc18a1 htr5a	5-HT-TPH1_SLC18A1 Htr5a	M21A-REUSE-0313		M21A-PAIR-EVID-572		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT receptor signaling was measured, but TPH1/SLC18A1 production or release was not manipulated; recombinant/overexpression context; no terminal TF.
M22A-HANDOFF-000040	M21A-PAIR-000040	5-ht-tph1_slc18a1 htr6	5-HT-TPH1_SLC18A1 Htr6	M21A-REUSE-0314		M21A-PAIR-EVID-573		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR6 relay is supported, but TPH1/SLC18A1 production or vesicular release was not manipulated; no terminal TF.
M22A-HANDOFF-000041	M21A-PAIR-000041	5-ht-tph1_slc18a1 htr7	5-HT-TPH1_SLC18A1 Htr7	M21A-REUSE-0315		M21A-PAIR-EVID-574		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR7 cAMP signaling and receptor-dependent neuronal function are supported, but TPH1/SLC18A1 production was not manipulated; no terminal TF was directly measured.
M22A-HANDOFF-000042	M21A-PAIR-000042	5-ht-tph1_slc18a2 htr1a	5-HT-TPH1_SLC18A2 Htr1a	M21A-REUSE-0316		M21A-PAIR-EVID-575		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR1A signaling is supported, but SLC18A2/TPH1 production or vesicular release was not manipulated; no terminal TF.
M22A-HANDOFF-000043	M21A-PAIR-000043	5-ht-tph1_slc18a2 htr1b	5-HT-TPH1_SLC18A2 Htr1b	M21A-REUSE-0317		M21A-PAIR-EVID-576		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct receptor signaling was measured, but SLC18A2/TPH1 production or vesicular release was not manipulated; no terminal TF.
M22A-HANDOFF-000044	M21A-PAIR-000044	5-ht-tph1_slc18a2 htr1d	5-HT-TPH1_SLC18A2 Htr1d	M21A-REUSE-0318		M21A-PAIR-EVID-577		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR1D signaling is supported, but SLC18A2/TPH1 production or vesicular release was not manipulated; no terminal TF.
M22A-HANDOFF-000045	M21A-PAIR-000045	5-ht-tph1_slc18a2 htr1e	5-HT-TPH1_SLC18A2 Htr1e	M21A-REUSE-0319		M21A-PAIR-EVID-578		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR1E coupling is supported in transfected cells, but SLC18A2/TPH1 production or release was not manipulated; native rodent expression limitation; no terminal TF.
M22A-HANDOFF-000046	M21A-PAIR-000046	5-ht-tph1_slc18a2 htr1f	5-HT-TPH1_SLC18A2 Htr1f	M21A-REUSE-0320		M21A-PAIR-EVID-579		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct receptor activation and cAMP relay were shown in recombinant cells, but SLC18A2/TPH1 production or release was not manipulated; no terminal TF.
M22A-HANDOFF-000047	M21A-PAIR-000047	5-ht-tph1_slc18a2 htr2a	5-HT-TPH1_SLC18A2 Htr2a	M21A-REUSE-0321		M21A-PAIR-EVID-580		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Some downstream experiments used DOI rather than 5-HT; direct 5-HT signaling is supported in recombinant cells; SLC18A2/TPH1 production was not manipulated; no terminal TF.
M22A-HANDOFF-000048	M21A-PAIR-000048	5-ht-tph1_slc18a2 htr2b	5-HT-TPH1_SLC18A2 Htr2b	M21A-REUSE-0322		M21A-PAIR-EVID-581		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct receptor signaling and astrocyte output are supported, but SLC18A2/TPH1 production or release was not manipulated; no terminal TF.
M22A-HANDOFF-000049	M21A-PAIR-000049	5-ht-tph1_slc18a2 htr2c	5-HT-TPH1_SLC18A2 Htr2c	M21A-REUSE-0323		M21A-PAIR-EVID-582		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	Direct 5-HT-to-HTR2C signaling is supported in recombinant cells, but SLC18A2/TPH1 production or release was not manipulated; no terminal TF.
M22A-HANDOFF-000050	M21A-PAIR-000050	5-ht-tph1_slc18a2 htr3_complex	5-HT-TPH1_SLC18A2 HTR3_complex	M21A-REUSE-0324		M21A-PAIR-EVID-583		no_terminal_tf_assigned	none_found	Primary downstream review batches028_029; exact pair/family boundary search.	The receptor-complex node is composition-dependent; studies test HTR3A homomers and HTR3A/3B heteromers rather than every native HTR3 assembly; SLC18A2/TPH1 production was not manipulated; no terminal TF.
M22A-HANDOFF-000051	M21A-PAIR-000051	5-ht-tph1_slc18a2 htr4	5-HT-TPH1_SLC18A2 Htr4	M21A-REUSE-0325		M21A-PAIR-EVID-584		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct mature 5-HT-to-HTR4 relay and cellular output are supported, but TPH1 or SLC18A2 production, vesicular release, and same-cell source-to-receptor coupling were not manipulated; no terminal TF was measured.
M22A-HANDOFF-000052	M21A-PAIR-000052	5-ht-tph1_slc18a2 htr5a	5-HT-TPH1_SLC18A2 Htr5a	M21A-REUSE-0326		M21A-PAIR-EVID-585		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT receptor signaling was measured in a recombinant/overexpression context, but TPH1 or SLC18A2 production and vesicular release were not manipulated; no terminal TF was measured.
M22A-HANDOFF-000053	M21A-PAIR-000053	5-ht-tph1_slc18a2 htr6	5-HT-TPH1_SLC18A2 Htr6	M21A-REUSE-0327		M21A-PAIR-EVID-586		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR6 relay is supported in recombinant systems, but TPH1 or SLC18A2 production and vesicular release were not manipulated; no terminal TF was measured.
M22A-HANDOFF-000054	M21A-PAIR-000054	5-ht-tph1_slc18a2 htr7	5-HT-TPH1_SLC18A2 Htr7	M21A-REUSE-0328		M21A-PAIR-EVID-587		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR7 cAMP signaling and receptor-dependent neuronal function are supported, but TPH1 or SLC18A2 production and vesicular release were not manipulated; splice variants and cell context affect coupling; no terminal TF was measured.
M22A-HANDOFF-000055	M21A-PAIR-000055	5-ht-tph1_slc6a4 htr1a	5-HT-TPH1_SLC6A4 Htr1a	M21A-REUSE-0329		M21A-PAIR-EVID-588		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR1A signaling is supported, but SLC6A4 reuptake, TPH1 production, and same-cell transporter-to-receptor coupling were not manipulated; downstream effects are cell-context dependent; no terminal TF.
M22A-HANDOFF-000056	M21A-PAIR-000056	5-ht-tph1_slc6a4 htr1b	5-HT-TPH1_SLC6A4 Htr1b	M21A-REUSE-0330		M21A-PAIR-EVID-589		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	5-HT directly inhibited cAMP in a receptor-defined cell assay, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; receptor density and assay context limit extrapolation; no terminal TF.
M22A-HANDOFF-000057	M21A-PAIR-000057	5-ht-tph1_slc6a4 htr1d	5-HT-TPH1_SLC6A4 Htr1d	M21A-REUSE-0331		M21A-PAIR-EVID-590		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct HTR1D signaling is supported, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; cell-growth output is not a terminal TF readout; no terminal TF.
M22A-HANDOFF-000058	M21A-PAIR-000058	5-ht-tph1_slc6a4 htr1e	5-HT-TPH1_SLC6A4 Htr1e	M21A-REUSE-0332		M21A-PAIR-EVID-591		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR1E coupling is supported in transfected cells, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; native rodent expression is limited/absent; no terminal TF.
M22A-HANDOFF-000059	M21A-PAIR-000059	5-ht-tph1_slc6a4 htr1f	5-HT-TPH1_SLC6A4 Htr1f	M21A-REUSE-0333		M21A-PAIR-EVID-592		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct receptor activation and cAMP relay were shown in a recombinant system, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF was measured.
M22A-HANDOFF-000060	M21A-PAIR-000060	5-ht-tph1_slc6a4 htr2a	5-HT-TPH1_SLC6A4 Htr2a	M21A-REUSE-0334		M21A-PAIR-EVID-593		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Some downstream experiments used DOI rather than 5-HT; direct 5-HT signaling is supported in recombinant cells, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF.
M22A-HANDOFF-000061	M21A-PAIR-000061	5-ht-tph1_slc6a4 htr2b	5-HT-TPH1_SLC6A4 Htr2b	M21A-REUSE-0335		M21A-PAIR-EVID-594		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-induced Ca2+ and receptor-dependent astrocyte function are supported, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF was measured.
M22A-HANDOFF-000062	M21A-PAIR-000062	5-ht-tph1_slc6a4 htr2c	5-HT-TPH1_SLC6A4 Htr2c	M21A-REUSE-0336		M21A-PAIR-EVID-595		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR2C signaling is supported in recombinant cells, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF.
M22A-HANDOFF-000063	M21A-PAIR-000063	5-ht-tph1_slc6a4 htr3_complex	5-HT-TPH1_SLC6A4 HTR3_complex	M21A-REUSE-0337		M21A-PAIR-EVID-596		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	The receptor-complex node is composition-dependent; studies test HTR3A homomers and HTR3A/3B heteromers rather than every native HTR3 assembly; SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF.
M22A-HANDOFF-000064	M21A-PAIR-000064	5-ht-tph1_slc6a4 htr4	5-HT-TPH1_SLC6A4 Htr4	M21A-REUSE-0338		M21A-PAIR-EVID-597		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct mature 5-HT-to-HTR4 relay and cellular output are supported, but SLC6A4 reuptake, TPH1 production, and same-cell source-to-receptor coupling were not manipulated; no terminal TF.
M22A-HANDOFF-000065	M21A-PAIR-000065	5-ht-tph1_slc6a4 htr5a	5-HT-TPH1_SLC6A4 Htr5a	M21A-REUSE-0339		M21A-PAIR-EVID-598		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT receptor signaling was measured in a recombinant/overexpression context, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; no terminal TF.
M22A-HANDOFF-000066	M21A-PAIR-000066	5-ht-tph1_slc6a4 htr6	5-HT-TPH1_SLC6A4 Htr6	M21A-REUSE-0340		M21A-PAIR-EVID-599		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR6 relay is supported, but SLC6A4 reuptake, TPH1 production, and vesicular release were not manipulated; no terminal TF.
M22A-HANDOFF-000067	M21A-PAIR-000067	5-ht-tph1_slc6a4 htr7	5-HT-TPH1_SLC6A4 Htr7	M21A-REUSE-0341		M21A-PAIR-EVID-600		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR7 cAMP signaling and receptor-dependent neuronal function are supported, but SLC6A4 reuptake, TPH1 production, and release were not manipulated; splice variants and cell context affect coupling; no terminal TF.
M22A-HANDOFF-000068	M21A-PAIR-000068	5-ht-tph2_slc18a1 htr1a	5-HT-TPH2_SLC18A1 Htr1a	M21A-REUSE-0342		M21A-PAIR-EVID-601		no_terminal_tf_assigned	none_found	Primary downstream review batches030_031; exact pair/family boundary search.	Direct 5-HT-to-HTR1A signaling is supported, but TPH2 or SLC18A1 production, vesicular release, and same-cell source-to-receptor coupling were not manipulated; downstream effects are cell-context dependent; no terminal TF.
