evidence_id	pathway_reuse_key	source_locators	species	cell_type_model	assay_or_perturbation	relation_type	evidence_layer	pathway_branch	confidence_tier	evidence_summary	limitations
M21A-PAIR-EVID-035		https://pmc.ncbi.nlm.nih.gov/articles/PMC12017343/; https://doi.org/10.4049/jimmunol.1401096	human; mouse exact pair unresolved	HEK293T ACKR2 assays and earlier trophoblast assay	NanoBRET competition, beta-arrestin, binding, uptake and negative comparison	direct binding; atypical scavenging/partial agonism	ligand_receptor_binding_or_activation	ACKR2 scavenging/beta-arrestin branch	low	ACKR2 scavenging/beta-arrestin branch	Human results are low-potency and conflict with an earlier negative assay; mouse Ccl26-specific evidence was not recovered.
M21A-PAIR-EVID-036	M21A-REUSE-0128	https://pubmed.ncbi.nlm.nih.gov/10725697/; https://pmc.ncbi.nlm.nih.gov/articles/PMC9157018/	human and mouse	human CCR10 transfectants and mouse CCL27-family skin/lymphocyte models	binding, calcium flux, chemotaxis, knockout and migration assays	direct ligand-receptor activation; function	receptor_proximal_relay	CCR10-Gi/Ca2+/chemotaxis and lymphocyte-localization branch	medium	CCR10-Gi/Ca2+/chemotaxis and lymphocyte-localization branch	Human pair is strong; mouse Ccl27a-specific loss is confounded by total Ccl27-family targeting.
M21A-PAIR-EVID-037	M21A-REUSE-0129	https://pmc.ncbi.nlm.nih.gov/articles/PMC12017343/; https://pmc.ncbi.nlm.nih.gov/articles/PMC11811810/	mouse	ACKR2-expressing HEK293T and mouse T-cell/fibroblast cancer-associated models	NanoBRET binding/uptake and chemokine-availability/chemoattraction assays	direct binding; scavenging/internalization; function	downstream_pathway_function	ACKR2-CCL3 scavenging and extracellular-availability branch	medium	ACKR2-CCL3 scavenging and extracellular-availability branch	This is not canonical G-protein chemotaxis and does not establish a TF endpoint.
M21A-PAIR-EVID-038	M21A-REUSE-0130	https://pubmed.ncbi.nlm.nih.gov/10766793/; https://pubmed.ncbi.nlm.nih.gov/12181451/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3145066/	human and mouse	human CCR1 transfectants and mouse radiation-fibrosis model	calcium flux, chemotaxis, photo-crosslinking, loss-of-function and inhibitor assays	direct ligand-receptor contact; GPCR activation; function	receptor_proximal_relay	CCR1-Gi/Ca2+ inflammatory chemotaxis branch	medium	CCR1-Gi/Ca2+ inflammatory chemotaxis branch	Human direct contact and signaling are strongest; mouse functional genetics do not isolate direct binding in the same assay.
M21A-PAIR-EVID-039	M21A-REUSE-0131	https://pmc.ncbi.nlm.nih.gov/articles/PMC49068/; https://pubmed.ncbi.nlm.nih.gov/9211889/; https://pubmed.ncbi.nlm.nih.gov/18945591/	mouse with human comparator	COS-7 receptor reconstitution, FDC-P1 and mouse myeloid cells	radioligand binding, alpha/beta co-expression, receptor perturbation, phospho-STAT5 and growth assays	direct receptor-complex assembly; receptor-proximal relay; function	receptor_proximal_relay	GM-CSF-CSF2RA/CSF2RB-JAK2/SHC/ERK/STAT5 branch	medium	GM-CSF-CSF2RA/CSF2RB-JAK2/SHC/ERK/STAT5 branch	Exact alpha/beta complex is strong; downstream STAT5 evidence is from related myeloid context, not the same reconstitution.
M21A-PAIR-EVID-040	M21A-REUSE-0132	https://pmc.ncbi.nlm.nih.gov/articles/PMC3438943/; https://pmc.ncbi.nlm.nih.gov/articles/PMC43187/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4176247/	human	CHO EGFR/ERBB2 and engineered epithelial receptor systems	125I-EGF binding, dimerization luciferase, autophosphorylation and transphosphorylation	direct EGF-EGFR binding; receptor-complex activation	receptor_proximal_relay	EGFR-ERBB2 heterodimer receptor-phosphorylation branch	medium	EGFR-ERBB2 heterodimer receptor-phosphorylation branch	ERBB2 is a co-receptor; direct EGF-ERBB2 binding was not established and no terminal TF was measured.
M21A-PAIR-EVID-041	M21A-REUSE-0133	https://pubmed.ncbi.nlm.nih.gov/9419975/; https://doi.org/10.1038/s41388-021-01734-4	human	human breast-carcinoma and EGFR-mutant NSCLC cells	radioligand crosslinking, receptor phosphorylation, EREG perturbation, dimer imaging and AKT assays	direct EREG-EGFR binding; receptor-complex activation; function	receptor_proximal_relay	EGFR-ERBB2-AKT/ERK branch	medium	EGFR-ERBB2-AKT/ERK branch	EREG-ERBB2 direct binding was not shown; ERBB2 is a heterodimer partner.
M21A-PAIR-EVID-042	M21A-REUSE-0134	https://pubmed.ncbi.nlm.nih.gov/9419975/; https://pubmed.ncbi.nlm.nih.gov/9553109/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5650921/	human	engineered ErbB lines, Ba/F3 and MCF-7	crosslinking, receptor phosphorylation and ligand-dependent dimer-kinetic assays	direct EREG-ERBB4 binding; receptor-complex activation	receptor_proximal_relay	ERBB2-ERBB4-ERK/AKT mitogenic branch	medium	ERBB2-ERBB4-ERK/AKT mitogenic branch	EREG contacts ERBB4; no direct EREG-ERBB2 binding and no terminal TF assay.
M21A-PAIR-EVID-043	M21A-REUSE-0135	https://pubmed.ncbi.nlm.nih.gov/8663044/; https://pubmed.ncbi.nlm.nih.gov/11069186/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	human and mouse engineered systems	FGFR2 ectodomain and BaF3-FGFR2 cells	crystal structure, receptor activation and mitogenic screen	direct ligand-receptor binding; receptor activation	ligand_receptor_binding_or_activation	FGFR2-FRS2/RAS-ERK, PI3K/AKT and PLCgamma family branches	high	FGFR2-FRS2/RAS-ERK, PI3K/AKT and PLCgamma family branches	Exact complex/activation is supported; pair-specific physiological downstream function was not isolated.
M21A-PAIR-EVID-044	M21A-REUSE-0136	https://pubmed.ncbi.nlm.nih.gov/14732692/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	human and mouse engineered systems	FGFR3c ectodomain and BaF3-FGFR3 cells	crystal/SPR and receptor-activation screen	direct ligand-receptor binding; receptor activation	ligand_receptor_binding_or_activation	FGFR3-FRS2/RAS-ERK family branch	high	FGFR3-FRS2/RAS-ERK family branch	Queue gene-level label does not resolve FGFR3b/c; no pair-specific physiological function.
M21A-PAIR-EVID-045		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR1b/FGFR isoform panel	mitogenic receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR1b activation-screen branch	low	FGFR1b activation-screen branch	Weak FGFR1b activation only; no direct binding or physiological FGFR1 function.
M21A-PAIR-EVID-046	M21A-REUSE-0137	https://pmc.ncbi.nlm.nih.gov/articles/PMC151329/; https://pubmed.ncbi.nlm.nih.gov/11062007/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	human and mouse	FGFR2b ectodomain, BaF3 and mouse embryonic lung	crystal structure, receptor activation and FGFR2b blockade	direct binding; receptor activation; function	receptor_proximal_relay	FGFR2b-FRS2/ERK epithelial developmental branch	high	FGFR2b-FRS2/ERK epithelial developmental branch	Reuse is limited to mouse embryonic lung/FGFR2b; ETV4/5 are reporter/transcript readouts, not occupancy.
M21A-PAIR-EVID-047		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR1c	high-concentration/heparin receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR1c endocrine-family activation screen	low	FGFR1c endocrine-family activation screen	Supraphysiologic activation; FGF15/FGF19 and beta-Klotho contexts are not interchangeable.
M21A-PAIR-EVID-048		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR2c	high-concentration/heparin receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR2c endocrine-family activation screen	low	FGFR2c endocrine-family activation screen	No physiological downstream function established.
M21A-PAIR-EVID-049		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR3c	high-concentration/heparin receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR3c endocrine-family activation screen	low	FGFR3c endocrine-family activation screen	No physiological downstream function established.
M21A-PAIR-EVID-050	M21A-REUSE-0138	https://pubmed.ncbi.nlm.nih.gov/22467244/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3390456/; https://pmc.ncbi.nlm.nih.gov/articles/PMC4768716/	mouse	hepatocytes and mouse liver	FGF15 administration, FGFR4/KLB and FRS2alpha perturbation, phospho-kinase and Cyp7a1 assays	receptor-complex activation; function	downstream_pathway_function	FGF15-FGFR4/KLB-FRS2alpha-ERK/AKT/JNK-FOXO1 hepatic branch	high	FGF15-FGFR4/KLB-FRS2alpha-ERK/AKT/JNK-FOXO1 hepatic branch	Reuse is restricted to mouse liver/hepatocyte KLB context; Cyp7a1 is a target gene, not a TF.
M21A-PAIR-EVID-051		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse	BaF3-FGFR1c and neonatal cardiac myocytes	receptor activation screen and FGF16 cardiac response without receptor-specific perturbation	receptor activation; functional attribution unresolved	ligand_receptor_binding_or_activation	FGFR1c activation/PKC cardiac-growth candidate branch	medium	FGFR1c activation/PKC cardiac-growth candidate branch	Cardiac function was not receptor-specific; no terminal TF.
M21A-PAIR-EVID-052		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR2c	receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR2c activation screen	medium	FGFR2c activation screen	No exact pair-specific downstream/function assay.
M21A-PAIR-EVID-053		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR3b/c	receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR3 activation screen	medium	FGFR3 activation screen	Isoform unresolved; no exact downstream function.
M21A-PAIR-EVID-054		https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	mouse engineered system	BaF3-FGFR4	receptor-activation screen	receptor activation	ligand_receptor_binding_or_activation	FGFR4 activation screen	medium	FGFR4 activation screen	No exact downstream function.
M21A-PAIR-EVID-055	M21A-REUSE-0139	https://pubmed.ncbi.nlm.nih.gov/16384934/; https://pubmed.ncbi.nlm.nih.gov/16093398/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6725305/	human and rat	FGFR3 binding assays and rat oligodendrocyte progenitors	SPR, FGFR3 blocking antibody and differentiation assays	direct binding; receptor-dependent function	downstream_pathway_function	FGF17-FGFR3 oligodendrocyte differentiation branch	high	FGF17-FGFR3 oligodendrocyte differentiation branch	Reuse is limited to rat OL-progenitor/blocking-antibody context; no terminal TF was directly measured.
M21A-PAIR-EVID-056		https://pubmed.ncbi.nlm.nih.gov/16384934/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2080618/	human and mouse engineered systems	FGFR4 binding/SPR and BaF3-FGFR4	SPR and receptor-activation screen	direct binding; receptor activation	ligand_receptor_binding_or_activation	FGFR4 activation branch	medium	FGFR4 activation branch	No matched downstream/function evidence.
