evidence_id	pathway_reuse_key	source_locators	support_kind	species_support	source_species_detail	evidence_layer	confidence_tier	evidence_summary	limitations
M21A-PAIR-EVID-016	M21A-REUSE-0109	PMID:22718755	primary_experiment_or_structural_primary	human recombinant receptor ectodomain SPR/thermodynamics	human recombinant receptor ectodomain SPR/thermodynamics	ligand_receptor_binding_or_activation	low	BMP10-ACVRL1/ALK1-SMAD1/5/9 branch with ACVR2A binding	ACVR2A binding is shown but exact ternary cellular signaling is not established.
M21A-PAIR-EVID-017	M21A-REUSE-0110	PMID:35504921; PMCID:PMC9064986	primary_experiment_or_structural_primary	human recombinant structural system and separate zebrafish endothelial ALK1 signaling	human recombinant structural system and separate zebrafish endothelial ALK1 signaling	receptor_proximal_relay	medium	BMP10-ACVRL1/ALK1-BMPR2-SMAD1/5/9 branch	Structural ternary evidence and family relay are not a matched cell-level TF assay.
M21A-PAIR-EVID-018	M21A-REUSE-0111	PMID:22294741	primary_experiment_or_structural_primary	human granulosa-luteal/COV434 and COS receptor-complex/pSMAD assays	human granulosa-luteal/COV434 and COS receptor-complex/pSMAD assays	receptor_proximal_relay	high	BMP15-BMPR2/BMPR1B-SMAD1/5/8-SMAD4 branch	Inhibin-B downstream program belongs to Module22A and is not included here.
M21A-PAIR-EVID-019	M21A-REUSE-0112	PMCID:PMC8855587	primary_experiment_or_structural_primary	human U2OS/COS7 receptor competition, FRAP, siRNA, and pSMAD assays	human U2OS/COS7 receptor competition, FRAP, siRNA, and pSMAD assays	receptor_proximal_relay	medium	BMP2-ACVR2A-BMPR1A/ALK3-SMAD1/5/8 branch	Not SCI-specific and no target-program endpoint.
M21A-PAIR-EVID-020	M21A-REUSE-0113	PMID:19211807; PMID:17989347	primary_experiment_or_structural_primary	mouse LbetaT2 and human vascular cells with receptor perturbation/pSMAD assays	mouse LbetaT2 and human vascular cells with receptor perturbation/pSMAD assays	receptor_proximal_relay	medium	BMP2-BMPR2/BMPR1A/ALK3-SMAD1/5 branch	Fshb and other target programs belong to Module22A.
M21A-PAIR-EVID-021	M21A-REUSE-0114	PMID:21471205; PMID:19211807	primary_experiment_or_structural_primary	COS7 live-cell FRAP/pSMAD and mouse LbetaT2 functional assays	COS7 live-cell FRAP/pSMAD and mouse LbetaT2 functional assays	receptor_proximal_relay	medium	BMP2-BMPR2/BMPR1B-SMAD1/5 branch	Target-program endpoints remain deferred.
M21A-PAIR-EVID-022	M21A-REUSE-0115	PMID:17989347	primary_experiment_or_structural_primary	human pulmonary vascular cells with receptor siRNA and pSMAD assays	human pulmonary vascular cells with receptor siRNA and pSMAD assays	receptor_proximal_relay	medium	BMP4-BMPR2/BMPR1A-SMAD1/5 branch	Model-specific; no terminal TF target program.
M21A-PAIR-EVID-023	M21A-REUSE-0116	PMID:17541940; PMID:28925352	primary_experiment_or_structural_primary	rat primary chondrocytes and chicken spinal cord	rat primary chondrocytes and chicken spinal cord	downstream_pathway_function	low	BMP5 ligand-level SMAD1/5/8 and p38 branch	No receptor-complex perturbation; exact queued receptor pair is unresolved.
M21A-PAIR-EVID-024	M21A-REUSE-0117	PMID:18436533; PMCID:PMC3258927	primary_experiment_or_structural_primary	human bone-marrow MSC receptor RNAi/co-expression and differentiation assays	human bone-marrow MSC receptor RNAi/co-expression and differentiation assays	receptor_proximal_relay	medium	BMP6 receptor-utilization-SMAD1/5/8 branch	BMPR1B and ACVR2B were weak/not significant in the matched model; no SCI context.
M21A-PAIR-EVID-025	M21A-REUSE-0118	PMID:18436533; PMCID:PMC3258927; PMID:7790373; PMCID:PMC2120513	primary_experiment_or_structural_primary	human MSC and receptor binding/reporter systems	human MSC and receptor binding/reporter systems	receptor_proximal_relay	medium	BMP7 receptor-utilization-SMAD1/5/8 branch	Exact pair support varies by receptor combination; binding-only rows remain unpromoted.
M21A-PAIR-EVID-026	M21A-REUSE-0119	PMID:28465413; DOI:10.1126/scisignal.aal1910	primary_experiment_or_structural_primary	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	HEK293T receptor reconstitution/BRE-CAGA reporters and mouse spermatogonia	receptor_proximal_relay	medium	BMP8A receptor-reconstituted-SMAD1/5/8 branch	Exact reporter support is stronger for ACVR2A/BMPR2 combinations; SMAD2/3 branch uses ALK5 and is not transferred.
M21A-PAIR-EVID-027	M21A-REUSE-0120	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	primary_experiment_or_structural_primary	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.
M21A-PAIR-EVID-028	M21A-REUSE-0121	PMID:8570211; DOI:10.1152/ajpcell.00436.2003	primary_experiment_or_structural_primary	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	receptor_proximal_relay	medium	BTC-EGFR/ERBB4 receptor activation with ERK/PI3K candidates	Pair-specific receptor activation, but no pair-specific TF assay; AP-1/ELK1 are generic candidates only.
M21A-PAIR-EVID-029	M21A-REUSE-0122	PMID:38498590; PMCID:PMC10948148	primary_experiment_or_structural_primary	human HER2/HER4 ectodomains, cryo-EM	human HER2/HER4 ectodomains, cryo-EM	ligand_receptor_binding_or_activation	low	BTC-HER2/HER4 structural complex	Structural receptor evidence only; intracellular relay and TF endpoint not measured.
M21A-PAIR-EVID-030	M21A-REUSE-0123	DOI:10.1152/ajpcell.00436.2003	primary_experiment_or_structural_primary	rat vascular smooth-muscle cells with receptor association/phosphorylation and kinase inhibitors	rat vascular smooth-muscle cells with receptor association/phosphorylation and kinase inhibitors	receptor_proximal_relay	medium	BTC-EGFR/ERBB2 heterodimer ERK/AKT/p38 branch	TF-target evidence absent and branch is model-specific.
