review_id	pair_key	pair_label_canonical	pathway_reuse_key	module21a_evidence_id	terminal_tf_entities	review_status	confidence_tier	evidence_layer	curator_note
M20A-EXT-0014	gdf15 tgfbr2	Gdf15 Tgfbr2				reviewed_unresolved	reviewed	none	GDF15-TGFBR2 assignment is contested; do not use GDF15-GFRAL/RET evidence as a substitute.
M20A-EXT-0015	slit1 robo1	Slit1 Robo1	M21A-REUSE-0099	M21A-PAIR-EVID-006		reviewed_relay_candidate	reviewed	receptor_proximal_relay	Slit-Robo guidance relay; no terminal TF evidence.
M20A-EXT-0016	slit2 robo1	Slit2 Robo1	M21A-REUSE-0099	M21A-PAIR-EVID-006		reviewed_relay_candidate	reviewed	receptor_proximal_relay	Slit-Robo guidance relay; no terminal TF evidence.
M20A-EXT-0017	slit2 robo2	Slit2 Robo2	M21A-REUSE-0099	M21A-PAIR-EVID-006		reviewed_relay_candidate	reviewed	receptor_proximal_relay	Slit-Robo guidance relay; no terminal TF evidence.
M20A-EXT-0018	slitrk1 ptprs	Slitrk1 Ptprs	M21A-REUSE-0100	M21A-PAIR-EVID-007		reviewed_function_only	reviewed	downstream_pathway_function	Synaptogenic adhesion/scaffold output; no terminal TF evidence.
M20A-EXT-0019	slitrk2 ptprs	Slitrk2 Ptprs	M21A-REUSE-0100	M21A-PAIR-EVID-007		reviewed_function_only	reviewed	downstream_pathway_function	Synaptogenic adhesion/scaffold output; no terminal TF evidence.
M20A-EXT-0020	slitrk6 ptprs	Slitrk6 Ptprs	M21A-REUSE-0100	M21A-PAIR-EVID-007		reviewed_function_only	reviewed	downstream_pathway_function	Synaptogenic adhesion/scaffold output; no terminal TF evidence.
M20A-EXT-0021	wnt5a mcam	Wnt5a Mcam	M21A-REUSE-0101	M21A-PAIR-EVID-008	JUN/AP-1 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-specific WNT5A-MCAM-DVL2-JNK branch; JUN/AP-1 remains a candidate only.
M20A-CELLCHAT-REMAINING-0138	activin ab acvr1b_acvr2a	Activin Ab Acvr1b_acvr2a	M21A-REUSE-0102	M21A-PAIR-EVID-009	SMAD2/3;SMAD4 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Activin-ALK4 family branch; exact four-part pair not isolated in one assay.
M20A-CELLCHAT-REMAINING-0139	activin ab acvr1b_acvr2b	Activin Ab Acvr1b_acvr2b	M21A-REUSE-0102	M21A-PAIR-EVID-009	SMAD2/3;SMAD4 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Activin-ALK4 family branch; exact four-part pair not isolated in one assay.
M20A-CELLCHAT-REMAINING-0140	activin ab acvr1c_acvr2a	Activin Ab Acvr1c_acvr2a	M21A-REUSE-0103	M21A-PAIR-EVID-010	SMAD2/3;SMAD4 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Activin-ALK7 family branch; exact type-II partner and PDX1 scope are limited.
M20A-CELLCHAT-REMAINING-0141	activin ab acvr1c_acvr2b	Activin Ab Acvr1c_acvr2b	M21A-REUSE-0103	M21A-PAIR-EVID-010	SMAD2/3;SMAD4 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Activin-ALK7 family branch; exact type-II partner and PDX1 scope are limited.
M20A-EXT-0022	amh amhr2_bmpr1a	Amh AMHR2_BMPR1A				reviewed_no_downstream_evidence	reviewed	none	AMH-AMHR2-BMPR1A association was not detected in the primary comparison assay.
M20A-EXT-0023	amh amhr2_bmpr1b	Amh AMHR2_BMPR1B	M21A-REUSE-0104	M21A-PAIR-EVID-011	SMAD1/5/9;SMAD4 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	AMH-AMHR2-BMPR1B-SMAD1/5 branch; no target program.
M20A-CELLCHAT-REMAINING-0204	areg egfr	Areg Egfr	M21A-REUSE-0105	M21A-PAIR-EVID-012	ELK1 candidate	reviewed_relay_candidate	reviewed	receptor_proximal_relay	AREG-EGFR relay partly reused across organoid and fibroblast models.
M20A-EXT-0024	areg egfr_erbb2	Areg EGFR_ERBB2	M21A-REUSE-0106	M21A-PAIR-EVID-013	ELK1;AP-1 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	EGFR-mediated ERBB2 transphosphorylation; no direct AREG-ERBB2 binding.
M20A-EXT-0025	artn gfra1_ret	Artn GFRA1_RET				reviewed_unresolved	reviewed	none	ARTN-GFRA1-RET downstream signaling is weak/contested.
M20A-EXT-0026	artn gfra3_ret	Artn GFRA3_RET	M21A-REUSE-0107	M21A-PAIR-EVID-014	ELK1/AP-1 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	ARTN-GFRA3-RET-ERK/PI3K-AKT relay; no terminal TF assay.
M20A-EXT-0027	bdnf ntrk2	Bdnf Ntrk2	M21A-REUSE-0108	M21A-PAIR-EVID-015	CREB	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-specific TrkB pathway with measured pCREB; Module22A target program still pending.
M20A-EXT-0028	bmp10 acvrl1_acvr2a	Bmp10 ACVRL1_ACVR2A	M21A-REUSE-0109	M21A-PAIR-EVID-016	SMAD1/5/9;SMAD4 candidates	reviewed_binding_only	reviewed	ligand_receptor_binding_or_activation	ACVR2A binding/structural compatibility without exact ternary cellular relay.
M20A-EXT-0029	bmp10 acvrl1_bmpr2	Bmp10 ACVRL1_BMPR2	M21A-REUSE-0110	M21A-PAIR-EVID-017	SMAD1/5/9;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP10-ALK1-BMPR2 structural/family relay; no matched TF endpoint.
M20A-EXT-0030	bmp15 bmpr1b_bmpr2	Bmp15 BMPR1B_BMPR2	M21A-REUSE-0111	M21A-PAIR-EVID-018	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-specific BMP15 receptor/pSMAD branch; downstream inhibin-B program deferred.
M20A-EXT-0031	bmp2 bmpr1a_acvr2a	Bmp2 BMPR1A_ACVR2A	M21A-REUSE-0112	M21A-PAIR-EVID-019	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-specific BMP2 receptor/pSMAD branch, non-SCI model.
M20A-EXT-0032	bmp2 bmpr1a_acvr2b	Bmp2 BMPR1A_ACVR2B				reviewed_binding_only	reviewed	none	Exact receptor-component binding only; no downstream cellular relay.
M20A-EXT-0033	bmp2 bmpr1a_bmpr2	Bmp2 BMPR1A_BMPR2	M21A-REUSE-0113	M21A-PAIR-EVID-020	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-containing BMP2 receptor/pSMAD branch; target program deferred.
M20A-EXT-0034	bmp2 bmpr1b_acvr2a	Bmp2 BMPR1B_ACVR2A				reviewed_binding_only	reviewed	none	Exact receptor-component binding only; no matched cellular relay.
M20A-EXT-0035	bmp2 bmpr1b_acvr2b	Bmp2 BMPR1B_ACVR2B				reviewed_binding_only	reviewed	none	Exact receptor-component binding only; no matched cellular relay.
M20A-EXT-0036	bmp2 bmpr1b_bmpr2	Bmp2 BMPR1B_BMPR2	M21A-REUSE-0114	M21A-PAIR-EVID-021	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-containing BMP2 BMPR2/BMPR1B pSMAD branch.
M20A-EXT-0037	bmp4 bmpr1a_acvr2a	Bmp4 BMPR1A_ACVR2A				reviewed_binding_only	reviewed	none	Exact receptor-component binding only; no matched cellular relay.
M20A-EXT-0038	bmp4 bmpr1a_acvr2b	Bmp4 BMPR1A_ACVR2B				reviewed_binding_only	reviewed	none	Exact receptor-component binding only; no matched cellular relay.
M20A-EXT-0039	bmp4 bmpr1a_bmpr2	Bmp4 BMPR1A_BMPR2	M21A-REUSE-0115	M21A-PAIR-EVID-022	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	Pair-containing BMP4 BMPR2/BMPR1A pSMAD branch.
M20A-EXT-0040	bmp4 bmpr1b_acvr2a	Bmp4 BMPR1B_ACVR2A				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0041	bmp4 bmpr1b_acvr2b	Bmp4 BMPR1B_ACVR2B				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0042	bmp4 bmpr1b_bmpr2	Bmp4 BMPR1B_BMPR2				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0043	bmp5 acvr1_acvr2a	Bmp5 ACVR1_ACVR2A				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0044	bmp5 acvr1_acvr2b	Bmp5 ACVR1_ACVR2B				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0045	bmp5 acvr1_bmpr2	Bmp5 ACVR1_BMPR2				reviewed_no_downstream_evidence	reviewed	none	No qualifying exact-pair downstream relay found; binding/family pointers were not promoted.
M20A-EXT-0046	bmp5 bmpr1a_acvr2a	Bmp5 BMPR1A_ACVR2A	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0047	bmp5 bmpr1a_acvr2b	Bmp5 BMPR1A_ACVR2B	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0048	bmp5 bmpr1a_bmpr2	Bmp5 BMPR1A_BMPR2	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0049	bmp5 bmpr1b_acvr2a	Bmp5 BMPR1B_ACVR2A	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0050	bmp5 bmpr1b_acvr2b	Bmp5 BMPR1B_ACVR2B	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0051	bmp5 bmpr1b_bmpr2	Bmp5 BMPR1B_BMPR2	M21A-REUSE-0116	M21A-PAIR-EVID-023	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP5 ligand-level family relay only; exact receptor pair unresolved.
M20A-EXT-0052	bmp6 acvr1_acvr2a	Bmp6 ACVR1_ACVR2A	M21A-REUSE-0117	M21A-PAIR-EVID-024	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP6 ACVR1/ACVR2A receptor-use branch.
M20A-EXT-0053	bmp6 acvr1_acvr2b	Bmp6 ACVR1_ACVR2B				reviewed_no_downstream_evidence	reviewed	none	Matched model did not support the exact receptor combination.
M20A-EXT-0056	bmp6 bmpr1a_acvr2b	Bmp6 BMPR1A_ACVR2B				reviewed_no_downstream_evidence	reviewed	none	Matched model did not support the exact receptor combination.
M20A-EXT-0058	bmp6 bmpr1b_acvr2a	Bmp6 BMPR1B_ACVR2A				reviewed_no_downstream_evidence	reviewed	none	Matched model did not support the exact receptor combination.
M20A-EXT-0059	bmp6 bmpr1b_acvr2b	Bmp6 BMPR1B_ACVR2B				reviewed_no_downstream_evidence	reviewed	none	Matched model did not support the exact receptor combination.
M20A-EXT-0054	bmp6 acvr1_bmpr2	Bmp6 ACVR1_BMPR2	M21A-REUSE-0117	M21A-PAIR-EVID-024	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP6 ACVR1/BMPR2 receptor-use branch.
M20A-EXT-0055	bmp6 bmpr1a_acvr2a	Bmp6 BMPR1A_ACVR2A	M21A-REUSE-0117	M21A-PAIR-EVID-024	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP6 BMPR1A receptor-use branch.
M20A-EXT-0057	bmp6 bmpr1a_bmpr2	Bmp6 BMPR1A_BMPR2	M21A-REUSE-0117	M21A-PAIR-EVID-024	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP6 BMPR1A receptor-use branch.
M20A-CELLCHAT-REMAINING-0209	bmp7 bmpr1a_acvr2a	Bmp7 Bmpr1a_acvr2a	M21A-REUSE-0118	M21A-PAIR-EVID-025	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP7 BMPR1A/ACVR2A receptor-use branch.
M20A-CELLCHAT-REMAINING-0210	bmp7 bmpr1a_acvr2b	Bmp7 Bmpr1a_acvr2b				reviewed_binding_only	reviewed	none	Binding-family evidence without matched downstream relay.
M20A-CELLCHAT-REMAINING-0212	bmp7 bmpr1b_acvr2b	Bmp7 Bmpr1b_acvr2b				reviewed_binding_only	reviewed	none	Binding-family evidence without matched downstream relay.
M20A-CELLCHAT-REMAINING-0211	bmp7 bmpr1b_acvr2a	Bmp7 Bmpr1b_acvr2a	M21A-REUSE-0118	M21A-PAIR-EVID-025	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP7 BMPR1B/ACVR2A reporter branch; TF identity unresolved.
M20A-CELLCHAT-REMAINING-0213	bmp8a bmpr1a_acvr2a	Bmp8a Bmpr1a_acvr2a	M21A-REUSE-0119	M21A-PAIR-EVID-026	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP8A BMPR1A/ACVR2A receptor-reconstituted canonical branch.
M20A-CELLCHAT-REMAINING-0214	bmp8a bmpr1a_acvr2b	Bmp8a Bmpr1a_acvr2b				reviewed_no_downstream_evidence	reviewed	none	No matching canonical receptor-complex relay for the queued pair.
M20A-CELLCHAT-REMAINING-0216	bmp8a bmpr1b_acvr2b	Bmp8a Bmpr1b_acvr2b				reviewed_no_downstream_evidence	reviewed	none	No matching canonical receptor-complex relay for the queued pair.
M20A-CELLCHAT-REMAINING-0215	bmp8a bmpr1b_acvr2a	Bmp8a Bmpr1b_acvr2a	M21A-REUSE-0119	M21A-PAIR-EVID-026	SMAD1/5/8;SMAD4 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BMP8A BMPR1B/ACVR2A reporter branch.
M20A-CELLCHAT-REMAINING-0217	bmp8b acvr1_acvr2a	Bmp8b Acvr1_acvr2a	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0219	bmp8b acvr1_bmpr2	Bmp8b Acvr1_bmpr2	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0220	bmp8b bmpr1a_acvr2a	Bmp8b Bmpr1a_acvr2a	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0221	bmp8b bmpr1a_acvr2b	Bmp8b Bmpr1a_acvr2b	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0222	bmp8b bmpr1a_bmpr2	Bmp8b Bmpr1a_bmpr2	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0223	bmp8b bmpr1b_acvr2a	Bmp8b Bmpr1b_acvr2a	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0224	bmp8b bmpr1b_acvr2b	Bmp8b Bmpr1b_acvr2b	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0225	bmp8b bmpr1b_bmpr2	Bmp8b Bmpr1b_bmpr2	M21A-REUSE-0120	M21A-PAIR-EVID-027	SMAD1/5/8;SMAD2/3 candidates	reviewed_relay_candidate	reviewed	downstream_pathway_function	BMP8B ligand-level family relay only; exact receptor complex unresolved.
M20A-CELLCHAT-REMAINING-0227	btc egfr	Btc Egfr	M21A-REUSE-0121	M21A-PAIR-EVID-028	AP-1;ELK1 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BTC receptor activation with ERK/PI3K candidates; no pair-specific TF assay.
M20A-CELLCHAT-REMAINING-0228	btc erbb4	Btc Erbb4	M21A-REUSE-0121	M21A-PAIR-EVID-028	AP-1;ELK1 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BTC receptor activation with ERK/PI3K candidates; no pair-specific TF assay.
M20A-EXT-0060	btc egfr_erbb2	Btc EGFR_ERBB2	M21A-REUSE-0123	M21A-PAIR-EVID-030	AP-1;ELK1 candidates	reviewed_relay_candidate	reviewed	receptor_proximal_relay	BTC-EGFR/ERBB2 receptor and kinase branch; no TF-target evidence.
M20A-EXT-0061	btc erbb2_erbb4	Btc ERBB2_ERBB4	M21A-REUSE-0122	M21A-PAIR-EVID-029		reviewed_binding_only	reviewed	ligand_receptor_binding_or_activation	Structural BTC-HER2/HER4 complex only; intracellular relay not measured.
M20A-EXT-0062	c3 itgam_itgb2	C3 ITGAM_ITGB2				reviewed_binding_only	reviewed	none	Processed iC3b-CR3/CR4 binding evidence; intact C3 downstream kinase/TF relay not established.
M20A-EXT-0063	c3 itgax_itgb2	C3 ITGAX_ITGB2				reviewed_binding_only	reviewed	none	Processed iC3b-CR3/CR4 binding evidence; intact C3 downstream kinase/TF relay not established.
M20A-EXT-0064	ccl1 ackr1	Ccl1 Ackr1				reviewed_scavenging_only	reviewed	none	ACKR1 binding/transport/reservoir context; no canonical intracellular relay or TF.
M20A-EXT-0065	ccl11 ackr1	Ccl11 Ackr1				reviewed_scavenging_only	reviewed	none	ACKR1 binding/transport/reservoir context; no canonical intracellular relay or TF.
M20A-EXT-0066	ccl17 ackr1	Ccl17 Ackr1				reviewed_scavenging_only	reviewed	none	ACKR1 binding/transport/reservoir context; no canonical intracellular relay or TF.
M20A-EXT-0068	ccl2 ackr1	Ccl2 Ackr1				reviewed_scavenging_only	reviewed	none	ACKR1 binding/transport/reservoir context; no canonical intracellular relay or TF.
M20A-EXT-0067	ccl19 ackr4	Ccl19 Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/gradient control; no terminal TF.
M20A-EXT-0069	ccl21 ackr4	Ccl21 Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/gradient control; no terminal TF.
M20A-EXT-0070	ccl21a ackr4	Ccl21a Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/gradient control; no terminal TF.
M20A-EXT-0071	ccl21d ackr4	Ccl21d Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/gradient control; no terminal TF.
M20A-EXT-0072	ccl21e ackr4	Ccl21e Ackr4	M21A-REUSE-0097	M21A-PAIR-EVID-004		reviewed_scavenging_only	reviewed	receptor_proximal_relay	ACKR4 scavenging/gradient control; no terminal TF.
