evidence_id	edge_id	source_kind	source_locator	support_kind	species_support	source_species_detail	source_scope	confidence_tier	citation_note	evidence_summary	limitations
M21A-SAT-EVID-011	M21A-E055	pubmed_pmid	PMID:7519847	primary_experiment	mammal	NIH-3T3 fibroblasts stimulated with PDGF	pathway_membership	high	PDGF receptor association with PI3K	PDGF stimulation produces rapid PDGFR-PI3K association and PI3K activity.	The source supports receptor-associated PI3K pathway evidence; downstream AKT and ERK links are not separately source-resolved in this packet.
M21A-SAT-EVID-012	M21A-E056;M21A-E057	pubmed_pmid	PMID:22174934; PMID:22745786; PMID:14656735	primary_experiment	human	Primary human lymphatic endothelial cells and endothelial signaling systems	direct_edge	high	VEGFR2-PLC/ERK and VEGFR2-PI3K/AKT branch evidence	VEGFR2-specific inhibition separates PLC/ERK and PI3K/AKT branches; VEGFR3 also directly interacts with PI3K in lymphatic endothelial cells.	This is vascular-endothelial comparator evidence, not SCI astrocyte evidence.
M21A-SAT-EVID-013	M21A-E058;M21A-E059;M21A-E060;M21A-E061	pubmed_pmid	PMID:17569865; PMID:18077588; PMID:22907437	primary_experiment	mammal	Vertebrate and mammalian WNT signalosome, knockdown, and phosphorylation assays	pathway_membership	high	WNT FZD-LRP6-DVL signalosome and beta-catenin output	WNT induces FZD/LRP6/DVL signalosome formation, LRP6 phosphorylation, Axin/GSK3 recruitment, and beta-catenin pathway activation.	The record spans receptor-proximal signalosome and downstream pathway layers; E060-E061 are not direct molecular edges. Noncanonical WNT/JNK and PCP branches are not yet saturated.
M21A-SAT-EVID-014	M21A-E062;M21A-E063;M21A-E064;M21A-E065	pubmed_pmid	PMID:12025815; PMID:21775282; PMID:11376147; PMID:12374742; PMID:16287852	primary_experiment	mammal	Mammalian Notch processing, NICD-CSL/RBPJ interaction, reporter, and target-gene assays	pathway_membership	high	Notch proteolysis to NICD/RBPJ and HES/HEY output	Gamma-secretase-dependent NICD release, NICD-RBPJ/CSL complex formation, and HES1/HEY1 transcriptional regulation are supported.	The record spans receptor processing, one downstream direct complex (E063), and pathway outputs; ligand-specific receptor paralog differences and noncanonical Notch outputs remain open.
M21A-SAT-EVID-015	M21A-E066;M21A-E067	pubmed_pmid	PMID:38569939	primary_experiment	human; mouse	Human cytokine/receptor constructs in murine Ba/F3 cells reconstituted with CNTFRa-gp130-LIFR or CNTFRa-gp130-OSMR	direct_edge	high	CNTFR-specific LIFR and OSMR complex signaling	CNTF stimulated STAT3 phosphorylation and cell proliferation through both CNTFRa-gp130-LIFR and alternative CNTFRa-gp130-OSMR complexes.	Reconstituted Ba/F3 systems establish receptor-complex competence but do not establish injured-SCI astrocyte branch weights.
M21A-SAT-EVID-016	M21A-E068	pubmed_pmid	PMID:15342787	primary_experiment	mouse; rat	Mature murine cortical astrocytes and ROS17/2.8 astrocyte-like cells treated with CNTF, soluble CNTFRa, AG490, and dye-transfer assays	pathway_membership	high	CNTF-CNTFRa-JAK-STAT3 to Cx43 and coupling	CNTF-CNTFRa treatment induced Cx43 expression and intercellular coupling with nuclear phospho-STAT3; AG490 blocked the functional output.	This is downstream astrocyte function with a generic CNTFR-alpha-associated relay; receptor subunit stoichiometry is not resolved in injured spinal cord.
M21A-SAT-EVID-017	M21A-E069	pubmed_pmid	PMID:11771938; PMID:18615534	primary_experiment	rat	Primary spinal cord astrocytes, astrocyte-neuron cocultures, direct spinal CNTF injection, and rat spinal contusion tissue	pathway_membership	high	CNTF astrocyte activation and neurotrophic support	CNTF activated spinal astrocytes, increased FGF2 production/release and neuronal support, and was accompanied by increased CNTF/pSTAT3-related signals after spinal contusion.	This is functional SCI/CNS pathway evidence; it does not isolate CNTFRa-gp130-LIFR versus CNTFRa-gp130-OSMR usage or prove a direct CNTF-to-STAT3 edge in the injured astrocyte state.
M21A-SAT-EVID-018	M21A-E070	pubmed_pmid	PMID:37725008	primary_experiment	human	Human U2OS cells expressing synthetic type-III interferon receptor pairs with TYK2-deficient comparison	pathway_membership	high	Type-III interferon receptor-associated kinase requirement	Type-III receptor reconstitution and TYK2 perturbation support JAK/TYK2 participation in IFN-lambda-induced STAT activation.	Synthetic receptor context; do not transfer type-III receptor findings to IFNAR/IFNGR or assume the same branch in astrocytes.
M21A-SAT-EVID-019	M21A-E071;M21A-E072	pubmed_pmid	PMID:20878770; PMID:22057682	primary_experiment	human	Primary human astrocytes treated with IFN-lambda, receptor-blocking antibodies, poly-I:C, and HSV-1 infection	pathway_membership	high	IFN-lambda astrocyte IRF/ISG and antiviral output	IFN-lambda induced IRF/ISG programs and reduced HSV-1 replication in primary human astrocytes; receptor blockade attenuated the antiviral effect.	The record spans downstream pathway and cellular function; it does not isolate a necessary JAK/STAT kinase step or specific IRF5/IRF7 necessity in astrocytes.
M21A-SAT-EVID-020	M21A-E073	pubmed_pmid	PMID:7544915	primary_experiment	human	Human TNFR2 and reporter systems with TRAF2 overexpression or dominant-negative TRAF2	pathway_membership	high	TNFR2-TRAF2 adaptor recruitment and NF-kappaB	TRAF2 was sufficient for and dominant-negative TRAF2 inhibited TNFR2-mediated NF-kappaB activation, supporting a TRAF2-dependent TNFR2 relay.	Overexpression/reporter context; the assay does not establish endogenous direct TNFR2-TRAF2 recruitment or define all TNFR2 adaptor usage.
M21A-SAT-EVID-021	M21A-E074;M21A-E075	pubmed_pmid	PMID:21558270; PMID:20038584	primary_experiment	human; mouse	TNFR2 mutant/reporter systems, tumor cell lines, and primary T-cell signaling assays	pathway_membership	high	TNFR2 canonical and alternative NF-kappaB branches	TNFR2 recruits TRAF2 and activates NF-kappaB/JNK; membrane TNF-TNFR2 selectively supports alternative NF-kappaB/p100 processing in the cited systems.	Ligand form, receptor abundance, and cell state alter branch strength; no SCI astrocyte-specific molecular perturbation is established.
M21A-SAT-EVID-022	M21A-E077	pubmed_pmid	PMID:22933014	primary_experiment	mouse	Adult mouse cuprizone-demyelinated corpus callosum, activated astrocytes, TNFR2-deficient mice, and CXCL12 lentiviral rescue	pathway_membership	high	TNFR2 astrocyte-CXCL12-OPC repair relay	TNFR2 activity in activated astrocytes was required for CXCL12 upregulation and downstream OPC proliferation/differentiation during remyelination.	This is a functional pathway relay, not a direct TNFR2-to-CXCL12 edge; the model is CNS demyelination rather than traumatic SCI and does not isolate the biochemical TRAF2/NF-kappaB step.
M21A-SAT-EVID-023	M21A-E076	pubmed_pmid	PMID:30941924; PMID:11517251	primary_experiment	rat; mouse	Rat contusive SCI treated with a TNFR2-specific agonist and mouse TNFR1/TNFR2 deletion after SCI	contextual_support	medium	TNFR2 functional SCI protection and recovery boundary	TNFR2 agonism improved locomotor recovery in rat contusion, while receptor deletion studies support TNFR-NF-kappaB/c-IAP2 survival context after SCI.	Functional evidence does not identify a single receiver cell or prove TNFR2-specific intracellular causality in astrocytes.
M21A-SAT-EVID-024	M21A-E078	pubmed_pmid	PMID:9862719	primary_experiment	human; mouse	Human B cells and murine EL-4-derived receptor systems with IL1R2/IL1RAP chimeric and crosslinking assays	direct_edge	high	IL1R2 decoy complex and IL1RAP sequestration	Ligated IL1R2 interacted with IL1RAP but lacked a signaling TIR domain, supporting dominant-negative interference with IL1R1-IL1RAP assembly.	Chimeric receptor and crosslinking evidence establishes decoy-complex behavior, not an intracellular IL1R2 relay.
M21A-SAT-EVID-025	M21A-E079	pubmed_pmid	PMID:10880245	primary_experiment	human	Human HEK293, COS, and OVCAR-3 cells expressing IL1R1 or IL1R2	contextual_support	high	IL1R2 selective shedding and soluble decoy function	Only IL1R2, not IL1R1, underwent rapid phorbol-induced shedding, consistent with soluble decoy regulation of IL-1 responsiveness.	The study measures receptor release and decoy behavior rather than an astrocyte or SCI response.
M21A-SAT-EVID-026	M21A-E080	pmcid	PMCID:PMC9527244	primary_experiment	mouse	Primary mouse astrocytes and conditional IL1R1 restoration/deletion in spinal cord injury models	pathway_membership	high	Astrocyte IL1R1-ROS-oligodendrocyte loss branch	Astrocyte IL1R1 was required for IL-1alpha-induced ROS and downstream oligodendrocyte loss after central administration and SCI-associated injury paradigms.	This is downstream SCI pathway/function evidence and does not establish an IL1R1-IL1RAP binding edge, IL1R2 expression, or decoy action in SCI astrocytes.
M21A-SAT-EVID-027	M21A-E081;M21A-E082	pubmed_pmid	PMID:33921794	primary_experiment	human	Human CCR4, CCR7, and CCR10 receptor assays using G-protein and beta-arrestin BRET readouts	pathway_membership	high	CCL/CCR receptor-specific G-protein and arrestin branch comparison	CCL17/CCL22 at CCR4 favored beta-arrestin recruitment, while CCL19/CCL21 at CCR7 activated both G-protein and beta-arrestin responses in a matched cellular background.	Engineered receptor assays do not establish branch weights in SCI receiver cells.
M21A-SAT-EVID-028	M21A-E083;M21A-E084	pubmed_pmid	PMID:28559424	primary_experiment	human	Human CXCR3A and CXCR3B splice-variant signaling assays with ligand stimulation, beta-arrestin recruitment, ERK, and G-protein readouts	pathway_membership	high	CXCR3 splice-variant branch distinction	CXCL9/10/11 produced distinct G-protein, beta-arrestin, and ERK outputs across CXCR3A versus CXCR3B.	Splice-variant comparison is not equivalent to a universal ligand bias map or SCI glial evidence.
M21A-SAT-EVID-029	M21A-E085;M21A-E086	pmcid	PMCID:PMC2621323; PMID:18922473	primary_experiment	mammal	RIBL17 mink lung epithelial cells and AML12 mouse hepatocyte signaling systems with receptor mutants, TRAF6 mutants, RNAi, and kinase assays	pathway_membership	high	TGFBR1-TRAF6-TAK1-JNK/p38 noncanonical relay	TGF-beta receptor signaling supports a TGFBR1/TbetaRI-TRAF6-TAK1 module and JNK/p38 activation.	The record is pathway-complex evidence; exact receptor compartment, direct physical ordering, and cell-type dependence remain context-specific.
M21A-SAT-EVID-030	M21A-E087	pubmed_pmid	PMID:19361494	primary_experiment	Xenopus laevis	Developing Xenopus laevis retinal ganglion cells with BMPR2 receptor-tail mutants and axon-growth assays	pathway_membership	medium	BMPR2-LIMK1 noncanonical cytoskeletal branch	BMPR2 receptor-tail interaction with LIMK1 was required for BMP-dependent retinal axon extension.	Xenopus developmental neural context; not SCI astrocyte evidence, and BMP7-specific ligand assignment is unresolved.
M21A-SAT-EVID-031	M21A-E088;M21A-E089	pubmed_pmid	PMID:17696121	primary_experiment	rat	Adult rat demyelinating spinal cord lesions and cultured mature spinal cord astrocytes treated with BMP4/BMP7 and noggin	primary_experiment	high	BMP-SMAD1/5/8 astrocyte branch and CSPG output	BMP4/BMP7 increased astrocyte pSMAD1/5/8, nuclear SMAD1, GFAP, aggrecan, and neurocan; noggin blocked the CSPG response.	Demyelinating lesion rather than contusion SCI; downstream CSPG output is functional evidence.
M21A-SAT-EVID-032	M21A-E090	pubmed_pmid	PMID:20427645	primary_experiment	mouse	Mouse cortical injury, fibrinogen-bound latent TGF-beta, primary astrocytes, and TGFBR inhibition	contextual_support	medium	TGF-beta-Smad2 astrocyte scar branch	TGF-beta receptor inhibition reduced Smad2 phosphorylation, astrocyte activation, and neurocan deposition after vascular/CNS injury.	Cortical injury rather than spinal cord injury; no noncanonical TGF-beta branch is claimed by this edge.
M21A-SAT-EVID-033	M21A-E091;M21A-E092	pubmed_pmid	PMID:16129124; PMID:11046132	primary_experiment	mouse; mammal	NIH3T3 fibroblasts, mouse vascular smooth-muscle cells, PDGFR mutants, Src/PI3K/PKC perturbations, and ERK assays	pathway_membership	high	PDGFR-Src and PDGFR-ERK branches	PDGFR signaling activated Src and ERK through receptor-associated PI3K/PKC/redox and adaptor-dependent mechanisms.	The record is receptor-proximal pathway evidence, not a direct PDGFR-SRC binary edge; exact adaptor ordering and cell-type-specific branch balance remain unresolved.
M21A-SAT-EVID-034	M21A-E093	pubmed_pmid	PMID:18512152	primary_experiment	mammal	CNS oligodendrocyte progenitor cultures and developing CNS migration assays with ERK inhibitors	pathway_membership	high	PDGF-A-ERK oligodendrocyte progenitor migration	PDGF-A induced OPC migration and a self-sustaining ERK signal that persisted after the initiating stimulus.	This is a neural functional/pathway comparator; it does not isolate a single PDGFR paralog in the extracted edge.
M21A-SAT-EVID-035	M21A-E094	pubmed_pmid	PMID:32066583	primary_experiment	mouse	Astrocytes and contusive SCI mice with bFGF injection, RhoA pathway analysis, YAP conditional deletion, and locomotor testing	contextual_support	high	FGF2-RhoA-YAP astrocyte proliferation after SCI	FGF2 was upregulated after SCI and activated a RhoA-YAP-p27 pathway that promoted astrocyte proliferation, glial-scar formation, and functional recovery in the tested model.	The study does not resolve FGFR1/2 or FRS2 adaptor identity; the extracted edge is functional/pathway evidence.
M21A-SAT-EVID-036	M21A-E095;M21A-E096	pubmed_pmid	PMID:27550808	primary_experiment	mouse	EAE spinal cord, spinal neuron-microglia cocultures, inflammatory IL-1beta treatment, and WNT-ROR2 inhibition	pathway_membership	high	WNT5A-ROR2 noncanonical JNK and neuron-death branch	Noncanonical WNT components including ROR2 increased in spinal neurons during EAE; WNT-ROR2 inhibition suppressed microglia-associated neuron death.	Pathway inhibition and disease expression support a functional branch but do not prove a direct WNT5A-ROR2 binding edge.
M21A-SAT-EVID-037	M21A-E097	pubmed_pmid	PMID:33311637	primary_experiment	mouse	Mouse spinal neural stem/progenitor cells treated with WNT5A and transplanted after SCI	contextual_support	medium	WNT5A-MAPK/JNK neural differentiation and SCI repair	WNT5A increased pJNK and promoted neuronal differentiation through miRNA/RhoA regulation, improving histological and motor outcomes after transplantation into SCI mice.	Receptor complex is not resolved; this is a pathway/function edge.
M21A-SAT-EVID-038	M21A-E098;M21A-E099	pubmed_pmid	PMID:26124113	primary_experiment	mouse	Reactive astrocytes and astrocyte-derived neural stem cells after cerebral ischemia; Notch1 cKO, GSI, promoter, and pSTAT3 assays	pathway_membership	high	Jagged1-Notch1-STAT3-ETBR astrocyte branch	Jagged1/Notch1 signaling increased pSTAT3 and EDNRB/ETBR transcription and was required for reactive astrocyte proliferation in the tested brain-injury systems.	The record is downstream pathway/function evidence rather than direct receptor binding; brain ischemia rather than SCI is the tested comparator.
M21A-SAT-EVID-039	M21A-E100;M21A-E101	pubmed_pmid	PMID:22452482	primary_experiment	rat	Rat SCI with Jagged1-positive or Jagged1-deficient endothelial progenitor cell transplantation and Delta-like-1 comparison	contextual_support	medium	Jagged1-Notch-Hes5 astrogliosis and recovery after SCI	Jagged1-positive endothelial progenitors increased Hes5, acute astrogliosis, vascular effects, and functional recovery; Delta-like-1 substitution did not reproduce the same response.	The study supports pathway/function layers and ligand-context distinction but does not isolate every Notch paralog or downstream molecular step.
M21A-SAT-EVID-040	M21A-E102	pubmed_pmid	PMID:23839946; PMID:20602435	primary_experiment	human; mouse	Human NOTCH1-DLL1/DLL4 biochemical/reporter assays and mammalian ligand-strength comparisons	pathway_membership	high	NOTCH1 ligand-selective signal strength	DLL4 bound and activated NOTCH1 more strongly than DLL1 in the cited human receptor assays; mammalian ligand comparisons show quantitative differences in HES1 signaling.	This is signaling-strength evidence associated with ligand/receptor constructs; it does not change Module 20A LR classifications.
M21A-SAT-EVID-041	M21A-E103	pubmed_pmid	PMID:8075814	primary_experiment	rat	Adult rat lesioned CNS with glial-scar astrocytes and cultured hippocampal astrocytes	contextual_support	high	CNTFR-alpha expression and functional CNTF receptor complex in astrocytes	CNTFR-alpha expression shifted to astrocytes in the glial scar at the edge of a CNS lesion; cultured astrocytes contained a functional CNTF receptor complex capable of signal transduction.	The lesion model is CNS injury rather than a defined contusive SCI paradigm, and the study does not isolate CNTFR-alpha/gp130/LIFR from CNTFR-alpha/gp130/OSMR or provide receptor-proximal kinase perturbation in injured SCI astrocytes.
M21A-SAT-EVID-042	M21A-E104	pmcid	PMCID:PMC5682656	primary_experiment	rat	Acute rat SCI with spinal neurons and microglia/macrophages; FGF10 treatment and receptor/kinase assays	pathway_membership	high	FGF10-FGFR2-PI3K-AKT signaling after SCI	FGF10 and FGFR2-associated PI3K-AKT signaling increased after acute SCI; FGF10 treatment improved neuronal survival and reduced injury-associated damage.	The study does not support an astrocyte receiver branch; exact FGFR2 adaptor ordering is not fully isolated, and the model is rat rather than mouse.
M21A-SAT-EVID-043	M21A-E105	pmcid	PMCID:PMC9013464	primary_experiment	mouse	Mouse SCI with astrocytes, perivascular fibroblasts, macrophages/microglia, PDGFB/PDGFD localization, and SU16f treatment	contextual_support	high	PDGFR-beta pathway and fibrotic scar after SCI	PDGFB was mainly astrocyte-derived and PDGFD mainly macrophage/microglia- and fibroblast-derived; PDGFR-beta blockade reduced fibrotic scar and improved axon and locomotor outcomes.	The source supports pathway and functional output resolution; it does not establish a direct ligand-receptor binding edge or intracellular adaptor ordering.
M21A-SAT-EVID-044	M21A-E106;M21A-E107	pmcid	PMCID:PMC6488895	primary_experiment	rat	Rat SCI spinal neural stem/progenitor cells with VEGF treatment and EGFR/VEGFR pathway inhibition	pathway_membership	medium	VEGF-EGFR transactivation in spinal neural stem cells after SCI	VEGF promoted spinal neural stem-cell activation through EGFR transactivation and increased proliferation/activation outputs after SCI.	The model is rat; VEGFR2 identity and the physical VEGFR2-EGFR mechanism remain unresolved, and astrocyte receiver involvement is not established.
M21A-SAT-EVID-045	M21A-E108	pmcid	PMCID:PMC12012454	primary_experiment	mouse; human	Astrocyte-specific Ryk conditional-knockout mice and injured mouse/human spinal cord	contextual_support	medium	Astrocytic RYK and SCI wound healing	RYK was induced at the injured spinal-cord scar border; astrocyte-specific Ryk deletion altered astrocyte morphology, differentiation, signaling, and wound healing.	Canonical WNT changes were measured; the proposed noncanonical PCP branch remains untested.
M21A-SAT-EVID-046	M21A-E109;M21A-E110	pmcid	PMCID:PMC11468415	primary_experiment	mouse; human	Human reactive astrocytes, mouse EAE spinal-cord astrocytes, astrocyte-specific DLL4/NOTCH1 perturbations, NICD promoter, IL-6 blockade, and pSTAT3 assays	pathway_membership	high	DLL4-NOTCH1-IL6-STAT3 reactive astrocyte branch	DLL4-NOTCH1 signaling increased IL-6 transcription through NICD promoter interaction and drove IL-6-dependent STAT3 phosphorylation and astrocyte reactivity.	The record is downstream pathway/function evidence rather than ligand-receptor binding; the in vivo model is EAE/CNS neuroinflammation rather than contusive SCI, and no Notch2/3/4 branch is established.
M21A-SAT-EVID-047	M21A-E111	pubmed_pmid	PMID:30941924; PMCID:PMC6630008	primary_experiment	mouse; rat	Adult mouse contusive SCI and E18 rat primary cortical neurons with TNFR2 agonism and PI3K-gamma inhibitor comparison	pathway_membership	high	TNFR2-PI3Kgamma neuronal protection after contusive SCI	TNFR2-specific agonism protected neurons and improved recovery after contusive SCI, while PI3K-gamma inhibition reduced the protective response.	The in vivo injury model and in vitro neuronal model use different species; the source supports a receptor-proximal pathway branch and perturbation dependence, not a direct physical TNFR2-PI3Kgamma interaction or astrocyte-specific mechanism.
M21A-SAT-EVID-048	M21A-E112;M21A-E113	pmcid	PMCID:PMC13366903; PMID:42217185; DOI:10.1016/j.celrep.2026.117418	primary_experiment	mouse	Focal mouse SCI with lesion-border astrocytes, perilesional microglia, astrocyte-targeted Csf1 deletion, and astrocyte-targeted Ifnar1 deletion	pathway_membership	high	CSF1 and IFN-beta astrocyte-microglia repair crosstalk after focal SCI	Lesion-border astrocytes supplied CSF1 for microglial proliferation and repair, while microglial IFN-beta supported astrocyte survival; astrocyte-specific loss of either branch impaired wound repair and motor recovery.	The study establishes cell-source and functional pathway relationships but does not isolate direct CSF1-CSF1R binding, CSF1R kinase ordering, or every IFNAR-proximal kinase event.
M21A-SAT-EVID-049	M21A-E114	pubmed_pmid	PMID:15895091	primary_experiment	human	Recombinant human IL-6, IL-6R, and gp130 receptor ectodomain structural systems	direct_edge	high	IL-6/IL-6R/gp130 receptor-complex architecture	Structural receptor-complex analysis supports IL-6 engagement of IL-6R and assembly of the gp130-containing signaling complex.	Comparator receptor architecture; no SCI cell, injury, or downstream JAK/STAT necessity is established.
M21A-SAT-EVID-050	M21A-E115	pubmed_pmid	PMID:16051226	primary_experiment	human	Human CNTF receptor-mutant and receptor-reconstituted signaling systems	direct_edge	high	CNTF receptor complex and LIFR binding-domain requirement	CNTF signaling requires a functional complex containing CNTFR, gp130, and LIFR; deletion of the LIFR N-terminal cytokine-binding domain abolishes CNTF signaling.	Human comparator evidence; does not resolve CLCF1/CRLF1 branches or injured-SCI receptor-subunit usage.
M21A-SAT-EVID-051	M21A-E116	pubmed_pmid	PMID:34813358	primary_experiment	human	Human IFNAR receptor-mutant and receptor-reconstituted cell systems	direct_edge	high	Type-I interferon receptor engagement and proximal activation	Ligand-dependent IFNAR1/IFNAR2 receptor association and downstream receptor activation are supported by receptor-mutant and signaling assays.	Comparator evidence; the study does not establish direct IFNAR-JAK/STAT ordering in injured SCI astrocytes.
M21A-SAT-EVID-052	M21A-E117	pubmed_pmid	PMID:7673114	primary_experiment	human	Engineered human IFNGR receptor-component cell systems	direct_edge	high	IFN-gamma receptor complex and JAK/STAT activation	IFNGR receptor-component cross-linking and truncation studies support IFN-gamma-dependent JAK1/JAK2/STAT1 activation.	Comparator receptor system; Pyk2/ERK is a separate branch and no SCI receiver context is established.
M21A-SAT-EVID-053	M21A-E118	pubmed_pmid	PMID:2158863	primary_experiment	human	Human TNFR-transfected HEK293 receptor systems	direct_edge	high	TNF receptor binding	Receptor expression and radiolabeled/biotinylated TNF binding support direct TNF-TNFR1 engagement.	Human comparator binding evidence; does not resolve TNFR1 complex branch choice or SCI cell-state effects.
M21A-SAT-EVID-054	M21A-E119	pubmed_pmid	PMID:21081755	primary_experiment	human	Human TNFR2 structural and receptor-aggregation systems	direct_edge	high	TNF-TNFR2 ligand-form and receptor-aggregation evidence	Structural and receptor-aggregation experiments support TNF engagement of TNFR2, with membrane/oligomerized ligand context relevant to activation.	Does not establish direct TNFR2-PI3Kgamma interaction or contusive-SCI astrocyte signaling.
