review_id	pair	status	stable_citations	species	cell_type_model	assay_perturbation	relation_type	evidence_layer	pathway_branch	confidence	limitations	terminal_TF
M20A-EXT-0443	Lamc2-ITGA7_ITGB1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC2+integrin+alpha7beta1	human/mouse	no exact submitted-pair model	exact-pair binding/relay search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	Alpha7beta1 evidence for laminin-211/221 was not transferred to LAMC2	
M20A-EXT-0444	Lamc2-ITGA9_ITGB1	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC2+integrin+alpha9beta1	human/mouse	no exact submitted-pair model	exact-pair binding/relay search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	No exact LAMC2-alpha9beta1 evidence	
M20A-EXT-0445	Lamc2-ITGAV_ITGB8	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC2+integrin+alphaVbeta8	human/mouse	no exact submitted-pair model	exact-pair binding/relay search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	AlphaVbeta8 TGF-beta activation was not linked to LAMC2	
M20A-EXT-0446	Lamc3-Cd44	reviewed_unresolved	https://pubmed.ncbi.nlm.nih.gov/?term=LAMC3+CD44	human/mouse	no exact submitted-pair model	exact-pair literature search; no qualifying assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	No exact LAMC3-CD44 binding or receptor-dependent function	
M20A-EXT-0447	Lamc3-Dag1	reviewed_relay_candidate	PMID:29874128; PMCID:PMC6181633; DOI:10.1096/fj.201800232R	mouse	retinal vascular endothelial cells; ex vivo aortic endothelial cells	laminin-DAG1 blockade; Lamc3 knockout; endothelial Dag1 knockout; Dll4 and vascular phenotyping	receptor-complex/pathway edge	receptor_proximal_relay	LAMC3-containing laminin-DAG1 -> DLL4/Notch -> retinal arteriogenesis	high	Evidence is for assembled gamma3-containing laminin, not isolated LAMC3; intracellular kinase relay was not resolved; Dll4/Notch is not a terminal TF measurement	
M20A-EXT-0448	Lamc3-ITGA2_ITGB1	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	Study establishes a gamma3-chain negative boundary but does not independently resolve every submitted alpha subunit	
M20A-EXT-0449	Lamc3-ITGA3_ITGB1	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alpha3beta1 evidence; gamma3 negative binding result retained as boundary	
M20A-EXT-0450	Lamc3-ITGA6_ITGB1	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alpha6beta1 evidence	
M20A-EXT-0451	Lamc3-ITGA6_ITGB4	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alpha6beta4 evidence	
M20A-EXT-0452	Lamc3-ITGA7_ITGB1	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alpha7beta1 evidence	
M20A-EXT-0453	Lamc3-ITGA9_ITGB1	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alpha9beta1 evidence	
M20A-EXT-0454	Lamc3-ITGAV_ITGB8	reviewed_unresolved	PMID:18697739; PMCID:PMC2661386; DOI:10.1074/jbc.M803553200	human/mouse	recombinant gamma3-containing laminin isoforms and integrin assays	recombinant binding study found gamma3-containing isoforms unable to bind integrins	negative_binding_boundary	ligand_receptor_binding_or_activation	gamma3 laminin integrin-binding boundary	medium-high	No positive exact LAMC3-alphaVbeta8 evidence	
M20A-EXT-0456	Ncam1-Ncam2	reviewed_unresolved	PMCID:PMC8304497; https://pubmed.ncbi.nlm.nih.gov/?term=NCAM1+NCAM2	human/mouse	neuronal tissues and cultured neurons	NCAM2 interactome and neuronal-function studies; no NCAM1-NCAM2 pair assay	no qualifying exact heterophilic interaction	ligand_receptor_binding_or_activation	none	low	NCAM1 and NCAM2 family biology, co-expression, or NCAM2 homophilic adhesion cannot establish this exact pair	
M20A-EXT-0471	Thbs2-ITGA3_ITGB1	reviewed_unresolved	PMID:15777239; PMID:10196234; https://pubmed.ncbi.nlm.nih.gov/?term=THBS2+integrin+alpha3beta1	human/mouse	endothelial and carcinoma models; THBS1/alpha3beta1 or THBS2/alpha6beta1 comparator studies	adhesion/chemotaxis studies for noncognate or comparator pairs; no clean THBS2-alpha3beta1 primary assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	THBS1-alpha3beta1 and THBS2-alpha6beta1 evidence was not transferred to THBS2-alpha3beta1	
M20A-EXT-0473	Thbs2-Sdc1	reviewed_unresolved	PMID:10196234; PMID:12909644; https://pubmed.ncbi.nlm.nih.gov/?term=THBS2+SDC1	human/mouse	endothelial, carcinoma, and stromal models	THBS family receptor studies; no SDC1-isolated THBS2 binding or receptor-dependent perturbation assay	no qualifying exact binding	ligand_receptor_binding_or_activation	none	low	THBS2-cell-surface proteoglycan claims remain family-level; THBS1/alpha3beta1 and THBS2/alpha6beta1 are noncognate controls	
