edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	ligand_context	cell_type_context	compartment_context	species_context	injury_context	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M21A-E031	IL1R1-IL1RAP receptor complex	recruits	MYD88	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	plasma membrane to cytoplasmic signaling complex	mouse	inflammatory comparator	primary adaptor perturbation support	MyD88 is required for IL-1 receptor signaling and is retained as a receptor-proximal association/requirement edge; a clean binary binding assay is not established.	high	medium	RETAIN_AS_IL1_MYD88_ASSOCIATION_EDGE
M21A-E032	MYD88	recruits	IRAK4	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary isoform and interaction support	The long MyD88 isoform recruits IRAK4; the short isoform is retained as an inhibitory boundary.	high	medium	RETAIN_AS_MYD88_IRAK4_EDGE
M21A-E033	IRAK4	supports IRAK1 phosphorylation/complex relay	IRAK1	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary kinase perturbation support	IRAK4-dependent IRAK1 phosphorylation/complex relay is retained; direct ordered IRAK4 recruitment or activation of IRAK1 is not established.	medium	medium	RETAIN_AS_IRAK4_IRAK1_RELAY_WITH_ORDERING_LIMITATION
M21A-E034	IRAK1	recruits / translocates	TRAF6	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary adaptor translocation support	IRAK1-associated TRAF6/TAB2 recruitment and translocation are retained as the bridge to TAK1; direct TRAF6 enzymatic activation is not inferred.	medium	medium	RETAIN_AS_IRAK1_TRAF6_RECRUITMENT_BRANCH
M21A-E035	TRAF6	activates	TAK1/MAP3K7	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasmic signaling complex	mouse	inflammatory comparator	primary pathway perturbation support	TRAF6-linked TAK1 is retained as a shared branch node for NF-kappaB and JNK.	medium	medium	RETAIN_AS_TRAF6_TAK1_EDGE
M21A-E036	TAK1/MAP3K7	activates	NF-kappaB branch	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasm to nucleus	mouse	inflammatory comparator	primary dominant-negative support	TAK1-dependent NF-kappaB signaling is retained as a pathway branch; the exact IKK-NFKB1-RELA molecular chain is not resolved by the cited experiment.	medium	medium	RETAIN_AS_IL1_TAK1_NFKB_PATHWAY_BRANCH
M21A-E037	TAK1/MAP3K7	activates	JNK branch (MAPK8/MAPK9 unresolved)	IL1-MyD88-NF-kappaB-MAPK	activating	directed	IL-1-beta	IL-1-responsive mammalian cell systems	cytoplasm to nucleus	mouse	inflammatory comparator	primary kinase perturbation support	IRAK loss reduces IL-1-induced JNK, but the cited evidence does not establish a direct TAK1-to-MAPK8/9 edge; retain the branch at pathway resolution.	medium	low	RETAIN_AS_IL1_JNK_PATHWAY_BRANCH_WITH_TARGET_LIMITATION
M21A-E038	CXCR4 receptor	activates	GNAI	CXCL12-CXCR4-GPCR	activating	directed	CXCL12/SDF-1	Human CXCR4-expressing cells and migratory systems	plasma membrane to cytoplasmic G protein	human	neural/chemokine comparator	primary GPCR signaling and pertussis-toxin support	G-alpha-i dependence/coupling is retained as receptor-proximal functional evidence; pertussis-toxin and cAMP dependence do not prove direct CXCR4-GNAI physical binding.	high	medium	RETAIN_AS_CXCR4_GNAI_COUPLING_WITHOUT_BINARY_BINDING
M21A-E039	CXCR4-GNAI complex	activates	PI3K-AKT1	CXCL12-CXCR4-GPCR	activating	directed	CXCL12/SDF-1	Human CXCR4-expressing cells	cytoplasm to nucleus	human	neural/chemokine comparator	primary imaging and inhibitor support	CXCL12/CXCR4-dependent Akt/PI3K output is supported in human comparator systems; receptor-to-PI3K physical binding and SCI receiver-cell specificity are not established.	high	medium	RETAIN_AS_CXCR4_PI3K_AKT_PATHWAY_EDGE
M21A-E040	CXCR4-GNAI complex	activates	MAPK1/MAPK3	CXCL12-CXCR4-GPCR	activating	directed	CXCL12/SDF-1	Human CXCR4-expressing cells	cytoplasm to nucleus	human	neural/chemokine comparator	primary imaging and inhibitor support	CXCL12/CXCR4-dependent ERK output is supported in human comparator systems; receptor-to-ERK physical binding and SCI receiver-cell specificity are not established.	high	medium	RETAIN_AS_CXCR4_ERK_PATHWAY_EDGE
M21A-E041	CXCR4-GNAI complex	activates	SRC-EGFR transactivation	CXCL12-CXCR4-GPCR	context_dependent	directed	CXCL12/SDF-1	CXCR4-expressing mammalian cells	plasma membrane and cytoplasmic kinase branch	human	neural/chemokine comparator	primary inhibitor and knockdown support	Src-mediated EGFR cross-talk is retained as an alternate route to ERK/AKT, not as a universal CXCR4 intermediate.	high	low	RETAIN_AS_CXCR4_EGFR_CROSSTALK_BRANCH
M21A-E042	TGFBR1-TGFBR2 receptor complex	activates	SMAD2	TGF-beta-SMAD	activating	directed	TGF-beta	mink lung epithelial cells and mammalian epithelial systems	plasma membrane to nucleus	mammal	fibrosis/repair comparator	primary phosphorylation support	TGF-beta receptor signaling phosphorylates Smad2.	high	medium	RETAIN_AS_TGFBR_SMAD2_EDGE
M21A-E043	TGFBR1-TGFBR2 receptor complex	activates	SMAD3	TGF-beta-SMAD	activating	directed	TGF-beta	mink lung epithelial cells and mammalian epithelial systems	plasma membrane to nucleus	mammal	fibrosis/repair comparator	primary phosphorylation support	TGF-beta receptor signaling phosphorylates Smad3.	high	medium	RETAIN_AS_TGFBR_SMAD3_EDGE
M21A-E044	SMAD2-SMAD3	forms complex with	SMAD4	TGF-beta-SMAD	activating	directed	TGF-beta	mammalian epithelial systems	cytoplasm to nucleus	mammal	fibrosis/repair comparator	primary complex and nuclear-translocation support	R-Smad/Smad4 complex formation is retained as the transcriptional relay step.	high	medium	RETAIN_AS_TGFBR_SMAD4_COMPLEX_EDGE
M21A-E045	BMP type-I/type-II receptor complex (BMPR paralog unresolved)	activates	SMAD1/SMAD5/SMAD8/9 branch	BMP-SMAD	activating	directed	BMP ligand	mouse embryonic and mammalian developmental systems	plasma membrane to nucleus	mouse	development/repair comparator	primary developmental and phosphorylation support	BMP-receptor activation of the SMAD1/5/8 branch is supported, but the cited evidence does not resolve the exact BMPR1A/B-BMPR2 complex or adult SCI paralog usage.	medium	medium	RETAIN_AS_BMP_RSMAD_PATHWAY_WITH_PARALOG_LIMITATION
M21A-E046	SMAD1/SMAD5/SMAD9	forms complex with	SMAD4	BMP-SMAD	activating	directed	BMP ligand	mammalian developmental systems	cytoplasm to nucleus	mammal	development/repair comparator	primary pathway-complex support	SMAD4 is retained as a downstream common-mediator pathway node; the cited evidence does not independently demonstrate a direct SMAD1/5/9-SMAD4 physical interaction in the stated system.	medium	medium	RETAIN_AS_BMP_SMAD4_PATHWAY_COMPLEX_WITH_DIRECTNESS_LIMITATION
M21A-E047	EGFR receptor complex	recruits	SHC1	EGF-RTK-RAS-ERK	activating	directed	EGF	EGFR-expressing mammalian cells	plasma membrane to cytoplasmic adaptor	mammal	growth-factor comparator	primary biochemical and depletion support	Shc provides the predominant EGFR-to-Grb2/Sos linkage in the cited system.	high	medium	RETAIN_AS_EGFR_SHC_EDGE
M21A-E048	SHC1	recruits	GRB2-SOS1	EGF-RTK-RAS-ERK	activating	directed	EGF	EGFR-expressing mammalian cells	cytoplasmic adaptor complex	mammal	growth-factor comparator	primary biochemical support	The Shc-Grb2-Sos complex is retained as the canonical EGFR-to-Ras adaptor relay.	high	medium	RETAIN_AS_SHC_GRB2_SOS_EDGE
M21A-E049	GRB2-SOS1	activates	HRAS	EGF-RTK-RAS-ERK	activating	directed	EGF	EGFR-expressing mammalian cells	cytoplasmic membrane-proximal signaling	mammal	growth-factor comparator	primary Ras-GEF support	EGF increases Sos-dependent Ras-GTP formation.	high	medium	RETAIN_AS_GRB2_SOS_RAS_EDGE
M21A-E050	HRAS	activates	RAF-MEK-ERK	EGF-RTK-RAS-ERK	activating	directed	EGF	EGF-responsive mammalian cells	cytoplasm to nucleus	mammal	growth-factor comparator	primary pathway activation support	Ras is retained as the upstream switch for the RAF-MEK-ERK relay; do not infer duration from this edge.	high	medium	RETAIN_AS_RAS_ERK_CASCADE_EDGE
M21A-E051	EGFR receptor complex	activates	PI3K-AKT1	EGF-RTK-PI3K-AKT	activating	directed	EGF	EGFR-expressing mammalian cells	cytoplasm to nucleus	mammal	growth-factor comparator	primary pathway activation support	EGFR-associated PI3K-AKT remains a candidate parallel branch, but the current cited bundle does not contain a matched PI3K-specific primary experiment for this exact edge.	medium	low	HOLD_EGFR_PI3K_AKT_UNTIL_PRIMARY_PI3K_ASSAY
M21A-E052	FGFR receptor complex	supports	FRS2A adaptor relay	FGF-RTK-FRS2-ERK-AKT	activating	directed	FGF	FGFR-expressing mammalian fibroblasts	plasma membrane to cytoplasmic adaptor	mammal	growth-factor comparator	primary adaptor-deficiency support	FRS2A deficiency impairs FGF-induced ERK and PI3K activation, but the cited experiment does not by itself establish direct physical FGFR-FRS2A recruitment.	high	medium	RETAIN_AS_FGFR_FRS2A_PATHWAY_RELAY_WITH_DIRECTNESS_LIMITATION
M21A-E053	FRS2A	recruits	GRB2/SOS1 adaptor branch	FGF-RTK-FRS2-ERK-AKT	activating	directed	FGF	FGFR-expressing mammalian fibroblasts	cytoplasmic adaptor complex	mammal	growth-factor comparator	primary biochemical support	FRS2A-Grb2 interaction is supported, while the composite downstream GRB2-SOS1 target is retained as an adaptor branch rather than a single binary edge.	medium	medium	RETAIN_AS_FRS2_GRB2_ADAPTOR_BRANCH_WITH_COMPOSITE_LIMITATION
M21A-E054	FRS2A	recruits	PI3K	FGF-RTK-FRS2-ERK-AKT	activating	directed	FGF	FGFR-expressing mammalian fibroblasts	cytoplasmic adaptor complex	mammal	growth-factor comparator	primary adaptor-deficiency support	FRS2A supports positive PI3K signaling as well as a Cbl-mediated attenuation branch.	medium	medium	RETAIN_AS_FRS2_PI3K_BRANCH
M21A-E055	PDGF receptor complex	binds / activates	PI3K	PDGF-RTK-PI3K-AKT	activating	directed	PDGF	NIH-3T3 fibroblasts	plasma membrane to cytoplasmic kinase	mammal	growth-factor comparator	primary receptor-association support	PDGF stimulation produces rapid receptor-PI3K association and PI3K activity.	high	medium	RETAIN_AS_PDGF_PI3K_EDGE
M21A-E056	VEGFR2 receptor complex	activates	PLCG1-PKC-ERK1/2	VEGF-RTK-PLC-ERK	activating	directed	VEGF-A	primary human lymphatic endothelial cells	plasma membrane to nucleus	human	vascular/repair comparator	primary receptor-specific inhibition support	VEGFR2 rather than VEGFR1 is the primary receptor for PLC-gamma and ERK activation in the tested lymphatic endothelial system.	high	medium	RETAIN_AS_VEGFR2_PLC_ERK_EDGE
M21A-E057	VEGFR2 receptor complex	activates	PI3K-AKT1	VEGF-RTK-PI3K-AKT	activating	directed	VEGF-A	primary human lymphatic endothelial cells	plasma membrane to nucleus	human	vascular/repair comparator	primary receptor-specific inhibition support	VEGFR2 activates PI3K-AKT in the tested endothelial system.	high	medium	RETAIN_AS_VEGFR2_PI3K_AKT_EDGE
M21A-E058	FZD-LRP6 receptor complex	recruits	DVL	WNT-beta-catenin	activating	directed	WNT ligand	vertebrate and mammalian cell systems	plasma membrane to cytoplasmic scaffold	mammal	development/repair comparator	primary signalosome and loss-of-function support	DVL is required for WNT-induced LRP6 phosphorylation and signalosome formation.	high	medium	RETAIN_AS_WNT_DVL_EDGE
M21A-E059	DVL	activates	LRP6	WNT-beta-catenin	activating	directed	WNT ligand	vertebrate and mammalian cell systems	plasma membrane-associated signalosome	mammal	development/repair comparator	primary phosphorylation and depletion support	DVL-dependent LRP6 phosphorylation is retained as the canonical WNT initiation step.	high	medium	RETAIN_AS_DVL_LRP6_EDGE
M21A-E060	LRP6 signalosome	inhibits	AXIN1-GSK3B destruction complex	WNT-beta-catenin	inhibitory	directed	WNT ligand	vertebrate and mammalian cell systems	cytoplasm and plasma membrane	mammal	development/repair comparator	primary scaffold recruitment support	Axin/GSK3 recruitment to LRP6 is represented as destruction-complex inhibition, with exact stoichiometry left open.	high	medium	RETAIN_AS_WNT_DESTRUCTION_COMPLEX_EDGE
M21A-E061	CTNNB1-beta-catenin	activates	TCF7L2 transcriptional complex	WNT-beta-catenin	activating	directed	WNT ligand	mammalian cell systems	nucleus	mammal	development/repair comparator	primary transcriptional-complex support	Nuclear beta-catenin output is retained at TF-complex resolution rather than as a generic target-gene edge.	medium	medium	RETAIN_AS_BETA_CATENIN_TCF_EDGE
M21A-E062	NOTCH receptor complex	activates	NICD	Notch-NICD-RBPJ	activating	directed	Delta/Jagged ligand	mammalian cells and developmental systems	plasma membrane to nucleus	mammal	development/repair comparator	primary proteolysis and reporter support	Ligand-triggered ADAM and gamma-secretase processing releases NICD; processing is an activation event, not a kinase edge.	high	medium	RETAIN_AS_NOTCH_NICD_RELEASE_EDGE
M21A-E063	NICD	forms complex with	RBPJ/CSL	Notch-NICD-RBPJ	activating	directed	Delta/Jagged ligand	mammalian cells and developmental systems	nucleus	mammal	development/repair comparator	primary biochemical and transcriptional support	NICD-RBPJ/CSL complex formation is the canonical nuclear switch.	high	medium	RETAIN_AS_NICD_RBPJ_EDGE
M21A-E064	NICD-RBPJ/CSL complex	activates	HES1	Notch-NICD-RBPJ	activating	directed	Delta/Jagged ligand	mammalian cells and developmental systems	nucleus	mammal	development/repair comparator	primary reporter and expression support	HES1 is retained as a canonical Notch target output.	high	medium	RETAIN_AS_NOTCH_HES1_EDGE
M21A-E065	NICD-RBPJ/CSL complex	activates	HEY1	Notch-NICD-RBPJ	activating	directed	Delta/Jagged ligand	mammalian cells and developmental systems	nucleus	mammal	development/repair comparator	primary repression/activation support	HEY1 is retained as a Notch-responsive target, with cell-type-specific direction and magnitude left open.	medium	medium	RETAIN_AS_NOTCH_HEY1_EDGE
M21A-E066	CNTF:CNTFRa:gp130:LIFR receptor complex	activates	STAT3	CNTF-gp130-JAK-STAT3	activating	directed	CNTF	Ba/F3 receptor-reconstituted cells	plasma membrane receptor complex to nucleus	human; mouse	neural/cytokine comparator	primary receptor-complex signaling	CNTF activates STAT3 through the reconstituted CNTFRa-gp130-LIFR complex; this is a complex-level relay edge, not a new ligand-receptor binding classification.	high	medium	RETAIN_AS_CNTFR_LIFR_GP130_STAT3_EDGE_WITH_COMPLEX_CONTEXT
M21A-E067	CNTF:CNTFRa:gp130:OSMR receptor complex	activates	STAT3	CNTF-gp130-JAK-STAT3	activating	directed	CNTF	Ba/F3 receptor-reconstituted cells	plasma membrane receptor complex to nucleus	human; mouse	neural/cytokine comparator	primary receptor-complex signaling	CNTF activates STAT3 through the alternative CNTFRa-gp130-OSMR complex; receptor-complex usage is retained separately from the LIFR branch.	high	medium	RETAIN_AS_CNTFR_OSMR_GP130_STAT3_EDGE_WITH_COMPLEX_CONTEXT
M21A-E068	CNTFR-alpha-associated JAK/STAT signaling	activates	GJA1/Cx43 expression and gap-junction coupling	CNTF-astrocyte-JAK-STAT	activating	directed	CNTF plus soluble CNTFRa	mature mouse cortical astrocytes; ROS17/2.8 astrocyte-like cells	cytoplasm to cell-cell junction	mouse; rat	CNS comparator	primary JAK/STAT inhibition and dye-transfer support	CNTF/CNTFR-alpha treatment increased Cx43 and intercellular coupling through JAK/STAT-dependent STAT3 activation; the assay does not resolve a gp130/LIFR versus gp130/OSMR receptor complex.	high	medium	RETAIN_AS_CNTF_ASTROCYTE_CX43_FUNCTION_EDGE_WITH_RECEPTOR_LIMITATION
M21A-E069	CNTF-activated spinal cord astrocytes	induces	FGF2 release and motor-neuron support	CNTF-astrocyte-neurotrophic-support	activating	directed	CNTF	primary spinal cord astrocytes and astrocyte-neuron cocultures	astrocyte cytoplasm to secreted neurotrophic support	rat	CNS injury comparator	primary astrocyte stimulation and coculture assay	CNTF increased astrocyte FGF2 production/release and improved support of ventral spinal motor neurons; the study does not isolate CNTFRa subunit usage or a STAT3-dependent molecular step in injured SCI astrocytes.	high	medium	RETAIN_AS_CNTF_SCI_ASTROCYTE_FUNCTION_EDGE_WITH_RELAY_LIMITATION
M21A-E070	IFNLR1-IL10RB receptor complex	supports	TYK2-dependent STAT activation	IFN-lambda-JAK-STAT	activating	directed	IFN-lambda	Human U2OS synthetic type-III receptor systems	plasma membrane receptor complex to cytoplasmic kinase	human	immune/CNS comparator	primary synthetic receptor and kinase-deletion signaling	Synthetic type-III receptor reconstitution and TYK2-deficient comparisons support TYK2-dependent STAT activation; JAK1 participation is not independently resolved and this is not IFNAR or IFNGR evidence.	medium	medium	RETAIN_AS_IFNLAMBDA_TYK2_PATHWAY_WITH_TYPEIII_BOUNDARY
M21A-E071	IFNLR1-IL10RB receptor complex	activates	IRF/ISG transcriptional program	IFN-lambda-JAK-STAT-IRF	activating	directed	IFN-lambda	Primary human astrocytes	cytoplasm to nucleus	human	CNS comparator	primary cytokine stimulation and RT-qPCR support	IFN-lambda induced IRF and interferon-stimulated gene programs in human astrocytes; the study does not resolve IRF5/IRF7 as a specific target pair or establish necessity of either factor.	medium	medium	RETAIN_AS_IFNLAMBDA_ASTROCYTE_IRF_PROGRAM_EDGE
M21A-E072	IFN-lambda signaling	inhibits	HSV-1 replication in human astrocytes	IFN-lambda-astrocyte-antiviral	inhibitory	directed	IFN-lambda	Primary human astrocytes and neurons	cytoplasm to antiviral transcriptional output	human	CNS comparator	primary receptor blockade and infection assay	IFN-lambda reduced HSV-1 replication and induced type-I-IFN/ISG programs; the functional output is distinct from a direct IFNLR1-to-STAT1 molecular edge.	high	medium	RETAIN_AS_IFNLAMBDA_ASTROCYTE_FUNCTION_EDGE
M21A-E073	TNFR2 receptor complex	supports	TRAF2-dependent NF-kappaB relay	TNFR2-TRAF2-NF-kappaB	activating	directed	TNF, especially membrane TNF context	Human TNFR2-expressing receptor and reporter systems	plasma membrane receptor to cytoplasmic adaptor	human	inflammatory comparator	primary receptor-adaptor and dominant-negative support	TRAF2 overexpression and dominant-negative studies support a TNFR2-TRAF2-dependent NF-kappaB relay, but do not establish endogenous direct recruitment as a binary physical edge.	medium	medium	RETAIN_AS_TNFR2_TRAF2_PATHWAY_RELAY_WITH_DIRECTNESS_LIMITATION
M21A-E074	TNFR2-TRAF2 signaling complex	activates	IKK-NFKB1-RELA	TNFR2-NF-kappaB-JNK	activating	directed	TNF	TNFR2 signaling cell systems	cytoplasmic signaling complex to nucleus	human; mouse	inflammatory comparator	primary branch perturbation support	TNFR2-TRAF2 signaling supports NF-kappaB and JNK activation; the branch is kept distinct from the TNFR1-TRADD death complex.	high	medium	RETAIN_AS_TNFR2_CANONICAL_BRANCH
M21A-E075	TNFR2 receptor complex	activates	NFKB2-p100/p52 alternative NF-kappaB	TNFR2-alternative-NF-kappaB	activating	directed	membrane TNF	Human and mammalian TNFR2-expressing cells	plasma membrane receptor to nucleus	human; mouse	inflammatory comparator	primary ligand-form comparison and receptor signaling assay	Membrane TNF and TNFR2 selectively activate alternative NF-kappaB/p100 processing in the cited systems; soluble TNF is not treated as equivalent for this branch.	medium	low	RETAIN_AS_TNFR2_ALTERNATIVE_NFKB_BRANCH
