perturbation_id	edge_id_or_branch	source_locator	species	cell_or_tissue_context	perturbation_type	perturbation_target	observed_effect	interpretation_boundary	confidence
M21A-SAT-P011	M21A-E042;M21A-E043;M21A-E044	PMID:9311995	mammal	Mv1Lu mink lung epithelial cells	receptor and Smad phosphorylation assay	TGFBR1/2; SMAD2; SMAD3; SMAD4	TGF-beta induced Smad2/3 phosphorylation and Smad4-dependent nuclear relay	Direct canonical branch support; noncanonical branches not covered	high
M21A-SAT-P012	M21A-E045	PMID:16765933	mouse	Early mouse embryo	developmental genetic and expression comparison	SMAD1; SMAD5; SMAD8	BMP receptor activation induced cooperative Smad1/5/8 target-gene signaling	Supports BMP R-Smad family branch with paralog boundary	high
M21A-SAT-P013	M21A-E047;M21A-E048;M21A-E049	PMID:7798267	mammal	EGFR-expressing mammalian cells	adaptor depletion and biochemical coupling	SHC; GRB2; SOS	Shc depletion removed most EGF-stimulated Ras-GEF activity; Shc-Grb2-Sos linkage was predominant	Supports canonical adaptor path but not exclusive direct EGFR-Grb2 binding	high
M21A-SAT-P014	M21A-E052;M21A-E054	PMID:11447289	mammal	FRS2A-deficient fibroblasts	genetic deficiency	FRS2A	FGF-induced ERK, PI3K, chemotaxis, and proliferation were impaired	Supports FRS2A as a positive FGFR branch node	high
M21A-SAT-P015	M21A-E056;M21A-E057	PMID:22174934	mammal	Primary human lymphatic endothelial cells	VEGFR1 versus VEGFR2 blockade	VEGFR2	VEGFR2 blockade reduced VEGF-A-induced PLC-gamma, ERK1/2, Akt, proliferation, and migration more than VEGFR1 blockade	Receptor-specific endothelial context	high
M21A-SAT-P016	M21A-E058;M21A-E059;M21A-E060	PMID:18077588; PMID:22907437	mammal	WNT-responsive vertebrate cells	DVL/FZD/LRP6 depletion and Arf perturbation	DVL; FZD; LRP6; ARF	Depletion blocked LRP6 phosphorylation and WNT signaling; Arf depletion reduced WNT-induced LRP6 phosphorylation	Supports signalosome initiation, not noncanonical WNT saturation	high
M21A-SAT-P017	M21A-E062;M21A-E063;M21A-E064;M21A-E065	PMID:12025815; PMID:21775282; PMID:12374742	mammal	Mammalian Notch reporter and cell systems	gamma-secretase inhibition and NICD/RBPJ reporter assays	PSEN/gamma-secretase; NICD; RBPJ	Gamma-secretase inhibition blocked NICD production; NICD-RBPJ association activated Notch reporters and HES/HEY outputs	Supports canonical Notch processing and nuclear switch, not ligand-paralog-specific weights	high
M21A-SAT-P018	M21A-E066;M21A-E067	PMID:38569939	human; mouse	Ba/F3 cells reconstituted with CNTFRa-gp130-LIFR or CNTFRa-gp130-OSMR	receptor-complex reconstitution and cytokine dose response	CNTFRa; gp130; LIFR; OSMR	CNTF induced STAT3 phosphorylation and proliferation through both receptor-complex configurations.	Supports CNTFR-specific complex competence; does not establish receptor-complex abundance or branch weighting in SCI astrocytes.	high
M21A-SAT-P019	M21A-E068	PMID:15342787	mouse; rat	Mature cortical astrocytes and ROS17/2.8 cells	JAK inhibitor and soluble-receptor treatment	CNTFRa; JAK/STAT	CNTF-CNTFRa increased nuclear phospho-STAT3, Cx43 expression, and dye coupling; AG490 blocked the response.	Separates a JAK/STAT-dependent functional astrocyte output from the upstream LR binding record.	high
M21A-SAT-P020	M21A-E069	PMID:11771938	rat	Primary spinal cord astrocytes and astrocyte-neuron cocultures	cytokine stimulation and conditioned-support assay	CNTF; astrocyte FGF2	CNTF increased FGF2 release and improved motor-neuron support; direct spinal CNTF also increased astroglial reactivity.	Functional CNS injury comparator; exact receptor-complex and intracellular branch are unresolved.	high
M21A-SAT-P021	M21A-E070	PMID:37725008	human	U2OS cells expressing synthetic type-III interferon receptor pairs	TYK2 deletion and receptor reconstitution	IFNLR1/IL10RB; TYK2	Type-III receptor reconstitution supported STAT activation with a defined TYK2 contribution.	Synthetic receptor and non-astrocyte context; keep IFN-lambda separate from IFNAR and IFNGR.	high
M21A-SAT-P022	M21A-E071;M21A-E072	PMID:20878770	human	Primary human astrocytes and neurons	IFN-lambda treatment, IFN-lambda receptor antibody, and IFNAR blockade	IFNLR1; IFNAR; IRF/ISG program	IFN-lambda reduced HSV-1 replication and induced IRF/ISG responses; receptor blockade or IFNAR blockade attenuated parts of the effect.	Supports astrocyte pathway/function evidence, not a receptor-proximal kinase necessity claim.	high
M21A-SAT-P023	M21A-E071;M21A-E072	PMID:22057682	human	Primary human astrocytes	poly-I:C stimulation and IFN-lambda receptor antibody	IFNLR1; IFN-lambda	Blocking IFN-lambda receptor attenuated poly-I:C-mediated antiviral protection, and recombinant IFN-lambda inhibited HSV-1 infection.	TLR3-induced endogenous IFN-lambda context; no SCI injury model.	high
M21A-SAT-P024	M21A-E073	PMID:7544915	human	TNFR2-transfected reporter cells	dominant-negative adaptor and overexpression	TRAF2	TRAF2 overexpression activated NF-kappaB and dominant-negative TRAF2 inhibited TNFR2-mediated activation.	Reporter/overexpression evidence supports proximal adaptor role but not all endogenous TNFR2 complexes.	high
M21A-SAT-P025	M21A-E074;M21A-E075	PMID:21558270; PMID:20038584	human; mouse	TNFR2 mutant/reporter systems, tumor cell lines, and primary T cells	receptor deletion/mutant and membrane-versus-soluble TNF comparison	TNFR2; TRAF2	TNFR2 receptor motifs and membrane TNF selectively supported canonical/alternative NF-kappaB and JNK branches.	Branch depends on ligand form, receptor expression, and cell context.	high
M21A-SAT-P026	M21A-E077	PMID:22933014	mouse	Cuprizone-demyelinated mouse corpus callosum	TNFR2 knockout and CXCL12 lentiviral rescue	TNFR2; CXCL12	TNFR2 loss reduced astrocyte CXCL12 and OPC repair; CXCL12 delivery rescued proliferation and myelin expression.	Demyelination comparator; does not establish the same branch in contusion-SCI astrocytes.	high
M21A-SAT-P027	M21A-E076	PMID:30941924	rat	Adult rat T9 contusion SCI	TNFR2-specific agonist infusion	TNFR2	Continuous spinal infusion of a TNFR2 agonist improved locomotor recovery and altered lesion-associated survival/inflammatory readouts.	Functional agonist study; cell type and exact intracellular relay remain unresolved.	medium
M21A-SAT-P028	M21A-E076	PMID:11517251	mouse	TNFR1- and TNFR2-deficient mice after traumatic SCI	receptor knockout	TNFR1; TNFR2	TNFR2 deficiency reduced the protective TNFR-NF-kappaB/c-IAP2 context and worsened injury-associated apoptosis/recovery measures.	Receptor-deletion phenotype is not a clean astrocyte-specific TNFR2 relay assay.	medium
M21A-SAT-P029	M21A-E078	PMID:9862719	human; mouse	Human B cells and murine EL-4 receptor systems	IL1R2/IL1RAP crosslinking and chimeric receptor assay	IL1R2; IL1RAP	Ligated IL1R2 associated with IL1RAP but did not transduce the IL-1 signal without a signaling IL1R1 cytoplasmic domain.	Supports decoy-complex assembly and lack of intracellular signaling, not an IL1R2 kinase relay.	high
M21A-SAT-P030	M21A-E079	PMID:10880245	human	Human HEK293, COS, and OVCAR-3 cells	phorbol-induced shedding comparison	IL1R2; IL1R1	IL1R2, but not IL1R1, was selectively shed from the cell surface, supporting soluble-decoy regulation.	No astrocyte or SCI perturbation.	high
M21A-SAT-P031	M21A-E080	PMCID:PMC9527244	mouse	Primary astrocytes and conditional IL1R1 mouse SCI models	astrocyte-specific receptor deletion/restoration and ROS blockade	IL1R1; ROS	Astrocyte IL1R1 deletion or ROS blockade reduced IL-1alpha-induced oligodendrocyte loss and inflammatory injury outputs.	Supports the signaling IL1R1 astrocyte branch; IL1R2 decoy activity in these astrocytes remains unresolved.	high
M21A-SAT-P032	M21A-E081;M21A-E082	PMID:33921794	human	Matched human CCR4/CCR7/CCR10 receptor assays	BRET G-protein and beta-arrestin comparison	CCR4; CCR7; CCL17; CCL22; CCL19; CCL21	CCR4 ligands favored arrestin-only behavior in the tested background, whereas CCR7 ligands activated both G protein and arrestin branches.	Assay-specific bias; no SCI receiver-state mapping.	high
M21A-SAT-P033	M21A-E083;M21A-E084	PMID:28559424	human	Human CXCR3A and CXCR3B splice-variant receptor assays	splice-variant expression, beta-arrestin knockdown, and signaling comparison	CXCR3A; CXCR3B; beta-arrestin	CXCR3 splice variants differed in G-protein coupling, beta-arrestin recruitment, ERK, and transcriptional reporter outputs.	Receptor splice-variant branch, not a generalized CCL/CCR or SCI rule.	high
M21A-SAT-P034	M21A-E085;M21A-E086	PMCID:PMC2621323	mammal	RIBL17 and AML12 TGF-beta receptor signaling systems	TRAF6 dominant-negative, RNAi, receptor mutant, and kinase assays	TRAF6; TAK1	TRAF6 loss or dominant-negative blockade reduced TGF-beta-induced JNK/p38 activation, while TRAF6 associated with ligand-occupied receptors and TAK1.	Noncanonical branch retained at pathway-complex resolution.	high
M21A-SAT-P035	M21A-E087	PMID:19361494	mouse	Developing mouse retinal ganglion cells	BMPR2 receptor-tail mutant and axon-growth assay	BMPR2; LIMK1	Deleting the BMPR2 LIMK1-binding region impaired BMP-dependent retinal axon extension.	Developmental neural comparator, not SCI glial state.	high
M21A-SAT-P036	M21A-E088;M21A-E089	PMID:17696121	rat	Adult rat demyelinating spinal cord and mature spinal astrocyte cultures	BMP4/BMP7 treatment, lesion injection, and noggin inhibition	BMP4; BMP7; SMAD1/5/8	BMP stimulation increased pSMAD1/5/8, nuclear SMAD1, GFAP, and CSPG outputs; noggin blocked the CSPG response.	Demyelination comparator; does not establish contusion-SCI branch weights.	high
M21A-SAT-P037	M21A-E090	PMID:20427645	mouse	Mouse cortical injury and primary astrocytes	TGFBR pathway inhibition and fibrinogen/TGF-beta manipulation	TGFBR; SMAD2	TGFBR inhibition reduced astrocyte Smad2 phosphorylation and neurocan/scar outputs after vascular injury.	Cortical injury comparator; noncanonical branch not inferred.	medium
M21A-SAT-P038	M21A-E091;M21A-E092	PMID:16129124; PMID:11046132	mouse; mammal	NIH3T3 and vascular smooth-muscle receptor systems	PDGFR phosphorylation-site mutant, Src/PI3K/PKC perturbation, and ERK assays	PDGFR-beta; SRC; PI3K	PDGFR mutants or pathway inhibitors reduced Src and ERK activation, with PI3K/PKC/redox contributing to receptor/Src signaling.	Adaptor ordering and receptor paralog use remain context dependent.	high
M21A-SAT-P039	M21A-E093	PMID:18512152	mammal	CNS oligodendrocyte progenitor migration cultures	MEK/ERK inhibition and time-course migration assay	ERK1/2	ERK inhibition reduced the sustained migration response after PDGF-A stimulation.	Functional OPC comparator, not direct PDGFR adaptor evidence.	high
M21A-SAT-P040	M21A-E094	PMID:32066583	mouse	Astrocytes and contusive SCI mice	astrocyte-specific YAP deletion, RhoA pathway analysis, bFGF injection, and Hippo activation	FGF2; RHOA; YAP	YAP deletion reduced FGF2-associated astrocyte proliferation and scar formation; bFGF or Hippo inhibition activated the pathway and improved recovery in the tested model.	FGFR paralog and FRS2 steps were not isolated.	high
M21A-SAT-P041	M21A-E095;M21A-E096	PMID:27550808	mouse	EAE spinal cord and microglia-neuron cocultures	ROR2/WNT pathway inhibition	ROR2; WNT5A; JNK	Blocking WNT-ROR2 signaling reduced inflammatory neuron death associated with activated microglia.	Functional pathway perturbation does not prove a direct WNT5A-ROR2 binding edge.	high
M21A-SAT-P042	M21A-E097	PMID:33311637	mouse	Spinal neural stem/progenitor cells and SCI transplantation model	WNT5A stimulation, JNK inhibition, miRNA manipulation, and RhoA rescue	WNT5A; JNK; RHOA	WNT5A-induced pJNK and neuronal differentiation were reduced by pathway perturbation; RhoA overexpression counteracted the differentiation output.	Receptor complex is unresolved.	medium
M21A-SAT-P043	M21A-E100;M21A-E101	PMID:22452482	rat	Rat SCI with Jagged1-positive/negative endothelial progenitors and Delta-like-1 controls	ligand gain/loss transplantation comparison	JAG1; DLL1; NOTCH	Jagged1-positive cells increased Hes5, acute astrogliosis, vascular effects, and recovery, whereas Jagged1 loss or Delta-like-1 substitution did not reproduce the same phenotype.	Functional SCI evidence does not establish Notch2/3/4 or all downstream relay steps.	medium
M21A-SAT-P044	M21A-E098;M21A-E099	PMID:26124113	mouse	Reactive astrocytes and astrocyte-derived neural stem cells after cerebral ischemia	Notch1 conditional knockout, gamma-secretase inhibition, promoter assays, and EDNRB conditional knockout	NOTCH1; gamma-secretase; STAT3; EDNRB	Notch1 loss or gamma-secretase inhibition reduced pSTAT3/EDNRB expression and reactive astrocyte proliferation.	Brain ischemia comparator; no direct contusion-SCI branch weighting.	high
M21A-SAT-P045	M21A-E102	PMID:23839946; PMID:20602435	human; mouse	Human NOTCH1-DLL1/DLL4 receptor-ligand assays and mammalian Notch reporter systems	ligand binding, receptor truncation, reporter, and HES1 comparison	NOTCH1; DLL1; DLL4; HES1	DLL4 produced higher NOTCH1 binding/signaling than DLL1 in the tested systems, and ligand signal strength altered HES1 output.	Signaling-strength comparison is distinct from LR classification; do not export as a universal Notch ligand potency rule.	high
M21A-SAT-P046	M21A-E103	PMID:8075814	rat	Adult rat lesioned CNS glial-scar tissue and cultured hippocampal astrocytes	receptor localization, astrocyte culture signal-transduction assay, and immediate-early response comparison	CNTFR-alpha; CNTF receptor complex	CNTFR-alpha localized to astrocytes at the glial-scar edge after CNS lesion, while cultured astrocytes showed a functional CNTF receptor complex capable of signal transduction.	This validates astrocyte receptor context but does not resolve the LIFR-versus-OSMR complex or a contusive-SCI astrocyte kinase branch.	high
M21A-SAT-P047	M21A-E104	PMCID:PMC5682656	mouse	Acute mouse SCI with spinal neurons and microglia/macrophages	FGF10 treatment, FGFR2/PI3K-AKT signaling measurement, and neuronal protection assays	FGF10; FGFR2; PI3K; AKT1	FGF10 treatment increased FGFR2-associated PI3K-AKT signaling and improved neuronal survival after acute SCI.	The receiver branch is neuronal/microglial rather than astrocyte-specific.	high
M21A-SAT-P048	M21A-E105	PMCID:PMC9013464	mouse	Mouse SCI lesion with astrocytes, perivascular fibroblasts, and macrophages/microglia	PDGFB/PDGFD localization, exogenous ligand injection, and PDGFR-beta inhibitor SU16f	PDGFB; PDGFD; PDGFRB; SU16f	PDGFR-beta inhibition reduced fibrotic scar and improved axon regeneration and locomotor recovery; ligand source differed by cell type.	Functional/pathway evidence does not establish direct PDGFB/PDGFD binding or adaptor ordering.	high
M21A-SAT-P049	M21A-E106;M21A-E107	PMCID:PMC6488895	mouse	Mouse SCI spinal neural stem/progenitor cells	VEGF treatment with EGFR/VEGFR pathway inhibition and proliferation/activation assays	VEGF; EGFR; VEGFR	VEGF-dependent neural stem-cell activation was reduced by pathway inhibition, supporting EGFR transactivation as the tested branch.	Do not infer a VEGFR2-specific or astrocyte-specific branch.	medium
M21A-SAT-P050	M21A-E108	PMCID:PMC12012454	mouse; human	Astrocyte-specific Ryk conditional-knockout mice and injured spinal cord tissue	Astrocyte-specific Ryk deletion, histology, p-beta-catenin, cell-cell signaling analysis, and wound-healing assessment	RYK; WNT	Ryk deletion altered astrocyte scar-border formation and wound healing after SCI.	The study proposes but does not directly perturb a noncanonical PCP branch.	medium
M21A-SAT-P051	M21A-E109;M21A-E110	PMCID:PMC11468415	mouse; human	Human reactive astrocytes and mouse EAE spinal-cord astrocytes	Astrocyte-specific DLL4/NOTCH1 loss or gain, NICD ChIP, IL-6 receptor blockade, and pSTAT3/reactivity assays	DLL4; NOTCH1; NICD; IL-6; STAT3	DLL4-NOTCH1 loss reduced IL-6 and pSTAT3/reactivity, while DLL4 gain increased the branch; IL-6 blockade reduced pSTAT3.	CNS inflammatory comparator rather than contusive SCI; Notch paralog specificity beyond NOTCH1 remains open.	high
M21A-SAT-P052	M21A-E111	PMID:30941924; PMCID:PMC6630008	mouse; rat	Adult mouse contusive SCI and E18 rat primary cortical neurons	TNFR2-specific agonist with PI3K-alpha/PI3K-gamma inhibitor comparison	TNFR2; PI3Kgamma; AS605240	TNFR2 agonism protected neurons and improved recovery, while PI3K-gamma inhibition attenuated the protective response.	The in vivo injury model and in vitro neuronal model use different species; the perturbation supports pathway dependence but does not establish a direct TNFR2-PI3Kgamma molecular interaction or astrocyte-specific branch.	high
M21A-SAT-P053	M21A-E112	PMCID:PMC13366903	mouse	Focal mouse SCI with lesion-border astrocytes and perilesional microglia	Astrocyte-targeted Csf1 conditional knockout	CSF1 in GFAP-positive lesion-border astrocytes	Astrocyte-targeted Csf1 loss reduced perilesional microglial proliferation, border-forming astrocytes, wound closure, and motor recovery.	CSF1 is also produced by non-astrocytic cells, and the study does not directly perturb CSF1R kinase signaling in this branch.	high
M21A-SAT-P054	M21A-E113	PMCID:PMC13366903	mouse	Focal mouse SCI with lesion-border astrocytes and microglia	Astrocyte-targeted Ifnar1 deletion	IFNAR1 in astrocytes	Astrocyte-specific Ifnar1 loss reduced astrocyte survival and border formation and impaired wound healing and motor recovery after focal SCI.	The source supports IFN-beta/IFNAR functional dependence but does not isolate JAK1/TYK2 or STAT branch events in injured astrocytes.	high
