observation_id	context_id	source_system	source_database	source_record_type	source_record_key	source_version	modality	assay	measurement_kind	measured_entity_name	measured_entity_type	feature_id	value_numeric	value_text	value_kind	unit	direction_vs_control	comparator	biological_replicates	timepoint_value	timepoint_unit	perturbation	cell_type	sample_id	observation_status	evidence_role	dependency_group	source_artifact_path	source_artifact_sha256	source_locator	provenance_note
FLOW_SCI_080__OBS080_3D_P65	sci:protein:54b371168d96e57f	mSCS	flow_protein	protein_observation	FLOW_SCI_080__OBS080_3D_P65	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	relative activated/NLS-exposed p65 abundance	activated NF-κB p65 (p65*)	protein_state	RELA		SCI-induced activated p65 increased early and persisted through 3 dpi in wild-type tissue; GFAP-IκBα-dn markedly blunted the response	qualitative	not_reported	SCI-induced activated p65 increased early and persisted through 3 dpi in wild-type tissue; GFAP-IκBα-dn markedly blunted the response		3.0	3.0	day	wild-type SCI versus sham; GFAP-IκBα-dn comparison	spinal cord protein extract		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_080:FLOW_SCI_080__TP080_3D:FLOW_SCI_080__POP080_BULK	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_080__OBS080_3D_P65;PMCID: PMC2212896; Results section 'Activation of NF-κB induced by SCI is prevented in GFAP-IκBα-dn mice'; Figure 2 and legend;selected_view_line_observation_id=FLOW_SCI_080__OBS080_3D_P65	"{""canonical_observation_id"":""FLOW_SCI_080__OBS080_3D_P65"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""primary_source_checked_not_reported"",""notes"":""The direct protein observation supports acute persistence of NF-κB activation through 3 days, but not a cell-specific trajectory. Figure/table transcription FIGTRANS_20260820T210352Z: Figure 2 and Results directly assign activated p65 to 3 day(s) after SCI and report n=3 representative blots. The source reports direction and an apparent 65/67-kDa doublet but no row-level densitometry value or unit; no band height was estimated."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2212896/"",""selection_state_class"":""active_state_secondary"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PMCID: PMC2212896; Results section 'Activation of NF-κB induced by SCI is prevented in GFAP-IκBα-dn mice'; Figure 2 and legend"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_081__OBS081_7D_NP65	sci:protein:944b3a07b1b8143b	mSCS	flow_protein	protein_observation	FLOW_SCI_081__OBS081_7D_NP65	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunohistochemistry	relative nuclear phospho-NF-κB p65 Ser536 immunoreactivity	nuclear phospho-NF-κB p65 Ser536	phosphorylated_protein	RELA		Nuclear phospho-p65 immunoreactivity increased in SCI tissue versus sham and was reduced by agomir-miR-182	qualitative	not_reported	Nuclear phospho-p65 immunoreactivity increased in SCI tissue versus sham and was reduced by agomir-miR-182		6.0	7.0	day	SCI plus agomir-miR-182 or agomir control versus sham	spinal cord tissue		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_081:FLOW_SCI_081__TP081_7D:FLOW_SCI_081__POP081_BULK	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_081__OBS081_7D_NP65;PMCID: PMC8367816; Results section 'Agomir-miR-182 blocked activation of the NF-κB pathway in vivo'; Figure 7 and Western blot/IHC methods;selected_view_line_observation_id=FLOW_SCI_081__OBS081_7D_NP65	"{""canonical_observation_id"":""FLOW_SCI_081__OBS081_7D_NP65"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""primary_source_checked_not_reported"",""notes"":""This is an activation/localization observation, not total RELA abundance. Figure/table transcription FIGTRANS_20260820T210722Z: Figure 7C directly assigns nuclear p-p65 IHC to the 7-day endpoint and reports mean ± SD from three independent experiments. The animal design reports n=6 per group/timepoint, but no row-level IHC scalar is printed; no image-derived value was estimated."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC8367816/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PMCID: PMC8367816; Results section 'Agomir-miR-182 blocked activation of the NF-κB pathway in vivo'; Figure 7 and Western blot/IHC methods"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_081__OBS081_7D_PIKB	sci:protein:944b3a07b1b8143b	mSCS	flow_protein	protein_observation	FLOW_SCI_081__OBS081_7D_PIKB	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunohistochemistry	relative phospho-IκBα Ser32 immunoreactivity	phospho-IκBα Ser32	phosphorylated_protein	NFKBIA		Phospho-IκBα Ser32 immunoreactivity increased in SCI tissue versus sham and was reduced by agomir-miR-182	qualitative	not_reported	Phospho-IκBα Ser32 immunoreactivity increased in SCI tissue versus sham and was reduced by agomir-miR-182		6.0	7.0	day	SCI plus agomir-miR-182 or agomir control versus sham	spinal cord tissue		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_081:FLOW_SCI_081__TP081_7D:FLOW_SCI_081__POP081_BULK	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_081__OBS081_7D_PIKB;PMCID: PMC8367816; Results section 'Agomir-miR-182 blocked activation of the NF-κB pathway in vivo'; Figure 7 and Western blot/IHC methods;selected_view_line_observation_id=FLOW_SCI_081__OBS081_7D_PIKB	"{""canonical_observation_id"":""FLOW_SCI_081__OBS081_7D_PIKB"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""primary_source_checked_not_reported"",""notes"":""IκBα phosphorylation is a pathway activation readout, not a transcription-factor abundance measurement. Figure/table transcription FIGTRANS_20260820T210722Z: Figure 7C directly assigns p-IκBα Ser32 IHC to the 7-day endpoint and reports mean ± SD from three independent experiments. The animal design reports n=6 per group/timepoint, but no row-level IHC scalar is printed; no image-derived value was estimated."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC8367816/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PMCID: PMC8367816; Results section 'Agomir-miR-182 blocked activation of the NF-κB pathway in vivo'; Figure 7 and Western blot/IHC methods"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_083__OBS083_8W_PIKB_RATIO	sci:protein:0a7f6d6da0cc795d	mSCS	flow_protein	protein_observation	FLOW_SCI_083__OBS083_8W_PIKB_RATIO	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	phospho-IκBα Ser32 to total IκBα ratio	phospho-IκBα/IκBα ratio	phosphorylated_protein	NFKBIA	30.0		numeric	fold versus TLR4-null at 8 weeks; approximate value as reported	Phospho-IκBα/IκBα ratio was approximately 30-fold higher in wild-type than TLR4-null mice at 8 weeks after SCI		4.0	8.0	week	wild-type or TLR4-null SCI versus uninjured controls	injury-region spinal cord tissue		transcribed	dataset_observation	mSCS:flow_protein:FLOW_SCI_083:FLOW_SCI_083__TP083_8W:FLOW_SCI_083__POP083_BULK	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_083__OBS083_8W_PIKB_RATIO;PubMed PMID: 38326029; Results and Figure 4F-G for NFκB-p65 and phospho-IκBα/IκBα measurements; DOI full-text record;selected_view_line_observation_id=FLOW_SCI_083__OBS083_8W_PIKB_RATIO	"{""canonical_observation_id"":""FLOW_SCI_083__OBS083_8W_PIKB_RATIO"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""figure_table_transcribed"",""notes"":""This is an NF-κB pathway activation readout rather than a direct TF abundance measurement. Figure/table transcription FIGTRANS_20260820T211120Z: The primary Results directly report a marked approximately 30-fold increase in the phospho-IκBα/IκBα ratio at 8 weeks after SCI in wild-type versus TLR4-null mice. The source reports n=3-4 mice per group; the range is retained verbatim in value_text because the database replicate field is integer-valued."",""primary_source_url"":""https://pubmed.ncbi.nlm.nih.gov/38326029/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PubMed PMID: 38326029; Results and Figure 4F-G for NFκB-p65 and phospho-IκBα/IκBα measurements; DOI full-text record"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_090__S090_O1	sci:protein:9b0a1e5784a21877	mSCS	flow_protein	protein_observation	FLOW_SCI_090__S090_O1	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	relative phospho-STAT3 Tyr705 abundance	STAT3	phosphorylated_protein	Stat3		p-STAT3 Tyr705 increased after SCI, peaked near 12 h, and declined thereafter.	qualitative	relative phospho-STAT3 abundance; exact densitometry unit not reported	p-STAT3 Tyr705 increased after SCI, peaked near 12 h, and declined thereafter.			12.0	hour	SCI	spinal cord tissue		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_090:FLOW_SCI_090__S090_T12H:FLOW_SCI_090__S090_P2	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_090__S090_O1;PubMed PMID 16417589;selected_view_line_observation_id=FLOW_SCI_090__S090_O1	"{""canonical_observation_id"":""FLOW_SCI_090__S090_O1"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Phosphorylation is signaling/activity evidence, not total STAT3 abundance. Figure/table transcription FIGTRANS_20260820T215333Z: The primary article abstract directly reports the 6-h onset, 12-h peak, and subsequent decline of STAT3 Tyr705 phosphorylation. Exact values, units, n, and antibody metadata are not present in the accessible abstract; no graph-only value was estimated."",""primary_source_url"":""https://pubmed.ncbi.nlm.nih.gov/16417589/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PubMed PMID 16417589"",""support_tier"":""B_direct_incomplete""}"
FLOW_SCI_090__S090_O2	sci:protein:1af93384fd5bf61c	mSCS	flow_protein	protein_observation	FLOW_SCI_090__S090_O2	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunohistochemistry	p-STAT3 Tyr705 neuronal localization	STAT3	phosphorylated_protein	Stat3		p-STAT3 Tyr705 was mainly localized to anterior-horn neurons at 12 h after SCI.	qualitative	relative immunohistochemical signal; exact intensity unit not reported	p-STAT3 Tyr705 was mainly localized to anterior-horn neurons at 12 h after SCI.			12.0	hour	SCI	anterior horn neurons		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_090:FLOW_SCI_090__S090_T12H:FLOW_SCI_090__S090_P1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_090__S090_O2;PubMed PMID 16417589;selected_view_line_observation_id=FLOW_SCI_090__S090_O2	"{""canonical_observation_id"":""FLOW_SCI_090__S090_O2"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Figure/table transcription FIGTRANS_20260820T215333Z: The primary article abstract directly reports the 12-h anterior-horn neuronal localization. Exact intensity/count, n, and antibody metadata are not present in the accessible abstract; no image-derived value was estimated."",""primary_source_url"":""https://pubmed.ncbi.nlm.nih.gov/16417589/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PubMed PMID 16417589"",""support_tier"":""B_direct_incomplete""}"
FLOW_SCI_091__S091_O1	sci:protein:b1ccbf5352f9ddbf	mSCS	flow_protein	protein_observation	FLOW_SCI_091__S091_O1	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	p-STAT1 Tyr701 neuronal subcellular localization	STAT1	phosphorylated_protein	Stat1		p-STAT1 Tyr701 increased after SCI and remained cytoplasmic in anterior-horn neurons at 6 h.	qualitative	relative neuronal immunofluorescence; exact intensity not reported	p-STAT1 Tyr701 increased after SCI and remained cytoplasmic in anterior-horn neurons at 6 h.		5.0	6.0	hour	SCI	anterior horn neurons		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_091:FLOW_SCI_091__S091_T6H:FLOW_SCI_091__S091_P1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_091__S091_O1;PubMed PMID 21833847;selected_view_line_observation_id=FLOW_SCI_091__S091_O1	"{""canonical_observation_id"":""FLOW_SCI_091__S091_O1"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Cytoplasmic localization should not be interpreted as nuclear transcriptional activity. Figure/table transcription FIGTRANS_20260820T215333Z: The primary full text reports n=5 series for the time-course animals and directly assigns the mirror-section IF comparison to 6 h. The source does not print a row-level IF intensity; no image-derived value was estimated."",""primary_source_url"":""https://pubmed.ncbi.nlm.nih.gov/21833847/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PubMed PMID 21833847"",""support_tier"":""B_direct_incomplete""}"
FLOW_SCI_091__S091_O2	sci:protein:b1ccbf5352f9ddbf	mSCS	flow_protein	protein_observation	FLOW_SCI_091__S091_O2	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	p-STAT3 Tyr705 neuronal nuclear localization	STAT3	phosphorylated_protein	Stat3		p-STAT3 Tyr705 increased after SCI and entered anterior-horn neuronal nuclei at 6 h.	qualitative	relative neuronal immunofluorescence; exact intensity not reported	p-STAT3 Tyr705 increased after SCI and entered anterior-horn neuronal nuclei at 6 h.		5.0	6.0	hour	SCI	anterior horn neurons		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_091:FLOW_SCI_091__S091_T6H:FLOW_SCI_091__S091_P1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_091__S091_O2;PubMed PMID 21833847;selected_view_line_observation_id=FLOW_SCI_091__S091_O2	"{""canonical_observation_id"":""FLOW_SCI_091__S091_O2"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Nuclear localization is an activity-state clue, not a transcriptional assay. Figure/table transcription FIGTRANS_20260820T215333Z: The primary full text reports n=5 series for the time-course animals and directly assigns the mirror-section IF comparison to 6 h. The source does not print a row-level IF intensity; no image-derived value was estimated."",""primary_source_url"":""https://pubmed.ncbi.nlm.nih.gov/21833847/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PubMed PMID 21833847"",""support_tier"":""B_direct_incomplete""}"
FLOW_SCI_092__S092_O1	sci:protein:faf5711f6fc74947	mSCS	flow_protein	protein_observation	FLOW_SCI_092__S092_O1	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	immunofluorescence	cell-localized phospho-protein immunoreactivity	STAT3	phosphorylated_protein	Stat3		phospho-STAT3 undetectable in uninjured cord and present in NG2-lineage cells after SCI	qualitative	qualitative phospho-STAT3 immunoreactivity; scale bars 500 µm and 50 µm	phospho-STAT3 undetectable in uninjured cord and present in NG2-lineage cells after SCI			14.0	day	SCI	NG2-lineage cells / EYFP-positive cells		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_092:FLOW_SCI_092__S092_T14D:FLOW_SCI_092__S092_P1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_092__S092_O1;PMC4785033; Figure 3 and Figure 4;selected_view_line_observation_id=FLOW_SCI_092__S092_O1	"{""canonical_observation_id"":""FLOW_SCI_092__S092_O1"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""figure_table_transcribed"",""notes"":""Commercial SOCS3 antibody failure is explicitly reported; do not infer in-vivo SOCS3 protein from the genetic manipulation. Figure/table transcription FIGTRANS_20260820T195214Z: Direct primary-source transcription. The source confirms the exact 2-week timepoint and cell assignment but does not provide n or printed quantitative staining values for Figure 3; no image estimate was stored."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4785033/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""PMC4785033; Figure 3 and Figure 4"",""support_tier"":""B_direct_incomplete""}"
FLOW_SCI_111__FLOW_SCI_111_OBS1	sci:protein:90ebde77e793dcd7	mSCS	flow_protein	protein_observation	FLOW_SCI_111__FLOW_SCI_111_OBS1	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	relative phosphorylated signaling-protein abundance	phospho-STAT1	phosphorylated_protein	Stat1		PD-1 deficiency enhanced p-STAT1 phosphorylation at the lesion site at 14 dpi.	qualitative	relative phosphorylated-target band intensity normalized to beta-actin; exact scalar not reported	PD-1 deficiency enhanced p-STAT1 phosphorylation at the lesion site at 14 dpi.		3.0	14.0	day	WT versus PD-1-knockout SCI	macrophages/microglia in injured spinal cord		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_111:FLOW_SCI_111__FLOW_SCI_111_TP14:FLOW_SCI_111__FLOW_SCI_111_POP1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS1;Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords;selected_view_line_observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS1	"{""canonical_observation_id"":""FLOW_SCI_111__FLOW_SCI_111_OBS1"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""figure_table_transcribed"",""notes"":""Useful for a tissue-level STAT1 activation prior, but should not be treated as microglia-specific protein without additional evidence. Figure/table transcription FIGTRANS_20260820T222215Z: Figure 6A,D directly reports the 14-dpi in-vivo p-STAT1 immunoblot and Figure 6 caption specifies WT n=3 and PD-1-KO n=4. The Results state that PD-1 deficiency enhanced p-STAT1 phosphorylation at 14 dpi; similar results were obtained at 21 dpi, which is outside this queued row. The structured replicate field stores the WT lower bound (3); exact arm-specific sizes are retained in value_text and these notes. No graph value was estimated. Figure/table transcription FIGTRANS_20260820T222247Z: Figure 6A,D directly reports the 14-dpi in-vivo p-STAT1 immunoblot and Figure 6 caption specifies WT n=3 and PD-1-KO n=4. The Results state that PD-1 deficiency enhanced p-STAT1 phosphorylation at 14 dpi; similar results were obtained at 21 dpi, which is outside this queued row. The structured replicate field stores the WT lower bound (3); exact arm-specific sizes are retained in value_text and these notes. No graph value was estimated."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4121443/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_111__FLOW_SCI_111_OBS2	sci:protein:90ebde77e793dcd7	mSCS	flow_protein	protein_observation	FLOW_SCI_111__FLOW_SCI_111_OBS2	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	relative phosphorylated signaling-protein abundance	phospho-NF-kB p65	phosphorylated_protein	Rela		PD-1 deficiency enhanced NF-kB phosphorylation at the lesion site at 14 dpi.	qualitative	relative phosphorylated-target band intensity normalized to beta-actin; exact scalar not reported	PD-1 deficiency enhanced NF-kB phosphorylation at the lesion site at 14 dpi.		3.0	14.0	day	WT versus PD-1-knockout SCI	macrophages/microglia in injured spinal cord		reported	dataset_observation	mSCS:flow_protein:FLOW_SCI_111:FLOW_SCI_111__FLOW_SCI_111_TP14:FLOW_SCI_111__FLOW_SCI_111_POP1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS2;Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords;selected_view_line_observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS2	"{""canonical_observation_id"":""FLOW_SCI_111__FLOW_SCI_111_OBS2"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""C_bulk_tissue_protein"",""extraction_status"":""figure_table_transcribed"",""notes"":""Retain as a bulk inflammatory-TF observation; do not infer cell-specific p65 abundance. Figure/table transcription FIGTRANS_20260820T222215Z: Figure 6A,F directly reports the 14-dpi in-vivo p-NF-kB p65 immunoblot and Figure 6 caption specifies WT n=3 and PD-1-KO n=4. The Results state that PD-1 deficiency enhanced NF-kB phosphorylation at 14 dpi; similar results were obtained at 21 dpi, outside this queued row. The structured replicate field stores the WT lower bound (3); exact arm-specific sizes are retained in value_text and these notes. No graph value was estimated. Figure/table transcription FIGTRANS_20260820T222247Z: Figure 6A,F directly reports the 14-dpi in-vivo p-NF-kB p65 immunoblot and Figure 6 caption specifies WT n=3 and PD-1-KO n=4. The Results state that PD-1 deficiency enhanced NF-kB phosphorylation at 14 dpi; similar results were obtained at 21 dpi, outside this queued row. The structured replicate field stores the WT lower bound (3); exact arm-specific sizes are retained in value_text and these notes. No graph value was estimated."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4121443/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords"",""support_tier"":""C_bulk_tissue""}"
FLOW_SCI_111__FLOW_SCI_111_OBS3	sci:protein:90ebde77e793dcd7	mSCS	flow_protein	protein_observation	FLOW_SCI_111__FLOW_SCI_111_OBS3	sha256:db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	protein	western_blot	relative phosphorylated STAT6 abundance; queued in-vivo endpoint unresolved	phospho-STAT6	phosphorylated_protein	Stat6		Figure 6 does not include p-STAT6. Figure 5 reports reduced p-STAT6 in PD-1-knockout BMDMs under IL-4 and in PD-1-knockout microglia under IL-4, with n=3 mice per group.	qualitative	relative p-STAT6 band intensity; exact scalar not reported	Figure 6 does not include p-STAT6. Figure 5 reports reduced p-STAT6 in PD-1-knockout BMDMs under IL-4 and in PD-1-knockout microglia under IL-4, with n=3 mice per group.			14.0	day	WT versus PD-1-knockout SCI	macrophages/microglia in injured spinal cord		unknown	dataset_observation	mSCS:flow_protein:FLOW_SCI_111:FLOW_SCI_111__FLOW_SCI_111_TP14:FLOW_SCI_111__FLOW_SCI_111_POP1	mSCS/data/flow_protein/flow_protein.sqlite	db992d208fd37ed1483ff711ad05dc45ebf8254638f54b0a752d374c219e2aaf	flow_protein.protein_observations.observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS3;Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords;selected_view_line_observation_id=FLOW_SCI_111__FLOW_SCI_111_OBS3	"{""canonical_observation_id"":""FLOW_SCI_111__FLOW_SCI_111_OBS3"",""canonical_source"":""mSCS/data/flow_protein/flow_protein.sqlite"",""evidence_grade"":""B_direct_but_incomplete"",""extraction_status"":""primary_source_checked_ambiguous"",""notes"":""Keep lower confidence than p-STAT1/p-NF-kB until the in-vivo p-STAT6 panel is manually checked. Figure/table transcription FIGTRANS_20260820T222215Z: The queue assigns p-STAT6 to Figure 6-like in-vivo injured cord at 14 dpi, but Figure 6A-G and H-N contain p-STAT1, STAT1, p-NF-kB, NF-kB, iNOS, and Arg1, not p-STAT6. Direct p-STAT6 evidence is in Figure 5 cultured BMDM/microglia after 24-hour polarization; its caption reports n=3 mice per group. The culture endpoint and in-vivo tissue endpoint cannot be remapped, so this row remains ambiguous and no value or timepoint correction is applied. Figure/table transcription FIGTRANS_20260820T222247Z: The queue assigns p-STAT6 to Figure 6-like in-vivo injured cord at 14 dpi, but Figure 6A-G and H-N contain p-STAT1, STAT1, p-NF-kB, NF-kB, iNOS, and Arg1, not p-STAT6. Direct p-STAT6 evidence is in Figure 5 cultured BMDM/microglia after 24-hour polarization; its caption reports n=3 mice per group. The culture endpoint and in-vivo tissue endpoint cannot be remapped, so this row remains ambiguous and no value or timepoint correction is applied."",""primary_source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4121443/"",""selection_state_class"":""phosphorylation_specific"",""selection_view"":""mSCS/data/derived/phosphorylation_support_observations.tsv"",""source_location"":""Yao et al.; PMCID PMC4121443; Figure 6 and Results on in-vivo STAT1/NF-kB signaling in WT and PD-1-knockout injured cords"",""support_tier"":""B_direct_incomplete""}"
