context_id	study_id	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	tissue	injury_distance	injury_distance_unit	sample_scope	cell_type	experimental_condition	study_perturbation_status	protein_observation_count	protein_state_observation_count	protein_expression_observation_count	numeric_observation_count	missing_core_fields	missing_secondary_fields	core_context_completeness	secondary_context_completeness	refinement_priority
sci:protein:0639d7308b362b79	FLOW_SCI_054	T12 compression spinal cord injury using a 50-g platform load	T12	50-g compression for 5 minutes over a 2 x 5 mm platform	male Sprague-Dawley rats, 10 weeks, 250-300 g	30	minutes	in vitro primary microglia culture			T12 injury-site spinal-cord tissue and sorted granulocyte-negative CD45lowCD11b+ microglia	primary spinal cord microglia culture	SCI versus sham; control- and LRCH1-shRNA-infected microglia transfer arms	LRCH1 knockdown in primary microglia followed by adoptive spinal injection; endogenous time course observational	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:06957870c39bc446	FLOW_SCI_051	moderate mid-thoracic T9 contusion SCI, 75 kdyn	T9	moderate contusion; adult versus aged and IL-4Ralpha knockout comparisons	female adult/aged cohorts and male genotype-comparison cohorts	7	day	T9 injury epicenter			injury epicenter spinal cord sections	TomL+ microglia/macrophages	adult WT, aged WT, and adult IL-4Ralpha knockout SCI	age comparison and IL-4Ralpha knockout	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:070ca7e2f372ca4f	FLOW_SCI_035	thoracic contusion SCI	unknown thoracic level	unknown	unknown	3	day	approximately 4 mm lesion-centered spinal cord segment			whole injured spinal-cord homogenate	4 mm lesion-centered spinal cord homogenate	SCI	ceruloplasmin knockout versus wild-type mice; acute tissue time-course retained	1	0	1	1		injury_severity;sex;injury_distance;injury_distance_unit	9/9	1/5	medium
sci:protein:07ba2258e4cfc928	FLOW_SCI_473	T9 thoracic contusion using the Infinite Horizons impactor	T9	60 kdyn contusion	male and female	3	day	6-mm lesion-centered spinal cord segment	0	mm	whole_tissue	perfused lesion-centered spinal cord homogenate	SCI versus sham/naive; 4- and 14-month-old male and female mice	age and sex stratification; contusion versus sham and naive controls	2	0	2	0			9/9	5/5	complete
sci:protein:08267bc80fb9ba7c	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R1200 relative to lesion epicenter (-1200 µm)	-1200	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance R1200	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:08a901bd3f6f673a	FLOW_SCI_150	mid-thoracic traumatic contusion SCI in C57BL/6-background mice	mid-thoracic; exact vertebral level pending extraction	moderate contusion; exact displacement/force should be confirmed from Methods	not fully extracted	7	day	5 mm lesion-centered spinal cord segment and lesion sections			injury-site spinal cord tissue homogenate	injury-site spinal cord protein extract	SCI versus sham	CX3CR1GFP/GFP receptor-reporter knockout and bone-marrow chimera comparisons	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:095f2c2ce667c785	FLOW_SCI_434	Thoracic contusion SCI using the NYU weight-drop impactor	T12	standardized NYU weight-drop contusion; exact impact parameters not reported in the cited methods	female C57BL/6 mice, 6-8 weeks, 18-22 g	3	day	injury epicenter spinal cord sections	0	mm; epicenter	injury-epicenter spinal-cord sections	injury epicenter spinal cord tissue	WT sham, vehicle, anti-factor B, factor B-deficient, and CD59a-deficient groups	factor B deficiency, CD59a deficiency, and anti-factor B antibody treatment; WT vehicle controls retained	3	0	3	0			9/9	5/5	complete
sci:protein:096d9ac3c898abba	FLOW_SCI_063	NYU weight-drop thoracic contusion	T9-T10 region; exact segment should be verified from full text	10 g impact dropped 12.5 mm	unknown	4	hours	injury epicenter and graded distances			injury-epicenter spinal-cord tissue	neurons	SCI versus sham	methylprednisolone and RU486 receptor-regulation experiment	1	0	1	1		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:099716b43988d591	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Epi relative to lesion epicenter (0 µm)	0	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance Epi	Zeb2os perturbation	1	0	1	1		sex;sample_count	9/9	3/5	medium
sci:protein:09ebd543bb5d0493	FLOW_SCI_362	mouse traumatic spinal cord injury with endothelial-targeted AAV-MCT1 rescue arm	thoracic injury; exact level pending extraction	contusion/compression model; exact force pending extraction	not reported in first-pass extraction	28	day	injury_center_and_margin			lesion-site sagittal spinal-cord sections	CD31-positive endothelial cells	SCI and sham	endothelial-targeted AAV-MCT1 overexpression versus control AAV; sham and injury groups	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0a7f6d6da0cc795d	FLOW_SCI_083	thoracic contusion SCI in adult female TLR4-null and wild-type mice	thoracic; exact level pending full-text extraction	contusion; exact impact parameters pending full-text extraction	female	8	week	injury-region spinal cord tissue			injury-region spinal-cord extract	injury-region spinal cord tissue	wild-type or TLR4-null SCI versus uninjured controls	Tlr4-null versus wild-type genotype with uninjured and post-injury controls	2	1	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0aade696d1adf0f2	FLOW_MSCS_ITDB_000006	75 kdyne T9 contusion spinal cord injury	T9	75 kdyne contusion	young female mice	35	dpi	T9 contusion spinal cord; Figure 1 ROI			whole_tissue	unassigned or bulk sample	PLX5622 diet	microglia depletion	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0b0e2cbd6ee33cdf	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	24	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Moderate SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0b3c478c921f97f0	FLOW_MSCS_ITDB_000006	75 kdyne T9 contusion spinal cord injury	T9	75 kdyne contusion	young female mice	35	dpi	T9 contusion spinal cord; Figure 1 ROI			mixed_cell_population	unassigned or bulk sample	PLX5622 diet	microglia depletion	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0b4dbd8e206c634c	FLOW_SCI_401	T8 contusive spinal cord injury using a 3-g weight-drop model	T8	moderate contusion; 3-g weight dropped 5.0 cm	not reported in current extraction	1	day	lesion epicenter and rostral lesion-associated cord			whole_tissue	recruited neutrophils	SCI; wild-type and HO-1 heterozygous mice	HO-1 heterozygous deficiency versus wild-type littermates; sham and injured controls	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:0c5eb619e6ab1347	FLOW_SCI_471	moderate/severe T10 contusion using the Infinite Horizon impactor	T10	70 kdyn contusion	male	1	day	T10 lesion-centered spinal cord and plasma	0	mm	plasma EV and T10 lesion-centered spinal-cord samples	total plasma extracellular vesicles	SCI versus naive control	naive versus SCI; plasma EV transfer experiments retained as context only	1	0	1	0			9/9	5/5	complete
sci:protein:0c7b0b5252aaddb6	FLOW_SCI_032	moderate thoracic contusion SCI	T11	50 +/- 5 kDynes; 400-600 micrometers displacement	female	1	day	lesion epicenter and surrounding parenchyma; meninges for meningeal neutrophils			spatial_tissue	parenchymal neutrophils	SCI	SLPI transgenic overexpression and recombinant SLPI treatment; untreated wild-type time-course evidence retained	1	0	1	1		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:0c960a5681dd40d9	FLOW_SCI_204	moderate T10/T11 contusion using the Infinite Horizon impactor	T10/T11	60 kdyn moderate contusion	unknown	4	hour	lesion-centered spinal cord			bulk lesion-centered 10 mm spinal-cord homogenate	lesion-centered spinal cord tissue	SCI in WT, SIRT1-KO, and/or SRT1720-treated mice	SRT1720 SIRT1 agonist; Mx1-Cre-mediated SIRT1 knockout; WT and KO controls	4	0	4	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:0cbef0093ea9dc31	FLOW_MSCS_ITDB_000006	75 kdyne T9 contusion spinal cord injury	T9	75 kdyne contusion	young female mice	35	dpi	T9 contusion spinal cord; Figure 1 ROI			whole_tissue	unassigned or bulk sample	Vehicle	microglia depletion	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0d21d05be9d734fc	FLOW_SCI_293	T10 artery-clamp spinal cord injury in male ICR mice	T10	1-minute artery clamp; recovery-period SCI model	male	14	day	6 mm spinal-cord segment including T10 injury			injured spinal-cord tissue and ventral-horn neurons	caspase-1-expressing neurons	SCI; saline versus Smad3 inhibitor/caspase-1 inhibitor	Smad3 inhibitor and caspase-1 inhibitor treatment arms	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0da67017af9c0a59	FLOW_SCI_026	thoracic T10 contusion SCI	T10	experimental contusion; exact impact parameters pending extraction	unknown	12	hours	T10 lesion site			whole T10 lesion-site spinal cord extract	astrocytes	SCI versus sham	observational injury versus sham time course	1	0	1	1		sex;injury_distance;injury_distance_unit	9/9	2/5	medium
sci:protein:0db24f43bd662980	FLOW_SCI_080	Moderate thoracic contusion SCI using an electromagnetic spinal cord injury device	T8-T10 laminectomy interval	2,000 dynes moderate contusion	adult female mice, 3-4 months, 20-24 g	1	day	injured spinal cord extract			bulk injured spinal-cord extract	spinal cord protein extract	wild-type SCI versus sham; GFAP-IκBα-dn comparison	astrocyte-restricted dominant-negative IκBα transgene versus wild-type controls	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0dc47a68d1245fd9	FLOW_SCI_380	in vivo spinal cord contusion injury	thoracic; exact level pending extraction	contusion; exact impact parameters pending extraction	not reported in current extraction	7	day	lesion and nearby intact spinal cord			whole_tissue	CD11b-positive CNS macrophages/microglia	injured; non-transgenic and MBP-reactive transgenic mice	MBP-reactive T-cell receptor transgenic versus non-transgenic mice; uninjured and injured controls retained	2	0	2	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0e07c6ed7a5cd994	FLOW_SCI_531	mouse contusion SCI with Treg depletion and STAT3 inhibition arms	thoracic; exact level pending extraction	contusion; exact force pending extraction	not reported in this pass	7	day	injury-core and surrounding spinal cord			bulk injured spinal-cord extract	injured spinal cord tissue	SCI with Treg manipulation versus control	Treg depletion, STAT3 chemical inhibition, and Treg-microglia coculture; untreated injury context retained separately	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0e0a2588ba07e168	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	C1200 relative to lesion epicenter (1200 µm)	1200	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Control; AAV-transduced region; distance C1200	Zeb2os perturbation	1	0	1	1		sex;sample_count	9/9	3/5	medium
sci:protein:0e4b64da9059a715	FLOW_SCI_150	mid-thoracic traumatic contusion SCI in C57BL/6-background mice	mid-thoracic; exact vertebral level pending extraction	moderate contusion; exact displacement/force should be confirmed from Methods	not fully extracted	1	day	5 mm lesion-centered spinal cord segment			injury-site spinal cord tissue homogenate	injury-site spinal cord protein extract	SCI versus sham	CX3CR1GFP/GFP receptor-reporter knockout and bone-marrow chimera comparisons	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:0f026ee445ac60e9	FLOW_SCI_132	T12 dorsal hemisection	T12	right hemisection	unknown	1	hour	lesion_centered			bulk spinal-cord extracts from medial, rostral, and caudal 5-mm segments	5-mm spinal cord extracts containing medial, rostral, and caudal segments	SCI	ATF4 knockout, conditional XBP1 knockout, and AAV-XBP1s expression	1	0	1	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:0f3d75cde234172a	FLOW_SCI_362	mouse traumatic spinal cord injury with endothelial-targeted AAV-MCT1 rescue arm	thoracic injury; exact level pending extraction	contusion/compression model; exact force pending extraction	not reported in first-pass extraction	14	day	injury_center_and_margin			lesion-site sagittal spinal-cord sections	CD31-positive endothelial cells	SCI and sham	endothelial-targeted AAV-MCT1 overexpression versus control AAV; sham and injury groups	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0f5c333e07f98bc9	FLOW_SCI_021	graded thoracic contusion using a MASCIS spinal cord compactor	thoracic; exact vertebral level not stated in the accessible summary	graded mild, moderate, and severe; 12.5, 25.0, or 50.0 mm drop height	female	12	hour	0.6-cm lesion-centered spinal-cord homogenate			0.6-cm lesion-centered spinal-cord homogenate	unassigned or bulk sample	Severe SCI	injury severity comparison; sham laminectomy controls	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0fb08cd9bf827214	FLOW_SCI_350	acute mouse spinal cord injury with intravital two-photon imaging of spinal microvessels; exact impact parameters pending full-text extraction	thoracic spinal cord; exact level pending	not reported in first-pass extraction	not reported in first-pass extraction	1	hour	injury epicenter small vessels	0	mm	whole_tissue	small spinal microvessels/endothelial junctions	acute SCI versus pre-injury/untreated comparison	acute SCI with optional topical diethylamine-NONOate treatment to reduce pathological blood-flow acceleration	1	0	1	0			9/9	5/5	complete
sci:protein:0ff155e4ac07cfb5	FLOW_SCI_551	spinal cord compression injury by aneurysm clip; perilesional cord	thoracic; exact level pending	not reported in source curation	not reported in source curation	1	day	perilesional spinal cord			whole_tissue	perilesional spinal cord tissue	sham/SCI/anti-TRAIL	TRAIL-neutralizing antibody and GITR-null comparison arms	1	1	0	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:0ffbce144a30e743	FLOW_SCI_433	in vivo thoracic weight-drop contusion SCI	T12 laminectomy/contusion region	5-g weight dropped 3 cm	not reported in current extraction	24	hour	injury-site white and gray matter	0	mm; epicenter	injury-site spinal-cord cryosections	surviving white matter and gray matter compartments	WT contusion versus laminectomy sham	C3 deficiency and CR2-Crry complement inhibition; WT sham and vehicle controls retained	1	0	1	0			9/9	5/5	complete
sci:protein:10c1c3b5e0fafaf3	FLOW_SCI_255	moderate T10 contusion using a modified Allen weight-drop model	T10	moderate contusion	female C57BL/6; progranulin-deficient and matched wild-type littermates	5	day	0.5 cm lesion-centered spinal cord			mouse lesion-centered spinal cord	lesion-centered spinal cord homogenate	SCI	Grn knockout and Atsttrin progranulin-derived protein treatment	1	0	1	1		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:1151201faadbfa55	FLOW_SCI_164	partial T10 contusion SCI in Lcn2 knockout and wild-type mice	T10	partial SCI; exact impact parameters not captured in first-pass extraction	not reported in first-pass extraction	7	day	0.5 cm rostral and caudal to T10 lesion center	0.5	cm	NLRP3-positive spinal-cord cells co-labeled with NeuN, GFAP, AIF1, or OLIG2	injury-region spinal cord cells	SCI, Lcn2 knockout versus wild-type	Lcn2 knockout versus wild-type mice	1	0	1	0			9/9	5/5	complete
sci:protein:117ec27e2eec8985	FLOW_SCI_185	moderate contusive spinal cord injury in wild-type and EphB3-null mice; PLP-GFP oligodendrocyte reporter context	thoracic; exact segment not captured in first-pass extraction	moderate contusion; exact impact parameter not captured in first-pass extraction	unknown	3	day	2 mm spinal cord segment flanking injury epicenter	1	mm	bulk spinal-cord tissue in a 2 mm segment flanking the injury epicenter	2 mm spinal cord segment flanking injury epicenter	WT SCI versus WT sham	EphB3 knockout and ephrinB3 rescue arms; wild-type sham/SCI receptor time course retained	1	0	1	0		sex	9/9	4/5	medium
sci:protein:11929fde1f974fa2	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion			unknown	unknown			mixed_cell_population	unassigned or bulk sample	not_reported	Zeb2os perturbation	1	1	0	0	timepoint_value;timepoint_unit;tissue;experimental_condition	sex;injury_distance;injury_distance_unit;sample_count	5/9	1/5	medium
sci:protein:1201732679b0aaf7	FLOW_SCI_051	moderate mid-thoracic T9 contusion SCI, 75 kdyn	T9	moderate contusion; adult versus aged and IL-4Ralpha knockout comparisons	female adult/aged cohorts and male genotype-comparison cohorts	3	day	spinal cord lesion and adjacent sections			Percoll-enriched spinal-cord myeloid cells	CD11b+CD45hiGR-1lo monocytes/macrophages	adult or aged SCI versus laminectomy control	age comparison and IL-4Ralpha knockout	1	0	1	0		injury_distance;injury_distance_unit;sample_count	9/9	2/5	medium
sci:protein:120d177701af527d	FLOW_SCI_012	traumatic spinal cord injury; contusion				35	day	8 mm spinal-cord segment centered on injury			gated CD3-positive CD4-negative CD8-positive T cells	CD3+CD4-CD8+ T cells	SCI	anti-CD8 depletion and CD8+ T-cell adoptive-transfer experiments	2	0	2	0	injury_level	injury_severity;sex;injury_distance;injury_distance_unit	8/9	1/5	high
sci:protein:121e923b884c58cb	FLOW_SCI_351	mouse T9 spinal cord injury with photobiomodulation treatment; exact injury force pending extraction	T9	contusive or clamp SCI; exact model wording pending full-text extraction	not reported in first-pass extraction	14	day	T9 injury site	0	mm	T9 injury-site spinal cord tissue	CD31-positive vascular profiles	sham, SCI, and SCI plus photobiomodulation	SCI versus SCI plus photobiomodulation, with sham controls	1	0	1	0			9/9	5/5	complete
sci:protein:12cf9780a6a9a01d	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	R1200 relative to lesion epicenter (-1200 µm)	-1200	µm	mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R1200	Zeb2os perturbation	1	1	0	1		sex;sample_count	9/9	3/5	medium
sci:protein:130df0eb3536aad5	FLOW_SCI_341	in vivo moderate mid-thoracic contusion spinal cord injury using an Infinite Horizons impactor	T9	75 kdyn moderate contusion	male and female	56	day	lesion-centered and lumbar ventral horn			lumbar ventral horn motor-neuron-associated synapses	lumbar ventral horn motor-neuron-associated synapses	SCI	Cx3cr1 knockout versus wild-type/heterozygous controls	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:130f68a290c3d0f3	FLOW_MSCS_ITDB_000010	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	lesion/astrocyte scar tissue			mixed_cell_population	unassigned or bulk sample	Moderate contusive SCI; Zeb2os knockdown versus control AAV endpoint	Zeb2os perturbation	1	1	0	0		sex;injury_distance;injury_distance_unit;sample_count	9/9	1/5	medium
sci:protein:137b79f34228c4ed	FLOW_SCI_520	female C57BL/6 mouse spinal cord contusion produced by circumferential T10 microforceps compression for 5 seconds	T10	complete contusion; exact biomechanical severity not reported in current extraction	female	7	day	lesion-centered spinal cord and enriched microglial fraction	0	mm	sorted_cell_population	microglia, including homeostatic and activated microglia	SCI versus sham; untreated endogenous trajectory	P2Y-TK-Nano P2Y12R overexpression and nanoparticle treatment arms; endogenous SCI time course retained separately	1	0	1	0			9/9	5/5	complete
sci:protein:13808dff72e76886	FLOW_SCI_374	in vivo T8 contusive spinal cord injury	T8	contusion; 5 g rod dropped from 6.5 cm	female C57BL/6J	14	day	T8 injury-centered spinal cord			injury-centered spinal-cord tissue, with endothelial conditional-genotype comparison	CD31-positive endothelial cells	SCI; UCHL1fl/fl and endothelial UCHL1 CKO	endothelial-cell UCHL1 conditional knockout, AAV rescue/overexpression, and Sox17 perturbation; WT SCI observations retained	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
sci:protein:1409f8166909ba8a	FLOW_SCI_402	T10 moderate contusion spinal cord injury using an Infinite Horizons impactor	T10	75-kdyne moderate contusion	female	4	day	T10 injury-centered spinal cord			bulk T10 injury-centered spinal-cord tissue	injury-centered spinal cord tissue	SCI; treatment and control groups	ANXA7 manipulation and PPARgamma agonist/antagonist treatment; sham and vehicle controls	1	0	1	0		injury_distance;injury_distance_unit	9/9	3/5	medium
