observation_id	study_id	timepoint_id	population_id	protein	gene_symbol	assay	measurement_kind	protein_form	protein_resolution	extraction_status	evidence_grade	evidence_status	post_injury_value	timepoint_unit	tissue_region	injury_distance	injury_distance_unit	condition	perturbation_status	injury_model	injury_severity	injury_level	sex	reported_label	sample_scope	source_location	source_repository_accession	gap_reason
FLOW_MSCS_ITDB_000005__FIBRONECTIN_IF	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Fibronectin	Fn1	immunofluorescence	marker localization	extracellular matrix protein	bulk_tissue	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__FIBRONECTIN_IF__TP_14D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_FIBRONECTIN_IF_14D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Fibronectin	Fn1	immunofluorescence	marker localization	extracellular matrix protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	14.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__FIBRONECTIN_IF__TP_1D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_FIBRONECTIN_IF_1D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Fibronectin	Fn1	immunofluorescence	marker localization	extracellular matrix protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__FIBRONECTIN_IF__TP_3D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_FIBRONECTIN_IF_3D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Fibronectin	Fn1	immunofluorescence	marker localization	extracellular matrix protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__FIBRONECTIN_IF__TP_7D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_FIBRONECTIN_IF_7D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Fibronectin	Fn1	immunofluorescence	marker localization	extracellular matrix protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__GFAP_RYK_IF	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__GFAP_RYK_IF__TP_14D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_GFAP_RYK_IF_14D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	14.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__GFAP_RYK_IF__TP_1D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_GFAP_RYK_IF_1D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__GFAP_RYK_IF__TP_3D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_GFAP_RYK_IF_3D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__GFAP_RYK_IF__TP_7D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_GFAP_RYK_IF_7D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__RYK_IF	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Ryk	Ryk	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__RYK_IF__TP_14D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_RYK_IF_14D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Ryk	Ryk	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	14.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__RYK_IF__TP_1D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_RYK_IF_1D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Ryk	Ryk	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__RYK_IF__TP_3D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_RYK_IF_3D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Ryk	Ryk	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000005__RYK_IF__TP_7D	FLOW_MSCS_ITDB_000005	FLOW_MSCS_ITDB_000005__TP_SPLIT_RYK_IF_7D	FLOW_MSCS_ITDB_000005_UNASSIGNED_POPULATION	Ryk	Ryk	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	7.0	day	within 250 micrometres of lesion border	250.0	micrometer	C5 dorsal-column lesion; control and astrocyte-specific Ryk cKO groups	astrocytic Ryk signaling perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Ryk/GFAP/fibronectin and scar-marker IHC/IF figures		source_extraction_not_final
FLOW_MSCS_ITDB_000006__CD68_IF	FLOW_MSCS_ITDB_000006	FLOW_MSCS_ITDB_000006__TP_IFSWEEP_20260824T020000Z_d3a9a87ec2	FLOW_MSCS_ITDB_000006_UNASSIGNED_POPULATION	CD68	Cd68	immunofluorescence	marker localization	total protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	35.0	dpi	spinal cord lesion			vehicle vs PLX5622; T9 contusion SCI	microglia depletion	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Microglia depletion, repair, and lesion-marker immunostaining figures		source_extraction_not_final
FLOW_MSCS_ITDB_000006__GFAP_IF	FLOW_MSCS_ITDB_000006	FLOW_MSCS_ITDB_000006__TP_IFSWEEP_20260824T020000Z_d3a9a87ec2	FLOW_MSCS_ITDB_000006_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	bulk_tissue	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	35.0	dpi	spinal cord lesion			vehicle vs PLX5622; T9 contusion SCI	microglia depletion	traumatic spinal cord injury				unassigned or bulk sample	whole_tissue	Microglia depletion, repair, and lesion-marker immunostaining figures		source_extraction_not_final
FLOW_MSCS_ITDB_000006__P2Y12_IF	FLOW_MSCS_ITDB_000006	FLOW_MSCS_ITDB_000006_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000006_UNASSIGNED_POPULATION	P2Y12	P2ry12	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	microglia depletion	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Microglia depletion, repair, and lesion-marker immunostaining figures		source_extraction_not_final
FLOW_MSCS_ITDB_000008__CD45_FLOW	FLOW_MSCS_ITDB_000008	FLOW_MSCS_ITDB_000008_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000008_UNASSIGNED_POPULATION	CD45	Ptprc	flow_cytometry	cell frequency	surface protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	none	traumatic spinal cord injury				unassigned or bulk sample	unknown	Flow cytometry protocol, antibody resource table, and confocal/imaging figures		source_extraction_not_final
FLOW_MSCS_ITDB_000008__LYVE1_IF	FLOW_MSCS_ITDB_000008	FLOW_MSCS_ITDB_000008_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000008_UNASSIGNED_POPULATION	LYVE1	Lyve1	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	none	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	Flow cytometry protocol, antibody resource table, and confocal/imaging figures		source_extraction_not_final
FLOW_MSCS_ITDB_000008__TMEM119_FLOW	FLOW_MSCS_ITDB_000008	FLOW_MSCS_ITDB_000008_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000008_UNASSIGNED_POPULATION	TMEM119	Tmem119	flow_cytometry	cell frequency	surface protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	none	traumatic spinal cord injury				unassigned or bulk sample	unknown	Flow cytometry protocol, antibody resource table, and confocal/imaging figures		source_extraction_not_final
FLOW_MSCS_ITDB_000010__GFAP_IF	FLOW_MSCS_ITDB_000010	FLOW_MSCS_ITDB_000010_UNSPECIFIED_TIMEPOINT	FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_ambiguous	B_direct_but_incomplete	candidate	-1.0	unknown	unknown			not_reported	Zeb2os perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures		source_extraction_not_final
FLOW_MSCS_ITDB_000010__GFAP_IF__TP_17D	FLOW_MSCS_ITDB_000010	FLOW_MSCS_ITDB_000010__TP_SPLIT_GFAP_IF_17D	FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	17.0	day	astrocyte/lesion epicenter tissue			Moderate contusive SCI; astrocyte-associated astrogliosis time course and Zeb2os intervention endpoint	Zeb2os perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures		source_extraction_not_final
FLOW_MSCS_ITDB_000010__GFAP_IF__TP_1M	FLOW_MSCS_ITDB_000010	FLOW_MSCS_ITDB_000010__TP_SPLIT_GFAP_IF_1M	FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	1.0	month	astrocyte/lesion epicenter tissue			Moderate contusive SCI; astrocyte-associated astrogliosis time course and Zeb2os intervention endpoint	Zeb2os perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures		source_extraction_not_final
FLOW_MSCS_ITDB_000010__GFAP_IF__TP_3M	FLOW_MSCS_ITDB_000010	FLOW_MSCS_ITDB_000010__TP_SPLIT_GFAP_IF_3M	FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION	GFAP	Gfap	immunofluorescence	marker localization	total protein	cell_population_resolved	primary_source_checked_not_reported	B_direct_but_incomplete	candidate	3.0	month	astrocyte/lesion epicenter tissue			Moderate contusive SCI; astrocyte-associated astrogliosis time course and Zeb2os intervention endpoint	Zeb2os perturbation	traumatic spinal cord injury				unassigned or bulk sample	mixed_cell_population	RNAscope/immunostaining, GFAP, ZEB2, and pSTAT3 figures		source_extraction_not_final
